market,time,open,high,low,close,volume
FET-USDC,1741132800000,0.60761,0.61267,0.58736,0.59633,16388.54376407
FET-USDC,1741046400000,0.58447,0.61658,0.55318,0.60046,30527.02096775
FET-USDC,1740960000000,0.60687,0.7465,0.60687,0.61903,45242.85276849
FET-USDC,1740873600000,0.7103,0.76492,0.64055,0.74087,34045.07053238
FET-USDC,1740787200000,0.63413,0.63841,0.62837,0.63841,5496.51989999
FET-USDC,1740700800000,0.6,0.63417,0.6,0.62783,3585.64480981
FET-USDC,1740614400000,0.66389,0.66389,0.6327,0.63854,9850.20374058
FET-USDC,1740528000000,0.66088,0.68091,0.64028,0.65714,50197.9178
FET-USDC,1740441600000,0.66631,0.67027,0.62988,0.66718,64726.9042
FET-USDC,1740355200000,0.77228,0.77228,0.66628,0.66628,7469.3305
FET-USDC,1740268800000,0.78462,0.78462,0.74589,0.75643,12692.68241111
FET-USDC,1740182400000,0.75728,0.79989,0.75728,0.79645,15497.1557
FET-USDC,1740096000000,0.76436,0.81722,0.74549,0.75219,58455.83008289
FET-USDC,1740009600000,0.72948,0.77218,0.72948,0.77218,7439.8975
FET-USDC,1739923200000,0.73314,0.73655,0.71243,0.71243,5290.4
FET-USDC,1739836800000,0.76576,0.76576,0.72334,0.72334,5264.88858723
FET-USDC,1739750400000,0.79472,0.79883,0.75011,0.75011,7022.35576917
FET-USDC,1739664000000,0.76682,0.80586,0.76682,0.80586,3672.73256917
FET-USDC,1739577600000,0.78007,0.78007,0.7734,0.77631,19116.04
FET-USDC,1739491200000,0.80019,0.83224,0.80019,0.82742,10582.13599112
FET-USDC,1739404800000,0.81322,0.81773,0.77343,0.78095,19367.94431122
FET-USDC,1739318400000,0.75685,0.82095,0.73814,0.82095,38252.8
FET-USDC,1739232000000,0.81466,0.82318,0.77217,0.77416,20303.4
FET-USDC,1739145600000,0.79461,0.79461,0.77539,0.78643,14053.57256624
FET-USDC,1739059200000,0.77298,0.77472,0.75507,0.75507,9044.3
FET-USDC,1738972800000,0.69508,0.69705,0.69508,0.69705,12234.8
FET-USDC,1738886400000,0.74591,0.78526,0.74591,0.75116,4792.1395776
FET-USDC,1738800000000,0.75938,0.7758,0.7183,0.7183,4389.67304034
FET-USDC,1738713600000,0.79717,0.79717,0.74607,0.75743,53766.634
FET-USDC,1738627200000,0.86588,0.86588,0.75931,0.75931,55184.27599112
FET-USDC,1738540800000,0.729,0.86371,0.60731,0.86371,94195.53772456
FET-USDC,1738454400000,0.9168,0.9168,0.77711,0.82021,79328.8184332
FET-USDC,1738368000000,1.0247,1.0247,0.99454,0.99454,1296.3
FET-USDC,1738281600000,1.0637,1.0833,1.0264,1.0264,14780.23817816
FET-USDC,1738195200000,1.0101,1.0641,1.0101,1.0641,4292.06356954
FET-USDC,1738108800000,0.97209,1.0062,0.95,0.95143,5581.9959616
FET-USDC,1738022400000,1.0947,1.1023,0.966,0.96971,11916.1081394
FET-USDC,1737936000000,1.1685,1.1743,1.0565,1.1329,27207.89978363
FET-USDC,1737849600000,1.2019,1.2152,1.2019,1.212,2895.35001746
