market,time,open,high,low,close,volume
FLOKI-EUR,1741132800000,0.000068943,0.000071436,0.000067111,0.000069691,7764259513
FLOKI-EUR,1741046400000,0.000069381,0.000071177,0.000063385,0.000068887,33859306975
FLOKI-EUR,1740960000000,0.00008517,0.00008517,0.000069573,0.00007089,13214527109
FLOKI-EUR,1740873600000,0.000077476,0.000086502,0.00007573,0.000085046,9970124131
FLOKI-EUR,1740787200000,0.000079331,0.000080577,0.000075687,0.00007659,2154406537
FLOKI-EUR,1740700800000,0.00007948,0.000079672,0.000071329,0.000079023,7088594755
FLOKI-EUR,1740614400000,0.000079079,0.000082167,0.000077838,0.000079528,2693059776
FLOKI-EUR,1740528000000,0.000079232,0.000080927,0.000075992,0.000079046,4094959074
FLOKI-EUR,1740441600000,0.000079071,0.000080586,0.000073507,0.000079169,12383488280
FLOKI-EUR,1740355200000,0.000089511,0.000089817,0.000076941,0.000078721,6454540280
FLOKI-EUR,1740268800000,0.000094008,0.000094008,0.000088561,0.000089539,2777205022
FLOKI-EUR,1740182400000,0.000088588,0.000094718,0.000088,0.000093845,4830993588
FLOKI-EUR,1740096000000,0.000092434,0.000095817,0.00008837,0.000088695,10022617630
FLOKI-EUR,1740009600000,0.000091094,0.000093728,0.000088862,0.00009225,13798967291
FLOKI-EUR,1739923200000,0.000088845,0.00010365,0.000087298,0.000091852,15383801108
FLOKI-EUR,1739836800000,0.000091221,0.0000956,0.000084888,0.000088773,12636767099
FLOKI-EUR,1739750400000,0.00008972,0.00009546,0.000088705,0.000091222,8180859217
FLOKI-EUR,1739664000000,0.000092035,0.000092777,0.00008889,0.00009023,3148832282
FLOKI-EUR,1739577600000,0.000095143,0.000097701,0.00009113,0.000092122,3389104620
FLOKI-EUR,1739491200000,0.000092096,0.000099884,0.000091961,0.000095334,12711198699
FLOKI-EUR,1739404800000,0.000096791,0.000098932,0.000090951,0.000092505,7161013724
FLOKI-EUR,1739318400000,0.00008871,0.00009781,0.000085,0.000096588,21143844101
FLOKI-EUR,1739232000000,0.00009235,0.000097891,0.000088751,0.000089043,8575983421
FLOKI-EUR,1739145600000,0.000091358,0.000094136,0.000087652,0.000092206,9479487171
FLOKI-EUR,1739059200000,0.000089513,0.000098327,0.000086371,0.000091099,15362779726
