market,time,open,high,low,close,volume
FLOW-EUR,1741132800000,0.41679,0.42353,0.40686,0.41716,28684.24754201
FLOW-EUR,1741046400000,0.42477,0.42706,0.39161,0.41104,82280.27758042
FLOW-EUR,1740960000000,0.42378,0.50201,0.42378,0.45816,37753.62869671
FLOW-EUR,1740873600000,0.48724,0.50651,0.45212,0.50232,98008.37123289
FLOW-EUR,1740787200000,0.45085,0.45979,0.44577,0.45979,24572.73542143
FLOW-EUR,1740700800000,0.46456,0.46653,0.42665,0.46385,53673.9123966
FLOW-EUR,1740614400000,0.45515,0.47297,0.45172,0.45577,22525.09491614
FLOW-EUR,1740528000000,0.44884,0.45515,0.43389,0.44855,19940.75948721
FLOW-EUR,1740441600000,0.44679,0.45439,0.42149,0.45113,39815.48302628
FLOW-EUR,1740355200000,0.48666,0.48666,0.44016,0.44814,42769.29188469
FLOW-EUR,1740268800000,0.5075,0.50912,0.49287,0.49361,11159.29916338
FLOW-EUR,1740182400000,0.49563,0.5091,0.49563,0.50511,20080.14754669
FLOW-EUR,1740096000000,0.51072,0.53045,0.48772,0.4914,27634.39575898
FLOW-EUR,1740009600000,0.49774,0.50911,0.49774,0.50911,27905.88362645
FLOW-EUR,1739923200000,0.4792,0.49904,0.4761,0.49904,97636.82417115
FLOW-EUR,1739836800000,0.49359,0.49794,0.46567,0.47774,19776.44934133
FLOW-EUR,1739750400000,0.4922,0.5057,0.48709,0.5,17963.71482311
FLOW-EUR,1739664000000,0.49412,0.50218,0.49043,0.4924,26430.00774884
FLOW-EUR,1739577600000,0.50459,0.50628,0.49018,0.49265,6724.59931867
FLOW-EUR,1739491200000,0.50031,0.51532,0.49923,0.50627,149728.00241542
FLOW-EUR,1739404800000,0.51856,0.51976,0.49476,0.5,12204.23081037
FLOW-EUR,1739318400000,0.49432,0.51732,0.47854,0.511,67155.32654408
FLOW-EUR,1739232000000,0.50359,0.51732,0.48826,0.49413,18669.58655981
FLOW-EUR,1739145600000,0.48667,0.50091,0.47114,0.49696,30647.6961093
FLOW-EUR,1739059200000,0.48928,0.49876,0.46608,0.48366,35093.33190902
FLOW-EUR,1738972800000,0.46291,0.48575,0.46291,0.48449,38793.53273982
FLOW-EUR,1738886400000,0.45606,0.48309,0.45153,0.45912,65796.73024073
FLOW-EUR,1738800000000,0.46961,0.48043,0.44973,0.45172,55199.43640299
FLOW-EUR,1738713600000,0.4777,0.49054,0.467,0.46768,89353.84982729
FLOW-EUR,1738627200000,0.52254,0.52254,0.46415,0.47811,52901.6401547
FLOW-EUR,1738540800000,0.48,0.52033,0.395,0.51775,197180.8603255
FLOW-EUR,1738454400000,0.58721,0.59014,0.48379,0.50449,128097.41873832
FLOW-EUR,1738368000000,0.62827,0.63604,0.57735,0.58189,20802.41012534
FLOW-EUR,1738281600000,0.62239,0.64414,0.61578,0.62231,16209.8956524
FLOW-EUR,1738195200000,0.60032,0.62587,0.60032,0.62032,10046.50962294
FLOW-EUR,1738108800000,0.58429,0.61295,0.58105,0.59647,15574.96607388
