market,time,open,high,low,close,volume
FLR-EUR,1741132800000,0.015936,0.016252,0.015491,0.01607,1949119.15015513
FLR-EUR,1741046400000,0.016297,0.016607,0.014763,0.014919,5017038.93619933
FLR-EUR,1740960000000,0.017871,0.018568,0.016613,0.016637,7550119.89595984
FLR-EUR,1740873600000,0.016166,0.018298,0.015957,0.017798,7746624.94024838
FLR-EUR,1740787200000,0.015929,0.016633,0.015517,0.016359,2552343.13398181
FLR-EUR,1740700800000,0.016358,0.016414,0.014815,0.015994,13148372.12748581
FLR-EUR,1740614400000,0.01619,0.01656,0.016,0.016226,3619099.00273753
FLR-EUR,1740528000000,0.016521,0.017127,0.01559,0.01617,6075274.81873505
FLR-EUR,1740441600000,0.016711,0.017062,0.015369,0.016512,15790221.26639385
FLR-EUR,1740355200000,0.018645,0.01875,0.01656,0.01656,4839795.34718228
FLR-EUR,1740268800000,0.019017,0.019316,0.018653,0.018687,3099775.47934816
FLR-EUR,1740182400000,0.018995,0.019707,0.018658,0.01925,5584801.80878831
FLR-EUR,1740096000000,0.01902,0.019677,0.018688,0.019305,14300367.46443966
FLR-EUR,1740009600000,0.01965,0.01965,0.018943,0.018985,3074742.92568538
FLR-EUR,1739923200000,0.019122,0.01965,0.019032,0.019479,971612.62849438
FLR-EUR,1739836800000,0.019654,0.019743,0.018785,0.01913,3239367.34594066
FLR-EUR,1739750400000,0.020708,0.020799,0.019702,0.019723,3931327.47687556
FLR-EUR,1739664000000,0.020649,0.020732,0.020144,0.020654,2769238.32440197
FLR-EUR,1739577600000,0.020386,0.022,0.020338,0.020473,5333185.63439255
FLR-EUR,1739491200000,0.020556,0.020952,0.019998,0.020444,6565662.84917204
FLR-EUR,1739404800000,0.020306,0.02066,0.019362,0.020475,4360751.4018897
FLR-EUR,1739318400000,0.019709,0.020471,0.019182,0.020276,6036617.2397509
FLR-EUR,1739232000000,0.02087,0.021429,0.019687,0.019687,4339003.77954629
FLR-EUR,1739145600000,0.020489,0.020826,0.020195,0.020687,3848052.30742081
FLR-EUR,1739059200000,0.020797,0.021613,0.01985,0.020427,6294803.38241358
FLR-EUR,1738972800000,0.021319,0.021796,0.020424,0.020801,8848803.4983009
FLR-EUR,1738886400000,0.01887,0.023309,0.01887,0.021322,18278113.47577353
FLR-EUR,1738800000000,0.019374,0.01965,0.018362,0.018772,3621578.57727133
FLR-EUR,1738713600000,0.020015,0.020286,0.01888,0.019204,2660790.47557264
FLR-EUR,1738627200000,0.022006,0.02239,0.01965,0.020292,5036233.97634135
FLR-EUR,1738540800000,0.020655,0.02224,0.016549,0.022205,14046463.35176478
FLR-EUR,1738454400000,0.023043,0.023474,0.01945,0.020612,7121790.70532308
FLR-EUR,1738368000000,0.024378,0.024576,0.022794,0.022933,1719941.44679821
FLR-EUR,1738281600000,0.025986,0.026573,0.02427,0.024378,5507477.77444383
FLR-EUR,1738195200000,0.022821,0.027738,0.022821,0.02594,13115255.34604433
FLR-EUR,1738108800000,0.022856,0.023412,0.021797,0.022789,1932858.97470663
FLR-EUR,1738022400000,0.02378,0.024617,0.022504,0.022929,5719263.20209101
FLR-EUR,1737936000000,0.023929,0.023929,0.022081,0.02354,3517959.85516504
FLR-EUR,1737849600000,0.025005,0.0251,0.0239,0.023954,2032537.25996477
FLR-EUR,1737763200000,0.025575,0.025603,0.02489,0.025031,2575888.19215756
FLR-EUR,1737676800000,0.025519,0.02645,0.025,0.025289,2928203.44371638
FLR-EUR,1737590400000,0.02686,0.026961,0.025182,0.02548,4184912.76871145
FLR-EUR,1737504000000,0.02851,0.028769,0.026808,0.026855,4910569.43896504
FLR-EUR,1737417600000,0.026192,0.029608,0.026192,0.028486,11538093.17393753
FLR-EUR,1737331200000,0.025665,0.027806,0.025,0.026121,5565036.09610427
FLR-EUR,1737244800000,0.029268,0.03049,0.025393,0.025482,16295837.53564117
FLR-EUR,1737158400000,0.029137,0.031893,0.026156,0.029259,31677761.34288697
FLR-EUR,1737072000000,0.026865,0.031635,0.02657,0.029138,38714483.20548437
FLR-EUR,1736985600000,0.025965,0.028506,0.024704,0.026831,26427064.63469533
FLR-EUR,1736899200000,0.024017,0.026118,0.023522,0.026,7402975.78057552
FLR-EUR,1736812800000,0.022746,0.02378,0.022622,0.02378,2889312.41993229
FLR-EUR,1736726400000,0.023829,0.023829,0.021727,0.022746,5513119.25780168
FLR-EUR,1736640000000,0.024152,0.024879,0.023466,0.023531,5679123.11614246
FLR-EUR,1736553600000,0.022881,0.024963,0.022429,0.024165,8602413.65962903
FLR-EUR,1736467200000,0.022238,0.023388,0.022128,0.022839,6559563.76937212
FLR-EUR,1736380800000,0.023364,0.023372,0.022,0.022362,5234361.8041626
FLR-EUR,1736294400000,0.024317,0.024465,0.02308,0.023489,2580073.75434315
FLR-EUR,1736208000000,0.026054,0.0263,0.024135,0.024244,3033839.82203031
FLR-EUR,1736121600000,0.026104,0.0266,0.025691,0.025853,3460793.37245328
FLR-EUR,1736035200000,0.026868,0.026906,0.02578,0.026344,5026196.64597488
FLR-EUR,1735948800000,0.027786,0.028219,0.026931,0.027019,4387797.44807256
FLR-EUR,1735862400000,0.02685,0.027853,0.0263,0.027768,5155298.22386758
FLR-EUR,1735776000000,0.026981,0.027833,0.026343,0.027077,5327836.26381362
FLR-EUR,1735689600000,0.025311,0.026842,0.025097,0.026356,7805446.08085898
FLR-EUR,1735603200000,0.02476,0.02552,0.023909,0.025042,4757767.67388952
FLR-EUR,1735516800000,0.024244,0.024835,0.023637,0.024503,4638098.15254289
FLR-EUR,1735430400000,0.025505,0.025554,0.02411,0.024378,3558915.95877602
FLR-EUR,1735344000000,0.025389,0.026385,0.02506,0.025565,1543978.37689832
FLR-EUR,1735257600000,0.025454,0.026484,0.025191,0.025429,2973462.97638383
FLR-EUR,1735171200000,0.026378,0.026445,0.02492,0.025466,2557038.16420196
FLR-EUR,1735084800000,0.027012,0.02712,0.02623,0.02632,2678183.63319847
FLR-EUR,1734998400000,0.02603,0.027639,0.025275,0.027087,5988334.54189292
FLR-EUR,1734912000000,0.025319,0.026029,0.02455,0.02587,4968065.05162155
FLR-EUR,1734825600000,0.026147,0.026147,0.024731,0.025407,2675036.48602838
FLR-EUR,1734739200000,0.027041,0.02773,0.025758,0.026135,2918021.77226969
FLR-EUR,1734652800000,0.025935,0.028056,0.023935,0.027049,8064762.63762725
FLR-EUR,1734566400000,0.027056,0.027469,0.024728,0.025872,9620798.14034724
FLR-EUR,1734480000000,0.029197,0.029455,0.02683,0.027135,7064639.56407746
