market,time,open,high,low,close,volume
FLUX-EUR,1741132800000,0.29944,0.30144,0.29028,0.29416,19728.15462451
FLUX-EUR,1741046400000,0.28143,0.31258,0.27227,0.27227,54788.06969513
FLUX-EUR,1740960000000,0.34214,0.37,0.30959,0.31704,119253.09385426
FLUX-EUR,1740873600000,0.33043,0.36491,0.32557,0.35762,67869.54178838
FLUX-EUR,1740787200000,0.32792,0.33281,0.31892,0.32412,41721.75405947
FLUX-EUR,1740700800000,0.34319,0.34319,0.31795,0.3326,11575.52537303
FLUX-EUR,1740614400000,0.34235,0.35025,0.33641,0.34208,9079.19821344
FLUX-EUR,1740528000000,0.33459,0.34847,0.33082,0.34225,55431.24322246
FLUX-EUR,1740441600000,0.32557,0.33946,0.30972,0.33946,63073.49240393
FLUX-EUR,1740355200000,0.37295,0.37295,0.32488,0.32664,62610.00867964
FLUX-EUR,1740268800000,0.39523,0.39563,0.37937,0.37937,6020.41053891
FLUX-EUR,1740182400000,0.38195,0.39992,0.38195,0.39427,16349.28402612
FLUX-EUR,1740096000000,0.3927,0.41565,0.375,0.38107,49151.45670441
FLUX-EUR,1740009600000,0.41601,0.41686,0.38437,0.39315,1020542.53659133
FLUX-EUR,1739923200000,0.39545,0.41538,0.39173,0.41126,20733.7148732
FLUX-EUR,1739836800000,0.4165,0.4165,0.38158,0.3944,43797.73361831
FLUX-EUR,1739750400000,0.43314,0.4371,0.41,0.41924,21017.34716834
FLUX-EUR,1739664000000,0.42851,0.45229,0.42141,0.42283,131738.95293246
FLUX-EUR,1739577600000,0.42749,0.43687,0.41596,0.43687,43142.95431314
FLUX-EUR,1739491200000,0.41161,0.43694,0.41131,0.4279,66483.46105067
FLUX-EUR,1739404800000,0.42722,0.43453,0.40635,0.41194,10982.82179343
FLUX-EUR,1739318400000,0.39123,0.42858,0.38797,0.42688,216320.80975647
FLUX-EUR,1739232000000,0.38932,0.42,0.38861,0.39891,188195.41195732
FLUX-EUR,1739145600000,0.38304,0.39288,0.36692,0.38549,47464.9120521
FLUX-EUR,1739059200000,0.37925,0.39595,0.36244,0.37309,100428.48670282
FLUX-EUR,1738972800000,0.36709,0.38054,0.351,0.38,111761.80299528
FLUX-EUR,1738886400000,0.37991,0.39459,0.35937,0.36632,409139.08913274
FLUX-EUR,1738800000000,0.36856,0.38,0.33968,0.37205,553041.37791627
FLUX-EUR,1738713600000,0.38152,0.38604,0.36169,0.37029,159582.7330538
FLUX-EUR,1738627200000,0.41981,0.42213,0.37339,0.38628,112667.78031131
FLUX-EUR,1738540800000,0.43062,0.43099,0.34425,0.42791,567034.57878901
FLUX-EUR,1738454400000,0.49117,0.50588,0.41617,0.42891,88727.87761398
FLUX-EUR,1738368000000,0.53911,0.57237,0.48772,0.48772,347445.06337675
FLUX-EUR,1738281600000,0.50544,0.56037,0.49147,0.544,334029.3109583
FLUX-EUR,1738195200000,0.4513,0.51807,0.4513,0.50719,240893.18059662
FLUX-EUR,1738108800000,0.43655,0.4649,0.43549,0.45331,49263.23722101
FLUX-EUR,1738022400000,0.46128,0.46721,0.43289,0.43393,125835.69366062
FLUX-EUR,1737936000000,0.47,0.47587,0.41718,0.45427,106093.47064689
FLUX-EUR,1737849600000,0.47907,0.49422,0.475,0.47544,57030.8719854
