market,time,open,high,low,close,volume
FORTH-EUR,1741132800000,2.8083,2.8741,2.7099,2.7151,2311.10805228
FORTH-EUR,1741046400000,2.8,2.8547,2.65,2.8175,4774.02489424
FORTH-EUR,1740960000000,3.2645,3.2983,2.8832,2.9089,5775.67425801
FORTH-EUR,1740873600000,3.1099,3.4091,3.1066,3.2991,22584.9306508
FORTH-EUR,1740787200000,3.1404,3.1425,3.0237,3.0915,4463.13756249
FORTH-EUR,1740700800000,3.1872,3.1902,2.9446,3.152,1557.36072661
FORTH-EUR,1740614400000,3.0681,3.1912,3.0681,3.1854,3986.1607512
FORTH-EUR,1740528000000,3.0314,3.1587,2.9807,3.0642,3654.9280592
FORTH-EUR,1740441600000,3.0665,3.1222,2.9,3.0837,9257.10497807
FORTH-EUR,1740355200000,3.46,3.465,2.9964,2.9964,3719.31954118
FORTH-EUR,1740268800000,3.4349,3.4585,3.3415,3.4334,4005.32781396
FORTH-EUR,1740182400000,3.2987,3.4253,3.2987,3.4175,443.63535031
FORTH-EUR,1740096000000,3.3624,3.4406,3.2467,3.2996,2498.34034387
FORTH-EUR,1740009600000,3.3767,3.3821,3.2885,3.3606,3447.66767572
FORTH-EUR,1739923200000,3.3739,3.4472,3.2876,3.4036,1895.84825878
FORTH-EUR,1739836800000,3.295,3.4312,3.2485,3.3831,6163.2497484
FORTH-EUR,1739750400000,3.4864,3.51,3.2668,3.3401,6898.39622305
FORTH-EUR,1739664000000,3.7641,3.81,3.357,3.455,16605.39000189
FORTH-EUR,1739577600000,3.5536,4.184,3.4773,3.7931,49480.24521794
FORTH-EUR,1739491200000,3.6403,3.6673,3.5373,3.5373,7475.18758369
FORTH-EUR,1739404800000,4.061,4.1415,3.57,3.6412,2861.09586822
FORTH-EUR,1739318400000,3.7719,4.1929,3.6497,4.0993,6193.53743615
FORTH-EUR,1739232000000,3.9594,4.0489,3.7598,3.7841,4146.58131425
FORTH-EUR,1739145600000,3.8611,4.0612,3.723,3.9234,8688.22399621
FORTH-EUR,1739059200000,3.9312,3.9689,3.6667,3.7845,10847.67482882
FORTH-EUR,1738972800000,3.9684,4.4597,3.726,3.9548,43601.60620509
FORTH-EUR,1738886400000,4.0972,4.2001,3.8,3.8881,43367.82971645
FORTH-EUR,1738800000000,4.3779,4.8997,4.0545,4.0814,135393.71565063
FORTH-EUR,1738713600000,4.3199,5.3408,4.1299,4.3684,721348.02493541
FORTH-EUR,1738627200000,3.316,5.4881,3.3039,4.2985,395618.74350624
FORTH-EUR,1738540800000,3.2526,3.4635,2.8252,3.4221,3175.02902751
FORTH-EUR,1738454400000,3.726,3.726,3.2197,3.3122,4120.56726147
FORTH-EUR,1738368000000,4.0505,4.0505,3.8,3.8149,925.53913656
FORTH-EUR,1738281600000,4.1013,4.215,4.0312,4.0872,1129.57967161
FORTH-EUR,1738195200000,4.1152,4.215,4.1122,4.1122,1078.40584486
FORTH-EUR,1738108800000,3.9687,4.1733,3.9687,4.0463,2935.53568256
FORTH-EUR,1738022400000,4.2099,4.2363,3.9127,3.9127,4145.10616139
FORTH-EUR,1737936000000,4,4.2047,3.8415,4.1501,1871.40245381
FORTH-EUR,1737849600000,4.0729,4.1906,4.0312,4.0312,1356.66443274
FORTH-EUR,1737763200000,4.1029,4.1489,4,4.0593,703.96439078
FORTH-EUR,1737676800000,4.2278,4.3861,4.1371,4.1371,1436.81043426
FORTH-EUR,1737590400000,4.4215,4.4215,4.155,4.1695,1705.59048094
FORTH-EUR,1737504000000,4.5879,4.6141,4.4089,4.4089,1217.03869461
FORTH-EUR,1737417600000,4.341,4.705,4.341,4.6717,1319.20705036
FORTH-EUR,1737331200000,4.4301,4.8508,4.3653,4.3804,3698.56360352
FORTH-EUR,1737244800000,4.7443,4.8333,4.3954,4.3954,3364.62402852
FORTH-EUR,1737158400000,5.2941,5.3117,4.6984,4.8369,5016.35849289
FORTH-EUR,1737072000000,5.1562,5.3248,5.1562,5.2139,1653.51194889
FORTH-EUR,1736985600000,5.229,5.2577,5.068,5.1187,1488.06823306
FORTH-EUR,1736899200000,5.056,5.2559,4.9318,5.2532,2574.45993985
FORTH-EUR,1736812800000,4.9425,5.0471,4.9246,4.9913,1929.32160801
FORTH-EUR,1736726400000,4.9173,4.9778,4.5745,4.8779,2264.39827302
FORTH-EUR,1736640000000,5.0923,5.0979,4.8703,4.8703,580.34497665
FORTH-EUR,1736553600000,5.0384,5.0922,4.9189,5.0026,1528.72180233
