market,time,open,high,low,close,volume
FUEL-EUR,1741219200000,0.010395,0.010397,0.010395,0.010397,9595.08041956
FUEL-EUR,1741132800000,0.009941,0.010603,0.009877,0.010194,4751329.43319997
FUEL-EUR,1741046400000,0.009831,0.0105,0.0095,0.010312,9611855.73536728
FUEL-EUR,1740960000000,0.012539,0.012547,0.01,0.010189,12926379.85766206
FUEL-EUR,1740873600000,0.012636,0.01389,0.010582,0.012871,45465190.12778734
FUEL-EUR,1740787200000,0.010711,0.010989,0.010285,0.010547,6587390.35747481
FUEL-EUR,1740700800000,0.010711,0.011341,0.010094,0.010797,17641243.77854687
FUEL-EUR,1740614400000,0.011012,0.011099,0.010249,0.010696,6675306.90945342
FUEL-EUR,1740528000000,0.010985,0.011162,0.0097741,0.010899,22439967.43099333
FUEL-EUR,1740441600000,0.011001,0.011233,0.009635,0.011125,17417941.22089882
FUEL-EUR,1740355200000,0.01331,0.013357,0.011085,0.011141,9962397.08032901
FUEL-EUR,1740268800000,0.013299,0.014,0.01267,0.013393,14992902.44249238
FUEL-EUR,1740182400000,0.014024,0.015,0.012653,0.0131,36522584.76940867
FUEL-EUR,1740096000000,0.010953,0.016553,0.010953,0.013998,105603585.0938381
FUEL-EUR,1740009600000,0.011237,0.011251,0.010314,0.010984,11071483.01630537
FUEL-EUR,1739923200000,0.011261,0.011514,0.01002,0.011326,18402063.07675331
FUEL-EUR,1739836800000,0.012173,0.012645,0.010627,0.011275,10904541.92852148
FUEL-EUR,1739750400000,0.013989,0.014021,0.011897,0.012096,9023373.61948483
FUEL-EUR,1739664000000,0.01349,0.014685,0.012613,0.013894,22496681.20539814
FUEL-EUR,1739577600000,0.016241,0.016241,0.013165,0.01349,9697380.07082937
FUEL-EUR,1739491200000,0.015865,0.017098,0.015529,0.016284,8509178.23850401
FUEL-EUR,1739404800000,0.016915,0.0182,0.015698,0.015899,4628538.21167154
FUEL-EUR,1739318400000,0.017189,0.017601,0.01592,0.017017,7964108.45013885
FUEL-EUR,1739232000000,0.017269,0.0181,0.016348,0.017146,5825886.16117601
FUEL-EUR,1739145600000,0.017095,0.017473,0.016338,0.017037,2679972.46698393
FUEL-EUR,1739059200000,0.017873,0.018049,0.016443,0.017063,5475668.88312719
FUEL-EUR,1738972800000,0.01578,0.01879,0.01578,0.017998,15022947.72631428
FUEL-EUR,1738886400000,0.015269,0.01642,0.015209,0.015708,6234137.4588245
FUEL-EUR,1738800000000,0.01754,0.017757,0.01471,0.015127,7196647.15335332
FUEL-EUR,1738713600000,0.019252,0.0196,0.017354,0.017489,5289960.08192129
FUEL-EUR,1738627200000,0.022685,0.022946,0.018458,0.019299,6882154.50870567
FUEL-EUR,1738540800000,0.018887,0.02268,0.014579,0.02268,13419962.39304349
FUEL-EUR,1738454400000,0.024019,0.029726,0.017791,0.01905,44027455.28386681
FUEL-EUR,1738368000000,0.023878,0.024926,0.023532,0.024335,17941718.32243491
FUEL-EUR,1738281600000,0.023122,0.024379,0.023066,0.023363,21772617.24439969
FUEL-EUR,1738195200000,0.025559,0.02702,0.022951,0.023119,14218801.28818423
FUEL-EUR,1738108800000,0.024853,0.026996,0.024118,0.025515,5461102.18432965
FUEL-EUR,1738022400000,0.02706,0.027879,0.024682,0.024808,3423961.88677446
FUEL-EUR,1737936000000,0.027744,0.028056,0.024,0.027,8098282.74183897
FUEL-EUR,1737849600000,0.02997,0.032857,0.027754,0.027769,7301090.52440143
FUEL-EUR,1737763200000,0.028591,0.0323,0.028532,0.030229,11368279.66066401
FUEL-EUR,1737676800000,0.029232,0.032095,0.027112,0.028692,16090158.80575532
FUEL-EUR,1737590400000,0.030596,0.030867,0.026938,0.029618,14604724.71979867
FUEL-EUR,1737504000000,0.032687,0.03526,0.030695,0.030745,6885523.07218861
FUEL-EUR,1737417600000,0.030522,0.0335,0.029708,0.032734,10304643.75482429
FUEL-EUR,1737331200000,0.035352,0.037506,0.029435,0.030658,13759797.37218432
FUEL-EUR,1737244800000,0.044129,0.044155,0.035065,0.035403,18852196.19032013
FUEL-EUR,1737158400000,0.0462,0.047261,0.040394,0.044344,13185758.81899359
FUEL-EUR,1737072000000,0.049487,0.049646,0.044339,0.046278,27394700.38296075
FUEL-EUR,1736985600000,0.041441,0.056228,0.041048,0.049681,63246974.65317466
FUEL-EUR,1736899200000,0.042017,0.043103,0.037472,0.041472,23930246.6087659
FUEL-EUR,1736812800000,0.040316,0.04315,0.038283,0.041547,17030316.67245858
FUEL-EUR,1736726400000,0.04105,0.043877,0.037058,0.040431,12925622.59769133
FUEL-EUR,1736640000000,0.042784,0.043413,0.039191,0.04114,13773541.08125861
FUEL-EUR,1736553600000,0.0465,0.047678,0.042571,0.042784,10172943.52316423
FUEL-EUR,1736467200000,0.049055,0.050459,0.0452,0.0465,8116504.35823076
FUEL-EUR,1736380800000,0.053395,0.055387,0.046851,0.049175,10184747.62623022
FUEL-EUR,1736294400000,0.055725,0.055916,0.045006,0.05357,22709268.18374949
FUEL-EUR,1736208000000,0.066202,0.066503,0.05407,0.054979,20083920.37764791
FUEL-EUR,1736121600000,0.067331,0.068946,0.062763,0.066377,12469101.65726316
FUEL-EUR,1736035200000,0.074632,0.074999,0.06707,0.067344,13136952.96501888
FUEL-EUR,1735948800000,0.071229,0.076353,0.069,0.074548,19811161.06147994
FUEL-EUR,1735862400000,0.068761,0.07462,0.065,0.070676,23340258.73611703
FUEL-EUR,1735776000000,0.06824,0.070514,0.062484,0.069041,19059675.6870798
FUEL-EUR,1735689600000,0.064673,0.074332,0.058744,0.068365,35543417.75057731
FUEL-EUR,1735603200000,0.072253,0.075268,0.063884,0.06529,19724061.91461556
FUEL-EUR,1735516800000,0.068599,0.080061,0.0605,0.072079,53582502.90032076
FUEL-EUR,1735430400000,0.074814,0.084081,0.060289,0.068258,93274515.0013137
FUEL-EUR,1735344000000,0.053,0.083,0.051317,0.074814,72547373.27778834
FUEL-EUR,1735257600000,0.046094,0.066085,0.045802,0.05293,53692928.4151388
FUEL-EUR,1735171200000,0.047053,0.051907,0.04436,0.04597,35552579.01415071
FUEL-EUR,1735084800000,0.046474,0.048253,0.043514,0.047199,15941440.23956827
FUEL-EUR,1734998400000,0.046979,0.052,0.041212,0.046644,27179747.35716548
FUEL-EUR,1734912000000,0.0415,0.046999,0.038438,0.046999,23369473.99848436
FUEL-EUR,1734825600000,0.049694,0.050079,0.03919,0.041563,29887494.81105556
FUEL-EUR,1734739200000,0.039844,0.055,0.036811,0.049541,95342539.29923935
FUEL-EUR,1734652800000,0.047701,0.051518,0.035811,0.039707,89475058.0138273
FUEL-EUR,1734566400000,0.047268,0.064623,0.041305,0.047701,128300665.56010368
