market,time,open,high,low,close,volume
FXS-EUR,1741132800000,1.4254,1.4693,1.4254,1.4693,22458.47769046
FXS-EUR,1741046400000,1.4205,1.485,1.377,1.4178,4859.58760077
FXS-EUR,1740960000000,1.5702,1.629,1.4968,1.4968,5024.44466892
FXS-EUR,1740873600000,1.5397,1.693,1.5366,1.693,16915.97825795
FXS-EUR,1740787200000,1.5071,1.5683,1.4861,1.5262,290.71818548
FXS-EUR,1740700800000,1.5824,1.5824,1.432,1.5657,19083.26229933
FXS-EUR,1740614400000,1.547,1.66,1.547,1.5938,22004.4645029
FXS-EUR,1740528000000,1.5037,1.5345,1.4256,1.5302,35003.27473515
FXS-EUR,1740441600000,1.5607,1.5607,1.4575,1.5045,7445.28951282
FXS-EUR,1740355200000,1.6634,1.6634,1.5415,1.5415,8631.01995975
FXS-EUR,1740268800000,1.8027,1.824,1.68,1.68,6662.68638734
FXS-EUR,1740182400000,1.7791,1.8162,1.7658,1.8159,5043.67132703
FXS-EUR,1740096000000,1.7984,1.8986,1.7605,1.7658,29483.01742828
FXS-EUR,1740009600000,1.71,1.8083,1.6912,1.8083,1467.5982482
FXS-EUR,1739923200000,1.6823,1.7183,1.6818,1.6818,1040.25256245
FXS-EUR,1739836800000,1.7406,1.7728,1.6132,1.6562,28887.1570163
FXS-EUR,1739750400000,1.6974,1.7292,1.6677,1.7271,2974.9049036
FXS-EUR,1739664000000,1.7151,1.7238,1.6854,1.6854,2170.84237587
FXS-EUR,1739577600000,1.7399,1.7611,1.7022,1.7218,4478.65196209
FXS-EUR,1739491200000,1.7432,1.7827,1.7249,1.7295,10790.9360896
FXS-EUR,1739404800000,1.7517,1.7517,1.6778,1.7015,7612.00564737
FXS-EUR,1739318400000,1.5875,1.7643,1.5771,1.7291,30003.60430098
FXS-EUR,1739232000000,1.644,1.6828,1.5752,1.5861,2178.50931847
FXS-EUR,1739145600000,1.6495,1.6533,1.5858,1.6094,6440.96524818
FXS-EUR,1739059200000,1.5828,1.665,1.5828,1.6218,2790.24242008
FXS-EUR,1738972800000,1.5778,1.6169,1.5541,1.5956,26811.59784501
