market,time,open,high,low,close,volume
G-EUR,1741132800000,0.016051,0.016051,0.015603,0.015619,78288.51001633
G-EUR,1741046400000,0.015786,0.015858,0.015043,0.015759,1703437.8445818
G-EUR,1740960000000,0.019359,0.019359,0.016734,0.016734,470240.86296939
G-EUR,1740873600000,0.019185,0.020048,0.018938,0.019976,1140462.36229436
G-EUR,1740787200000,0.01923,0.020908,0.019205,0.019799,1423102.54239443
G-EUR,1740700800000,0.020857,0.022059,0.018349,0.020583,5278931.68817221
G-EUR,1740614400000,0.019598,0.021906,0.019216,0.0202,7823633.25630672
G-EUR,1740528000000,0.017915,0.020181,0.017915,0.019619,3196308.95435697
G-EUR,1740441600000,0.017397,0.018011,0.016887,0.018011,437555.45138703
G-EUR,1740355200000,0.018722,0.018722,0.017322,0.017478,537396.02428143
G-EUR,1740268800000,0.018976,0.018976,0.018695,0.018695,73309.71585599
G-EUR,1740182400000,0.018214,0.019584,0.018214,0.019146,1317450.95472033
G-EUR,1740096000000,0.018479,0.019258,0.018095,0.018095,51412.43944336
G-EUR,1740009600000,0.018158,0.018629,0.018105,0.018619,236348.54423759
G-EUR,1739923200000,0.017592,0.018138,0.017408,0.017986,48440.6387819
G-EUR,1739836800000,0.01754,0.017836,0.017109,0.017549,313549.18421699
G-EUR,1739750400000,0.018438,0.018729,0.018438,0.018499,5350.2793534
G-EUR,1739664000000,0.018381,0.018717,0.018381,0.018443,16220.85369408
G-EUR,1739577600000,0.018836,0.018836,0.018484,0.018553,135837.89833883
G-EUR,1739491200000,0.018656,0.019153,0.018656,0.019153,71269.98863408
G-EUR,1739404800000,0.02,0.02,0.018332,0.018592,159168.53950201
G-EUR,1739318400000,0.018309,0.019262,0.018108,0.019188,71491.67031283
G-EUR,1739232000000,0.018808,0.019534,0.018233,0.018304,656118.55404904
G-EUR,1739145600000,0.017694,0.01882,0.017694,0.018616,159362.45885094
G-EUR,1739059200000,0.018741,0.018811,0.017633,0.018122,43743.06795851
G-EUR,1738972800000,0.017668,0.018252,0.017275,0.018252,82244.32438018
G-EUR,1738886400000,0.018204,0.018834,0.016957,0.016957,335182.40847538
G-EUR,1738800000000,0.018576,0.018889,0.017692,0.017742,287244.89562736
G-EUR,1738713600000,0.019268,0.019473,0.018357,0.018357,157163.52944121
G-EUR,1738627200000,0.020637,0.020637,0.01945,0.019615,524657.42744228
G-EUR,1738540800000,0.019,0.021113,0.017081,0.021113,1921929.78896081
G-EUR,1738454400000,0.0238,0.0238,0.02,0.02,301808.83909742
G-EUR,1738368000000,0.026301,0.026301,0.023805,0.023805,48217.95509938
G-EUR,1738281600000,0.027928,0.027928,0.025916,0.026174,1878168.13581962
G-EUR,1738195200000,0.025424,0.028141,0.025424,0.028101,2400730.04297442
G-EUR,1738108800000,0.024087,0.025175,0.024087,0.025175,129186.5319866
G-EUR,1738022400000,0.025082,0.027173,0.024083,0.02409,539256.25149944
G-EUR,1737936000000,0.0264,0.0264,0.024244,0.025105,476393.18415855
G-EUR,1737849600000,0.026771,0.027405,0.026606,0.026615,217249.50606152
G-EUR,1737763200000,0.027306,0.027306,0.026374,0.026916,1042108.96371747
G-EUR,1737676800000,0.028198,0.028198,0.025425,0.027756,4481418.83567661
G-EUR,1737590400000,0.026287,0.028182,0.025345,0.028182,1205540.38953835
G-EUR,1737504000000,0.02771,0.027912,0.026385,0.026385,1359279.91997115
G-EUR,1737417600000,0.025265,0.027826,0.024813,0.027617,992124.72170387
G-EUR,1737331200000,0.025534,0.027635,0.024933,0.025464,2508148.72428066
G-EUR,1737244800000,0.027738,0.028084,0.025616,0.025841,1419842.822865
G-EUR,1737158400000,0.0301,0.030264,0.027827,0.028078,263106.81631683
G-EUR,1737072000000,0.029471,0.030051,0.029258,0.030051,366374.76844113
G-EUR,1736985600000,0.029516,0.029815,0.028703,0.028889,647413.29516267
G-EUR,1736899200000,0.028684,0.02987,0.027712,0.02987,491176.05510357
G-EUR,1736812800000,0.028089,0.028951,0.028089,0.028896,133745.88759122
G-EUR,1736726400000,0.030134,0.030646,0.02679,0.028076,639871.33255711
G-EUR,1736640000000,0.031211,0.031211,0.029777,0.029777,95385.95507649
G-EUR,1736553600000,0.032239,0.032239,0.031164,0.031218,370354.44383984
G-EUR,1736467200000,0.030395,0.032901,0.030095,0.032901,1539873.48329415
G-EUR,1736380800000,0.032004,0.032527,0.030094,0.030489,1623605.80112301
G-EUR,1736294400000,0.034616,0.034616,0.03,0.032201,5767679.81743707
G-EUR,1736208000000,0.031351,0.039498,0.031351,0.034611,38760415.43594574
G-EUR,1736121600000,0.03045,0.031517,0.03045,0.030999,111780.1878408
G-EUR,1736035200000,0.030614,0.030972,0.030214,0.030874,329076.78582337
G-EUR,1735948800000,0.031043,0.03122,0.030481,0.030665,44773.88143472
G-EUR,1735862400000,0.029846,0.031186,0.029515,0.031,507552.62220125
G-EUR,1735776000000,0.029558,0.030439,0.029558,0.03008,238612.0133513
G-EUR,1735689600000,0.028637,0.029169,0.028313,0.029013,111919.68611917
G-EUR,1735603200000,0.028421,0.029854,0.028146,0.028975,2350037.10336779
G-EUR,1735516800000,0.030131,0.030545,0.028697,0.02935,282953.88278794
G-EUR,1735430400000,0.029641,0.032647,0.02964,0.030647,4345434.68282878
G-EUR,1735344000000,0.028955,0.029906,0.028572,0.029576,288585.45645546
G-EUR,1735257600000,0.028421,0.02986,0.028282,0.028861,711689.19101179
G-EUR,1735171200000,0.030699,0.030699,0.028661,0.028701,1784706.4241107
G-EUR,1735084800000,0.031867,0.035289,0.031145,0.031463,3107310.62840958
G-EUR,1734998400000,0.028565,0.032908,0.028565,0.032368,4269790.47655074
G-EUR,1734912000000,0.027204,0.029,0.027054,0.028864,296932.57297209
G-EUR,1734825600000,0.028195,0.028871,0.026829,0.026884,2845511.4759797
G-EUR,1734739200000,0.027458,0.028816,0.02608,0.028188,3601306.50527173
G-EUR,1734652800000,0.026099,0.027613,0.02383,0.027479,1988213.04991752
G-EUR,1734566400000,0.0275,0.028969,0.025233,0.026642,1480570.97186423
G-EUR,1734480000000,0.02996,0.030378,0.027685,0.028285,528321.76452526
G-EUR,1734393600000,0.032226,0.032226,0.030071,0.03034,250856.86093183
G-EUR,1734307200000,0.03334,0.033436,0.0312,0.032576,512652.73151156
G-EUR,1734220800000,0.032169,0.033246,0.0316,0.033246,505279.60350052
G-EUR,1734134400000,0.033572,0.03393,0.031844,0.032068,195748.74334641
G-EUR,1734048000000,0.033528,0.03424,0.033249,0.03325,197836.96675684
G-EUR,1733961600000,0.03419,0.035415,0.033686,0.03424,222041.79230426
G-EUR,1733875200000,0.031211,0.034783,0.031138,0.034379,1639726.51142028
G-EUR,1733788800000,0.034102,0.034375,0.029785,0.03251,4516784.60667346
G-EUR,1733702400000,0.041197,0.041197,0.030699,0.034775,2662397.81712668
G-EUR,1733616000000,0.041199,0.041711,0.039596,0.041711,503895.47643493
G-EUR,1733529600000,0.042711,0.04365,0.041359,0.04142,1082090.4705059
G-EUR,1733443200000,0.037431,0.044809,0.037229,0.043008,9090979.69643779
G-EUR,1733356800000,0.038351,0.038617,0.036,0.037133,1384069.4666227
G-EUR,1733270400000,0.038455,0.041138,0.037634,0.038912,1884235.9537145
G-EUR,1733184000000,0.036897,0.038858,0.034533,0.038858,1615088.44914836
