market,time,open,high,low,close,volume
GALA-EUR,1741219200000,0.017435,0.017435,0.017435,0.017435,522.54
GALA-EUR,1741132800000,0.016758,0.017596,0.0164,0.016938,68679335.45597042
GALA-EUR,1741046400000,0.016647,0.017697,0.015291,0.016712,56862631.25313729
GALA-EUR,1740960000000,0.021117,0.021387,0.017189,0.01765,27289614.71106809
GALA-EUR,1740873600000,0.021196,0.02162,0.018486,0.0211,61684683.86541831
GALA-EUR,1740787200000,0.018603,0.019374,0.018183,0.018908,7407035.71354208
GALA-EUR,1740700800000,0.019156,0.019378,0.017107,0.019337,27616078.13883638
GALA-EUR,1740614400000,0.018799,0.019483,0.018621,0.019151,6998277.12233202
GALA-EUR,1740528000000,0.018812,0.019159,0.017967,0.018773,20782612.43136368
GALA-EUR,1740441600000,0.017957,0.019158,0.016958,0.0188,77080664.17685823
GALA-EUR,1740355200000,0.021359,0.021465,0.017477,0.017941,92662714.35887833
GALA-EUR,1740268800000,0.022081,0.022309,0.021103,0.021313,5017732.69944632
GALA-EUR,1740182400000,0.021203,0.022547,0.021203,0.022093,26355913.6141784
GALA-EUR,1740096000000,0.021873,0.02348,0.021137,0.021333,23748314.43863352
GALA-EUR,1740009600000,0.021291,0.021894,0.021016,0.021873,13798989.17594812
GALA-EUR,1739923200000,0.020973,0.021473,0.020432,0.02132,12050897.80866176
GALA-EUR,1739836800000,0.021416,0.02156,0.019931,0.02089,27601322.22997372
GALA-EUR,1739750400000,0.021479,0.022381,0.020831,0.021448,32592035.34072721
GALA-EUR,1739664000000,0.02268,0.022764,0.0212,0.021327,10060429.45909865
GALA-EUR,1739577600000,0.02291,0.023769,0.022408,0.022628,6959019.07718876
GALA-EUR,1739491200000,0.022227,0.024,0.022095,0.023275,20139121.85325033
GALA-EUR,1739404800000,0.02328,0.023836,0.021841,0.02225,15277246.11825515
GALA-EUR,1739318400000,0.022002,0.023492,0.020799,0.023194,22726547.33762595
GALA-EUR,1739232000000,0.022323,0.023891,0.021448,0.021908,22018066.05069164
GALA-EUR,1739145600000,0.021236,0.022581,0.020447,0.022331,15708775.15337616
GALA-EUR,1739059200000,0.021423,0.021877,0.019974,0.021178,14009282.22749791
GALA-EUR,1738972800000,0.020443,0.021633,0.020077,0.021436,7697013.68637628
GALA-EUR,1738886400000,0.020132,0.022312,0.019774,0.020529,19590209.17777714
GALA-EUR,1738800000000,0.021889,0.02236,0.019891,0.020127,19707928.22489907
