market,time,open,high,low,close,volume
GHST-EUR,1741132800000,0.42055,0.42974,0.41597,0.41597,442.63275422
GHST-EUR,1741046400000,0.44946,0.44946,0.39442,0.42475,13509.76217185
GHST-EUR,1740960000000,0.49682,0.49682,0.44519,0.45314,1575.45780755
GHST-EUR,1740873600000,0.48679,0.51641,0.47734,0.51337,3893.86702231
GHST-EUR,1740787200000,0.49387,0.49387,0.47678,0.48464,5584.23990778
GHST-EUR,1740700800000,0.47295,0.49984,0.4475,0.49898,6913.65682854
GHST-EUR,1740614400000,0.48547,0.49355,0.47265,0.47676,1993.31184136
GHST-EUR,1740528000000,0.49061,0.49361,0.46414,0.46414,529.28227482
GHST-EUR,1740441600000,0.45882,0.48177,0.44463,0.47928,25266.03483089
GHST-EUR,1740355200000,0.53589,0.53589,0.46316,0.46827,8761.01033621
GHST-EUR,1740268800000,0.54979,0.54979,0.53496,0.53496,2683.12211552
GHST-EUR,1740182400000,0.51817,0.55271,0.51817,0.55271,45630.40065262
GHST-EUR,1740096000000,0.52446,0.55103,0.51474,0.51474,17621.73931525
GHST-EUR,1740009600000,0.52427,0.529,0.52334,0.529,9408.58088653
GHST-EUR,1739923200000,0.50661,0.53063,0.50661,0.52404,23456.86420947
GHST-EUR,1739836800000,0.53087,0.53087,0.49261,0.50199,80221.49259161
GHST-EUR,1739750400000,0.54072,0.56208,0.52061,0.53436,17427.90171844
GHST-EUR,1739664000000,0.54922,0.56232,0.53781,0.54832,50832.94295918
GHST-EUR,1739577600000,0.558,0.56002,0.54088,0.54766,10428.56359625
GHST-EUR,1739491200000,0.56886,0.57796,0.55485,0.55711,25676.44224976
GHST-EUR,1739404800000,0.59392,0.59392,0.55772,0.5687,10014.4108433
GHST-EUR,1739318400000,0.54898,0.59488,0.54054,0.59265,53050.12166831
GHST-EUR,1739232000000,0.55433,0.60392,0.53464,0.54741,37368.97814414
GHST-EUR,1739145600000,0.5126,0.54944,0.51187,0.54546,51791.46613589
GHST-EUR,1739059200000,0.54935,0.565,0.51186,0.52776,27278.43890156
GHST-EUR,1738972800000,0.50015,0.55383,0.49135,0.54395,44512.20337352
GHST-EUR,1738886400000,0.50037,0.52292,0.48787,0.49612,9431.39750983
GHST-EUR,1738800000000,0.52711,0.52711,0.48,0.49181,16162.84172457
GHST-EUR,1738713600000,0.52878,0.54242,0.51972,0.52608,16357.94244661
GHST-EUR,1738627200000,0.57269,0.57269,0.50915,0.5268,43878.1246167
GHST-EUR,1738540800000,0.60322,0.60322,0.48493,0.56733,199195.12042961
GHST-EUR,1738454400000,0.68093,0.68621,0.59912,0.59912,29679.05087643
GHST-EUR,1738368000000,0.74528,0.75384,0.67297,0.67297,9660.11277538
GHST-EUR,1738281600000,0.74258,0.7673,0.74038,0.74038,5699.60180172
GHST-EUR,1738195200000,0.71224,0.74555,0.70945,0.74445,8892.66821233
GHST-EUR,1738108800000,0.68932,0.71564,0.68681,0.71074,6248.89290043
GHST-EUR,1738022400000,0.72431,0.72951,0.69015,0.69315,4234.08945497
GHST-EUR,1737936000000,0.73816,0.73816,0.67731,0.71514,21128.34674379
GHST-EUR,1737849600000,0.77092,0.77833,0.75785,0.75785,161.37902546
GHST-EUR,1737763200000,0.75197,0.775,0.75,0.76466,3732.11895524
GHST-EUR,1737676800000,0.79708,0.80026,0.75357,0.75357,28300.96003967
GHST-EUR,1737590400000,0.77281,0.80472,0.77143,0.7999,58119.56803375
GHST-EUR,1737504000000,0.79467,0.80227,0.7847,0.78831,1723.53100761
