market,time,open,high,low,close,volume
GLMR-EUR,1741132800000,0.095352,0.10001,0.094708,0.095446,275718.42981306
GLMR-EUR,1741046400000,0.10245,0.10581,0.087686,0.096334,624049.38306235
GLMR-EUR,1740960000000,0.12433,0.12433,0.10608,0.11793,166592.2047505
GLMR-EUR,1740873600000,0.11276,0.1235,0.11108,0.12216,166982.76479073
GLMR-EUR,1740787200000,0.11223,0.11378,0.10904,0.1125,37023.5514622
GLMR-EUR,1740700800000,0.1112,0.11307,0.10521,0.11188,124668.83648128
GLMR-EUR,1740614400000,0.11416,0.11939,0.11306,0.11421,247893.32811593
GLMR-EUR,1740528000000,0.11174,0.11612,0.10907,0.11417,383996.72103869
GLMR-EUR,1740441600000,0.10543,0.11326,0.1,0.11268,179804.54265514
GLMR-EUR,1740355200000,0.12037,0.12055,0.10695,0.10737,722109.26272418
GLMR-EUR,1740268800000,0.1252,0.12528,0.12035,0.121,137027.5774504
GLMR-EUR,1740182400000,0.12267,0.12457,0.12267,0.12387,41746.20767766
GLMR-EUR,1740096000000,0.12645,0.13164,0.12116,0.12273,129790.23838111
GLMR-EUR,1740009600000,0.12455,0.12678,0.1225,0.12656,92624.36757617
GLMR-EUR,1739923200000,0.11975,0.12407,0.11975,0.12245,70566.34858761
GLMR-EUR,1739836800000,0.1274,0.12939,0.11455,0.11932,189036.58554936
GLMR-EUR,1739750400000,0.12351,0.12721,0.1188,0.12668,371064.84627555
GLMR-EUR,1739664000000,0.12307,0.1255,0.12193,0.12279,122136.5021389
GLMR-EUR,1739577600000,0.12785,0.12888,0.12259,0.12336,75011.62446117
GLMR-EUR,1739491200000,0.12676,0.13066,0.12629,0.12714,250613.03843332
GLMR-EUR,1739404800000,0.13432,0.13432,0.12583,0.12755,39773.45494792
GLMR-EUR,1739318400000,0.12658,0.13694,0.12564,0.13472,694749.2910258
GLMR-EUR,1739232000000,0.1294,0.13605,0.12451,0.12738,189622.27836307
GLMR-EUR,1739145600000,0.12419,0.13091,0.12,0.12859,188339.10359343
GLMR-EUR,1739059200000,0.12427,0.12719,0.11939,0.12171,356579.74681189
GLMR-EUR,1738972800000,0.11814,0.1258,0.11676,0.12421,317131.83156649
GLMR-EUR,1738886400000,0.11735,0.12577,0.11516,0.11667,154165.77068007
GLMR-EUR,1738800000000,0.12243,0.12565,0.11563,0.11577,464858.39527447
GLMR-EUR,1738713600000,0.1264,0.1277,0.12108,0.12197,860241.87491455
GLMR-EUR,1738627200000,0.1367,0.1367,0.12202,0.12591,295695.56837012
GLMR-EUR,1738540800000,0.12773,0.13687,0.094237,0.13665,2126536.77628337
GLMR-EUR,1738454400000,0.15291,0.15371,0.12683,0.13185,1495557.72495275
GLMR-EUR,1738368000000,0.16783,0.16978,0.15052,0.15257,726620.60786189
GLMR-EUR,1738281600000,0.16296,0.1691,0.16118,0.16732,298815.11365673
GLMR-EUR,1738195200000,0.15509,0.16555,0.15375,0.16321,202588.64023776
GLMR-EUR,1738108800000,0.15195,0.1582,0.14882,0.15642,283058.51837598
GLMR-EUR,1738022400000,0.1626,0.1655,0.15,0.15182,156712.43549569
GLMR-EUR,1737936000000,0.17332,0.17576,0.14648,0.16159,918838.96189558
GLMR-EUR,1737849600000,0.18074,0.18558,0.17465,0.17465,343993.09375024
GLMR-EUR,1737763200000,0.16918,0.19385,0.16649,0.18032,1560809.38708199
GLMR-EUR,1737676800000,0.17058,0.17787,0.16923,0.16957,72864.99586745
GLMR-EUR,1737590400000,0.17549,0.17645,0.16821,0.17102,186709.82237695
GLMR-EUR,1737504000000,0.17745,0.1796,0.17481,0.17629,127244.69525119
GLMR-EUR,1737417600000,0.17063,0.18259,0.16633,0.1756,526788.75433412
GLMR-EUR,1737331200000,0.1807,0.19398,0.169,0.1704,1388288.54745514
GLMR-EUR,1737244800000,0.20668,0.20715,0.18039,0.1832,1030903.01571903
GLMR-EUR,1737158400000,0.22562,0.22562,0.20126,0.20635,709506.65574829
GLMR-EUR,1737072000000,0.21392,0.22796,0.21392,0.22603,778764.256523
GLMR-EUR,1736985600000,0.22015,0.22175,0.20957,0.21252,854216.81080988
