market,time,open,high,low,close,volume
GMX-EUR,1741132800000,14.98,15.299,14.58,14.782,2841.74425487
GMX-EUR,1741046400000,14.319,15.338,13.864,15.223,10909.98511848
GMX-EUR,1740960000000,17.956,17.962,14.868,14.947,7117.31149254
GMX-EUR,1740873600000,16.864,18.576,16.659,18.573,4294.94050041
GMX-EUR,1740787200000,16.738,17.663,16.398,16.652,2171.62810673
GMX-EUR,1740700800000,17.433,17.433,16.061,17.253,2153.2146085
GMX-EUR,1740614400000,17.488,17.784,17.26,17.35,850.85456232
GMX-EUR,1740528000000,17.205,17.704,16.675,17.362,1368.81606543
GMX-EUR,1740441600000,17.537,17.537,16,17.473,17171.23726702
GMX-EUR,1740355200000,18.845,18.845,17.246,17.389,3972.20586025
GMX-EUR,1740268800000,18.903,19.207,18.683,18.73,720.80782711
GMX-EUR,1740182400000,18.4,18.94,18.37,18.933,1270.67372928
GMX-EUR,1740096000000,18.937,19.671,18.285,18.523,2088.03582973
GMX-EUR,1740009600000,18.774,19.053,18.296,18.637,1901.29381967
GMX-EUR,1739923200000,18.83,18.973,18.703,18.886,1882.97372847
GMX-EUR,1739836800000,19.014,19.014,18.111,18.624,1477.17020995
GMX-EUR,1739750400000,19.588,20.342,18.801,19.011,2284.52230389
GMX-EUR,1739664000000,19.286,19.888,19.028,19.77,1054.72435644
GMX-EUR,1739577600000,19.625,19.625,18.883,19.18,1619.24201218
GMX-EUR,1739491200000,18.765,20.163,18.689,19.373,5790.34349246
GMX-EUR,1739404800000,19.258,19.657,18.567,18.728,9560.88779759
GMX-EUR,1739318400000,21.826,23.391,17.79,19.222,23027.85502261
GMX-EUR,1739232000000,23.523,25.269,22.005,22.186,5536.72088455
GMX-EUR,1739145600000,22.53,23.938,22.008,23.53,6290.9599668
GMX-EUR,1739059200000,19.317,24.96,19.317,22.358,40496.14480229
GMX-EUR,1738972800000,16.422,20.095,16.422,19.408,27701.52141746
GMX-EUR,1738886400000,16.077,17.065,16,16,2530.33993363
GMX-EUR,1738800000000,16.32,16.816,15.85,15.85,1489.6471913
GMX-EUR,1738713600000,16.309,16.59,15.758,16.458,4402.79336664
GMX-EUR,1738627200000,18.183,18.183,15.85,16.244,10760.45344226
GMX-EUR,1738540800000,17.9,18.432,13.621,18.231,11087.26998811
GMX-EUR,1738454400000,18.312,18.562,16.304,17.716,11695.43379623
GMX-EUR,1738368000000,20.723,20.723,17.7,17.936,2983.95669391
GMX-EUR,1738281600000,20.383,21.491,20.349,20.373,1512.96651241
GMX-EUR,1738195200000,19.828,20.797,19.828,20.736,682.08362312
GMX-EUR,1738108800000,19.073,20.039,19.073,19.983,40.36199737
GMX-EUR,1738022400000,20.401,20.664,18.756,18.773,1058.39275316
GMX-EUR,1737936000000,20.86,21.094,18.652,20.14,6508.41215515
GMX-EUR,1737849600000,21.157,22.001,21.057,21.057,502.14494715
GMX-EUR,1737763200000,20.9,21.386,20.785,21.177,522.350234
GMX-EUR,1737676800000,21.782,21.993,21,21,2789.3269093
GMX-EUR,1737590400000,21.659,21.743,21,21.289,1158.6655016
GMX-EUR,1737504000000,22.468,22.708,21.595,21.658,618.27454473
GMX-EUR,1737417600000,21.585,22.768,21.03,22.558,1037.16734375
GMX-EUR,1737331200000,22.68,23.899,21.559,21.867,3680.7130075
GMX-EUR,1737244800000,23.612,24.18,21.843,22.641,4551.62953509
GMX-EUR,1737158400000,25.875,26.026,23.13,23.289,2664.66901723
GMX-EUR,1737072000000,23.963,26.085,23.963,25.803,633.24383714
GMX-EUR,1736985600000,23.986,24.183,23.1,23.667,3698.80350946
GMX-EUR,1736899200000,22.996,24.475,22.187,24.246,3212.14818616
GMX-EUR,1736812800000,23.282,23.728,22.736,22.965,1100.98214312
GMX-EUR,1736726400000,23,23.191,21.839,23.142,1312.95537563
GMX-EUR,1736640000000,24.21,24.21,23.48,23.48,108.8744375
GMX-EUR,1736553600000,24.528,24.532,23.812,24.043,1797.89244835
GMX-EUR,1736467200000,23.061,24.77,22.838,24.362,1953.81139393
GMX-EUR,1736380800000,23.82,23.833,22.494,22.931,833.57809447
GMX-EUR,1736294400000,24.535,24.937,23.057,23.628,3766.37306395
GMX-EUR,1736208000000,27.565,27.865,24.945,25.006,3408.88589052
GMX-EUR,1736121600000,28.742,29.06,27.646,27.646,499.04813004
GMX-EUR,1736035200000,28.98,29.032,28.211,28.837,845.63478671
GMX-EUR,1735948800000,29.019,29.11,28.32,29.11,1529.90240722
GMX-EUR,1735862400000,27.497,29.112,26.892,29.021,2916.43839683
GMX-EUR,1735776000000,26.417,27.882,26.417,27.448,1792.69321938
GMX-EUR,1735689600000,26.294,26.388,25.631,26.331,1589.15200246
GMX-EUR,1735603200000,26.299,27.152,26.018,26.108,1674.62800494
GMX-EUR,1735516800000,27.178,27.399,25.838,26.259,2260.32719449
GMX-EUR,1735430400000,27.42,27.735,26.449,26.699,6058.93947184
GMX-EUR,1735344000000,27.315,27.775,26.643,27.403,2651.53007781
GMX-EUR,1735257600000,26.71,28.633,26.71,27.144,2373.22669565
GMX-EUR,1735171200000,28.26,28.26,26.389,26.465,1546.64374514
GMX-EUR,1735084800000,28.846,29.52,28.27,28.497,192.90596542
GMX-EUR,1734998400000,28.221,29.081,27.599,28.884,886.37223477
GMX-EUR,1734912000000,25.995,28.533,25.995,28.243,1568.96820715
GMX-EUR,1734825600000,27.297,27.473,25.526,26.182,4421.73939285
GMX-EUR,1734739200000,28.335,29.935,26.679,26.926,6495.35848353
GMX-EUR,1734652800000,26.621,28.723,23.464,28.537,27657.22597284
GMX-EUR,1734566400000,30.065,30.187,26.166,27,16534.74956245
GMX-EUR,1734480000000,33.323,33.323,29.405,30.233,7587.95622735
GMX-EUR,1734393600000,35,35.402,32.781,33.079,3170.42927623
GMX-EUR,1734307200000,36.315,37.207,34.56,35.424,5997.48301532
