market,time,open,high,low,close,volume
GRASS-EUR,1741132800000,2.1709,2.3865,2.1093,2.2199,239377.50258621
GRASS-EUR,1741046400000,2.1829,2.4002,2.1228,2.3433,488443.50137522
GRASS-EUR,1740960000000,2.583,2.6641,2.2456,2.294,250935.51197963
GRASS-EUR,1740873600000,2.3844,2.6603,2.2757,2.404,426811.05528787
GRASS-EUR,1740787200000,2.1488,2.4258,2.06,2.2826,465469.84454409
GRASS-EUR,1740700800000,1.8617,2.1545,1.7496,2.1099,491017.66469937
GRASS-EUR,1740614400000,1.7151,1.9798,1.7052,1.8654,508839.85336393
GRASS-EUR,1740528000000,1.6972,1.7614,1.5797,1.6934,153332.71822116
GRASS-EUR,1740441600000,1.6834,1.7564,1.5595,1.701,171228.68022755
GRASS-EUR,1740355200000,1.8398,1.8992,1.6715,1.6857,214805.95796157
GRASS-EUR,1740268800000,2.0683,2.1116,1.8306,1.855,124491.02614543
GRASS-EUR,1740182400000,1.943,2.1699,1.8865,2.0658,172160.87212334
GRASS-EUR,1740096000000,1.9225,2.1008,1.728,1.9279,673558.04946202
GRASS-EUR,1740009600000,1.6896,1.9219,1.683,1.8987,253828.72575638
GRASS-EUR,1739923200000,1.6141,1.7431,1.5721,1.6764,246779.08447163
GRASS-EUR,1739836800000,1.5742,1.625,1.47,1.6102,263540.31132013
GRASS-EUR,1739750400000,1.5576,1.6013,1.4638,1.5633,256898.9552559
GRASS-EUR,1739664000000,1.5585,1.5823,1.5115,1.5637,103282.01061116
GRASS-EUR,1739577600000,1.7501,1.7713,1.4363,1.543,337926.44001424
GRASS-EUR,1739491200000,1.5018,1.7754,1.4799,1.7681,325543.89358101
GRASS-EUR,1739404800000,1.4693,1.5735,1.4689,1.5109,204033.06236481
GRASS-EUR,1739318400000,1.493,1.5505,1.3748,1.4851,308351.92585652
GRASS-EUR,1739232000000,1.4297,1.5175,1.3847,1.4978,283433.00005006
GRASS-EUR,1739145600000,1.3763,1.6518,1.3641,1.4326,297265.08604718
