market,time,open,high,low,close,volume
HIFI-EUR,1741132800000,0.34046,0.34184,0.33286,0.33293,5446.49100795
HIFI-EUR,1741046400000,0.35289,0.35289,0.32306,0.34233,30047.88787109
HIFI-EUR,1740960000000,0.36021,0.36823,0.34792,0.36823,2846.34999744
HIFI-EUR,1740873600000,0.38027,0.41025,0.38027,0.41025,18445.94495254
HIFI-EUR,1740787200000,0.37418,0.38878,0.37418,0.38397,2847.43440322
HIFI-EUR,1740700800000,0.36918,0.38602,0.35449,0.38602,22858.4629974
HIFI-EUR,1740614400000,0.37275,0.39292,0.37275,0.37718,1965.59581292
HIFI-EUR,1740528000000,0.38212,0.38266,0.36486,0.37536,3333.63585331
HIFI-EUR,1740441600000,0.37492,0.38606,0.35836,0.37988,32116.54416788
HIFI-EUR,1740355200000,0.4139,0.4139,0.37888,0.37888,11891.23076786
HIFI-EUR,1740268800000,0.43623,0.44535,0.43053,0.43401,2727.5355931
HIFI-EUR,1740182400000,0.41646,0.43653,0.41646,0.43653,1688.20357207
HIFI-EUR,1740096000000,0.4214,0.43997,0.40935,0.40935,8848.94605003
HIFI-EUR,1740009600000,0.42038,0.42421,0.41726,0.42249,5587.08611912
HIFI-EUR,1739923200000,0.42203,0.42203,0.41456,0.42148,17002.15108155
HIFI-EUR,1739836800000,0.44144,0.44848,0.39298,0.40589,45481.70355969
HIFI-EUR,1739750400000,0.42133,0.45521,0.42132,0.43171,28896.27369199
HIFI-EUR,1739664000000,0.41586,0.4369,0.41403,0.41946,60027.0257358
HIFI-EUR,1739577600000,0.42225,0.42225,0.41015,0.41015,1716.26635322
HIFI-EUR,1739491200000,0.42424,0.43031,0.42213,0.42974,1135.77342244
HIFI-EUR,1739404800000,0.43663,0.43664,0.41334,0.41505,4970.66572296
HIFI-EUR,1739318400000,0.40424,0.43657,0.40418,0.43657,27802.11807543
HIFI-EUR,1739232000000,0.42662,0.43583,0.41334,0.4144,27496.25322931
HIFI-EUR,1739145600000,0.41437,0.42142,0.41437,0.42142,5240.86582591
HIFI-EUR,1739059200000,0.42393,0.42862,0.40665,0.41682,8343.97949853
HIFI-EUR,1738972800000,0.39497,0.41391,0.39497,0.41244,168.89367078
HIFI-EUR,1738886400000,0.38925,0.40906,0.3781,0.3781,27345.19248533
HIFI-EUR,1738800000000,0.40449,0.4103,0.38402,0.38507,24353.96115002
HIFI-EUR,1738713600000,0.41717,0.41717,0.40215,0.40215,10316.7407156
HIFI-EUR,1738627200000,0.42498,0.4276,0.39898,0.4111,30449.77083118
HIFI-EUR,1738540800000,0.40584,0.43583,0.33461,0.43583,151321.57234599
HIFI-EUR,1738454400000,0.47707,0.47986,0.40914,0.42141,38348.02155248
HIFI-EUR,1738368000000,0.5144,0.5144,0.47905,0.47905,671.28809287
HIFI-EUR,1738281600000,0.5219,0.52962,0.5219,0.52395,4567.6392203
HIFI-EUR,1738195200000,0.49982,0.52122,0.49982,0.51712,395.00498705
HIFI-EUR,1738108800000,0.50353,0.50353,0.49143,0.49143,1667.12983748
HIFI-EUR,1738022400000,0.50789,0.51303,0.48155,0.48155,1155.76208843
HIFI-EUR,1737936000000,0.52203,0.52203,0.48267,0.50892,25965.24361577
HIFI-EUR,1737849600000,0.54719,0.569,0.53735,0.5422,126090.88175142
HIFI-EUR,1737763200000,0.50155,0.54339,0.50155,0.54265,47504.73907513
HIFI-EUR,1737676800000,0.50242,0.52911,0.50242,0.50421,2903.99754922
HIFI-EUR,1737590400000,0.51235,0.52517,0.50659,0.5106,6638.56457415
HIFI-EUR,1737504000000,0.53466,0.54044,0.51983,0.51983,11692.29050138
HIFI-EUR,1737417600000,0.52374,0.54677,0.5063,0.54063,26452.79539005
HIFI-EUR,1737331200000,0.5198,0.56097,0.50889,0.52934,80438.14440584
HIFI-EUR,1737244800000,0.56581,0.57694,0.51766,0.52148,98083.3384009
HIFI-EUR,1737158400000,0.60674,0.62081,0.55805,0.56234,7977.93540506
HIFI-EUR,1737072000000,0.59149,0.61614,0.59149,0.61614,55236.75052286
HIFI-EUR,1736985600000,0.61694,0.61704,0.58512,0.59184,20848.78115427
HIFI-EUR,1736899200000,0.60868,0.62919,0.58953,0.62126,71858.42674612
HIFI-EUR,1736812800000,0.58314,0.65529,0.5794,0.59705,169453.55735146
HIFI-EUR,1736726400000,0.61011,0.64629,0.54461,0.5937,63232.3882726
HIFI-EUR,1736640000000,0.64511,0.65217,0.6087,0.61139,17475.56365402
HIFI-EUR,1736553600000,0.60744,0.67917,0.60744,0.65051,246736.47028579
HIFI-EUR,1736467200000,0.6326,0.65,0.59191,0.60353,117586.77382526
HIFI-EUR,1736380800000,0.60748,0.65528,0.5856,0.63491,319919.58743892
HIFI-EUR,1736294400000,0.5487,0.59782,0.5271,0.59782,35008.50210469
HIFI-EUR,1736208000000,0.60978,0.63901,0.55392,0.5559,86879.88275907
HIFI-EUR,1736121600000,0.59345,0.61618,0.59295,0.59692,58960.27875488
HIFI-EUR,1736035200000,0.57913,0.58607,0.5698,0.58473,10469.42839115
HIFI-EUR,1735948800000,0.55776,0.58022,0.55776,0.57913,1297.46441746
HIFI-EUR,1735862400000,0.53734,0.56439,0.53007,0.56258,16134.61786264
HIFI-EUR,1735776000000,0.525,0.54431,0.525,0.5409,14909.72228354
HIFI-EUR,1735689600000,0.50839,0.51485,0.49602,0.51485,626.50905592
HIFI-EUR,1735603200000,0.51482,0.52794,0.50823,0.51251,4215.54373751
HIFI-EUR,1735516800000,0.54686,0.5561,0.51827,0.53066,72549.25837692
HIFI-EUR,1735430400000,0.53966,0.56558,0.52267,0.52267,5206.17837109
HIFI-EUR,1735344000000,0.5126,0.54245,0.5126,0.53878,15909.24397027
HIFI-EUR,1735257600000,0.52045,0.52746,0.50951,0.51373,3954.70763282
HIFI-EUR,1735171200000,0.55203,0.55203,0.5085,0.51599,15908.12293502
HIFI-EUR,1735084800000,0.55037,0.55303,0.5462,0.55215,11150.92371773
HIFI-EUR,1734998400000,0.5422,0.55283,0.52763,0.5505,106843.80716238
HIFI-EUR,1734912000000,0.50004,0.53707,0.49656,0.53707,4740.507415
HIFI-EUR,1734825600000,0.51152,0.525,0.49087,0.51433,44437.93470157
HIFI-EUR,1734739200000,0.5119,0.52754,0.4832,0.4832,8853.17546517
HIFI-EUR,1734652800000,0.48215,0.51001,0.43676,0.51001,72283.0218237
HIFI-EUR,1734566400000,0.51858,0.52636,0.47484,0.49334,79734.31637482
HIFI-EUR,1734480000000,0.56869,0.56869,0.52142,0.52142,13094.61735687
HIFI-EUR,1734393600000,0.60036,0.60532,0.57692,0.57947,15671.02171222
HIFI-EUR,1734307200000,0.63879,0.643,0.59451,0.61234,41810.13482507
HIFI-EUR,1734220800000,0.60982,0.62987,0.59935,0.62737,11130.96001816
HIFI-EUR,1734134400000,0.64878,0.64878,0.6017,0.61353,9857.87177014
HIFI-EUR,1734048000000,0.64015,0.6538,0.6345,0.65013,16673.68114292
HIFI-EUR,1733961600000,0.62799,0.67349,0.62799,0.65631,21848.94816889
HIFI-EUR,1733875200000,0.58291,0.64215,0.58291,0.64215,6660.60408284
HIFI-EUR,1733788800000,0.6219,0.62191,0.54051,0.59438,130727.55911141
HIFI-EUR,1733702400000,0.75886,0.77984,0.55392,0.627,95082.61897541
HIFI-EUR,1733616000000,0.77562,0.79588,0.74422,0.76418,50220.96614243
HIFI-EUR,1733529600000,0.76296,0.76296,0.73869,0.73869,22029.84954604
HIFI-EUR,1733443200000,0.77942,0.78014,0.71785,0.75265,10578.61506307
