market,time,open,high,low,close,volume
HIGH-EUR,1741132800000,0.70433,0.71429,0.67775,0.708,33563.6200194
HIGH-EUR,1741046400000,0.70277,0.72618,0.66445,0.698,141248.40975832
HIGH-EUR,1740960000000,0.72163,0.8648,0.7147,0.75066,57655.92883236
HIGH-EUR,1740873600000,0.85,0.8764,0.79491,0.86291,58813.69082158
HIGH-EUR,1740787200000,0.8223,0.8257,0.78226,0.80028,11535.70476018
HIGH-EUR,1740700800000,0.82697,0.83123,0.77007,0.82057,42139.88140391
HIGH-EUR,1740614400000,0.83654,0.85722,0.82814,0.84328,9206.18116694
HIGH-EUR,1740528000000,0.84539,0.84961,0.80714,0.84,31057.96635648
HIGH-EUR,1740441600000,0.78842,0.84961,0.7639,0.8429,57795.35021441
HIGH-EUR,1740355200000,0.91619,0.9197,0.78541,0.80156,71139.85215933
HIGH-EUR,1740268800000,0.94051,0.96241,0.92109,0.92996,29117.10562219
HIGH-EUR,1740182400000,0.88988,0.94147,0.88988,0.93412,5089.62064573
HIGH-EUR,1740096000000,0.90537,0.95032,0.87801,0.88952,14205.09986614
HIGH-EUR,1740009600000,0.90726,0.91603,0.88965,0.90483,14464.09824267
HIGH-EUR,1739923200000,0.88988,0.91641,0.88439,0.89855,4820.77759756
HIGH-EUR,1739836800000,0.90264,0.9171,0.84271,0.88992,6155.99842971
HIGH-EUR,1739750400000,0.9451,0.95142,0.88804,0.90226,15995.93826713
HIGH-EUR,1739664000000,0.90965,1.0064,0.90965,0.94964,120121.90995937
HIGH-EUR,1739577600000,0.93084,0.93378,0.90692,0.91795,3058.53783542
HIGH-EUR,1739491200000,0.94125,0.95859,0.9198,0.93647,130840.21595382
HIGH-EUR,1739404800000,0.9433,0.95717,0.91326,0.94733,28598.76621316
HIGH-EUR,1739318400000,0.87486,0.95346,0.85085,0.94547,63163.50605912
HIGH-EUR,1739232000000,0.89485,0.93569,0.85879,0.87483,18325.50805569
HIGH-EUR,1739145600000,0.86486,0.89219,0.83499,0.88982,47715.01187694
HIGH-EUR,1739059200000,0.87432,0.89544,0.8242,0.86515,22741.07510787
HIGH-EUR,1738972800000,0.82754,0.89565,0.81366,0.87589,50345.25394776
HIGH-EUR,1738886400000,0.79831,0.8603,0.78883,0.79857,67845.99957136
HIGH-EUR,1738800000000,0.84715,0.86186,0.7815,0.7815,79244.1207323
HIGH-EUR,1738713600000,0.85606,0.89494,0.84036,0.84903,41301.57246169
HIGH-EUR,1738627200000,0.92489,0.93019,0.81923,0.84177,78208.51420629
HIGH-EUR,1738540800000,0.9782,0.9782,0.75104,0.95102,479305.7448119
HIGH-EUR,1738454400000,1.1058,1.1755,0.92739,0.9813,215738.31039736
HIGH-EUR,1738368000000,1.2136,1.2596,1.0878,1.0997,97733.76200728
HIGH-EUR,1738281600000,1.1432,1.2243,1.1326,1.2132,148502.2802273
HIGH-EUR,1738195200000,1.0926,1.1535,1.0849,1.1457,15837.22966777
HIGH-EUR,1738108800000,1.0499,1.1271,1.0499,1.0997,9034.80301279
HIGH-EUR,1738022400000,1.1,1.1234,1.0384,1.0517,24531.37182145
HIGH-EUR,1737936000000,1.1118,1.1327,1.0249,1.1096,32944.75080166
HIGH-EUR,1737849600000,1.1476,1.1665,1.118,1.118,53285.2818848
HIGH-EUR,1737763200000,1.1283,1.1644,1.1154,1.1437,36006.26471432
HIGH-EUR,1737676800000,1.18,1.204,1.1229,1.1254,35246.28944987
HIGH-EUR,1737590400000,1.1796,1.1958,1.1392,1.18,42063.83770135
HIGH-EUR,1737504000000,1.226,1.2285,1.1835,1.1835,21879.50784474
HIGH-EUR,1737417600000,1.1682,1.2399,1.117,1.213,92830.66373834
HIGH-EUR,1737331200000,1.2095,1.2969,1.1337,1.1695,231581.4911359
HIGH-EUR,1737244800000,1.3384,1.3477,1.1952,1.2283,118646.66247369
HIGH-EUR,1737158400000,1.4604,1.4604,1.2964,1.33,25253.17622596
HIGH-EUR,1737072000000,1.3595,1.464,1.3595,1.4595,15961.52726513
HIGH-EUR,1736985600000,1.402,1.402,1.3337,1.3516,60709.55822209
HIGH-EUR,1736899200000,1.3357,1.41,1.2957,1.41,26835.20418114
HIGH-EUR,1736812800000,1.2694,1.3325,1.2694,1.3283,12444.32803858
HIGH-EUR,1736726400000,1.3635,1.3635,1.1975,1.2707,42557.77676549
HIGH-EUR,1736640000000,1.3481,1.3538,1.3163,1.3163,5809.27457957
HIGH-EUR,1736553600000,1.3539,1.3728,1.3314,1.3524,4474.0093166
HIGH-EUR,1736467200000,1.3166,1.3662,1.3061,1.3593,11579.62354038
HIGH-EUR,1736380800000,1.3304,1.3482,1.275,1.3003,19376.24012712
HIGH-EUR,1736294400000,1.3717,1.3886,1.25,1.3337,27009.08432901
HIGH-EUR,1736208000000,1.5292,1.5292,1.3682,1.3682,72989.75161564
HIGH-EUR,1736121600000,1.5255,1.574,1.5123,1.5255,14854.87346095
HIGH-EUR,1736035200000,1.5388,1.55,1.5013,1.5427,10441.1868629
HIGH-EUR,1735948800000,1.5369,1.5751,1.51,1.53,19847.66115189
HIGH-EUR,1735862400000,1.4295,1.5362,1.4068,1.5296,47893.39570425
HIGH-EUR,1735776000000,1.3674,1.451,1.3674,1.4299,11931.54665024
HIGH-EUR,1735689600000,1.361,1.377,1.32,1.3617,17630.2314222
HIGH-EUR,1735603200000,1.3524,1.4,1.3277,1.3468,43095.27066992
HIGH-EUR,1735516800000,1.3676,1.4147,1.3268,1.3563,59388.94381674
HIGH-EUR,1735430400000,1.4367,1.4367,1.3662,1.3724,6481.35657888
HIGH-EUR,1735344000000,1.4067,1.4769,1.3935,1.4534,22265.6299992
HIGH-EUR,1735257600000,1.367,1.4706,1.3563,1.401,37771.05129859
HIGH-EUR,1735171200000,1.4985,1.4985,1.3742,1.3742,38017.00106737
HIGH-EUR,1735084800000,1.5166,1.5431,1.4613,1.4866,21609.67782326
HIGH-EUR,1734998400000,1.4675,1.5456,1.438,1.5199,37924.71636103
HIGH-EUR,1734912000000,1.3556,1.5148,1.3556,1.483,53943.31172903
