market,time,open,high,low,close,volume
HMSTR-EUR,1741132800000,0.0019404,0.0020212,0.0019075,0.0019536,53151167.15897358
HMSTR-EUR,1741046400000,0.001912,0.0020915,0.0018757,0.0020075,252682851.7889711
HMSTR-EUR,1740960000000,0.0020303,0.0020886,0.0018931,0.0019202,45189864.3237279
HMSTR-EUR,1740873600000,0.0017867,0.002046,0.0017867,0.0020225,119304297.56276762
HMSTR-EUR,1740787200000,0.0018609,0.0019002,0.0017698,0.0017962,67359013.68731633
HMSTR-EUR,1740700800000,0.001783,0.0020067,0.0016696,0.0018782,349197419.0489781
HMSTR-EUR,1740614400000,0.0016555,0.0017797,0.0016365,0.0017688,39436168.67415956
HMSTR-EUR,1740528000000,0.0016363,0.001742,0.001582,0.0016598,114051951.56404972
HMSTR-EUR,1740441600000,0.0016214,0.0017648,0.0015602,0.0016256,158546954.21929535
HMSTR-EUR,1740355200000,0.0015885,0.0016866,0.0015171,0.0016124,104694529.8235598
HMSTR-EUR,1740268800000,0.0016614,0.0016631,0.00155,0.0015809,24225145.48146124
HMSTR-EUR,1740182400000,0.0015749,0.0016705,0.0015749,0.0016664,16629396.75901299
HMSTR-EUR,1740096000000,0.0015711,0.0016634,0.0015429,0.0015737,65028235.271765
HMSTR-EUR,1740009600000,0.0015272,0.0015844,0.0015269,0.0015844,17919879.82493533
HMSTR-EUR,1739923200000,0.0015041,0.0015631,0.0014854,0.0015349,45220600.01502857
HMSTR-EUR,1739836800000,0.0015773,0.0015789,0.0014053,0.0014834,38668496.71651762
HMSTR-EUR,1739750400000,0.0016516,0.001668,0.0015473,0.0015972,18243753.64815876
HMSTR-EUR,1739664000000,0.0016066,0.0016532,0.0015905,0.0016123,7924883.7454599
HMSTR-EUR,1739577600000,0.0016656,0.0017089,0.0015937,0.0015983,17232989.71491804
HMSTR-EUR,1739491200000,0.0016464,0.001749,0.0016382,0.0016721,34659625.21233764
HMSTR-EUR,1739404800000,0.0017086,0.0017286,0.0016422,0.0016589,21006236.99492324
HMSTR-EUR,1739318400000,0.0015986,0.0017336,0.0015664,0.0017186,14834562.66150032
HMSTR-EUR,1739232000000,0.0016428,0.0017473,0.00158,0.0015997,12950669.10754998
HMSTR-EUR,1739145600000,0.0016588,0.0016798,0.0015637,0.0016413,35733573.99935263
HMSTR-EUR,1739059200000,0.0016649,0.0016992,0.0015249,0.0016269,26088014.40300521
HMSTR-EUR,1738972800000,0.0015519,0.0016967,0.0015424,0.0016779,14946091.32253229
HMSTR-EUR,1738886400000,0.0014984,0.0016312,0.0014443,0.0015103,36811480.1124187
HMSTR-EUR,1738800000000,0.0016639,0.0016936,0.0014524,0.0014835,61936009.942941
HMSTR-EUR,1738713600000,0.0017284,0.0017447,0.0016213,0.0016573,28196163.12723034
HMSTR-EUR,1738627200000,0.0019326,0.0019326,0.0016445,0.0017305,63572707.6876494
HMSTR-EUR,1738540800000,0.0019611,0.0019611,0.001464,0.001903,136967677.47620624
HMSTR-EUR,1738454400000,0.0023686,0.0023894,0.0019368,0.0019798,81488593.36929394
HMSTR-EUR,1738368000000,0.0026063,0.0026435,0.0023407,0.0023763,26205760.54790421
HMSTR-EUR,1738281600000,0.0025905,0.002705,0.0025702,0.0026033,26801466.29615494
HMSTR-EUR,1738195200000,0.0024701,0.0026145,0.0024619,0.0026097,9889511.55474673
HMSTR-EUR,1738108800000,0.002461,0.0025456,0.0024412,0.0024877,5127314.2118338
HMSTR-EUR,1738022400000,0.0025558,0.0025558,0.0023874,0.0023923,4119309.52071971
HMSTR-EUR,1737936000000,0.0025847,0.0025847,0.0022722,0.0025214,48074168.62882972
HMSTR-EUR,1737849600000,0.0026715,0.0026882,0.0026311,0.0026311,31328400.65940135
HMSTR-EUR,1737763200000,0.0026309,0.0026835,0.0026,0.0026512,22780150.89563454
HMSTR-EUR,1737676800000,0.0027512,0.0027786,0.0026225,0.0026225,2924615.98610576
HMSTR-EUR,1737590400000,0.0027999,0.0028089,0.0027061,0.0027696,23434627.9463869
HMSTR-EUR,1737504000000,0.0028503,0.0028809,0.0028011,0.0028042,5476465.99421565
HMSTR-EUR,1737417600000,0.0027855,0.0029011,0.002713,0.0028419,8064717.57069851
HMSTR-EUR,1737331200000,0.002726,0.0029449,0.00266,0.0027871,76870945.21523294
HMSTR-EUR,1737244800000,0.0029713,0.0030325,0.002706,0.0027329,77193985.32512107
HMSTR-EUR,1737158400000,0.0033121,0.0033335,0.0029197,0.0029847,40058351.48178598
HMSTR-EUR,1737072000000,0.0031089,0.0033189,0.0031089,0.0033163,14047402.42240108
HMSTR-EUR,1736985600000,0.0032193,0.0032193,0.0030503,0.0031017,15455984.88697241
HMSTR-EUR,1736899200000,0.0031336,0.0032429,0.0030246,0.0032429,15337516.05669645
HMSTR-EUR,1736812800000,0.0030983,0.003185,0.0030522,0.0031475,27999160.86678918
HMSTR-EUR,1736726400000,0.0028948,0.0031815,0.002786,0.0030946,195958418.73466694
HMSTR-EUR,1736640000000,0.0028801,0.0029514,0.0028556,0.0029005,11125604.93391455
HMSTR-EUR,1736553600000,0.0029118,0.0029399,0.0028467,0.0028827,14610150.43820784
HMSTR-EUR,1736467200000,0.0028451,0.0029399,0.002786,0.0029399,16640688.86952452
HMSTR-EUR,1736380800000,0.0027483,0.0029362,0.0027147,0.0028418,49761334.69207592
HMSTR-EUR,1736294400000,0.0028797,0.0028935,0.0025753,0.0027143,30888853.14518365
HMSTR-EUR,1736208000000,0.0032852,0.003296,0.0028675,0.0028675,23847453.10985986
HMSTR-EUR,1736121600000,0.0032517,0.00343,0.0032274,0.0032663,23256972.00958838
HMSTR-EUR,1736035200000,0.003252,0.0033007,0.0031807,0.0032801,10426779.12952415
HMSTR-EUR,1735948800000,0.0032159,0.0033694,0.0031949,0.0032376,39710202.30594758
HMSTR-EUR,1735862400000,0.0031179,0.00327,0.0030032,0.0032451,19576941.12708837
HMSTR-EUR,1735776000000,0.002999,0.0032124,0.0029897,0.003103,33951974.03792465
HMSTR-EUR,1735689600000,0.0028899,0.002985,0.0027835,0.002985,9925342.16094342
HMSTR-EUR,1735603200000,0.0028763,0.0029236,0.0027618,0.0028451,17110486.21141624
HMSTR-EUR,1735516800000,0.0028363,0.003027,0.0027895,0.0028642,47062627.7709197
HMSTR-EUR,1735430400000,0.0028758,0.0029271,0.0027786,0.002804,23115943.59573812
HMSTR-EUR,1735344000000,0.0028288,0.0029311,0.0027423,0.0028952,8975455.58680886
HMSTR-EUR,1735257600000,0.002824,0.00301,0.0027798,0.0028001,21179333.96062594
HMSTR-EUR,1735171200000,0.0030016,0.0030016,0.0027592,0.0027987,24203228.13953675
HMSTR-EUR,1735084800000,0.003052,0.0031118,0.0029428,0.0029775,58752934.73651224
HMSTR-EUR,1734998400000,0.0028992,0.0031297,0.0028385,0.0030676,155883950.08701128
HMSTR-EUR,1734912000000,0.0024991,0.0029219,0.0024919,0.0028864,28288149.11910819
HMSTR-EUR,1734825600000,0.0025514,0.0026293,0.0024599,0.0025429,12851222.84817882
HMSTR-EUR,1734739200000,0.0026657,0.0028236,0.0024718,0.0025155,64706704.18389588
HMSTR-EUR,1734652800000,0.0024415,0.0026786,0.0021798,0.0026718,162570572.99162436
HMSTR-EUR,1734566400000,0.002697,0.0027555,0.002331,0.0024519,161234689.27319416
HMSTR-EUR,1734480000000,0.0029248,0.0029248,0.0026126,0.0027146,92451650.88846238
HMSTR-EUR,1734393600000,0.0031599,0.0031902,0.0028781,0.0029074,19433031.67949352
HMSTR-EUR,1734307200000,0.0033209,0.003361,0.0031044,0.0031869,40927132.24971268
