market,time,open,high,low,close,volume
HOT-EUR,1741132800000,0.0011794,0.0012122,0.0011444,0.0011693,62499294.32351749
HOT-EUR,1741046400000,0.0012203,0.0012367,0.0011,0.001173,237980017.99003538
HOT-EUR,1740960000000,0.0013587,0.0014266,0.0012108,0.0012296,225551074.1843598
HOT-EUR,1740873600000,0.0013185,0.0014276,0.0013001,0.0014194,119674700.97707406
HOT-EUR,1740787200000,0.0013601,0.0013706,0.0012922,0.0013172,17837621.15868296
HOT-EUR,1740700800000,0.0013463,0.0013621,0.001246,0.0013549,157345580.94325173
HOT-EUR,1740614400000,0.0013278,0.0013809,0.0013089,0.0013392,103708973.34120037
HOT-EUR,1740528000000,0.001336,0.0013678,0.0012826,0.001341,94080055.12550887
HOT-EUR,1740441600000,0.0013374,0.0013684,0.0012584,0.0013367,189506257.68499038
HOT-EUR,1740355200000,0.0014762,0.0014775,0.0013361,0.0013492,56715401.08146521
HOT-EUR,1740268800000,0.001518,0.0015275,0.0014707,0.0014984,11559342.44343954
HOT-EUR,1740182400000,0.0014707,0.0015274,0.0014707,0.0015162,31962683.09156895
HOT-EUR,1740096000000,0.0015363,0.0016063,0.001444,0.0014747,89605487.44354533
HOT-EUR,1740009600000,0.0015135,0.001563,0.0015079,0.0015382,143755231.22950435
HOT-EUR,1739923200000,0.0014709,0.0015879,0.0014709,0.001514,39174980.13474018
HOT-EUR,1739836800000,0.0015405,0.0015408,0.0014064,0.0014703,57083586.38837533
HOT-EUR,1739750400000,0.0015585,0.0015959,0.0015076,0.0015298,50771271.12005088
HOT-EUR,1739664000000,0.0015933,0.0015965,0.001523,0.0015342,19831697.33436785
HOT-EUR,1739577600000,0.0016417,0.0016417,0.001573,0.0015839,22621744.18879221
HOT-EUR,1739491200000,0.001629,0.0016847,0.0016075,0.0016401,61420929.81175475
HOT-EUR,1739404800000,0.001685,0.0016936,0.0015935,0.001622,84978471.84250359
HOT-EUR,1739318400000,0.0016273,0.0017629,0.0016115,0.0016987,215189758.79781753
HOT-EUR,1739232000000,0.0015872,0.0016958,0.0015799,0.0016186,145876420.01833716
HOT-EUR,1739145600000,0.0015545,0.0016033,0.0014984,0.0015805,51133748.85663229
HOT-EUR,1739059200000,0.0015554,0.0016,0.0014751,0.0015329,70774025.91460225
HOT-EUR,1738972800000,0.0014975,0.0015612,0.0014614,0.0015584,59686685.19898396
HOT-EUR,1738886400000,0.0015003,0.0015958,0.0014546,0.0015035,52663326.6674841
HOT-EUR,1738800000000,0.0015475,0.0015771,0.0014645,0.0014764,24536455.64336787
HOT-EUR,1738713600000,0.0015698,0.0016098,0.0015136,0.0015442,31990556.30008434
HOT-EUR,1738627200000,0.0017096,0.0017097,0.0015066,0.0015805,74936709.09396958
HOT-EUR,1738540800000,0.0015947,0.0017258,0.0012501,0.0016942,289058983.0544005
HOT-EUR,1738454400000,0.001791,0.0018575,0.00156,0.001616,119196501.04346983
HOT-EUR,1738368000000,0.0019764,0.0020049,0.0017942,0.0018073,38476673.02961455
HOT-EUR,1738281600000,0.0019969,0.0021116,0.0019417,0.0019689,48516564.62170177
