market,time,open,high,low,close,volume
ICP-EUR,1741132800000,5.6805,5.9278,5.6101,5.9086,113193.99043656
ICP-EUR,1741046400000,5.8911,5.9111,5.3487,5.7055,95848.01853184
ICP-EUR,1740960000000,6.9716,6.9716,5.8106,6.3001,114584.95969131
ICP-EUR,1740873600000,6.3474,6.9948,6.2989,6.9094,79469.46187737
ICP-EUR,1740787200000,6.326,6.4073,6.0897,6.2802,39808.52111071
ICP-EUR,1740700800000,6.4201,6.4217,5.7724,6.2815,94857.23812551
ICP-EUR,1740614400000,6.1204,6.5043,6.0706,6.41,38700.10879054
ICP-EUR,1740528000000,6.0331,6.2999,5.8722,6.0744,79583.69754642
ICP-EUR,1740441600000,6.1218,6.1478,5.623,6.0301,214296.64399246
ICP-EUR,1740355200000,6.7411,6.7685,6.0908,6.1213,80242.66576995
ICP-EUR,1740268800000,6.8719,6.9498,6.6603,6.7442,36103.47061578
ICP-EUR,1740182400000,6.6803,6.945,6.6532,6.8802,43332.30796893
ICP-EUR,1740096000000,6.8176,7.1247,6.5413,6.6769,97354.6270927
ICP-EUR,1740009600000,6.5702,6.8419,6.5349,6.805,68528.76058057
ICP-EUR,1739923200000,6.4825,6.6439,6.3865,6.5972,49913.47302833
ICP-EUR,1739836800000,6.7393,6.7413,6.2838,6.467,64598.40289547
ICP-EUR,1739750400000,6.7018,6.9119,6.58,6.7296,64436.1112993
ICP-EUR,1739664000000,6.784,6.8016,6.5871,6.6704,66266.15199618
ICP-EUR,1739577600000,6.87,6.9696,6.7084,6.784,38898.46321263
ICP-EUR,1739491200000,6.8219,7.05,6.7989,6.9085,88003.02657751
ICP-EUR,1739404800000,7.1075,7.1266,6.6947,6.8191,97372.74358212
ICP-EUR,1739318400000,6.8459,7.1977,6.6675,7.1255,103800.47086017
ICP-EUR,1739232000000,6.8037,7.2032,6.6815,6.8564,115013.26142329
ICP-EUR,1739145600000,6.756,6.9895,6.5328,6.7985,52296.8055355
ICP-EUR,1739059200000,6.7748,6.8996,6.4432,6.7635,43197.00446109
ICP-EUR,1738972800000,6.5472,6.8429,6.4402,6.8224,44489.74903001
ICP-EUR,1738886400000,6.5319,6.9797,6.4446,6.5781,93694.25806959
ICP-EUR,1738800000000,6.7233,6.93,6.3947,6.4635,69653.44328981
ICP-EUR,1738713600000,6.7787,6.9571,6.5776,6.7202,69439.43902205
ICP-EUR,1738627200000,7.4301,7.4753,6.5503,6.8363,86900.1157623
ICP-EUR,1738540800000,7.3109,7.5083,5.9725,7.4058,279053.54186338
ICP-EUR,1738454400000,8.2211,8.4328,6.9331,7.2983,187842.53793307
ICP-EUR,1738368000000,8.9612,9.0623,8.1249,8.2211,39527.70482003
ICP-EUR,1738281600000,8.83,9.365,8.68,8.9633,85931.29373324
ICP-EUR,1738195200000,8.2358,8.8938,8.1452,8.7853,57496.83011331
ICP-EUR,1738108800000,8.183,8.5975,8.0013,8.2429,78788.97908636
ICP-EUR,1738022400000,8.598,8.7357,8.1044,8.2182,67371.91189769
ICP-EUR,1737936000000,8.434,8.6287,7.71,8.5131,147184.81487785
ICP-EUR,1737849600000,8.7676,8.8949,8.4238,8.4238,36908.12825651
ICP-EUR,1737763200000,8.6223,8.8746,8.5041,8.7804,22896.46794854
ICP-EUR,1737676800000,8.8736,8.9758,8.55,8.629,41551.53920482
ICP-EUR,1737590400000,8.7415,9.0838,8.6425,8.8858,81728.82684875
ICP-EUR,1737504000000,9.4799,9.535,8.667,8.751,114250.81277075
ICP-EUR,1737417600000,9.3633,9.7327,8.9823,9.4932,95218.2403585
ICP-EUR,1737331200000,9.5915,10.516,9.1887,9.3655,250848.11407231
ICP-EUR,1737244800000,10.3,10.659,9.444,9.6348,164917.52760401
ICP-EUR,1737158400000,11.026,11.137,10.135,10.328,71138.50284639
ICP-EUR,1737072000000,10.526,11.129,10.5,11.014,64275.26831639
ICP-EUR,1736985600000,10.714,10.9,10.131,10.494,92773.66751636
ICP-EUR,1736899200000,9.95,10.725,9.7386,10.702,71907.89591004
ICP-EUR,1736812800000,9.5249,9.9699,9.512,9.9368,74409.7643423
ICP-EUR,1736726400000,9.9915,10.27,9.1034,9.545,131110.5884234
ICP-EUR,1736640000000,10.236,10.275,9.8689,9.9794,38496.40543743
ICP-EUR,1736553600000,10.083,10.403,9.842,10.204,53779.34296397
ICP-EUR,1736467200000,9.8649,10.511,9.8438,10.083,85141.91414671
ICP-EUR,1736380800000,10.533,10.658,9.6796,9.8288,90064.48151766
ICP-EUR,1736294400000,10.689,10.874,10.071,10.553,92339.76831667
ICP-EUR,1736208000000,11.685,11.873,10.667,10.67,80128.75532971
ICP-EUR,1736121600000,11.794,12.043,11.476,11.748,62602.21004818
ICP-EUR,1736035200000,11.92,11.951,11.514,11.764,66946.29719946
ICP-EUR,1735948800000,12.076,12.35,11.761,11.942,90438.29108078
ICP-EUR,1735862400000,10.407,12.132,10.364,12.028,177434.2102
ICP-EUR,1735776000000,10.173,10.528,10.137,10.396,86022.39163816
ICP-EUR,1735689600000,9.4993,10.299,9.4024,10.14,64796.01115092
ICP-EUR,1735603200000,9.6024,9.907,9.4177,9.5276,38001.82654043
ICP-EUR,1735516800000,9.6694,10.083,9.3618,9.6312,102233.44433778
ICP-EUR,1735430400000,10.211,10.211,9.5836,9.7377,53865.55248232
ICP-EUR,1735344000000,9.8069,10.357,9.6617,10.202,64232.21561501
ICP-EUR,1735257600000,9.911,10.378,9.6447,9.7899,93076.60295621
ICP-EUR,1735171200000,10.809,10.833,9.7798,9.8731,54965.65672756
ICP-EUR,1735084800000,10.873,11.181,10.591,10.751,45183.70826381
ICP-EUR,1734998400000,10.335,10.929,10.06,10.837,87692.35379261
ICP-EUR,1734912000000,9.5173,10.593,9.2547,10.357,86411.05142655
ICP-EUR,1734825600000,9.5831,9.9154,9.3193,9.5172,69376.50409937
ICP-EUR,1734739200000,10.118,10.959,9.5094,9.6347,121707.96973933
ICP-EUR,1734652800000,9.8299,10.398,8.4781,10.135,227067.56681076
ICP-EUR,1734566400000,10.711,10.946,9.4913,9.7996,175499.66584451
ICP-EUR,1734480000000,11.505,11.908,10.677,10.718,156687.56540771
