market,time,open,high,low,close,volume
ICX-EUR,1741132800000,0.10264,0.10506,0.10125,0.10427,145355.28811924
ICX-EUR,1741046400000,0.10177,0.10613,0.099001,0.10395,284645.77769191
ICX-EUR,1740960000000,0.12129,0.1226,0.10617,0.10638,240597.41316614
ICX-EUR,1740873600000,0.11393,0.12209,0.112,0.1206,381000.32649773
ICX-EUR,1740787200000,0.11362,0.11533,0.112,0.11533,37736.44891042
ICX-EUR,1740700800000,0.11422,0.1155,0.10605,0.114,608167.18276903
ICX-EUR,1740614400000,0.11227,0.11702,0.11209,0.11365,105090.38965906
ICX-EUR,1740528000000,0.114,0.11675,0.10915,0.11252,253768.06463627
ICX-EUR,1740441600000,0.11172,0.11614,0.10704,0.11538,261431.73858213
ICX-EUR,1740355200000,0.12734,0.12734,0.11312,0.11451,245801.97928113
ICX-EUR,1740268800000,0.12966,0.12966,0.12595,0.12742,127704.02227007
ICX-EUR,1740182400000,0.1216,0.12938,0.1216,0.12914,60125.73071413
ICX-EUR,1740096000000,0.12498,0.13003,0.11998,0.12217,207385.21329323
ICX-EUR,1740009600000,0.12198,0.12606,0.12198,0.12509,89528.35979666
ICX-EUR,1739923200000,0.11801,0.12341,0.11801,0.12186,129247.96791671
ICX-EUR,1739836800000,0.12647,0.12647,0.11547,0.11933,219249.63912773
ICX-EUR,1739750400000,0.12483,0.12979,0.12364,0.12583,50718.50694061
ICX-EUR,1739664000000,0.12608,0.1279,0.12336,0.12505,54192.42282612
ICX-EUR,1739577600000,0.12782,0.128,0.12404,0.12452,33134.90092535
ICX-EUR,1739491200000,0.12722,0.12995,0.12595,0.12793,135328.86532321
ICX-EUR,1739404800000,0.13022,0.13213,0.1246,0.12633,75567.71323068
ICX-EUR,1739318400000,0.12295,0.13076,0.12,0.13025,106570.29445496
ICX-EUR,1739232000000,0.12641,0.13181,0.12129,0.12336,159026.67900381
ICX-EUR,1739145600000,0.12363,0.12692,0.12036,0.12611,153218.31832927
ICX-EUR,1739059200000,0.12249,0.1272,0.11875,0.12191,134902.32214601
ICX-EUR,1738972800000,0.11887,0.12356,0.11776,0.12356,371174.58424792
ICX-EUR,1738886400000,0.11905,0.12424,0.11524,0.11613,105394.16744826
ICX-EUR,1738800000000,0.12293,0.12501,0.11782,0.11895,129497.63581026
ICX-EUR,1738713600000,0.125,0.12692,0.12101,0.12271,117487.48112065
ICX-EUR,1738627200000,0.13159,0.13188,0.12014,0.12448,527435.79701887
ICX-EUR,1738540800000,0.12643,0.13263,0.10138,0.1309,1588362.40557332
ICX-EUR,1738454400000,0.14289,0.144,0.12212,0.12691,494461.48715264
ICX-EUR,1738368000000,0.15132,0.15477,0.14045,0.14144,138408.10865589
ICX-EUR,1738281600000,0.15234,0.15702,0.15021,0.15159,105645.62920869
ICX-EUR,1738195200000,0.14563,0.15394,0.14473,0.15283,115096.11367413
ICX-EUR,1738108800000,0.14413,0.1498,0.14171,0.14563,150160.35084118
ICX-EUR,1738022400000,0.15447,0.15536,0.14362,0.14362,133878.4899332
ICX-EUR,1737936000000,0.156,0.15741,0.1447,0.15343,728138.11295262
ICX-EUR,1737849600000,0.15944,0.1664,0.15825,0.15858,130175.72093547
ICX-EUR,1737763200000,0.15379,0.16032,0.15287,0.16,172951.19866425
ICX-EUR,1737676800000,0.15821,0.16158,0.15359,0.15437,92903.17454711
