market,time,open,high,low,close,volume
ID-EUR,1741132800000,0.22223,0.229,0.22069,0.22368,36366.19917152
ID-EUR,1741046400000,0.22066,0.22738,0.20754,0.22278,60428.86588788
ID-EUR,1740960000000,0.26334,0.2653,0.228,0.23344,116386.55847725
ID-EUR,1740873600000,0.27341,0.27656,0.25453,0.25453,83445.98599777
ID-EUR,1740787200000,0.26357,0.26357,0.25165,0.25197,20711.70918913
ID-EUR,1740700800000,0.25122,0.26498,0.24353,0.26254,34213.36158795
ID-EUR,1740614400000,0.26306,0.28053,0.26154,0.2675,43618.60712353
ID-EUR,1740528000000,0.25931,0.26472,0.24896,0.26268,44499.50403494
ID-EUR,1740441600000,0.24975,0.25779,0.23927,0.25779,195217.41618081
ID-EUR,1740355200000,0.27558,0.28099,0.25416,0.25537,88620.70213496
ID-EUR,1740268800000,0.29145,0.2972,0.28318,0.28434,103212.97956707
ID-EUR,1740182400000,0.28776,0.29531,0.28776,0.29404,78849.19042407
ID-EUR,1740096000000,0.30218,0.3117,0.29002,0.29084,83645.38006995
ID-EUR,1740009600000,0.3014,0.30251,0.28918,0.30183,235357.03422459
ID-EUR,1739923200000,0.29284,0.30246,0.28909,0.29554,55599.68915595
ID-EUR,1739836800000,0.29071,0.306,0.276,0.29426,600614.43668165
ID-EUR,1739750400000,0.30661,0.35488,0.28558,0.29365,1625696.1036163
ID-EUR,1739664000000,0.27228,0.3439,0.27228,0.30238,4098782.01436218
ID-EUR,1739577600000,0.28177,0.28433,0.27207,0.27207,2752.06713736
ID-EUR,1739491200000,0.27871,0.28611,0.27705,0.2834,81055.027335
ID-EUR,1739404800000,0.2893,0.29673,0.27332,0.276,77401.21817995
ID-EUR,1739318400000,0.25967,0.30081,0.25427,0.29164,301276.35215122
ID-EUR,1739232000000,0.26868,0.27725,0.25564,0.26126,55489.30591743
ID-EUR,1739145600000,0.26094,0.26674,0.25137,0.2635,168081.02891332
ID-EUR,1739059200000,0.24978,0.28107,0.24377,0.25669,1539716.37845715
ID-EUR,1738972800000,0.23805,0.25198,0.23545,0.25131,63079.08214568
ID-EUR,1738886400000,0.22832,0.24588,0.22832,0.23345,75102.33912851
ID-EUR,1738800000000,0.24317,0.24955,0.22941,0.23036,20953.48487118
ID-EUR,1738713600000,0.2457,0.25224,0.24064,0.24223,42771.81402191
ID-EUR,1738627200000,0.27235,0.27235,0.2417,0.25147,31734.16006242
ID-EUR,1738540800000,0.261,0.27652,0.2086,0.27652,614554.39719125
ID-EUR,1738454400000,0.312,0.3164,0.26952,0.26952,92360.85616059
ID-EUR,1738368000000,0.34783,0.34783,0.31914,0.32054,8689.60551912
ID-EUR,1738281600000,0.34151,0.35709,0.34151,0.34479,6891.43872627
ID-EUR,1738195200000,0.32525,0.34641,0.32525,0.34362,8836.59718031
ID-EUR,1738108800000,0.3262,0.3348,0.32201,0.33154,13256.10842126
ID-EUR,1738022400000,0.3411,0.34332,0.32192,0.32192,17596.86791084
ID-EUR,1737936000000,0.35,0.35,0.31874,0.33963,7189.85934648
ID-EUR,1737849600000,0.36423,0.36717,0.35985,0.35985,2094.86193917
ID-EUR,1737763200000,0.35365,0.36465,0.35365,0.3607,26931.67231351
ID-EUR,1737676800000,0.37309,0.3786,0.358,0.358,4661.18531226
ID-EUR,1737590400000,0.37502,0.37521,0.3635,0.36742,15176.52289919
ID-EUR,1737504000000,0.39038,0.39523,0.37921,0.3815,3560.37300049
ID-EUR,1737417600000,0.37815,0.39497,0.37069,0.39167,58524.2374758
ID-EUR,1737331200000,0.37733,0.40771,0.36835,0.38162,124293.28102373
ID-EUR,1737244800000,0.41773,0.42079,0.37813,0.37948,298152.67556521
