market,time,open,high,low,close,volume
INJ-EUR,1741132800000,10.298,11.269,10.291,11.204,55227.20127015
INJ-EUR,1741046400000,11.439,11.451,9.597,9.9333,86461.33356099
INJ-EUR,1740960000000,13.672,13.745,11.239,11.524,55681.84847271
INJ-EUR,1740873600000,12.242,13.918,12.144,13.766,43913.65082431
INJ-EUR,1740787200000,12.816,13.016,12.15,12.417,18703.00464471
INJ-EUR,1740700800000,13.064,13.078,11.63,12.845,61741.77966464
INJ-EUR,1740614400000,12.361,13.171,12.286,13.05,25529.6798008
INJ-EUR,1740528000000,12.837,13.177,11.836,12.358,42410.55494518
INJ-EUR,1740441600000,13.32,13.543,12.088,12.884,142258.66156405
INJ-EUR,1740355200000,15.476,15.547,13.028,13.23,95053.60491779
INJ-EUR,1740268800000,14.611,15.428,14.555,15.391,29461.13412527
INJ-EUR,1740182400000,14.518,15.003,14.426,14.627,29680.56347364
INJ-EUR,1740096000000,14.954,16.098,14.367,14.632,63291.03178421
INJ-EUR,1740009600000,14.329,15.318,14.225,14.923,44405.48870801
INJ-EUR,1739923200000,13.336,14.68,13.13,14.318,43831.69409246
INJ-EUR,1739836800000,14.278,14.287,12.714,13.338,50524.35234799
INJ-EUR,1739750400000,14.201,15.51,14.056,14.277,62000.5585352
INJ-EUR,1739664000000,14.603,14.65,13.918,14.219,18358.63997882
INJ-EUR,1739577600000,14.634,15.13,14.132,14.584,29037.82275454
INJ-EUR,1739491200000,14.483,15.088,14.3,14.641,66242.21997693
INJ-EUR,1739404800000,14.368,14.787,14.07,14.449,52285.7332074
INJ-EUR,1739318400000,13.729,14.475,13.057,14.37,104402.87723181
INJ-EUR,1739232000000,14.154,15.143,13.487,13.748,140701.89833984
INJ-EUR,1739145600000,13.348,14.687,13.046,14.097,108367.45869507
INJ-EUR,1739059200000,13.404,13.902,12.684,13.324,59267.072886
INJ-EUR,1738972800000,13.041,13.539,12.437,13.441,23713.87538604
INJ-EUR,1738886400000,12.646,14.226,12.54,13.078,67779.27041881
INJ-EUR,1738800000000,13.594,13.81,12.481,12.663,50966.16446291
INJ-EUR,1738713600000,14.011,14.407,13.266,13.462,30985.4186921
INJ-EUR,1738627200000,15.618,15.654,13.277,13.933,51203.29155767
INJ-EUR,1738540800000,15.106,15.802,11.701,15.568,144609.22011979
INJ-EUR,1738454400000,17.708,18.206,14.402,15.148,118606.3218015
INJ-EUR,1738368000000,19.623,19.791,17.55,17.733,17479.00527244
INJ-EUR,1738281600000,19.301,20.388,18.999,19.615,26885.84921725
INJ-EUR,1738195200000,17.698,19.749,17.5,19.429,19828.96474729
INJ-EUR,1738108800000,16.855,18.312,16.85,17.636,47681.84557991
INJ-EUR,1738022400000,18.385,18.615,16.618,16.92,37714.96317002
INJ-EUR,1737936000000,19.22,19.371,17.224,18.363,66643.28077048
INJ-EUR,1737849600000,19.717,20.397,19.245,19.284,24510.96334314
INJ-EUR,1737763200000,19.72,20.122,19.383,19.701,15567.24613599
INJ-EUR,1737676800000,20.025,20.831,19.398,19.819,33474.44023249
INJ-EUR,1737590400000,20.618,21.031,19.574,20.007,55558.09447632
INJ-EUR,1737504000000,21.975,22.175,20.426,20.645,39974.47784549
INJ-EUR,1737417600000,20.754,22.234,19.397,21.861,86074.69015595
INJ-EUR,1737331200000,20.072,23,19.282,20.723,118094.75354214
INJ-EUR,1737244800000,23.19,23.327,19.8,20.127,101529.994456
INJ-EUR,1737158400000,24.071,24.357,22.568,23.199,36756.52855154
INJ-EUR,1737072000000,22.112,25.264,22.069,24.053,59524.50747518
INJ-EUR,1736985600000,22.428,22.626,21.641,22.027,48734.77931875
INJ-EUR,1736899200000,20.642,22.747,20.254,22.422,51152.88577265
INJ-EUR,1736812800000,19.632,20.606,19.553,20.579,24481.3266887
INJ-EUR,1736726400000,20.309,20.909,18.2,19.622,57356.61878319
INJ-EUR,1736640000000,20.841,21.049,20.006,20.167,13833.94671024
INJ-EUR,1736553600000,21.139,21.383,20.379,20.787,14580.51398499
INJ-EUR,1736467200000,20.596,21.232,20.239,21.114,43202.78748391
