market,time,open,high,low,close,volume
IOTX-EUR,1741132800000,0.01552,0.015835,0.015006,0.015006,702972.79293996
IOTX-EUR,1741046400000,0.015641,0.015653,0.01425,0.015499,393203.036125
IOTX-EUR,1740960000000,0.018463,0.019969,0.016094,0.01628,811176.19381355
IOTX-EUR,1740873600000,0.017817,0.02006,0.017705,0.018399,1650129.30422032
IOTX-EUR,1740787200000,0.01825,0.018573,0.017673,0.018157,743457.48032284
IOTX-EUR,1740700800000,0.018488,0.019272,0.01727,0.017855,2022116.59548288
IOTX-EUR,1740614400000,0.016675,0.018863,0.016675,0.018339,3030052.4180454
IOTX-EUR,1740528000000,0.016896,0.017296,0.016441,0.01689,1862361.26984752
IOTX-EUR,1740441600000,0.01625,0.016645,0.015165,0.016634,2157149.47713799
IOTX-EUR,1740355200000,0.018178,0.018178,0.01625,0.016261,107812.99703279
IOTX-EUR,1740268800000,0.018956,0.018991,0.018178,0.018387,238016.77669518
IOTX-EUR,1740182400000,0.0185,0.019249,0.0185,0.018995,215322.50280582
IOTX-EUR,1740096000000,0.018714,0.019673,0.018069,0.018069,246731.97631261
IOTX-EUR,1740009600000,0.01817,0.018422,0.017912,0.018371,22778.16106653
IOTX-EUR,1739923200000,0.017628,0.017957,0.017267,0.017755,402828.76669383
IOTX-EUR,1739836800000,0.019299,0.019299,0.0165,0.017518,3403655.36187515
IOTX-EUR,1739750400000,0.019203,0.019542,0.018712,0.019455,238076.19916342
IOTX-EUR,1739664000000,0.019394,0.019745,0.018807,0.019083,365500.22838761
IOTX-EUR,1739577600000,0.019863,0.019863,0.019138,0.019184,123965.45971361
IOTX-EUR,1739491200000,0.019434,0.020453,0.0192,0.019823,2381153.26300591
IOTX-EUR,1739404800000,0.020005,0.0215,0.019309,0.019537,3373055.37365934
IOTX-EUR,1739318400000,0.019117,0.020669,0.018576,0.020154,1759204.41512807
IOTX-EUR,1739232000000,0.019538,0.020959,0.018817,0.018955,513755.43804851
IOTX-EUR,1739145600000,0.019381,0.019772,0.01921,0.019211,391616.60179114
IOTX-EUR,1739059200000,0.019472,0.020155,0.019129,0.019268,279139.01279875
IOTX-EUR,1738972800000,0.019425,0.019663,0.018386,0.019419,1445002.87441481
IOTX-EUR,1738886400000,0.01918,0.020714,0.019105,0.019599,2402039.45313453
IOTX-EUR,1738800000000,0.021376,0.021676,0.018529,0.018801,2236705.98818325
IOTX-EUR,1738713600000,0.021192,0.022444,0.021135,0.02127,2542148.2483226
IOTX-EUR,1738627200000,0.022419,0.022419,0.020557,0.021035,859161.74503196
IOTX-EUR,1738540800000,0.023032,0.023169,0.017512,0.02253,2838769.78502027
IOTX-EUR,1738454400000,0.027672,0.027914,0.021397,0.023316,1171616.92059851
IOTX-EUR,1738368000000,0.031215,0.031215,0.027785,0.027917,352709.02117934
IOTX-EUR,1738281600000,0.030518,0.031728,0.029926,0.030572,1465134.14627451
IOTX-EUR,1738195200000,0.028776,0.0305,0.028776,0.030132,218202.38600517
IOTX-EUR,1738108800000,0.028303,0.02937,0.028,0.029118,242411.64204627
IOTX-EUR,1738022400000,0.030129,0.030379,0.028327,0.02839,315016.20740914
IOTX-EUR,1737936000000,0.030508,0.030722,0.028486,0.02998,495797.68009978
IOTX-EUR,1737849600000,0.031957,0.033615,0.031957,0.032279,161767.55686249
IOTX-EUR,1737763200000,0.030999,0.032399,0.030999,0.032399,83060.8996322
IOTX-EUR,1737676800000,0.03151,0.033043,0.03126,0.031309,527100.05959644
IOTX-EUR,1737590400000,0.0323,0.033318,0.03,0.031116,239493.47789144
IOTX-EUR,1737504000000,0.032507,0.033318,0.032018,0.032095,2152918.78626323
IOTX-EUR,1737417600000,0.031267,0.033294,0.031001,0.032622,463941.29467592
IOTX-EUR,1737331200000,0.033045,0.035599,0.0315,0.031934,2629856.88268607
IOTX-EUR,1737244800000,0.037481,0.037481,0.032908,0.033332,948822.31906713
IOTX-EUR,1737158400000,0.039354,0.039947,0.036448,0.037114,494418.90159485
IOTX-EUR,1737072000000,0.037316,0.039499,0.036889,0.039322,912351.18622315
IOTX-EUR,1736985600000,0.03614,0.037448,0.035636,0.036628,824764.50061489
IOTX-EUR,1736899200000,0.035584,0.036435,0.034044,0.036435,1682485.68077133
IOTX-EUR,1736812800000,0.035006,0.035575,0.034645,0.035415,1610987.40684844
IOTX-EUR,1736726400000,0.035478,0.036445,0.0323,0.034523,600194.50233679
IOTX-EUR,1736640000000,0.036288,0.036288,0.035303,0.03547,122625.15498018
IOTX-EUR,1736553600000,0.036839,0.037066,0.035961,0.036378,988747.97010985
IOTX-EUR,1736467200000,0.036364,0.037077,0.035888,0.036556,997401.00681125
IOTX-EUR,1736380800000,0.037377,0.038134,0.035135,0.035642,1862053.43389407
IOTX-EUR,1736294400000,0.036566,0.037469,0.035608,0.037168,704810.18126871
IOTX-EUR,1736208000000,0.04015,0.04015,0.037083,0.037083,1134716.79529978
IOTX-EUR,1736121600000,0.041313,0.041459,0.039822,0.039862,1062599.79483075
IOTX-EUR,1736035200000,0.040548,0.041385,0.039781,0.04109,728898.22170041
IOTX-EUR,1735948800000,0.042133,0.04246,0.040119,0.04069,1148658.00144425
IOTX-EUR,1735862400000,0.0389,0.042928,0.03837,0.041689,3500366.29319196
IOTX-EUR,1735776000000,0.039089,0.039689,0.038652,0.0394,3276045.72572532
IOTX-EUR,1735689600000,0.037272,0.039082,0.036814,0.03896,263544.57679408
IOTX-EUR,1735603200000,0.036713,0.037665,0.035479,0.037011,1189558.84890501
IOTX-EUR,1735516800000,0.035874,0.037316,0.035514,0.036665,1189718.54363077
IOTX-EUR,1735430400000,0.037434,0.037711,0.036198,0.036432,1234692.42812031
IOTX-EUR,1735344000000,0.036227,0.037895,0.034995,0.037647,2081399.06461722
IOTX-EUR,1735257600000,0.0356,0.037548,0.035577,0.036292,1710163.95422256
IOTX-EUR,1735171200000,0.037642,0.037642,0.034466,0.034703,914486.42117057
IOTX-EUR,1735084800000,0.037923,0.038575,0.036971,0.037364,922986.24956508
IOTX-EUR,1734998400000,0.03732,0.039207,0.036373,0.038209,1435404.63689011
IOTX-EUR,1734912000000,0.034037,0.037651,0.034036,0.037651,2753658.96882475
IOTX-EUR,1734825600000,0.035252,0.035859,0.033965,0.035044,849188.05854288
IOTX-EUR,1734739200000,0.035497,0.038033,0.034433,0.034965,2733318.74667171
IOTX-EUR,1734652800000,0.035548,0.036456,0.03038,0.035279,5882830.77610165
IOTX-EUR,1734566400000,0.039103,0.039717,0.034265,0.035499,4655304.56544798
IOTX-EUR,1734480000000,0.04441,0.04441,0.03946,0.039645,1114971.12144998
IOTX-EUR,1734393600000,0.043661,0.046848,0.043309,0.044694,9783544.46822507
IOTX-EUR,1734307200000,0.045763,0.046769,0.042965,0.044489,6521224.9497686
IOTX-EUR,1734220800000,0.043387,0.046206,0.042289,0.04588,7546226.47690195
IOTX-EUR,1734134400000,0.046786,0.047009,0.042858,0.043898,1450780.97745356
IOTX-EUR,1734048000000,0.046716,0.047207,0.045208,0.046124,1940551.49625138
IOTX-EUR,1733961600000,0.046558,0.048921,0.045825,0.04675,1846291.71937049
IOTX-EUR,1733875200000,0.043354,0.0473,0.041836,0.046582,1639101.89506183
IOTX-EUR,1733788800000,0.043476,0.04532,0.039021,0.043549,1590094.38501992
IOTX-EUR,1733702400000,0.056425,0.056425,0.038961,0.044413,2433369.63636138
IOTX-EUR,1733616000000,0.056884,0.057237,0.054577,0.05622,787793.46741782
IOTX-EUR,1733529600000,0.057331,0.058629,0.055705,0.057014,2109240.67760735
IOTX-EUR,1733443200000,0.055203,0.058723,0.054987,0.05724,2434863.59163113
IOTX-EUR,1733356800000,0.057478,0.0632,0.0542,0.055433,3161255.68057817
IOTX-EUR,1733270400000,0.06,0.062131,0.05725,0.057729,5762641.40194427
IOTX-EUR,1733184000000,0.057563,0.063218,0.055411,0.060443,6340994.26460336
IOTX-EUR,1733097600000,0.050778,0.059235,0.050064,0.057447,5618328.46684341
IOTX-EUR,1733011200000,0.0498,0.051488,0.047958,0.050621,2485458.81652607
IOTX-EUR,1732924800000,0.046922,0.051946,0.0461,0.049999,3104354.54778287
IOTX-EUR,1732838400000,0.046443,0.047962,0.045341,0.04705,2758346.51310139
IOTX-EUR,1732752000000,0.045,0.047271,0.042166,0.046879,1867971.97563901
IOTX-EUR,1732665600000,0.041515,0.045,0.04086,0.04468,2197221.26139623
IOTX-EUR,1732579200000,0.043774,0.045105,0.039601,0.041553,1502250.34841637
IOTX-EUR,1732492800000,0.043818,0.045911,0.041122,0.043485,5669080.04208782
IOTX-EUR,1732406400000,0.043443,0.049363,0.040884,0.044242,6365779.96973804
IOTX-EUR,1732320000000,0.041149,0.047359,0.040874,0.043343,6316708.23241631
IOTX-EUR,1732233600000,0.03995,0.041391,0.039188,0.040948,520847.83088639
IOTX-EUR,1732147200000,0.037704,0.04129,0.0376,0.040319,382705.87145064
IOTX-EUR,1732060800000,0.039716,0.040738,0.037692,0.03811,710548.51601323
IOTX-EUR,1731974400000,0.041639,0.041639,0.039392,0.039567,323101.8691188
IOTX-EUR,1731888000000,0.038471,0.044,0.038471,0.041508,2722539.75168485
IOTX-EUR,1731801600000,0.040201,0.040201,0.037801,0.038065,558496.71348559
IOTX-EUR,1731715200000,0.03823,0.040934,0.038193,0.040557,692712.07672972
IOTX-EUR,1731628800000,0.036585,0.038526,0.03544,0.038446,146535.46483582
IOTX-EUR,1731542400000,0.036493,0.039132,0.036326,0.037234,543153.65278014
IOTX-EUR,1731456000000,0.039251,0.0393,0.035559,0.036602,957662.26303187
IOTX-EUR,1731369600000,0.042557,0.0433,0.036966,0.038789,3172082.10172611
IOTX-EUR,1731283200000,0.042304,0.042304,0.040257,0.042243,1402585.72629648
IOTX-EUR,1731196800000,0.038726,0.043184,0.038092,0.040051,1370501.78179337
IOTX-EUR,1731110400000,0.03852,0.038937,0.0374,0.038756,431654.90055536
IOTX-EUR,1731024000000,0.037897,0.037897,0.035832,0.037483,281398.3297746
IOTX-EUR,1730937600000,0.037839,0.038937,0.036294,0.03698,250315.16506909
IOTX-EUR,1730851200000,0.034514,0.03783,0.034514,0.037645,1161190.08930923
IOTX-EUR,1730764800000,0.033575,0.03391,0.033384,0.033384,49763.24255321
IOTX-EUR,1730678400000,0.033899,0.034315,0.0328,0.032884,308803.11368255
IOTX-EUR,1730592000000,0.034,0.034858,0.032872,0.033896,785131.81663754
IOTX-EUR,1730505600000,0.036288,0.036783,0.034951,0.035088,252329.96462627
IOTX-EUR,1730419200000,0.03685,0.037972,0.036266,0.036266,204089.95280276
IOTX-EUR,1730332800000,0.038553,0.038553,0.036756,0.0369,521170.37058641
IOTX-EUR,1730246400000,0.038888,0.039611,0.038135,0.038525,290687.13950466
IOTX-EUR,1730160000000,0.036279,0.039344,0.036247,0.038683,501151.14140133
IOTX-EUR,1730073600000,0.03538,0.036304,0.034501,0.036304,315694.57675599
IOTX-EUR,1729987200000,0.03537,0.035868,0.03537,0.035713,476517.21393839
IOTX-EUR,1729900800000,0.035464,0.035886,0.034567,0.035177,74956.04546171
IOTX-EUR,1729814400000,0.03883,0.03883,0.033636,0.034933,471016.02617762
IOTX-EUR,1729728000000,0.038265,0.039137,0.037528,0.038622,673694.48674598
IOTX-EUR,1729641600000,0.03771,0.038044,0.035804,0.037878,346966.37563598
IOTX-EUR,1729555200000,0.038129,0.038301,0.037083,0.037403,102482.62632748
IOTX-EUR,1729468800000,0.039508,0.039508,0.037359,0.037846,250303.26097976
IOTX-EUR,1729382400000,0.037907,0.039738,0.037348,0.039342,624156.36352369
IOTX-EUR,1729296000000,0.038561,0.038725,0.037676,0.038164,239523.39898494
IOTX-EUR,1729209600000,0.037115,0.038553,0.037115,0.038045,298922.23774846
IOTX-EUR,1729123200000,0.037442,0.037978,0.035847,0.036369,609850.75904782
IOTX-EUR,1729036800000,0.036816,0.037882,0.036605,0.037416,134172.52523407
IOTX-EUR,1728950400000,0.038352,0.038455,0.036443,0.037258,236125.39859839
IOTX-EUR,1728864000000,0.037669,0.039113,0.037166,0.038858,367871.28280723
IOTX-EUR,1728777600000,0.037803,0.037804,0.035494,0.036779,228936.38722174
IOTX-EUR,1728691200000,0.035689,0.037965,0.035627,0.037183,558517.44614971
IOTX-EUR,1728604800000,0.03345,0.035522,0.033255,0.035522,119778.27221628
IOTX-EUR,1728518400000,0.033325,0.033684,0.032009,0.032454,480625.19996994
IOTX-EUR,1728432000000,0.033726,0.033726,0.032227,0.032227,55791.76056373
IOTX-EUR,1728345600000,0.034338,0.034651,0.033,0.033,172315.62933923
IOTX-EUR,1728259200000,0.035317,0.03595,0.034249,0.034493,255754.73096847
IOTX-EUR,1728172800000,0.03393,0.034761,0.033568,0.034371,365897.60907118
IOTX-EUR,1728086400000,0.033884,0.034656,0.033167,0.033379,537532.34107023
IOTX-EUR,1728000000000,0.032364,0.034457,0.032364,0.034133,901557.86925576
IOTX-EUR,1727913600000,0.033539,0.034365,0.031392,0.031848,160692.8107012
IOTX-EUR,1727827200000,0.036923,0.037299,0.032958,0.032958,255666.33653775
IOTX-EUR,1727740800000,0.038937,0.040868,0.036227,0.036648,982266.90719494
IOTX-EUR,1727654400000,0.039467,0.039467,0.0369,0.0369,235876.43956707
IOTX-EUR,1727568000000,0.039068,0.039508,0.03869,0.039508,73901.57838561
IOTX-EUR,1727481600000,0.041125,0.042167,0.038784,0.039144,134721.30943827
IOTX-EUR,1727395200000,0.040216,0.041371,0.040071,0.041118,367077.10698598
IOTX-EUR,1727308800000,0.039642,0.042395,0.039517,0.041041,1289375.23780655
IOTX-EUR,1727222400000,0.041664,0.041664,0.040198,0.040198,281138.01487329
IOTX-EUR,1727136000000,0.040678,0.041856,0.040203,0.041856,1223461.00803874
IOTX-EUR,1727049600000,0.038848,0.041693,0.038398,0.0405,2420447.38337102
IOTX-EUR,1726963200000,0.039444,0.040214,0.037854,0.038648,2930819.9586787
IOTX-EUR,1726876800000,0.034728,0.04044,0.034611,0.040051,7769187.14167258
