market,time,open,high,low,close,volume
IP-EUR,1741132800000,5.0849,5.5418,4.7405,4.9026,430338.40293596
IP-EUR,1741046400000,5.2132,5.5417,4.778,5.0866,763185.49260514
IP-EUR,1740960000000,5.7848,6.7057,5.2116,5.2116,1061405.82099092
IP-EUR,1740873600000,5.34,6.3189,5.0051,6.0075,1126005.37621858
IP-EUR,1740787200000,5.2828,5.6931,4.8945,4.9888,537631.27728504
IP-EUR,1740700800000,5.475,5.7496,4.9776,5.2931,718724.42884192
IP-EUR,1740614400000,6.6981,6.8498,5.3488,5.46,1108051.17008102
IP-EUR,1740528000000,5.4359,7.0694,5.0757,6.7021,2538885.32244836
IP-EUR,1740441600000,4.3209,6.2999,4.2055,5.4432,2387680.96348121
IP-EUR,1740355200000,3.826,4.7255,3.6053,4.3149,1770505.3303776
IP-EUR,1740268800000,4.2215,4.3493,3.5274,3.8044,999103.47987375
IP-EUR,1740182400000,4.3673,5.0324,4.06,4.2337,1367966.78711454
IP-EUR,1740096000000,5.425,5.6332,4.0316,4.3707,2603324.98501161
IP-EUR,1740009600000,2.6593,8.3651,2.5467,5.4076,5480229.01970683
IP-EUR,1739923200000,1.8645,2.8485,1.8419,2.6678,1580008.94990613
IP-EUR,1739836800000,1.8219,2.0681,1.751,1.8663,1138283.72216962
IP-EUR,1739750400000,1.6621,1.9,1.5267,1.8294,1358029.35307519
IP-EUR,1739664000000,1.3985,2.0314,1.3012,1.6544,2838499.18046626
IP-EUR,1739577600000,1.8175,1.819,1.3677,1.4174,485976.03389073
IP-EUR,1739491200000,1.7934,2.1002,1.6866,1.8225,1553088.88042881
IP-EUR,1739404800000,2.0518,2.0761,1.6408,1.8023,2246624.25414378
