market,time,open,high,low,close,volume
IQ-EUR,1741132800000,0.0044672,0.0045517,0.0043429,0.0043803,785919.40905605
IQ-EUR,1741046400000,0.004518,0.0045501,0.0043,0.0044987,560973.76208135
IQ-EUR,1740960000000,0.0051235,0.0051235,0.0046057,0.0046372,675234.80485773
IQ-EUR,1740873600000,0.0049293,0.0051841,0.004885,0.0049845,3593584.82106478
IQ-EUR,1740787200000,0.0048402,0.004925,0.0047691,0.0048394,952883.91080666
IQ-EUR,1740700800000,0.0048126,0.0048586,0.0045532,0.0048056,633560.38549973
IQ-EUR,1740614400000,0.0047997,0.0049071,0.0047055,0.0047634,973900.75405637
IQ-EUR,1740528000000,0.0048806,0.0048806,0.0046216,0.0047314,474838.82713723
IQ-EUR,1740441600000,0.0049978,0.0049978,0.0047212,0.0048998,1686654.42929797
IQ-EUR,1740355200000,0.005288,0.005288,0.004943,0.0049858,2266847.77638649
IQ-EUR,1740268800000,0.0053949,0.005459,0.0052909,0.0053652,1442019.05367512
IQ-EUR,1740182400000,0.0052981,0.00569,0.0052981,0.0054466,2669416.82173688
IQ-EUR,1740096000000,0.0053328,0.0054849,0.0051969,0.0052237,768012.35545829
IQ-EUR,1740009600000,0.0052348,0.0053968,0.0052157,0.0053968,2318568.93515132
IQ-EUR,1739923200000,0.0051986,0.0052432,0.005169,0.0052167,502474.45297755
IQ-EUR,1739836800000,0.005334,0.0054165,0.0051396,0.0051795,1213859.16157658
IQ-EUR,1739750400000,0.0053274,0.0055232,0.0052425,0.0052961,1263881.01702798
IQ-EUR,1739664000000,0.0052426,0.005414,0.0052426,0.0052922,885298.40739748
IQ-EUR,1739577600000,0.0054156,0.0054251,0.0052353,0.0052455,1334542.55792879
IQ-EUR,1739491200000,0.0054069,0.0054782,0.0053384,0.0054192,822406.02462014
IQ-EUR,1739404800000,0.0055329,0.0055329,0.0053412,0.005419,1429453.56326096
IQ-EUR,1739318400000,0.0054547,0.0056286,0.0053173,0.0056286,1097465.89506085
IQ-EUR,1739232000000,0.0055375,0.0056827,0.005397,0.0054354,1487227.14997101
IQ-EUR,1739145600000,0.0052722,0.0055667,0.0052722,0.0055124,1935440.08076199
IQ-EUR,1739059200000,0.0053492,0.0055434,0.0052886,0.0053863,1036093.11640554
IQ-EUR,1738972800000,0.0053584,0.0053833,0.0051708,0.0053654,1195865.81567003
IQ-EUR,1738886400000,0.0054459,0.0057438,0.0051637,0.0052854,16739071.93050196
IQ-EUR,1738800000000,0.0052238,0.00546,0.0051617,0.00546,4311037.20520906
IQ-EUR,1738713600000,0.005246,0.0053208,0.0051712,0.0051825,930059.60152398
IQ-EUR,1738627200000,0.0055942,0.0056491,0.0050925,0.0052369,4723690.72637389
IQ-EUR,1738540800000,0.0055043,0.0056791,0.0046775,0.0055979,10977303.00206339
IQ-EUR,1738454400000,0.0062576,0.0062826,0.0054024,0.0054024,3358544.82484013
IQ-EUR,1738368000000,0.0065976,0.0066468,0.0062,0.006285,999993.96247525
IQ-EUR,1738281600000,0.0065253,0.0067622,0.0063579,0.006559,4206676.27012265
IQ-EUR,1738195200000,0.0064,0.0066271,0.0064,0.0065863,2162101.25620767
IQ-EUR,1738108800000,0.0062829,0.0065268,0.0062684,0.0064523,1769841.53560229
IQ-EUR,1738022400000,0.0065365,0.0065365,0.0062432,0.0063151,1114113.88770627
IQ-EUR,1737936000000,0.0067817,0.0067817,0.0062151,0.0065361,2715464.53276341
IQ-EUR,1737849600000,0.0067914,0.0070863,0.006785,0.0069071,10204734.86602817
IQ-EUR,1737763200000,0.0066481,0.0069411,0.0065614,0.0068309,21012014.10949424
IQ-EUR,1737676800000,0.0065419,0.0069896,0.0063379,0.0066854,44870374.03491612
IQ-EUR,1737590400000,0.0066866,0.0066866,0.0060542,0.0065296,12197582.46799723
IQ-EUR,1737504000000,0.0070424,0.0070424,0.0066564,0.0066564,5560441.8218855
IQ-EUR,1737417600000,0.0068345,0.0070673,0.0065587,0.0070246,3515620.95957846
IQ-EUR,1737331200000,0.0067837,0.0071295,0.0066538,0.0068093,5657762.70881664
IQ-EUR,1737244800000,0.0074835,0.0074835,0.0067175,0.0067648,12793505.8174968
IQ-EUR,1737158400000,0.0077864,0.0077978,0.0072395,0.0074184,5204720.12898829
IQ-EUR,1737072000000,0.0076188,0.0078681,0.0075862,0.0078632,8746437.65476717
IQ-EUR,1736985600000,0.0078779,0.0079399,0.0074756,0.0076049,15639338.67027432
IQ-EUR,1736899200000,0.0078977,0.0080398,0.0074581,0.0080107,15223213.96316339
IQ-EUR,1736812800000,0.00738,0.0079367,0.0073041,0.0078808,26947234.48343974
IQ-EUR,1736726400000,0.0077642,0.0078157,0.0070095,0.0074842,19945384.7527155
IQ-EUR,1736640000000,0.0082889,0.0082889,0.0076961,0.0079118,33088578.96254059
IQ-EUR,1736553600000,0.009124,0.009124,0.0081546,0.0082741,57566427.8081208
IQ-EUR,1736467200000,0.0079991,0.010843,0.0079991,0.0092652,240259697.189523
IQ-EUR,1736380800000,0.0075405,0.008064,0.0073367,0.0079651,13830123.26229646
IQ-EUR,1736294400000,0.0073407,0.007503,0.0068535,0.0074353,10618483.5822969
IQ-EUR,1736208000000,0.0081013,0.0081553,0.0073553,0.0073652,12881362.94381371
IQ-EUR,1736121600000,0.0076,0.008668,0.0075631,0.0082389,83935658.4403237
IQ-EUR,1736035200000,0.0072089,0.0076168,0.0071909,0.0075929,4734708.62293565
IQ-EUR,1735948800000,0.0072982,0.0073353,0.0071452,0.0072463,2492409.35169566
IQ-EUR,1735862400000,0.0070142,0.0073525,0.0068887,0.0073268,6451031.29902361
IQ-EUR,1735776000000,0.0068035,0.0071302,0.006762,0.0070462,4714295.00349873
IQ-EUR,1735689600000,0.0068339,0.0068653,0.0065372,0.0068516,3310183.05978659
IQ-EUR,1735603200000,0.0068196,0.006878,0.0066426,0.0066777,964099.22452564
IQ-EUR,1735516800000,0.0069933,0.0072781,0.0066827,0.006793,3296232.13447249
IQ-EUR,1735430400000,0.0071518,0.0072011,0.0068132,0.0068868,5816988.82542737
IQ-EUR,1735344000000,0.0068135,0.0073343,0.0067238,0.0072357,20984376.29888028
IQ-EUR,1735257600000,0.0066205,0.0068909,0.0065735,0.006774,3062185.74930528
IQ-EUR,1735171200000,0.0072293,0.007614,0.0065508,0.0066016,6042197.2155804
IQ-EUR,1735084800000,0.0073552,0.0075688,0.0071417,0.0071776,4467954.02743663
IQ-EUR,1734998400000,0.0072406,0.0074002,0.0070265,0.0073608,3339214.06070476
IQ-EUR,1734912000000,0.0072956,0.0075036,0.006988,0.0072783,10743295.74489955
IQ-EUR,1734825600000,0.0067689,0.0074586,0.0067344,0.0068569,57257371.98845228
IQ-EUR,1734739200000,0.0066774,0.0069782,0.0064962,0.0066991,9098518.27120502
IQ-EUR,1734652800000,0.0066176,0.0067084,0.0059553,0.0067084,12080037.71121545
IQ-EUR,1734566400000,0.0070369,0.0073021,0.0065393,0.0066348,6161362.94655629
IQ-EUR,1734480000000,0.0077,0.0077605,0.0070099,0.0071083,4938579.90523535
IQ-EUR,1734393600000,0.0081131,0.0083964,0.0077082,0.0077971,7392438.90150615
IQ-EUR,1734307200000,0.0084917,0.008515,0.0078397,0.0080054,4061802.5756583
IQ-EUR,1734220800000,0.0082475,0.00855,0.0080397,0.0084067,2963231.19005696
IQ-EUR,1734134400000,0.0088472,0.0090026,0.008156,0.0082756,11713206.80153907
IQ-EUR,1734048000000,0.0085848,0.0092757,0.008429,0.008893,16124968.05940049
IQ-EUR,1733961600000,0.0083432,0.0087708,0.0082068,0.0085505,10089353.12544159
IQ-EUR,1733875200000,0.0077344,0.0083773,0.007312,0.0083204,12024406.82317813
IQ-EUR,1733788800000,0.0079186,0.0080944,0.0071118,0.0076889,18409778.37756701
IQ-EUR,1733702400000,0.0098918,0.0098918,0.007685,0.0081501,31183669.39343962
IQ-EUR,1733616000000,0.010245,0.010245,0.0096377,0.0099394,24128881.77060552
IQ-EUR,1733529600000,0.01011,0.011874,0.0099649,0.010378,97993355.04328096
IQ-EUR,1733443200000,0.0083801,0.0125,0.0083801,0.010092,440173531.5287912
IQ-EUR,1733356800000,0.0087615,0.0088,0.008235,0.0083341,23569974.10552501
