market,time,open,high,low,close,volume
JASMY-EUR,1741219200000,0.016433,0.016468,0.016433,0.016468,49857.724013
JASMY-EUR,1741132800000,0.016414,0.0168,0.015644,0.016403,73238127.64763921
JASMY-EUR,1741046400000,0.016387,0.016491,0.014427,0.01584,110543143.44383183
JASMY-EUR,1740960000000,0.018955,0.019598,0.016098,0.017642,108724651.65715137
JASMY-EUR,1740873600000,0.017162,0.019992,0.016958,0.019497,118783953.54524139
JASMY-EUR,1740787200000,0.017449,0.018015,0.01683,0.017307,42769357.03790548
JASMY-EUR,1740700800000,0.017738,0.017745,0.01618,0.017629,84634108.08148518
JASMY-EUR,1740614400000,0.017763,0.018351,0.017116,0.01767,54693321.9261301
JASMY-EUR,1740528000000,0.017695,0.018421,0.016876,0.017698,52268545.71701288
JASMY-EUR,1740441600000,0.017282,0.018046,0.015848,0.017649,165694353.30172616
JASMY-EUR,1740355200000,0.020118,0.020271,0.016656,0.017111,78174262.66159256
JASMY-EUR,1740268800000,0.020441,0.020622,0.0198,0.020096,24712436.42204448
JASMY-EUR,1740182400000,0.019981,0.0206,0.019804,0.020415,29913641.16742658
JASMY-EUR,1740096000000,0.020859,0.021668,0.019674,0.02005,49573329.17342592
JASMY-EUR,1740009600000,0.020341,0.021028,0.020323,0.020875,24195328.35382098
JASMY-EUR,1739923200000,0.020149,0.02068,0.019665,0.020401,49744628.22209004
JASMY-EUR,1739836800000,0.020971,0.021066,0.019106,0.020151,72724668.67686209
JASMY-EUR,1739750400000,0.021008,0.022263,0.02056,0.020994,41807521.86312532
JASMY-EUR,1739664000000,0.02142,0.0215,0.02078,0.020893,28405450.09916918
JASMY-EUR,1739577600000,0.022177,0.022708,0.021075,0.021429,41631667.79122368
JASMY-EUR,1739491200000,0.021063,0.022527,0.021,0.022147,84896010.21518931
JASMY-EUR,1739404800000,0.022113,0.022177,0.020767,0.021003,86054819.94300063
JASMY-EUR,1739318400000,0.021082,0.022449,0.020366,0.022043,122598830.4397857
JASMY-EUR,1739232000000,0.022317,0.0242,0.021096,0.021137,96564250.15006255
JASMY-EUR,1739145600000,0.022198,0.022962,0.021162,0.022193,54068665.7997354
JASMY-EUR,1739059200000,0.0215,0.022298,0.020497,0.022074,50728177.5849686
JASMY-EUR,1738972800000,0.021289,0.021816,0.020656,0.021525,35324601.43400426
JASMY-EUR,1738886400000,0.020839,0.024308,0.020604,0.021321,88238104.70902511
JASMY-EUR,1738800000000,0.021844,0.022591,0.02044,0.020513,76450962.60765442
JASMY-EUR,1738713600000,0.022731,0.023574,0.02163,0.021807,67236912.07476202
JASMY-EUR,1738627200000,0.025925,0.025939,0.021863,0.022734,113062649.2334948
JASMY-EUR,1738540800000,0.024865,0.026269,0.0182,0.025913,215715446.8591842
JASMY-EUR,1738454400000,0.027925,0.029119,0.023724,0.024906,163687920.8337284
JASMY-EUR,1738368000000,0.030907,0.03344,0.027889,0.028028,140735424.91527689
JASMY-EUR,1738281600000,0.03029,0.03324,0.029544,0.030822,212659372.93680695
JASMY-EUR,1738195200000,0.023871,0.032625,0.023413,0.030344,344291869.3155544
JASMY-EUR,1738108800000,0.02244,0.024808,0.022197,0.023782,72215176.43002301
JASMY-EUR,1738022400000,0.024752,0.025012,0.02218,0.02257,66889024.78686404
JASMY-EUR,1737936000000,0.025498,0.025596,0.0228,0.024759,90695791.38262789
JASMY-EUR,1737849600000,0.025725,0.027421,0.025519,0.025519,73765547.70466964
JASMY-EUR,1737763200000,0.025654,0.028066,0.025263,0.02566,49139614.60138769
JASMY-EUR,1737676800000,0.025997,0.028356,0.024779,0.025683,84055454.64821756
JASMY-EUR,1737590400000,0.025691,0.026632,0.0244,0.026054,74930311.22436844
JASMY-EUR,1737504000000,0.026931,0.027092,0.025657,0.02575,33201761.48145685
JASMY-EUR,1737417600000,0.026027,0.027966,0.02486,0.026972,60079159.16247083
JASMY-EUR,1737331200000,0.026421,0.029383,0.0253,0.02601,138088051.72322646
JASMY-EUR,1737244800000,0.030305,0.03074,0.025698,0.02647,144985743.80194315
JASMY-EUR,1737158400000,0.034756,0.035457,0.029391,0.030341,137659987.26977104
JASMY-EUR,1737072000000,0.030345,0.035431,0.030308,0.034792,108124569.41085859
JASMY-EUR,1736985600000,0.032184,0.032291,0.030096,0.030317,73653011.46204823
JASMY-EUR,1736899200000,0.030019,0.032447,0.02584,0.032215,216027060.63744667
JASMY-EUR,1736812800000,0.02941,0.030203,0.028762,0.029791,53997313.74242584
JASMY-EUR,1736726400000,0.030168,0.031155,0.02741,0.029441,129787851.81006788
JASMY-EUR,1736640000000,0.030876,0.030936,0.029754,0.030192,24474433.22614481
JASMY-EUR,1736553600000,0.031142,0.03193,0.030325,0.030816,54836184.93696625
