market,time,open,high,low,close,volume
JUP-EUR,1741132800000,0.60725,0.62093,0.57993,0.58215,2828179.785
JUP-EUR,1741046400000,0.61278,0.65022,0.56788,0.60245,7746424.328
JUP-EUR,1740960000000,0.64465,0.80409,0.6302,0.64515,4085240.871
JUP-EUR,1740873600000,0.73434,0.83696,0.71378,0.73111,3416531.63399999
JUP-EUR,1740787200000,0.71932,0.73723,0.69864,0.71709,1371384.024
JUP-EUR,1740700800000,0.69258,0.73198,0.64562,0.72893,3612207.362
JUP-EUR,1740614400000,0.69406,0.71967,0.68429,0.69139,1809258.264
JUP-EUR,1740528000000,0.66663,0.69552,0.63403,0.69552,2830733.238
JUP-EUR,1740441600000,0.65599,0.67583,0.60479,0.66403,7019605.301
JUP-EUR,1740355200000,0.74308,0.74824,0.63665,0.65637,3877198.692
JUP-EUR,1740268800000,0.75459,0.75992,0.72534,0.74047,590069.158
JUP-EUR,1740182400000,0.72647,0.774,0.72414,0.75614,1125091.515
JUP-EUR,1740096000000,0.74811,0.80265,0.72411,0.72829,3712993.556
JUP-EUR,1740009600000,0.68988,0.75758,0.68556,0.74864,2620998.333
JUP-EUR,1739923200000,0.68977,0.73238,0.666,0.68827,3016603.461
JUP-EUR,1739836800000,0.77617,0.77981,0.64303,0.68955,5690983.355
JUP-EUR,1739750400000,0.83811,0.85528,0.7614,0.77754,2196214.679
JUP-EUR,1739664000000,0.88847,0.91595,0.82242,0.83839,1123722.572
JUP-EUR,1739577600000,0.91098,0.92,0.87194,0.88939,1043643.756
JUP-EUR,1739491200000,0.81684,0.95779,0.81645,0.91319,3602614.415
JUP-EUR,1739404800000,0.82604,0.84714,0.77667,0.81421,1504791.262
JUP-EUR,1739318400000,0.79619,0.83948,0.76609,0.82735,1891709.112
JUP-EUR,1739232000000,0.8112,0.85002,0.78152,0.79653,2448616.115
JUP-EUR,1739145600000,0.80849,0.83748,0.77811,0.81129,817643.482
JUP-EUR,1739059200000,0.81466,0.85671,0.76818,0.80803,1106837.024
JUP-EUR,1738972800000,0.77242,0.8216,0.76045,0.81576,876686.68
JUP-EUR,1738886400000,0.79568,0.84654,0.75353,0.77633,1316880.766
JUP-EUR,1738800000000,0.854,0.87438,0.7895,0.79709,1066250.322
JUP-EUR,1738713600000,0.92556,0.9396,0.84846,0.85059,1176155.28
JUP-EUR,1738627200000,0.97748,1.0383,0.88995,0.92556,2880457.777
JUP-EUR,1738540800000,0.8918,0.99815,0.72721,0.97767,4756491.899
JUP-EUR,1738454400000,0.89242,0.95497,0.83477,0.89263,3220078.069
JUP-EUR,1738368000000,0.99638,1.0129,0.88922,0.89297,1400938.588
JUP-EUR,1738281600000,1.0502,1.0508,0.98309,1.0003,1757775.463
JUP-EUR,1738195200000,1.0404,1.1084,1.0224,1.051,3106507.47
JUP-EUR,1738108800000,1.0715,1.1133,1.0043,1.043,3568364.499
JUP-EUR,1738022400000,1.0788,1.2006,1.0523,1.0772,6164607.944
JUP-EUR,1737936000000,1.0075,1.1056,0.89653,1.0762,10160262.371
JUP-EUR,1737849600000,0.92221,1.2108,0.85659,1.0075,13098088.212
JUP-EUR,1737763200000,0.80754,0.9765,0.78283,0.92462,6389130.836
JUP-EUR,1737676800000,0.76629,0.85219,0.76317,0.80357,2668047.608
JUP-EUR,1737590400000,0.764,0.775,0.7317,0.76543,1798780.346
JUP-EUR,1737504000000,0.84399,0.87089,0.7494,0.76734,4132797.485
JUP-EUR,1737417600000,0.90013,0.906,0.81863,0.84843,1583840.047
JUP-EUR,1737331200000,0.93832,1.0191,0.86305,0.89911,4228844.407
JUP-EUR,1737244800000,1.1114,1.1833,0.91825,0.93933,9117770.506
JUP-EUR,1737158400000,0.81501,1.1332,0.80125,1.113,16033977.07
JUP-EUR,1737072000000,0.76458,0.82095,0.76372,0.81567,784543.702
JUP-EUR,1736985600000,0.81281,0.81281,0.75693,0.76454,988389.415
JUP-EUR,1736899200000,0.77781,0.8127,0.75554,0.81169,1288190.379
JUP-EUR,1736812800000,0.75237,0.79064,0.75237,0.77836,497811.478
JUP-EUR,1736726400000,0.77936,0.80447,0.6933,0.75218,842777.783
JUP-EUR,1736640000000,0.79581,0.8001,0.77008,0.78087,235638.04
JUP-EUR,1736553600000,0.78032,0.8112,0.76663,0.7951,498727.363
JUP-EUR,1736467200000,0.77235,0.79762,0.76127,0.78233,289040.913
JUP-EUR,1736380800000,0.80442,0.81363,0.75614,0.77004,224906.492
JUP-EUR,1736294400000,0.82755,0.83753,0.76068,0.80524,317941.371
JUP-EUR,1736208000000,0.92043,0.92559,0.83001,0.83309,577312.154
JUP-EUR,1736121600000,0.91878,0.94359,0.90078,0.9207,312641.459
JUP-EUR,1736035200000,0.92685,0.93666,0.90656,0.9203,209461.582
JUP-EUR,1735948800000,0.93319,0.93708,0.90891,0.92504,253755.841
JUP-EUR,1735862400000,0.89632,0.94487,0.88102,0.93246,440584.957
JUP-EUR,1735776000000,0.81785,0.903,0.81763,0.8978,435074.898
JUP-EUR,1735689600000,0.78441,0.8241,0.77785,0.82031,188722.102
JUP-EUR,1735603200000,0.77716,0.82417,0.76203,0.78716,265150.584
JUP-EUR,1735516800000,0.768,0.80065,0.75582,0.77972,426287.884
JUP-EUR,1735430400000,0.80483,0.80483,0.76184,0.76898,174590.446
JUP-EUR,1735344000000,0.78037,0.81214,0.76922,0.80698,153452.993
JUP-EUR,1735257600000,0.8048,0.83,0.77129,0.77852,250891.773
JUP-EUR,1735171200000,0.86943,0.87287,0.79285,0.80237,255893.222
JUP-EUR,1735084800000,0.85957,0.88117,0.85352,0.8647,212643.528
JUP-EUR,1734998400000,0.83413,0.8731,0.81208,0.86144,340749.304
JUP-EUR,1734912000000,0.77941,0.85,0.76126,0.83673,484178.243
JUP-EUR,1734825600000,0.7824,0.81509,0.75882,0.77884,331824.439
JUP-EUR,1734739200000,0.8412,0.9,0.77574,0.78183,457785.738
JUP-EUR,1734652800000,0.82614,0.84894,0.71622,0.84374,1913345.242
JUP-EUR,1734566400000,0.89499,0.90729,0.78415,0.82353,1266114.731
JUP-EUR,1734480000000,0.97994,0.99126,0.89493,0.89647,621321.568
JUP-EUR,1734393600000,1.0134,1.0455,0.97184,0.9823,595541.145
JUP-EUR,1734307200000,1.0548,1.0696,0.99264,1.0116,773777.658
JUP-EUR,1734220800000,1.0285,1.0583,0.99441,1.0551,377123.909
JUP-EUR,1734134400000,1.0698,1.0925,1.0039,1.0329,315167.921
JUP-EUR,1734048000000,1.086,1.1026,1.047,1.0683,367661.588
JUP-EUR,1733961600000,1.0695,1.1612,1.0695,1.0874,631785.503
JUP-EUR,1733875200000,0.99913,1.1006,0.96472,1.0734,799276.254
JUP-EUR,1733788800000,1.0312,1.0425,0.92228,0.99898,2345612.563
JUP-EUR,1733702400000,1.2662,1.2662,0.89,1.0345,2483501.27
JUP-EUR,1733616000000,1.2964,1.311,1.2307,1.2675,412200.966
JUP-EUR,1733529600000,1.2697,1.3311,1.2559,1.2957,504240.162
JUP-EUR,1733443200000,1.2753,1.3362,1.2284,1.267,962280.683
JUP-EUR,1733356800000,1.2227,1.3653,1.1779,1.2786,2173792.17399999
JUP-EUR,1733270400000,1.185,1.2786,1.1753,1.2224,1779152.319
JUP-EUR,1733184000000,1.1365,1.2341,1.0384,1.1842,3384003.27199998
JUP-EUR,1733097600000,1.1861,1.2001,1.067,1.1453,1548414.87599999
JUP-EUR,1733011200000,1.0936,1.2003,1.0606,1.1819,1197076.497
JUP-EUR,1732924800000,1.0869,1.1232,1.075,1.0953,584621.277
JUP-EUR,1732838400000,1.074,1.1358,1.0588,1.0876,1707496.859
JUP-EUR,1732752000000,1.0574,1.0869,1.0224,1.0699,838873.287
JUP-EUR,1732665600000,0.98149,1.07,0.9693,1.059,1130215.859
JUP-EUR,1732579200000,1.0187,1.0506,0.9387,0.98562,1453570.76
JUP-EUR,1732492800000,1.076,1.1124,0.9914,1.0199,1356036.876
JUP-EUR,1732406400000,1.0728,1.1234,0.99287,1.0739,1323902.621
JUP-EUR,1732320000000,1.0759,1.146,1.0441,1.0786,1270471.17
JUP-EUR,1732233600000,1.0749,1.1121,1.0336,1.0752,1319621.785
JUP-EUR,1732147200000,1.0103,1.119,0.963,1.0758,2360419.537
JUP-EUR,1732060800000,1.0706,1.0781,0.99697,1.0119,1000138.434
JUP-EUR,1731974400000,1.107,1.1301,1.0516,1.0706,1297188.469
JUP-EUR,1731888000000,1.129,1.1648,1.0629,1.1098,1804151.361
JUP-EUR,1731801600000,1.0541,1.2478,1.0315,1.1269,2763017.405
JUP-EUR,1731715200000,1.072,1.0957,1.0245,1.0572,552663.641
JUP-EUR,1731628800000,1.016,1.0857,0.97835,1.0732,698757.532
JUP-EUR,1731542400000,1.1006,1.1438,1,1.0122,1491843.684
JUP-EUR,1731456000000,1.094,1.1556,0.99797,1.1,2405402.589
JUP-EUR,1731369600000,1.1539,1.1903,1.0061,1.0954,3316838.329
JUP-EUR,1731283200000,1.1614,1.1738,1.0917,1.156,2900451.708
JUP-EUR,1731196800000,1.1344,1.2078,1.0751,1.1604,3305168.17099999
JUP-EUR,1731110400000,1.034,1.1757,1.022,1.1334,2088854.529
JUP-EUR,1731024000000,0.98,1.062,0.98,1.038,2094255.696
JUP-EUR,1730937600000,0.96538,0.99749,0.91151,0.97554,1724415.796
JUP-EUR,1730851200000,0.84137,0.97413,0.835,0.96307,2671815.51299999
JUP-EUR,1730764800000,0.79,0.86825,0.79,0.84063,887917.74
JUP-EUR,1730678400000,0.81074,0.83574,0.7633,0.78673,932351.979
JUP-EUR,1730592000000,0.86292,0.86472,0.7827,0.81378,827372.208
JUP-EUR,1730505600000,0.88785,0.9,0.84948,0.85879,159240.053
JUP-EUR,1730419200000,0.88598,0.93949,0.867,0.88698,729996.548
JUP-EUR,1730332800000,0.93147,0.94274,0.88217,0.89009,433606.187
