market,time,open,high,low,close,volume
KAIA-EUR,1741132800000,0.10999,0.11192,0.108,0.108,18115.54295252
KAIA-EUR,1741046400000,0.10535,0.11004,0.10528,0.1097,99328.75993434
KAIA-EUR,1740960000000,0.10938,0.12246,0.10931,0.10974,43277.26931143
KAIA-EUR,1740873600000,0.11516,0.12487,0.11502,0.11618,35570.53485966
KAIA-EUR,1740787200000,0.11848,0.11952,0.11314,0.11798,39644.83833131
KAIA-EUR,1740700800000,0.11603,0.12042,0.11143,0.11912,106909.71084724
KAIA-EUR,1740614400000,0.12165,0.12239,0.11859,0.11994,38429.67360971
KAIA-EUR,1740528000000,0.12441,0.12458,0.119,0.12215,73034.35397118
KAIA-EUR,1740441600000,0.12,0.12555,0.1157,0.12357,139101.93557661
KAIA-EUR,1740355200000,0.1321,0.13306,0.1199,0.1199,444109.68349965
KAIA-EUR,1740268800000,0.1299,0.13387,0.12821,0.13259,246273.49709044
KAIA-EUR,1740182400000,0.12311,0.13386,0.12311,0.12966,169043.14742608
KAIA-EUR,1740096000000,0.1248,0.13447,0.12179,0.12293,254042.24144813
KAIA-EUR,1740009600000,0.12506,0.12595,0.12392,0.12563,52254.27754777
KAIA-EUR,1739923200000,0.11905,0.12433,0.11871,0.12346,62597.32342297
KAIA-EUR,1739836800000,0.12544,0.12544,0.1152,0.11687,291331.1027144
KAIA-EUR,1739750400000,0.12388,0.12768,0.12328,0.12463,39514.34108702
KAIA-EUR,1739664000000,0.12516,0.12695,0.12408,0.1249,14979.47123965
KAIA-EUR,1739577600000,0.12709,0.1271,0.12501,0.12502,13715.57891571
KAIA-EUR,1739491200000,0.12744,0.12903,0.12623,0.12679,94047.3116119
KAIA-EUR,1739404800000,0.12925,0.12925,0.12428,0.12528,71171.82664473
KAIA-EUR,1739318400000,0.12661,0.12993,0.12469,0.12993,240736.22910805
KAIA-EUR,1739232000000,0.1303,0.13362,0.12417,0.12617,146614.74972473
KAIA-EUR,1739145600000,0.12639,0.13055,0.12639,0.1293,220873.90010441
KAIA-EUR,1739059200000,0.12915,0.12915,0.12258,0.12258,216527.54671785
