market,time,open,high,low,close,volume
KAITO-EUR,1741219200000,1.669,1.6732,1.6503,1.6576,9154.1549523
KAITO-EUR,1741132800000,1.6382,2.1321,1.3957,1.6603,4482091.8783269
KAITO-EUR,1741046400000,1.4412,1.6175,1.376,1.4534,2528995.90666698
KAITO-EUR,1740960000000,1.9604,2.1,1.5761,2.0645,2504175.83775109
KAITO-EUR,1740873600000,2.1379,2.3289,1.964,2.2569,4456386.5492822
KAITO-EUR,1740787200000,2.23,2.3416,1.9086,2.1277,3825514.08202839
KAITO-EUR,1740700800000,2.0655,2.1214,1.8033,1.9216,5425176.2317331
KAITO-EUR,1740614400000,2.3335,2.8099,2.0032,2.0657,7495186.00880541
KAITO-EUR,1740528000000,1.6412,2.4454,1.6078,2.3376,7788178.38893628
KAITO-EUR,1740441600000,1.6376,1.7927,1.5238,1.6448,4258367.01245272
KAITO-EUR,1740355200000,1.4983,1.9371,1.4492,1.6413,7073110.44971526
KAITO-EUR,1740268800000,1.4775,1.5643,1.3802,1.499,2122747.58400249
KAITO-EUR,1740182400000,1.3699,1.7378,1.2963,1.4732,4281018.87731049
KAITO-EUR,1740096000000,1.5678,2.0188,1.2048,1.3712,13849518.64007644
KAITO-EUR,1740009600000,0.91544,2.0115,0.90532,1.5644,8303119.17978154
