market,time,open,high,low,close,volume
KAS-EUR,1741219200000,0.069624,0.069624,0.069624,0.069624,100.28932036
KAS-EUR,1741132800000,0.069126,0.073281,0.067916,0.071784,6368258.89105057
KAS-EUR,1741046400000,0.075448,0.075456,0.065424,0.069836,12481595.22429701
KAS-EUR,1740960000000,0.080954,0.086967,0.073816,0.083612,19036030.82269449
KAS-EUR,1740873600000,0.075954,0.091603,0.072858,0.086977,12801109.9209355
KAS-EUR,1740787200000,0.07598,0.081801,0.072442,0.0769,7093880.325148
KAS-EUR,1740700800000,0.081027,0.081027,0.0716,0.075888,14925710.81567646
KAS-EUR,1740614400000,0.082138,0.08399,0.079062,0.081046,8986909.36654468
KAS-EUR,1740528000000,0.087838,0.089498,0.07999,0.081901,16451119.39591487
KAS-EUR,1740441600000,0.086036,0.089559,0.081043,0.087829,16272183.13272228
KAS-EUR,1740355200000,0.094557,0.095083,0.085923,0.086031,8303902.31153708
KAS-EUR,1740268800000,0.096163,0.09761,0.09264,0.094617,3003082.05580595
KAS-EUR,1740182400000,0.095085,0.098181,0.094252,0.09681,3353349.75995764
KAS-EUR,1740096000000,0.10127,0.10415,0.093392,0.095299,9728222.07406248
KAS-EUR,1740009600000,0.10195,0.10494,0.099,0.10137,4855353.0209029
KAS-EUR,1739923200000,0.097989,0.1038,0.09681,0.10211,6923023.39831352
KAS-EUR,1739836800000,0.10021,0.10225,0.093813,0.097447,8990687.17736508
KAS-EUR,1739750400000,0.10423,0.10696,0.099144,0.1001,6887509.77621507
KAS-EUR,1739664000000,0.10246,0.10722,0.10214,0.10433,5231849.41847399
KAS-EUR,1739577600000,0.10174,0.10522,0.10019,0.10233,6509842.84973346
KAS-EUR,1739491200000,0.097956,0.10662,0.097155,0.10189,6721827.34917547
KAS-EUR,1739404800000,0.094578,0.10321,0.091684,0.098079,9700061.0366121
KAS-EUR,1739318400000,0.092602,0.096882,0.086351,0.094879,10398868.90978427
KAS-EUR,1739232000000,0.090394,0.10676,0.090394,0.092551,16599399.42435459
KAS-EUR,1739145600000,0.083941,0.0912,0.081757,0.0905,5211864.71595115
KAS-EUR,1739059200000,0.085503,0.087578,0.079732,0.084004,6655673.19081139
KAS-EUR,1738972800000,0.084574,0.086742,0.082365,0.086071,6072018.21165533
KAS-EUR,1738886400000,0.080289,0.091692,0.079705,0.08493,10034307.87470972
KAS-EUR,1738800000000,0.089302,0.08998,0.078835,0.080136,15437784.95149132
KAS-EUR,1738713600000,0.09522,0.09673,0.0889,0.088901,6981465.97796286
KAS-EUR,1738627200000,0.10735,0.10758,0.090625,0.095533,11212834.90871489
KAS-EUR,1738540800000,0.11292,0.11295,0.06984,0.10695,29915664.49796682
