market,time,open,high,low,close,volume
KAVA-EUR,1741132800000,0.40017,0.42295,0.3946,0.41496,63680.797
KAVA-EUR,1741046400000,0.393,0.39813,0.36826,0.39697,190372.003
KAVA-EUR,1740960000000,0.4112,0.43734,0.38293,0.38825,105680.432
KAVA-EUR,1740873600000,0.40861,0.44276,0.40679,0.43842,96288.308
KAVA-EUR,1740787200000,0.42144,0.42144,0.40453,0.40892,21422.033
KAVA-EUR,1740700800000,0.41487,0.42919,0.39793,0.42129,174043.015
KAVA-EUR,1740614400000,0.39946,0.42001,0.39946,0.41593,87934.976
KAVA-EUR,1740528000000,0.38923,0.3988,0.37517,0.39755,92085.907
KAVA-EUR,1740441600000,0.37761,0.3936,0.35953,0.3936,330577.793
KAVA-EUR,1740355200000,0.41771,0.41771,0.36777,0.38037,123567.268
KAVA-EUR,1740268800000,0.42017,0.42515,0.41285,0.4139,19747.197
KAVA-EUR,1740182400000,0.40728,0.41861,0.4,0.41601,37945.969
KAVA-EUR,1740096000000,0.43368,0.4407,0.40297,0.40379,48617.57
KAVA-EUR,1740009600000,0.43338,0.43961,0.43187,0.43762,29654.872
KAVA-EUR,1739923200000,0.434,0.44166,0.434,0.43628,14410.281
KAVA-EUR,1739836800000,0.43834,0.44136,0.43265,0.43908,10151.939
KAVA-EUR,1739750400000,0.44027,0.44698,0.43566,0.43822,20137.271
KAVA-EUR,1739664000000,0.45541,0.46634,0.43614,0.43885,43385.865
KAVA-EUR,1739577600000,0.46325,0.46622,0.45,0.45365,10816.774
KAVA-EUR,1739491200000,0.45444,0.46864,0.45444,0.46034,40804.929
KAVA-EUR,1739404800000,0.4874,0.5,0.45974,0.46018,25488.105
KAVA-EUR,1739318400000,0.4513,0.4874,0.4513,0.4836,196363.774
KAVA-EUR,1739232000000,0.4508,0.46413,0.44932,0.4574,84808.506
KAVA-EUR,1739145600000,0.46284,0.46584,0.45,0.4525,22908.726
KAVA-EUR,1739059200000,0.45062,0.46406,0.44042,0.46386,53084.274
KAVA-EUR,1738972800000,0.46652,0.47086,0.4435,0.45186,84120.951
KAVA-EUR,1738886400000,0.43578,0.47496,0.43578,0.46458,50385.358
KAVA-EUR,1738800000000,0.44689,0.47,0.43577,0.43577,89460.924
KAVA-EUR,1738713600000,0.46195,0.48607,0.43757,0.44477,194645.072
KAVA-EUR,1738627200000,0.52467,0.54488,0.45,0.46512,340530.824
KAVA-EUR,1738540800000,0.41942,0.52433,0.4,0.51949,868095.092
KAVA-EUR,1738454400000,0.435,0.4591,0.411,0.42191,193570.594
KAVA-EUR,1738368000000,0.43946,0.46645,0.4358,0.43893,274763.906
KAVA-EUR,1738281600000,0.40886,0.48144,0.40886,0.43715,369570.831
KAVA-EUR,1738195200000,0.39696,0.41793,0.39696,0.41462,28509.825
KAVA-EUR,1738108800000,0.39825,0.40872,0.38497,0.39849,35424.02
KAVA-EUR,1738022400000,0.41891,0.42222,0.39625,0.3972,34505.582
