market,time,open,high,low,close,volume
KDA-EUR,1741132800000,0.45453,0.481,0.44522,0.45879,86700.74186425
KDA-EUR,1741046400000,0.455,0.4625,0.42543,0.45997,115225.17680555
KDA-EUR,1740960000000,0.53792,0.55103,0.46465,0.47531,307415.47608013
KDA-EUR,1740873600000,0.46805,0.55546,0.46805,0.54053,164365.72003912
KDA-EUR,1740787200000,0.46954,0.48575,0.4636,0.47758,21966.53855021
KDA-EUR,1740700800000,0.47453,0.49039,0.44507,0.48448,37923.53428922
KDA-EUR,1740614400000,0.47381,0.48808,0.46528,0.47657,30411.25595285
KDA-EUR,1740528000000,0.47171,0.49229,0.45757,0.47945,147500.10379716
KDA-EUR,1740441600000,0.45778,0.48596,0.42709,0.47699,156486.06312924
KDA-EUR,1740355200000,0.5179,0.51997,0.45,0.45372,129254.15229755
KDA-EUR,1740268800000,0.53958,0.54396,0.51132,0.51537,25551.12421564
KDA-EUR,1740182400000,0.51475,0.54362,0.51369,0.53191,30405.37050737
KDA-EUR,1740096000000,0.53298,0.56,0.50385,0.51211,94954.45164233
KDA-EUR,1740009600000,0.5155,0.53235,0.50851,0.53235,75082.2503887
KDA-EUR,1739923200000,0.502,0.52048,0.49838,0.51249,68139.79412154
KDA-EUR,1739836800000,0.50349,0.50764,0.4762,0.5011,70916.69250706
KDA-EUR,1739750400000,0.51614,0.53499,0.50226,0.50815,71270.53118438
KDA-EUR,1739664000000,0.51624,0.52872,0.50973,0.51821,21358.75666937
KDA-EUR,1739577600000,0.5405,0.54536,0.51565,0.51754,25106.34412775
KDA-EUR,1739491200000,0.54249,0.56544,0.52728,0.54288,131378.11520151
KDA-EUR,1739404800000,0.55554,0.56287,0.53309,0.55049,105646.52404409
KDA-EUR,1739318400000,0.52357,0.5647,0.50853,0.55539,100190.91741871
KDA-EUR,1739232000000,0.53545,0.5647,0.51883,0.5216,135870.59353537
KDA-EUR,1739145600000,0.52163,0.54175,0.51707,0.52868,46755.53756482
KDA-EUR,1739059200000,0.52495,0.54057,0.495,0.51734,95195.26228075
KDA-EUR,1738972800000,0.49645,0.53094,0.49255,0.52158,29545.08122786
KDA-EUR,1738886400000,0.4971,0.5442,0.48162,0.49979,66502.54019959
KDA-EUR,1738800000000,0.51898,0.53331,0.48419,0.48642,38123.01250796
KDA-EUR,1738713600000,0.53912,0.54743,0.51156,0.51698,73264.58851857
KDA-EUR,1738627200000,0.58869,0.58869,0.51814,0.54178,186165.61524438
KDA-EUR,1738540800000,0.55677,0.60512,0.40869,0.5936,252037.96577198
KDA-EUR,1738454400000,0.63726,0.64619,0.54201,0.56707,129633.0158256
KDA-EUR,1738368000000,0.74641,0.7475,0.63149,0.63546,99035.40235879
KDA-EUR,1738281600000,0.74775,0.77062,0.72423,0.73402,71297.92690474
KDA-EUR,1738195200000,0.70556,0.77696,0.70556,0.74391,291200.38522296
KDA-EUR,1738108800000,0.65901,0.72407,0.65709,0.69389,75265.99724148
KDA-EUR,1738022400000,0.73073,0.74008,0.65003,0.65786,143263.91700592
KDA-EUR,1737936000000,0.7837,0.7837,0.68807,0.7274,171080.5526275
KDA-EUR,1737849600000,0.78008,0.84175,0.77682,0.78946,89315.81302263
KDA-EUR,1737763200000,0.73692,0.8163,0.73072,0.78201,363158.24909171
KDA-EUR,1737676800000,0.76861,0.79601,0.74262,0.74262,30500.60279589
KDA-EUR,1737590400000,0.8,0.83011,0.75339,0.7818,95831.20994858
KDA-EUR,1737504000000,0.8809,0.8819,0.80178,0.80861,48354.36032173
KDA-EUR,1737417600000,0.80498,0.89454,0.76793,0.87681,125172.28168861
KDA-EUR,1737331200000,0.81342,0.90847,0.77373,0.81544,236406.49748769
KDA-EUR,1737244800000,0.9452,0.9452,0.80746,0.82935,242446.11196006
KDA-EUR,1737158400000,1.0472,1.06,0.92041,0.9449,215391.7309322
KDA-EUR,1737072000000,0.87165,1.0592,0.87165,1.0454,327606.77311787
KDA-EUR,1736985600000,0.84301,0.92149,0.81449,0.86537,291762.21239907
KDA-EUR,1736899200000,0.79085,0.84982,0.76162,0.84372,239813.26713948
KDA-EUR,1736812800000,0.74112,0.79227,0.74112,0.78578,146497.24841058
KDA-EUR,1736726400000,0.77613,0.78325,0.68832,0.74323,96212.39950656
KDA-EUR,1736640000000,0.80137,0.80262,0.75978,0.76222,14771.58719038
KDA-EUR,1736553600000,0.79633,0.82198,0.785,0.80008,17207.88965708
KDA-EUR,1736467200000,0.80194,0.82812,0.7854,0.8156,67234.82244153
KDA-EUR,1736380800000,0.84663,0.84815,0.77148,0.80087,95715.12398977
KDA-EUR,1736294400000,0.884,0.89593,0.78671,0.8492,122633.43804513
KDA-EUR,1736208000000,0.99795,1.0065,0.88551,0.88982,82953.49790668
KDA-EUR,1736121600000,0.99936,1.065,0.97233,0.997,102856.39164002
KDA-EUR,1736035200000,0.98496,1.0051,0.96791,1.0047,40444.80310321
KDA-EUR,1735948800000,1.0183,1.0209,0.97249,0.99072,63305.57194236
KDA-EUR,1735862400000,0.96272,1.0179,0.93537,1.0101,188736.11850002
KDA-EUR,1735776000000,0.94031,1.0037,0.94031,0.96885,92828.57606977
KDA-EUR,1735689600000,0.90026,0.95802,0.86618,0.94324,57134.43968798
KDA-EUR,1735603200000,0.90559,0.946,0.87,0.89192,41044.58825296
KDA-EUR,1735516800000,0.92888,0.959,0.85068,0.90128,135111.45571274
KDA-EUR,1735430400000,0.9882,0.9882,0.913,0.9161,67184.3553279
KDA-EUR,1735344000000,0.96755,1.0059,0.93271,0.99212,86849.09583606
KDA-EUR,1735257600000,0.92993,1.025,0.92993,0.95289,124329.18788263
KDA-EUR,1735171200000,1.0366,1.0436,0.91938,0.94018,112559.21338923
KDA-EUR,1735084800000,1.0542,1.0954,1.0149,1.0347,21369.42093483
KDA-EUR,1734998400000,0.98426,1.0882,0.95888,1.0586,114113.28580851
KDA-EUR,1734912000000,0.92211,1.0283,0.9113,0.98957,79441.25885116
KDA-EUR,1734825600000,0.92977,0.9626,0.89058,0.92555,45927.59818533
KDA-EUR,1734739200000,0.98158,1.0592,0.91321,0.93867,84468.11780902
KDA-EUR,1734652800000,0.9567,1.0116,0.81659,0.98411,225651.09562337
KDA-EUR,1734566400000,1.0673,1.0733,0.916,0.95894,209605.59450535
KDA-EUR,1734480000000,1.1863,1.1864,1.0352,1.0648,248877.39615411
KDA-EUR,1734393600000,1.2333,1.2665,1.1688,1.1688,77417.60175183
KDA-EUR,1734307200000,1.3545,1.3984,1.2335,1.2391,128142.72287817
KDA-EUR,1734220800000,1.2273,1.3627,1.1994,1.3557,130857.84778015
KDA-EUR,1734134400000,1.3352,1.349,1.1947,1.2287,123846.94199413
KDA-EUR,1734048000000,1.3142,1.355,1.27,1.3235,261197.47700222
KDA-EUR,1733961600000,1.4185,1.4309,1.3025,1.3048,161370.42277618
KDA-EUR,1733875200000,1.2794,1.4817,1.2641,1.4244,271802.58279625
KDA-EUR,1733788800000,1.3487,1.3765,1.125,1.2647,280982.62873111
KDA-EUR,1733702400000,1.6608,1.6642,1.1072,1.3651,457862.60365554
KDA-EUR,1733616000000,1.7437,1.7579,1.6351,1.665,107251.6098461
KDA-EUR,1733529600000,1.6912,1.8798,1.6293,1.74,306041.25948291
KDA-EUR,1733443200000,1.6072,1.785,1.5911,1.6719,202650.31697665
KDA-EUR,1733356800000,1.5477,1.69,1.5313,1.6091,191253.99622298
KDA-EUR,1733270400000,1.6332,1.7387,1.502,1.5332,767515.59115052
KDA-EUR,1733184000000,1.1182,1.7053,1.1157,1.6145,1520807.04895377
KDA-EUR,1733097600000,1.1,1.136,1.02,1.1216,286949.71771763
KDA-EUR,1733011200000,1.1183,1.1656,1.0753,1.105,176649.39568025
KDA-EUR,1732924800000,1.1676,1.1933,1.1094,1.1173,234932.17368937
KDA-EUR,1732838400000,1.0916,1.2269,1.0916,1.1629,355444.72527501
KDA-EUR,1732752000000,1.12,1.1891,1.0569,1.0949,775638.63128163
KDA-EUR,1732665600000,0.89141,1.1942,0.87936,1.1345,921530.29805208
KDA-EUR,1732579200000,0.88727,1.0298,0.87391,0.89951,673103.27820235
KDA-EUR,1732492800000,0.82919,1.0437,0.7875,0.8858,1766194.5835511
KDA-EUR,1732406400000,0.78776,0.84651,0.728,0.83088,213890.495655
KDA-EUR,1732320000000,0.70734,0.80196,0.70734,0.78873,333052.55137726
KDA-EUR,1732233600000,0.65874,0.70647,0.644,0.70647,408038.38089568
KDA-EUR,1732147200000,0.62737,0.67875,0.60392,0.66284,104796.457479
KDA-EUR,1732060800000,0.65595,0.67875,0.62169,0.623,170519.57910896
KDA-EUR,1731974400000,0.67035,0.69,0.63767,0.65512,292715.61626328
KDA-EUR,1731888000000,0.618,0.6984,0.616,0.6856,474175.12198323
KDA-EUR,1731801600000,0.63138,0.69643,0.59594,0.60426,475135.67646115
KDA-EUR,1731715200000,0.61619,0.64766,0.60261,0.63206,203745.83341618
KDA-EUR,1731628800000,0.55832,0.66583,0.546,0.617,273521.1106368
KDA-EUR,1731542400000,0.58043,0.61322,0.55,0.55269,136452.2200232
KDA-EUR,1731456000000,0.58617,0.61805,0.543,0.58255,157044.56059052
KDA-EUR,1731369600000,0.58477,0.62236,0.54266,0.58675,190508.4928351
KDA-EUR,1731283200000,0.57267,0.59414,0.551,0.59389,168468.96564315
KDA-EUR,1731196800000,0.54,0.59458,0.52796,0.56631,119420.61623131
KDA-EUR,1731110400000,0.50976,0.55162,0.50976,0.54497,104002.87325295
KDA-EUR,1731024000000,0.51142,0.51701,0.49291,0.50901,52168.4721147
KDA-EUR,1730937600000,0.51182,0.522,0.49758,0.5037,16507.82717988
KDA-EUR,1730851200000,0.461,0.51558,0.461,0.51215,17656.75045914
KDA-EUR,1730764800000,0.43458,0.4595,0.43458,0.45133,8746.00055677
KDA-EUR,1730678400000,0.45282,0.45282,0.41926,0.43251,50185.693869
KDA-EUR,1730592000000,0.46795,0.46795,0.435,0.45376,91475.01732545
KDA-EUR,1730505600000,0.4801,0.48011,0.46424,0.46905,4078.69737141
KDA-EUR,1730419200000,0.4815,0.49563,0.471,0.47171,7667.91341361
