market,time,open,high,low,close,volume
KMD-EUR,1741132800000,0.16271,0.16563,0.15973,0.1605,21280.11621016
KMD-EUR,1741046400000,0.158,0.17049,0.155,0.16274,34065.03358676
KMD-EUR,1740960000000,0.18887,0.19885,0.1665,0.16787,156032.84375278
KMD-EUR,1740873600000,0.17982,0.2,0.17875,0.19728,177923.99019396
KMD-EUR,1740787200000,0.18013,0.1818,0.17394,0.17995,37882.38813599
KMD-EUR,1740700800000,0.1784,0.18074,0.16449,0.1794,55104.60589686
KMD-EUR,1740614400000,0.17271,0.19309,0.17241,0.17896,548433.2276099
KMD-EUR,1740528000000,0.16878,0.17297,0.163,0.17038,34481.85553387
KMD-EUR,1740441600000,0.16538,0.171,0.15762,0.17056,61974.66399278
KMD-EUR,1740355200000,0.19239,0.19239,0.16877,0.16877,19925.15045113
KMD-EUR,1740268800000,0.19489,0.19815,0.19004,0.19147,15482.0976078
KMD-EUR,1740182400000,0.18977,0.20127,0.18914,0.19649,76496.91376986
KMD-EUR,1740096000000,0.1928,0.20039,0.18644,0.18791,112494.84486799
KMD-EUR,1740009600000,0.19243,0.19443,0.18919,0.19368,14585.29250985
KMD-EUR,1739923200000,0.18918,0.19316,0.18859,0.18859,17024.03587721
KMD-EUR,1739836800000,0.19174,0.19253,0.18207,0.18597,106945.44553099
KMD-EUR,1739750400000,0.201,0.20211,0.19044,0.19365,23165.32914095
KMD-EUR,1739664000000,0.19887,0.20359,0.19559,0.19742,20521.38520161
KMD-EUR,1739577600000,0.20112,0.20359,0.1966,0.1968,5590.83910442
KMD-EUR,1739491200000,0.19589,0.2055,0.195,0.20157,62035.44964041
KMD-EUR,1739404800000,0.2022,0.2022,0.19117,0.19476,33641.51667821
KMD-EUR,1739318400000,0.19123,0.20396,0.187,0.20289,43096.2466805
KMD-EUR,1739232000000,0.1925,0.19721,0.18822,0.19093,62747.25433457
KMD-EUR,1739145600000,0.18731,0.19152,0.18165,0.19012,52985.31857472
KMD-EUR,1739059200000,0.1895,0.19249,0.18083,0.18166,30886.24040164
KMD-EUR,1738972800000,0.17711,0.18566,0.17462,0.1848,30306.16424574
KMD-EUR,1738886400000,0.17497,0.18695,0.17072,0.17072,40864.09045491
KMD-EUR,1738800000000,0.18527,0.18925,0.17231,0.17282,86669.9273977
KMD-EUR,1738713600000,0.18468,0.18921,0.18059,0.1825,44357.56269212
KMD-EUR,1738627200000,0.19371,0.19371,0.17898,0.18455,23491.40233006
KMD-EUR,1738540800000,0.18446,0.19577,0.15181,0.19517,142085.20933362
KMD-EUR,1738454400000,0.20987,0.21484,0.185,0.18729,243193.26289854
KMD-EUR,1738368000000,0.22246,0.22791,0.2076,0.2076,82293.66396596
KMD-EUR,1738281600000,0.22856,0.234,0.22179,0.22179,19956.62456093
KMD-EUR,1738195200000,0.22147,0.23425,0.21892,0.2295,62610.7862308
KMD-EUR,1738108800000,0.21306,0.22315,0.21182,0.22278,14042.85248624
KMD-EUR,1738022400000,0.22472,0.22472,0.21117,0.21455,27921.91183505
KMD-EUR,1737936000000,0.228,0.22999,0.20694,0.22551,139440.53440315
KMD-EUR,1737849600000,0.23456,0.24106,0.2304,0.23122,10732.15872366
KMD-EUR,1737763200000,0.23066,0.24438,0.2271,0.2345,205388.08303538
KMD-EUR,1737676800000,0.23654,0.24287,0.2281,0.22874,75806.82074714
KMD-EUR,1737590400000,0.24393,0.24393,0.23001,0.2411,71567.17289181
KMD-EUR,1737504000000,0.2555,0.2555,0.24183,0.24307,58750.02946235
KMD-EUR,1737417600000,0.24519,0.26365,0.24,0.25606,85428.31424213
