market,time,open,high,low,close,volume
KMNO-EUR,1741132800000,0.0593,0.06014,0.05575,0.05971,564636.52337537
KMNO-EUR,1741046400000,0.05606,0.06145,0.056,0.06005,559173.2080182
KMNO-EUR,1740960000000,0.07767,0.078651,0.059782,0.06054,1356692.63258687
KMNO-EUR,1740873600000,0.066612,0.07952,0.06498,0.07725,754188.13564346
KMNO-EUR,1740787200000,0.06805,0.06881,0.06417,0.06551,150915.28634049
KMNO-EUR,1740700800000,0.06641,0.06821,0.05955,0.067063,506601.04117723
KMNO-EUR,1740614400000,0.070358,0.07178,0.0665,0.0665,544715.96967626
KMNO-EUR,1740528000000,0.07536,0.07694,0.06876,0.070146,312645.51130829
KMNO-EUR,1740441600000,0.08013,0.08025,0.07151,0.075241,919335.86853987
KMNO-EUR,1740355200000,0.09315,0.09421,0.07911,0.07933,247748.03307368
KMNO-EUR,1740268800000,0.094405,0.094405,0.08999,0.09311,62255.12330534
KMNO-EUR,1740182400000,0.08774,0.09572,0.08771,0.09412,444030.94078304
KMNO-EUR,1740096000000,0.09919,0.1048,0.08577,0.08863,2837172.15532812
KMNO-EUR,1740009600000,0.09485,0.09912,0.09457,0.098913,294057.01737865
KMNO-EUR,1739923200000,0.09075,0.09622,0.08899,0.09494,554488.79947722
KMNO-EUR,1739836800000,0.09128,0.09271,0.08439,0.09068,654022.03247937
KMNO-EUR,1739750400000,0.10638,0.10738,0.088812,0.09128,1337774.58935989
KMNO-EUR,1739664000000,0.11202,0.11567,0.10274,0.10579,116286.79707941
KMNO-EUR,1739577600000,0.11716,0.11716,0.11083,0.11194,168009.29302307
KMNO-EUR,1739491200000,0.1029,0.12017,0.10274,0.11774,432498.0681777
KMNO-EUR,1739404800000,0.10842,0.10908,0.10084,0.10301,258524.00505068
KMNO-EUR,1739318400000,0.10697,0.10936,0.10048,0.10787,297147.10717251
KMNO-EUR,1739232000000,0.11261,0.11724,0.10697,0.10697,210696.09097733
KMNO-EUR,1739145600000,0.11483,0.1186,0.10824,0.11204,617290.60611084
KMNO-EUR,1739059200000,0.10746,0.11512,0.10638,0.11466,375064.62119915
KMNO-EUR,1738972800000,0.09356,0.10905,0.09356,0.10758,1515546.04884661
KMNO-EUR,1738886400000,0.08642,0.09675,0.08642,0.09347,268549.40901611
KMNO-EUR,1738800000000,0.09221,0.096398,0.084027,0.08631,302349.31163699
KMNO-EUR,1738713600000,0.09465,0.09623,0.08934,0.0917,277756.18314882
KMNO-EUR,1738627200000,0.10109,0.10159,0.091104,0.09469,572998.78247286
KMNO-EUR,1738540800000,0.08105,0.10172,0.07087,0.10172,2998065.70958691
KMNO-EUR,1738454400000,0.09396,0.09633,0.07761,0.08146,1023825.40714998
KMNO-EUR,1738368000000,0.10671,0.11026,0.092868,0.09339,185107.78432256
KMNO-EUR,1738281600000,0.11057,0.11301,0.10589,0.10659,208397.87605595
KMNO-EUR,1738195200000,0.10456,0.1135,0.10443,0.11065,210680.84804192
KMNO-EUR,1738108800000,0.10321,0.11015,0.09898,0.10465,664486.61043141
KMNO-EUR,1738022400000,0.10237,0.10818,0.10089,0.10315,2176350.25914711
KMNO-EUR,1737936000000,0.10374,0.10484,0.088951,0.1023,2983748.37616957
KMNO-EUR,1737849600000,0.10856,0.12947,0.10344,0.10417,1553999.5241368
KMNO-EUR,1737763200000,0.10572,0.1121,0.10328,0.10866,197851.72954421
KMNO-EUR,1737676800000,0.10967,0.11457,0.10433,0.10586,397864.53449507
KMNO-EUR,1737590400000,0.11397,0.11482,0.10586,0.10903,310461.58177153
KMNO-EUR,1737504000000,0.11216,0.11725,0.11152,0.1139,239683.3096184
KMNO-EUR,1737417600000,0.11669,0.11896,0.10801,0.11273,627516.1910066
KMNO-EUR,1737331200000,0.13127,0.13448,0.11532,0.11669,829030.0100981
KMNO-EUR,1737244800000,0.14802,0.15519,0.12802,0.1311,1200093.92608305
KMNO-EUR,1737158400000,0.12781,0.15025,0.12479,0.14881,1173069.63722301
KMNO-EUR,1737072000000,0.12529,0.13425,0.12453,0.12854,937170.53269859
KMNO-EUR,1736985600000,0.11723,0.12892,0.11487,0.12499,1031984.9957956
KMNO-EUR,1736899200000,0.099299,0.12004,0.09735,0.11665,709128.3726436
KMNO-EUR,1736812800000,0.09635,0.1064,0.09612,0.09956,947899.25932391
KMNO-EUR,1736726400000,0.09799,0.10022,0.08767,0.09683,369885.47613006
KMNO-EUR,1736640000000,0.10448,0.10466,0.09707,0.09792,366522.30044927
KMNO-EUR,1736553600000,0.10785,0.10853,0.10272,0.10456,129078.15923892
KMNO-EUR,1736467200000,0.10537,0.11498,0.10518,0.10785,729756.60158474
KMNO-EUR,1736380800000,0.12386,0.1244,0.104,0.10548,1108998.43863129
KMNO-EUR,1736294400000,0.13139,0.13139,0.11813,0.12364,287847.94165515
KMNO-EUR,1736208000000,0.14973,0.15627,0.13139,0.13139,504551.49231472
KMNO-EUR,1736121600000,0.15292,0.15638,0.14862,0.14973,240776.793827
KMNO-EUR,1736035200000,0.15335,0.15938,0.14691,0.15368,374683.42800139
KMNO-EUR,1735948800000,0.15954,0.15956,0.15077,0.1542,163253.69206339
KMNO-EUR,1735862400000,0.1522,0.16119,0.14489,0.15909,369223.43813268
KMNO-EUR,1735776000000,0.1403,0.15887,0.13979,0.15209,491331.47217102
KMNO-EUR,1735689600000,0.13563,0.14065,0.13518,0.1403,68349.35984439
KMNO-EUR,1735603200000,0.13709,0.14045,0.13297,0.13557,116621.04595692
KMNO-EUR,1735516800000,0.14319,0.14981,0.13441,0.1379,227090.53099425
KMNO-EUR,1735430400000,0.14834,0.15094,0.14203,0.1425,93852.7055613
KMNO-EUR,1735344000000,0.14607,0.15064,0.14141,0.14887,148742.6188884
KMNO-EUR,1735257600000,0.15713,0.16014,0.14562,0.14592,142770.22743794
KMNO-EUR,1735171200000,0.16622,0.16697,0.1527,0.1571,136036.94472446
KMNO-EUR,1735084800000,0.17004,0.17108,0.16363,0.1658,419914.21436473
KMNO-EUR,1734998400000,0.16112,0.17101,0.15866,0.16989,223683.80206316
KMNO-EUR,1734912000000,0.15098,0.16391,0.14892,0.16047,220571.45474364
KMNO-EUR,1734825600000,0.16084,0.16325,0.15034,0.15106,226727.32044021
KMNO-EUR,1734739200000,0.18333,0.19115,0.15986,0.16158,869907.62227112
KMNO-EUR,1734652800000,0.16194,0.19265,0.14892,0.18242,2303755.29659216
KMNO-EUR,1734566400000,0.18399,0.18581,0.15492,0.16214,2151478.21626298
KMNO-EUR,1734480000000,0.21017,0.21042,0.18111,0.18417,1576311.32906796
KMNO-EUR,1734393600000,0.20917,0.22494,0.20285,0.20922,347619.61895115
KMNO-EUR,1734307200000,0.22596,0.23217,0.20793,0.20876,419320.32619115
KMNO-EUR,1734220800000,0.22648,0.23677,0.2143,0.22596,270469.67349735
