market,time,open,high,low,close,volume
LISTA-EUR,1741132800000,0.17386,0.18392,0.16857,0.18118,190586.82364849
LISTA-EUR,1741046400000,0.17611,0.18778,0.17311,0.17852,233979.40686086
LISTA-EUR,1740960000000,0.23417,0.23529,0.19654,0.1983,150171.56004927
LISTA-EUR,1740873600000,0.21702,0.242,0.21218,0.242,111391.64178839
LISTA-EUR,1740787200000,0.22012,0.22012,0.21215,0.21388,8199.47473062
LISTA-EUR,1740700800000,0.22351,0.22833,0.20862,0.22316,100750.77396935
LISTA-EUR,1740614400000,0.21969,0.23379,0.21898,0.22646,172004.9528483
LISTA-EUR,1740528000000,0.21785,0.225,0.20588,0.22222,237947.3636668
LISTA-EUR,1740441600000,0.20894,0.238,0.2,0.21766,1503538.99985111
LISTA-EUR,1740355200000,0.23157,0.23578,0.205,0.21024,1112835.25598952
LISTA-EUR,1740268800000,0.28224,0.29157,0.21606,0.22911,2078130.72731343
LISTA-EUR,1740182400000,0.25797,0.29044,0.25527,0.28334,355636.04719568
LISTA-EUR,1740096000000,0.25176,0.29368,0.24997,0.25941,2906901.26193315
LISTA-EUR,1740009600000,0.22626,0.25263,0.22511,0.25247,429538.3466615
LISTA-EUR,1739923200000,0.22374,0.23485,0.22374,0.22536,398915.16804272
LISTA-EUR,1739836800000,0.23488,0.2713,0.21233,0.2224,1500123.61432859
LISTA-EUR,1739750400000,0.24406,0.2535,0.23265,0.23568,536217.37744458
LISTA-EUR,1739664000000,0.2459,0.2698,0.235,0.24388,1464192.9667171
LISTA-EUR,1739577600000,0.28108,0.31424,0.24337,0.24585,2094876.3097407
LISTA-EUR,1739491200000,0.27368,0.29863,0.27065,0.2845,968846.70460311
LISTA-EUR,1739404800000,0.30455,0.3251,0.27321,0.27647,3105550.76381725
LISTA-EUR,1739318400000,0.27385,0.32,0.25471,0.30596,9655705.24717527
LISTA-EUR,1739232000000,0.26496,0.30199,0.24673,0.27678,11739732.69350203
LISTA-EUR,1739145600000,0.17635,0.28448,0.16646,0.26605,21541952.07645269
LISTA-EUR,1739059200000,0.17816,0.20779,0.16694,0.17272,1302369.50237517
LISTA-EUR,1738972800000,0.16597,0.18424,0.16409,0.18137,1017987.70678647
LISTA-EUR,1738886400000,0.16459,0.17141,0.16459,0.16491,59433.40438128
LISTA-EUR,1738800000000,0.17165,0.17382,0.16311,0.16311,125480.22398416
LISTA-EUR,1738713600000,0.17663,0.17911,0.17006,0.17006,32061.05731505
LISTA-EUR,1738627200000,0.18916,0.18916,0.16532,0.17029,257547.85137337
LISTA-EUR,1738540800000,0.17432,0.19379,0.13827,0.19379,1155674.32662371
LISTA-EUR,1738454400000,0.22,0.22009,0.17213,0.17512,141622.40549335
LISTA-EUR,1738368000000,0.24765,0.24765,0.22095,0.22205,16149.43798828
LISTA-EUR,1738281600000,0.24625,0.25889,0.24205,0.2459,82539.34083462
LISTA-EUR,1738195200000,0.23225,0.24909,0.23225,0.24342,42198.25602378
LISTA-EUR,1738108800000,0.22752,0.24568,0.22714,0.24255,158303.10903237
LISTA-EUR,1738022400000,0.26093,0.26245,0.22837,0.22837,51347.92227266
LISTA-EUR,1737936000000,0.2758,0.2758,0.24647,0.2591,121956.47743309
LISTA-EUR,1737849600000,0.29243,0.29591,0.28349,0.28349,25404.25141619
LISTA-EUR,1737763200000,0.28514,0.29228,0.28461,0.29228,12608.3334275
LISTA-EUR,1737676800000,0.30685,0.30685,0.28927,0.28927,27787.19855345
LISTA-EUR,1737590400000,0.30151,0.30792,0.29322,0.30289,45067.34760551
LISTA-EUR,1737504000000,0.31122,0.31663,0.30522,0.30522,55235.38201697
LISTA-EUR,1737417600000,0.29303,0.31602,0.28829,0.30907,20385.601862
LISTA-EUR,1737331200000,0.28674,0.3248,0.28,0.30243,488781.04172606
LISTA-EUR,1737244800000,0.31885,0.32642,0.28761,0.28898,244690.20283566
LISTA-EUR,1737158400000,0.35844,0.35844,0.30601,0.31427,62884.36860698
LISTA-EUR,1737072000000,0.35204,0.36,0.34471,0.35604,185628.77986892
LISTA-EUR,1736985600000,0.3485,0.35486,0.33624,0.34124,192868.61952046
LISTA-EUR,1736899200000,0.34173,0.35571,0.32745,0.35261,85896.11696351
LISTA-EUR,1736812800000,0.33895,0.34416,0.33286,0.34139,27194.80799099
LISTA-EUR,1736726400000,0.362,0.36358,0.31478,0.33414,322260.02150543
LISTA-EUR,1736640000000,0.34848,0.37054,0.34683,0.35825,221019.52220722
LISTA-EUR,1736553600000,0.34866,0.359,0.34317,0.35741,45989.2544603
LISTA-EUR,1736467200000,0.35231,0.35992,0.34312,0.35096,28662.50800735
LISTA-EUR,1736380800000,0.3571,0.3571,0.34092,0.34875,23944.85151031
LISTA-EUR,1736294400000,0.37633,0.37633,0.3448,0.3565,106678.35480521
LISTA-EUR,1736208000000,0.41589,0.41815,0.37426,0.37426,55530.74325673
LISTA-EUR,1736121600000,0.43322,0.44313,0.41995,0.4222,90688.80102957
LISTA-EUR,1736035200000,0.4498,0.44992,0.4194,0.43419,106562.19941735
LISTA-EUR,1735948800000,0.4463,0.46627,0.4449,0.45415,36903.40796082
LISTA-EUR,1735862400000,0.41512,0.44768,0.41295,0.44477,22179.79977129
LISTA-EUR,1735776000000,0.40802,0.42443,0.40802,0.41844,126586.37144747
LISTA-EUR,1735689600000,0.39566,0.40733,0.38229,0.40535,56568.52209924
LISTA-EUR,1735603200000,0.39191,0.41319,0.38808,0.39696,21398.75671216
LISTA-EUR,1735516800000,0.4037,0.41398,0.39036,0.39764,16764.72775757
LISTA-EUR,1735430400000,0.41675,0.41675,0.39853,0.39977,13646.71630365
LISTA-EUR,1735344000000,0.40801,0.42393,0.39851,0.41918,16681.39982789
LISTA-EUR,1735257600000,0.40355,0.42215,0.40193,0.41227,78340.10219146
LISTA-EUR,1735171200000,0.43122,0.43122,0.3932,0.39622,26211.05820533
LISTA-EUR,1735084800000,0.44561,0.45848,0.42493,0.4283,72218.88059728
LISTA-EUR,1734998400000,0.46955,0.47832,0.42523,0.44786,258912.81032613
LISTA-EUR,1734912000000,0.40991,0.4883,0.40768,0.47571,226063.94178447
LISTA-EUR,1734825600000,0.41988,0.43286,0.40753,0.42086,37443.85778136
LISTA-EUR,1734739200000,0.42096,0.46439,0.40945,0.40945,53016.3753023
LISTA-EUR,1734652800000,0.4073,0.42737,0.34383,0.41849,337105.48680305
LISTA-EUR,1734566400000,0.46809,0.50194,0.39717,0.40892,124224.89204576
LISTA-EUR,1734480000000,0.47457,0.48811,0.46979,0.47039,116397.55970053
LISTA-EUR,1734393600000,0.49115,0.49963,0.47441,0.47484,48284.00081154
LISTA-EUR,1734307200000,0.52952,0.546,0.4927,0.50243,150984.46263176
LISTA-EUR,1734220800000,0.48273,0.53689,0.47002,0.52408,143942.41786206
LISTA-EUR,1734134400000,0.54126,0.54238,0.471,0.48392,136228.969424
LISTA-EUR,1734048000000,0.52444,0.54846,0.51914,0.52942,114428.89345535
LISTA-EUR,1733961600000,0.5197,0.55998,0.51874,0.53614,224302.48636114
LISTA-EUR,1733875200000,0.4955,0.53105,0.48832,0.52206,80877.29228472
LISTA-EUR,1733788800000,0.48998,0.51637,0.46153,0.4847,326469.30675113
LISTA-EUR,1733702400000,0.57141,0.57141,0.43661,0.50133,667225.19736955
LISTA-EUR,1733616000000,0.57881,0.58149,0.54939,0.57972,282004.29378461
LISTA-EUR,1733529600000,0.59384,0.61825,0.57452,0.57993,205789.52646241
LISTA-EUR,1733443200000,0.57136,0.6063,0.55444,0.59295,173201.24241568
LISTA-EUR,1733356800000,0.56688,0.60092,0.52951,0.57347,760411.10239257
LISTA-EUR,1733270400000,0.54091,0.64275,0.53327,0.56952,1270834.13215958
LISTA-EUR,1733184000000,0.51619,0.54364,0.462,0.54156,618352.11157663
LISTA-EUR,1733097600000,0.50822,0.5203,0.46407,0.50892,834955.20912159
LISTA-EUR,1733011200000,0.518,0.53265,0.50017,0.51015,267290.32315667
LISTA-EUR,1732924800000,0.50643,0.53,0.50508,0.52295,124481.09091395
LISTA-EUR,1732838400000,0.52271,0.52372,0.49769,0.50745,296965.43928618
LISTA-EUR,1732752000000,0.531,0.55258,0.50544,0.52708,1886992.08615401
LISTA-EUR,1732665600000,0.43775,0.61716,0.42691,0.53224,6163166.79917955
LISTA-EUR,1732579200000,0.39892,0.44382,0.39595,0.43953,662397.24267214
LISTA-EUR,1732492800000,0.4112,0.46355,0.39,0.40285,1021231.83250175
LISTA-EUR,1732406400000,0.39286,0.41324,0.3678,0.41004,269802.44174342
LISTA-EUR,1732320000000,0.37087,0.396,0.3515,0.38361,351889.07088625
LISTA-EUR,1732233600000,0.36897,0.37314,0.3463,0.37031,293467.36307797
LISTA-EUR,1732147200000,0.33399,0.377,0.32837,0.36832,345374.40169442
LISTA-EUR,1732060800000,0.3466,0.36037,0.33,0.3384,91956.05331425
LISTA-EUR,1731974400000,0.36878,0.36878,0.3472,0.3494,121238.1616954
LISTA-EUR,1731888000000,0.35351,0.37278,0.34987,0.36858,163219.17241785
LISTA-EUR,1731801600000,0.37058,0.3761,0.34805,0.34954,233585.05959345
LISTA-EUR,1731715200000,0.37778,0.40847,0.36309,0.37023,393667.10744777
LISTA-EUR,1731628800000,0.35407,0.38147,0.35242,0.3801,139051.2356944
LISTA-EUR,1731542400000,0.37276,0.40439,0.3546,0.35701,403562.27963128
LISTA-EUR,1731456000000,0.37982,0.38486,0.33269,0.37367,823849.01153858
LISTA-EUR,1731369600000,0.40253,0.4296,0.36442,0.38141,1569472.57622029
LISTA-EUR,1731283200000,0.37041,0.4105,0.365,0.40386,1273029.8852279
LISTA-EUR,1731196800000,0.3678,0.39146,0.34832,0.36736,945695.80916645
LISTA-EUR,1731110400000,0.32875,0.37331,0.32819,0.36851,614531.39897496
LISTA-EUR,1731024000000,0.345,0.34815,0.32014,0.32845,124955.0319469
LISTA-EUR,1730937600000,0.38429,0.38429,0.32769,0.34043,620733.41492941
LISTA-EUR,1730851200000,0.3359,0.38472,0.3359,0.38472,147007.6661994
LISTA-EUR,1730764800000,0.3154,0.34082,0.30866,0.33336,101739.88683495
LISTA-EUR,1730678400000,0.30529,0.32414,0.29865,0.30678,206705.76975974
LISTA-EUR,1730592000000,0.32,0.32529,0.28364,0.30344,401702.24850944
LISTA-EUR,1730505600000,0.34723,0.34723,0.33254,0.33254,12921.53935402
LISTA-EUR,1730419200000,0.36018,0.36474,0.34548,0.34548,28011.84218176
LISTA-EUR,1730332800000,0.37548,0.37548,0.34884,0.35095,18500.13603122
LISTA-EUR,1730246400000,0.37144,0.38975,0.36376,0.37874,247610.97242664
LISTA-EUR,1730160000000,0.33334,0.38323,0.33334,0.36908,321953.1858703
LISTA-EUR,1730073600000,0.33237,0.33768,0.31558,0.33768,83229.83374697
LISTA-EUR,1729987200000,0.32481,0.34131,0.32481,0.33012,44949.88020616
LISTA-EUR,1729900800000,0.31385,0.32694,0.31321,0.32694,25475.95765995
LISTA-EUR,1729814400000,0.35044,0.35044,0.31085,0.3179,130047.77990266
LISTA-EUR,1729728000000,0.35031,0.36394,0.33867,0.35069,161398.01902509
LISTA-EUR,1729641600000,0.3425,0.35574,0.32146,0.34674,133734.36212607
LISTA-EUR,1729555200000,0.33943,0.34748,0.32927,0.34271,207175.35500966
LISTA-EUR,1729468800000,0.36565,0.36654,0.33913,0.34254,171911.07032089
LISTA-EUR,1729382400000,0.35142,0.365,0.35092,0.36097,67677.49872493
LISTA-EUR,1729296000000,0.36369,0.36869,0.35274,0.35548,25428.51729513
LISTA-EUR,1729209600000,0.3482,0.36326,0.3482,0.35946,90781.53292872
LISTA-EUR,1729123200000,0.36173,0.36379,0.34,0.34633,19536.29475428
LISTA-EUR,1729036800000,0.355,0.37702,0.35114,0.36289,104038.22391383
LISTA-EUR,1728950400000,0.38264,0.38264,0.35182,0.35679,220471.18457685
LISTA-EUR,1728864000000,0.3395,0.41415,0.33639,0.38128,689400.55885519
LISTA-EUR,1728777600000,0.34811,0.34811,0.33089,0.33682,26258.24891125
LISTA-EUR,1728691200000,0.36585,0.36585,0.337,0.34451,122397.07561871
LISTA-EUR,1728604800000,0.31811,0.36671,0.31811,0.36436,195990.3631979
LISTA-EUR,1728518400000,0.33116,0.33599,0.31073,0.31592,241337.81623794
LISTA-EUR,1728432000000,0.3065,0.35196,0.30613,0.32962,1605941.25761179
LISTA-EUR,1728345600000,0.30044,0.30719,0.29806,0.30539,26248.6045375
LISTA-EUR,1728259200000,0.31628,0.32067,0.30708,0.31152,60025.5464065
LISTA-EUR,1728172800000,0.30473,0.31141,0.30219,0.31141,37148.62516396
LISTA-EUR,1728086400000,0.30849,0.311,0.29643,0.29643,15988.35100245
LISTA-EUR,1728000000000,0.28211,0.30794,0.28056,0.30401,61276.09096537
LISTA-EUR,1727913600000,0.29551,0.29551,0.27678,0.28169,94180.72702234
LISTA-EUR,1727827200000,0.28728,0.30709,0.27903,0.28965,171069.86300859
LISTA-EUR,1727740800000,0.33379,0.34826,0.27801,0.289,236876.54688473
LISTA-EUR,1727654400000,0.36215,0.37265,0.32682,0.32682,44091.73679481
LISTA-EUR,1727568000000,0.35804,0.37792,0.33689,0.36627,65775.35552185
LISTA-EUR,1727481600000,0.3833,0.38748,0.34276,0.3478,47974.1942326
LISTA-EUR,1727395200000,0.37124,0.37996,0.36131,0.37253,104754.66151933
LISTA-EUR,1727308800000,0.34416,0.37741,0.34416,0.37023,124307.79428636
LISTA-EUR,1727222400000,0.37035,0.37877,0.345,0.34726,69679.12802757
LISTA-EUR,1727136000000,0.36062,0.36877,0.34988,0.36877,59956.87654695
LISTA-EUR,1727049600000,0.34265,0.36103,0.34265,0.35978,99558.805778
LISTA-EUR,1726963200000,0.37852,0.38785,0.33818,0.35167,511502.64613858
LISTA-EUR,1726876800000,0.32541,0.39822,0.32027,0.37783,1295211.73302418
LISTA-EUR,1726790400000,0.33548,0.34973,0.31544,0.32562,90442.51256787
LISTA-EUR,1726704000000,0.33354,0.36581,0.33193,0.33193,293016.20045151
LISTA-EUR,1726617600000,0.31837,0.33171,0.29712,0.33134,71827.50151076
LISTA-EUR,1726531200000,0.29063,0.31765,0.29063,0.30894,105767.1962164
LISTA-EUR,1726444800000,0.29206,0.32666,0.28496,0.28601,616218.10667473
LISTA-EUR,1726358400000,0.31416,0.31459,0.29779,0.29925,10784.32999635
LISTA-EUR,1726272000000,0.3246,0.33215,0.31505,0.31505,10086.10609906
LISTA-EUR,1726185600000,0.31675,0.32631,0.30166,0.32591,34753.78523676
LISTA-EUR,1726099200000,0.29869,0.32263,0.29864,0.31623,120527.89289567
LISTA-EUR,1726012800000,0.30843,0.30843,0.28581,0.29781,59484.08501824
LISTA-EUR,1725926400000,0.30041,0.31643,0.29987,0.31134,184503.10367276
LISTA-EUR,1725840000000,0.2836,0.3077,0.27889,0.30225,121682.21875007
LISTA-EUR,1725753600000,0.27812,0.28871,0.27413,0.28871,24803.28879425
LISTA-EUR,1725667200000,0.28309,0.28651,0.27144,0.27144,19861.0819322
LISTA-EUR,1725580800000,0.29011,0.29799,0.26751,0.27922,60093.2185103
LISTA-EUR,1725494400000,0.30169,0.3028,0.28761,0.28914,13331.1491391
LISTA-EUR,1725408000000,0.27122,0.31073,0.27122,0.30203,89121.72183081
LISTA-EUR,1725321600000,0.30328,0.30556,0.29261,0.2945,85924.07688099
