market,time,open,high,low,close,volume
LMWR-EUR,1741219200000,0.10548,0.10558,0.10548,0.10558,1708.525501
LMWR-EUR,1741132800000,0.10251,0.10948,0.10102,0.10213,843034.24294023
LMWR-EUR,1741046400000,0.10578,0.10612,0.10151,0.10255,521870.36467805
LMWR-EUR,1740960000000,0.11772,0.11772,0.105,0.10603,996181.83334451
LMWR-EUR,1740873600000,0.11053,0.11949,0.10928,0.11672,1415038.19110778
LMWR-EUR,1740787200000,0.1065,0.11194,0.10579,0.1104,910901.07751329
LMWR-EUR,1740700800000,0.10878,0.1186,0.1033,0.10633,1914073.05041869
LMWR-EUR,1740614400000,0.10431,0.1091,0.10379,0.10834,856234.57248354
LMWR-EUR,1740528000000,0.10706,0.1225,0.10132,0.10397,2836754.14689038
LMWR-EUR,1740441600000,0.10796,0.11503,0.10212,0.10707,1897189.96468293
LMWR-EUR,1740355200000,0.1245,0.12495,0.098637,0.1079,2933968.71374764
LMWR-EUR,1740268800000,0.12459,0.12736,0.12264,0.12472,961155.42579513
LMWR-EUR,1740182400000,0.12228,0.12496,0.12084,0.12473,759930.34797905
LMWR-EUR,1740096000000,0.12509,0.12729,0.12145,0.12202,768717.53810081
LMWR-EUR,1740009600000,0.12826,0.12826,0.12371,0.12517,468514.02091188
LMWR-EUR,1739923200000,0.13177,0.13721,0.12593,0.12822,815582.60963071
LMWR-EUR,1739836800000,0.13251,0.14499,0.13,0.13142,1376412.7166774
LMWR-EUR,1739750400000,0.13121,0.13702,0.13108,0.13242,685471.95763395
LMWR-EUR,1739664000000,0.14038,0.14196,0.12994,0.13315,1729208.57747653
LMWR-EUR,1739577600000,0.13252,0.15173,0.13,0.14038,3802400.5330199
LMWR-EUR,1739491200000,0.13045,0.13404,0.12885,0.13266,494246.75072655
LMWR-EUR,1739404800000,0.13507,0.13642,0.13,0.13041,269052.80588925
LMWR-EUR,1739318400000,0.12988,0.13841,0.12684,0.13469,672414.86914195
LMWR-EUR,1739232000000,0.12974,0.14029,0.12952,0.12993,1043993.50549969
LMWR-EUR,1739145600000,0.12503,0.13552,0.12415,0.12993,743744.22174307
LMWR-EUR,1739059200000,0.12983,0.13233,0.12478,0.12505,264295.19434171
LMWR-EUR,1738972800000,0.12996,0.13209,0.12633,0.13005,452273.04804068
