market,time,open,high,low,close,volume
LPT-EUR,1741132800000,5.7569,5.9158,5.6571,5.7748,6162.76805026
LPT-EUR,1741046400000,5.9,5.9474,5.38,5.7751,19580.17019686
LPT-EUR,1740960000000,7.0209,7.2315,5.8259,5.9762,17309.15649233
LPT-EUR,1740873600000,6.2457,7.2286,6.1919,7.187,28615.81918427
LPT-EUR,1740787200000,6.3662,6.4421,6.0912,6.3102,10909.8140445
LPT-EUR,1740700800000,6.644,6.644,5.9978,6.3961,16453.61434576
LPT-EUR,1740614400000,6.6315,6.8505,6.5111,6.6395,4561.3737696
LPT-EUR,1740528000000,6.2996,7.6475,6.2792,6.6804,65576.9092513
LPT-EUR,1740441600000,5.9753,6.4059,5.6566,6.3166,14692.48634686
LPT-EUR,1740355200000,7.0784,7.0784,5.9453,6.0201,18934.35545514
LPT-EUR,1740268800000,7.2245,7.2598,6.9435,7.0766,6574.0311081
LPT-EUR,1740182400000,6.7805,7.2868,6.7805,7.2259,4901.22438157
LPT-EUR,1740096000000,7.1425,7.5601,6.7869,6.8873,17892.24431447
LPT-EUR,1740009600000,6.9134,7.1378,6.8242,7.1305,4929.495822
LPT-EUR,1739923200000,6.8475,7.0764,6.6799,6.8046,6259.27163498
LPT-EUR,1739836800000,7.3415,7.4063,6.5352,6.8096,15602.11642387
LPT-EUR,1739750400000,7.7253,7.9038,7.3312,7.4373,12270.04831027
LPT-EUR,1739664000000,7.4603,7.9158,7.4,7.6868,14287.76149541
LPT-EUR,1739577600000,7.6906,7.8467,7.3616,7.458,3988.41493171
LPT-EUR,1739491200000,7.5546,7.93,7.5217,7.769,15067.86802325
LPT-EUR,1739404800000,7.8582,8.2765,7.3252,7.5028,18149.59645824
LPT-EUR,1739318400000,7.6599,7.8212,7.2239,7.8114,9932.49618967
LPT-EUR,1739232000000,7.8521,8.2038,7.5175,7.581,5897.55453415
LPT-EUR,1739145600000,7.6381,7.8326,7.3712,7.8326,5264.26910019
LPT-EUR,1739059200000,7.7026,7.9227,7.2818,7.672,7621.95008674
LPT-EUR,1738972800000,7.6249,7.7466,7.4271,7.7169,4917.81796622
LPT-EUR,1738886400000,7.4122,8.1044,7.4,7.6628,6267.8727609
LPT-EUR,1738800000000,7.7415,7.935,7.3089,7.3557,9485.66424891
LPT-EUR,1738713600000,7.922,8.1741,7.5595,7.7375,9422.68864331
LPT-EUR,1738627200000,8.8784,8.8901,7.6737,7.9653,9434.51373239
LPT-EUR,1738540800000,8.8902,8.8902,6.4828,8.7746,40690.58562377
LPT-EUR,1738454400000,9.91,10.175,8.4,8.915,20825.90793807
LPT-EUR,1738368000000,11.028,11.131,9.8658,9.9308,5303.27938555
LPT-EUR,1738281600000,10.873,11.533,10.606,10.958,8321.0806358
LPT-EUR,1738195200000,10.22,11.04,10.22,10.88,4930.33364439
LPT-EUR,1738108800000,9.938,10.664,9.8417,10.34,4564.74352157
LPT-EUR,1738022400000,11.029,11.029,9.88,9.9769,8167.88271076
LPT-EUR,1737936000000,11.02,11.02,10.018,10.883,13703.04174884
LPT-EUR,1737849600000,11.504,11.606,11,11.054,2638.06080723
LPT-EUR,1737763200000,11.2,11.533,11,11.41,4469.93183979
LPT-EUR,1737676800000,11.616,12,11.135,11.254,4774.92220456
LPT-EUR,1737590400000,11.946,11.952,11.283,11.604,7458.19128146
LPT-EUR,1737504000000,11.977,12.5,11.8,11.93,6735.17098067
LPT-EUR,1737417600000,11.718,12.271,11.13,12.012,11744.38232679
LPT-EUR,1737331200000,12.052,13.195,11.55,11.749,37426.37916914
LPT-EUR,1737244800000,13.358,13.494,11.846,12.137,19039.54842232
LPT-EUR,1737158400000,14.681,14.85,12.972,13.347,12975.32031859
LPT-EUR,1737072000000,14.116,14.809,14.116,14.714,5107.30933319
LPT-EUR,1736985600000,14.789,14.902,13.89,13.999,10667.4493918
LPT-EUR,1736899200000,13.088,14.766,12.867,14.706,14194.35044863
