market,time,open,high,low,close,volume
LQTY-EUR,1741132800000,0.72495,0.73925,0.7093,0.7093,5118.03699207
LQTY-EUR,1741046400000,0.72102,0.73577,0.68756,0.69896,1954.24544965
LQTY-EUR,1740960000000,0.80896,0.86752,0.73597,0.83764,6800.90030469
LQTY-EUR,1740873600000,0.818,0.90178,0.8054,0.8933,58799.53319012
LQTY-EUR,1740787200000,0.82052,0.821,0.78148,0.79958,5124.00785519
LQTY-EUR,1740700800000,0.79751,0.83864,0.74816,0.82333,21494.50821472
LQTY-EUR,1740614400000,0.77985,0.80661,0.77985,0.79737,1299.58524054
LQTY-EUR,1740528000000,0.79278,0.80207,0.76831,0.80207,3125.56442707
LQTY-EUR,1740441600000,0.77688,0.79995,0.72903,0.78948,38045.46970643
LQTY-EUR,1740355200000,0.86862,0.87645,0.78092,0.78247,11368.72101167
LQTY-EUR,1740268800000,0.92627,0.92627,0.89759,0.90058,2938.90003082
LQTY-EUR,1740182400000,0.9106,0.91081,0.89743,0.91081,46.0573991
LQTY-EUR,1740096000000,0.92068,0.95637,0.88978,0.89917,16480.43457859
LQTY-EUR,1740009600000,0.92555,0.93577,0.91638,0.92147,6897.166021
LQTY-EUR,1739923200000,0.91805,0.91805,0.89607,0.89834,5358.11043264
LQTY-EUR,1739836800000,0.9042,0.92145,0.87923,0.88684,8315.05893891
LQTY-EUR,1739750400000,0.91979,0.938,0.8871,0.91202,418.96038852
LQTY-EUR,1739664000000,0.93159,0.9387,0.9102,0.9102,9512.52371036
LQTY-EUR,1739577600000,0.92339,0.93212,0.91251,0.92662,1580.71581852
LQTY-EUR,1739491200000,0.9526,0.98757,0.91969,0.93265,31077.79970427
LQTY-EUR,1739404800000,1.0317,1.0317,0.96069,0.96069,7290.99060791
LQTY-EUR,1739318400000,1.0256,1.0464,0.9814,1.02,40219.82902929
LQTY-EUR,1739232000000,1.0952,1.1291,1.0265,1.0313,23426.59104747
LQTY-EUR,1739145600000,0.99286,1.0337,0.99237,1.0192,1462.88612394
LQTY-EUR,1739059200000,1.0105,1.036,0.95699,0.95699,4169.591707
LQTY-EUR,1738972800000,0.95388,1.0218,0.93248,1.0216,3157.5526559
LQTY-EUR,1738886400000,0.96271,1.0449,0.93711,0.93711,11753.90364482
LQTY-EUR,1738800000000,0.98095,1.0094,0.93345,0.95262,14044.90043938
LQTY-EUR,1738713600000,1.0284,1.0406,0.95845,0.9734,17813.26820728
LQTY-EUR,1738627200000,1.1766,1.1767,0.9676,1.0031,15301.454056
LQTY-EUR,1738540800000,1.1485,1.179,0.9779,1.17,74837.30788869
LQTY-EUR,1738454400000,1.3641,1.3641,1.1314,1.1656,20096.96458082
LQTY-EUR,1738368000000,1.4665,1.4706,1.3386,1.37,10795.84272998
LQTY-EUR,1738281600000,1.4628,1.5299,1.4628,1.4656,14466.98335389
LQTY-EUR,1738195200000,1.4538,1.4837,1.4482,1.4624,15648.67230629
LQTY-EUR,1738108800000,1.4082,1.4593,1.3458,1.443,7544.20365994
LQTY-EUR,1738022400000,1.4285,1.4613,1.302,1.302,14907.66502412
LQTY-EUR,1737936000000,1.4644,1.474,1.3815,1.4589,9908.78256733
