market,time,open,high,low,close,volume
LRC-EUR,1741132800000,0.1055,0.10807,0.10259,0.10455,97964.45568383
LRC-EUR,1741046400000,0.10253,0.10769,0.099,0.10484,308995.54012693
LRC-EUR,1740960000000,0.1265,0.12692,0.10665,0.1161,426516.63341205
LRC-EUR,1740873600000,0.11521,0.12763,0.11422,0.12729,406823.07429729
LRC-EUR,1740787200000,0.117,0.11912,0.11379,0.1161,182667.92405246
LRC-EUR,1740700800000,0.11911,0.11993,0.10838,0.1195,395695.32630548
LRC-EUR,1740614400000,0.1148,0.12191,0.1148,0.11706,424043.61344717
LRC-EUR,1740528000000,0.1132,0.11929,0.1114,0.11628,245573.01367914
LRC-EUR,1740441600000,0.11146,0.1147,0.10641,0.1132,1173260.10855198
LRC-EUR,1740355200000,0.12928,0.12928,0.1121,0.11471,580954.72324896
LRC-EUR,1740268800000,0.1352,0.13521,0.12829,0.12939,361208.72114274
LRC-EUR,1740182400000,0.12866,0.13659,0.1276,0.13569,146302.48049618
LRC-EUR,1740096000000,0.12803,0.13724,0.12559,0.12811,1284199.16012381
LRC-EUR,1740009600000,0.12552,0.12717,0.12355,0.12659,265219.91816679
LRC-EUR,1739923200000,0.12503,0.12658,0.12356,0.12534,204479.30772189
LRC-EUR,1739836800000,0.1282,0.1282,0.11875,0.12388,359949.95807522
LRC-EUR,1739750400000,0.12728,0.1348,0.12575,0.1288,538193.52702658
LRC-EUR,1739664000000,0.13135,0.13387,0.12553,0.12698,500339.67578687
LRC-EUR,1739577600000,0.13553,0.13873,0.1278,0.13137,494217.21776089
LRC-EUR,1739491200000,0.12623,0.15318,0.12554,0.13564,1805547.28658237
LRC-EUR,1739404800000,0.12626,0.12713,0.1214,0.1258,297488.73755839
LRC-EUR,1739318400000,0.12165,0.13209,0.11903,0.13,503530.16739684
LRC-EUR,1739232000000,0.1252,0.13184,0.12076,0.12253,474203.19408508
LRC-EUR,1739145600000,0.12385,0.12539,0.11928,0.12539,241034.40539603
LRC-EUR,1739059200000,0.12524,0.12828,0.11864,0.12344,186378.6483905
LRC-EUR,1738972800000,0.12187,0.12663,0.11882,0.12663,100842.91758779
LRC-EUR,1738886400000,0.12095,0.12743,0.11819,0.12004,153003.89486958
LRC-EUR,1738800000000,0.1246,0.1285,0.11909,0.12001,199260.61809654
LRC-EUR,1738713600000,0.12323,0.13272,0.12276,0.12419,956520.60189677
LRC-EUR,1738627200000,0.13214,0.13214,0.1187,0.12316,860470.96114978
LRC-EUR,1738540800000,0.12789,0.13305,0.098,0.1323,2248030.98428636
LRC-EUR,1738454400000,0.14638,0.1485,0.123,0.12805,1388652.54405394
LRC-EUR,1738368000000,0.15927,0.16137,0.14431,0.14491,752011.80663743
LRC-EUR,1738281600000,0.16083,0.169,0.1565,0.158,777351.30961491
LRC-EUR,1738195200000,0.15308,0.165,0.15308,0.16218,464054.54963895
LRC-EUR,1738108800000,0.1482,0.15926,0.1482,0.15501,178559.01102653
LRC-EUR,1738022400000,0.15556,0.16075,0.14723,0.14858,323751.46691005
LRC-EUR,1737936000000,0.155,0.15669,0.14246,0.15561,536647.14059922
LRC-EUR,1737849600000,0.15739,0.16648,0.156,0.15664,211969.98370106
LRC-EUR,1737763200000,0.15831,0.16031,0.15682,0.15821,71738.73228574
LRC-EUR,1737676800000,0.16327,0.16654,0.15861,0.15929,268849.38878704
LRC-EUR,1737590400000,0.16687,0.16976,0.16057,0.16599,141600.95423881
