market,time,open,high,low,close,volume
LSK-EUR,1741132800000,0.56429,0.57608,0.55366,0.56253,4862.59690648
LSK-EUR,1741046400000,0.57126,0.57126,0.5316,0.5652,26864.60008536
LSK-EUR,1740960000000,0.63546,0.66406,0.5746,0.58345,15130.70633201
LSK-EUR,1740873600000,0.64276,0.67225,0.59889,0.66522,101236.60978979
LSK-EUR,1740787200000,0.64612,0.66398,0.63405,0.63817,4147.79738489
LSK-EUR,1740700800000,0.62478,0.64897,0.606,0.64897,3927.10155994
LSK-EUR,1740614400000,0.64526,0.6592,0.63633,0.64083,3165.87300238
LSK-EUR,1740528000000,0.65447,0.65447,0.62229,0.6364,4721.01254145
LSK-EUR,1740441600000,0.66631,0.66631,0.61276,0.64829,32448.21045743
LSK-EUR,1740355200000,0.70767,0.71162,0.66419,0.66498,18512.96705874
LSK-EUR,1740268800000,0.73647,0.75627,0.72734,0.73033,22828.24341048
LSK-EUR,1740182400000,0.71951,0.74,0.71951,0.74,3728.79685383
LSK-EUR,1740096000000,0.73182,0.74791,0.707,0.70864,6696.11871324
LSK-EUR,1740009600000,0.73561,0.74018,0.73239,0.74018,3386.53927174
LSK-EUR,1739923200000,0.71379,0.73379,0.71273,0.73077,2076.30286494
LSK-EUR,1739836800000,0.73837,0.73837,0.69769,0.7185,9078.07859148
LSK-EUR,1739750400000,0.73052,0.76243,0.72284,0.74926,32752.7931929
LSK-EUR,1739664000000,0.70972,0.73748,0.70972,0.73081,7301.39074884
LSK-EUR,1739577600000,0.73055,0.73097,0.70854,0.70982,16699.04068524
LSK-EUR,1739491200000,0.72209,0.74015,0.72069,0.73217,10108.94705908
LSK-EUR,1739404800000,0.73604,0.73604,0.70758,0.71471,4703.65546543
LSK-EUR,1739318400000,0.69974,0.74793,0.68923,0.74158,47808.69699828
LSK-EUR,1739232000000,0.72161,0.74159,0.6944,0.70465,5073.22108007
LSK-EUR,1739145600000,0.7107,0.71976,0.69768,0.71943,11517.55997708
LSK-EUR,1739059200000,0.69763,0.71692,0.68102,0.6973,21653.08595159
LSK-EUR,1738972800000,0.66068,0.69391,0.66068,0.69205,1743.41440031
LSK-EUR,1738886400000,0.66515,0.69701,0.65012,0.65422,32306.01097817
LSK-EUR,1738800000000,0.6802,0.69701,0.65075,0.65075,8416.18302054
LSK-EUR,1738713600000,0.68995,0.70807,0.67264,0.67899,40383.63706425
LSK-EUR,1738627200000,0.7237,0.7237,0.66224,0.69196,127780.83553048
LSK-EUR,1738540800000,0.70834,0.72969,0.56005,0.72559,354164.30572015
LSK-EUR,1738454400000,0.81742,0.81742,0.68139,0.71809,133023.45401875
LSK-EUR,1738368000000,0.834,0.8542,0.7924,0.7924,18035.48871617
LSK-EUR,1738281600000,0.84176,0.86995,0.83034,0.8333,12484.30592896
LSK-EUR,1738195200000,0.83255,0.85,0.83141,0.83919,3658.15435073
LSK-EUR,1738108800000,0.78344,0.8247,0.78344,0.814,4115.9220098
LSK-EUR,1738022400000,0.83793,0.84492,0.7906,0.7906,14538.30171209
LSK-EUR,1737936000000,0.8326,0.8421,0.79549,0.83837,100955.78154427
LSK-EUR,1737849600000,0.8666,0.88988,0.8587,0.8587,8596.41908024
LSK-EUR,1737763200000,0.83686,0.86575,0.83686,0.8632,13864.70993573
LSK-EUR,1737676800000,0.82789,0.87843,0.82545,0.84241,86958.92033667
LSK-EUR,1737590400000,0.86524,0.8762,0.83234,0.85814,43871.5801263
LSK-EUR,1737504000000,0.88913,0.89,0.85793,0.85793,13283.89973499
LSK-EUR,1737417600000,0.86969,0.9123,0.84632,0.89456,9620.05670648
LSK-EUR,1737331200000,0.867,0.95204,0.85559,0.87331,66150.95291169
LSK-EUR,1737244800000,0.93166,0.9575,0.8705,0.87552,89279.68762364
LSK-EUR,1737158400000,0.9967,1.0024,0.916,0.93634,30183.78711897
LSK-EUR,1737072000000,0.98338,1.013,0.98338,1.008,122557.55776659
LSK-EUR,1736985600000,1.0024,1.0024,0.95,0.9598,49924.88621504
LSK-EUR,1736899200000,1,1.0118,0.95296,1.0089,98849.46513525
LSK-EUR,1736812800000,0.96829,1.035,0.9428,1.0107,46458.82902487
LSK-EUR,1736726400000,1.0523,1.2365,0.93551,0.98832,437676.78947491
LSK-EUR,1736640000000,1.0357,1.0681,1.0044,1.0462,49221.03142532
LSK-EUR,1736553600000,1.0616,1.0881,1.0289,1.0451,55350.93254097
LSK-EUR,1736467200000,1.0828,1.1024,0.98744,1.063,103659.03304013
LSK-EUR,1736380800000,0.9524,1.1181,0.9479,1.1035,768994.21658875
LSK-EUR,1736294400000,0.92216,0.96999,0.87656,0.95788,113396.51908244
LSK-EUR,1736208000000,1,1,0.9108,0.91652,11073.06071944
LSK-EUR,1736121600000,0.99378,1.0202,0.98019,1.0004,37764.01391919
LSK-EUR,1736035200000,0.96887,0.9997,0.96731,0.98884,67232.42076535
LSK-EUR,1735948800000,0.9732,0.98965,0.96,0.9745,58891.14749947
LSK-EUR,1735862400000,0.92127,0.97298,0.91087,0.9682,146976.33850728
LSK-EUR,1735776000000,0.9074,0.94192,0.90145,0.9331,30971.20599428
