market,time,open,high,low,close,volume
MAGIC-EUR,1741132800000,0.16582,0.17174,0.15862,0.16105,67546.75586404
MAGIC-EUR,1741046400000,0.17167,0.17807,0.15488,0.16622,170274.87465753
MAGIC-EUR,1740960000000,0.22142,0.22142,0.17638,0.18142,201413.21274816
MAGIC-EUR,1740873600000,0.19961,0.22004,0.1964,0.21824,238242.68807811
MAGIC-EUR,1740787200000,0.19506,0.20231,0.1932,0.199,22531.36269231
MAGIC-EUR,1740700800000,0.20354,0.20734,0.18302,0.20511,335607.31231904
MAGIC-EUR,1740614400000,0.20727,0.20845,0.1998,0.20344,1439826.23526996
MAGIC-EUR,1740528000000,0.20583,0.20583,0.19403,0.20377,86846.46713579
MAGIC-EUR,1740441600000,0.19483,0.20375,0.18166,0.20194,191252.68806508
MAGIC-EUR,1740355200000,0.2188,0.22104,0.19077,0.19471,30496.59006997
MAGIC-EUR,1740268800000,0.2393,0.24111,0.23148,0.23148,71809.94820221
MAGIC-EUR,1740182400000,0.23241,0.24137,0.23145,0.24137,264873.76769898
MAGIC-EUR,1740096000000,0.24308,0.25008,0.22962,0.23317,103800.20457118
MAGIC-EUR,1740009600000,0.22991,0.23737,0.22991,0.23706,28506.72159448
MAGIC-EUR,1739923200000,0.23094,0.23178,0.22615,0.22632,21227.89226685
MAGIC-EUR,1739836800000,0.238,0.238,0.21867,0.22521,43773.04837781
MAGIC-EUR,1739750400000,0.24679,0.25012,0.23269,0.23567,55178.35539366
MAGIC-EUR,1739664000000,0.23649,0.26701,0.23338,0.24189,750160.52042256
MAGIC-EUR,1739577600000,0.24408,0.26427,0.23242,0.23669,447062.89301575
MAGIC-EUR,1739491200000,0.23792,0.24772,0.23745,0.24334,31390.33953285
MAGIC-EUR,1739404800000,0.24441,0.25221,0.2318,0.2351,619922.6800054
MAGIC-EUR,1739318400000,0.2253,0.24562,0.22148,0.245,121896.40945946
MAGIC-EUR,1739232000000,0.23524,0.24258,0.22125,0.22477,128269.80335942
MAGIC-EUR,1739145600000,0.2262,0.23579,0.21932,0.23304,237955.40235538
MAGIC-EUR,1739059200000,0.22789,0.23467,0.21192,0.22005,40105.26275671
MAGIC-EUR,1738972800000,0.21503,0.22999,0.21048,0.22752,84213.49429894
MAGIC-EUR,1738886400000,0.21615,0.23062,0.20354,0.2108,110538.51397062
MAGIC-EUR,1738800000000,0.22692,0.23402,0.21097,0.21355,77673.86974174
MAGIC-EUR,1738713600000,0.23036,0.23674,0.22572,0.22772,230571.19677223
MAGIC-EUR,1738627200000,0.24481,0.24481,0.22132,0.23217,97415.15073257
MAGIC-EUR,1738540800000,0.24642,0.25092,0.181,0.25092,936596.37991064
MAGIC-EUR,1738454400000,0.29656,0.29656,0.23764,0.25005,250792.21562102
MAGIC-EUR,1738368000000,0.32565,0.32565,0.29124,0.29345,76546.83920086
MAGIC-EUR,1738281600000,0.33215,0.34951,0.32845,0.32845,85693.38047954
MAGIC-EUR,1738195200000,0.32502,0.339,0.32502,0.33687,32800.56555402
MAGIC-EUR,1738108800000,0.3036,0.33063,0.3036,0.31903,14707.89998054
MAGIC-EUR,1738022400000,0.33302,0.33302,0.30335,0.30385,39711.46811999
MAGIC-EUR,1737936000000,0.33567,0.33567,0.29579,0.32818,150159.32318784
MAGIC-EUR,1737849600000,0.34185,0.35593,0.34185,0.35348,19432.26639217
MAGIC-EUR,1737763200000,0.32991,0.3427,0.32606,0.34041,34128.48689229
MAGIC-EUR,1737676800000,0.3434,0.35717,0.3313,0.33166,41079.76565823
MAGIC-EUR,1737590400000,0.35481,0.35632,0.33592,0.35059,74078.00345901
MAGIC-EUR,1737504000000,0.37207,0.37933,0.3564,0.35649,120411.60537245
MAGIC-EUR,1737417600000,0.35062,0.37348,0.33934,0.36742,55353.93362675
MAGIC-EUR,1737331200000,0.3679,0.4025,0.348,0.35462,193450.57088763
MAGIC-EUR,1737244800000,0.42082,0.42222,0.36708,0.37076,395224.31122534
MAGIC-EUR,1737158400000,0.47758,0.48116,0.41344,0.4227,50228.55534077
MAGIC-EUR,1737072000000,0.45001,0.48201,0.45001,0.47689,43289.92104604
MAGIC-EUR,1736985600000,0.47153,0.47153,0.44521,0.44521,69323.40762375
MAGIC-EUR,1736899200000,0.43531,0.4712,0.42849,0.4712,111364.21409302
MAGIC-EUR,1736812800000,0.43308,0.44546,0.43308,0.44546,2865.8209053
MAGIC-EUR,1736726400000,0.45267,0.45926,0.3987,0.43079,68030.17817863
MAGIC-EUR,1736640000000,0.46267,0.46738,0.45366,0.45503,11550.78690861
MAGIC-EUR,1736553600000,0.45782,0.4767,0.4502,0.46697,188228.99937816
MAGIC-EUR,1736467200000,0.45622,0.4776,0.45296,0.45886,70167.1085287
MAGIC-EUR,1736380800000,0.4971,0.4971,0.4435,0.45183,205045.24202381
MAGIC-EUR,1736294400000,0.52152,0.52152,0.46255,0.49598,48828.36790679
MAGIC-EUR,1736208000000,0.57016,0.57016,0.51809,0.51809,122661.38044879
MAGIC-EUR,1736121600000,0.57258,0.60235,0.56209,0.57889,87988.20719505
MAGIC-EUR,1736035200000,0.59673,0.60505,0.56811,0.5723,369896.74393314
MAGIC-EUR,1735948800000,0.52417,0.61513,0.51748,0.59555,830834.61270201
MAGIC-EUR,1735862400000,0.51688,0.544,0.50222,0.52188,511764.00060575
MAGIC-EUR,1735776000000,0.42738,0.53718,0.42695,0.52137,1700891.96806311
MAGIC-EUR,1735689600000,0.41132,0.42274,0.40538,0.42274,3138.87797833
MAGIC-EUR,1735603200000,0.40898,0.42643,0.40787,0.40859,37118.33026083
MAGIC-EUR,1735516800000,0.44004,0.44004,0.40716,0.42037,16623.83923603
MAGIC-EUR,1735430400000,0.42969,0.44171,0.41546,0.41546,244572.71199567
MAGIC-EUR,1735344000000,0.41521,0.43438,0.40954,0.43083,43918.6114718
MAGIC-EUR,1735257600000,0.4195,0.43949,0.41188,0.4147,56849.81265459
MAGIC-EUR,1735171200000,0.44579,0.44579,0.40627,0.40964,17444.78860036
MAGIC-EUR,1735084800000,0.4541,0.46882,0.44088,0.44088,33960.23112048
MAGIC-EUR,1734998400000,0.41537,0.46741,0.41537,0.45731,64030.686339
MAGIC-EUR,1734912000000,0.38946,0.43498,0.38946,0.42914,70788.53385458
MAGIC-EUR,1734825600000,0.40459,0.40988,0.38561,0.39942,17127.71321716
MAGIC-EUR,1734739200000,0.42446,0.45341,0.39809,0.39922,69406.19340403
MAGIC-EUR,1734652800000,0.4073,0.42331,0.35446,0.42331,258518.36407344
MAGIC-EUR,1734566400000,0.45525,0.46285,0.39689,0.41367,170869.89033047
MAGIC-EUR,1734480000000,0.52338,0.52338,0.45193,0.45776,111196.27047959
MAGIC-EUR,1734393600000,0.55512,0.56,0.52134,0.52134,31577.12782518
MAGIC-EUR,1734307200000,0.57213,0.58449,0.53971,0.55659,61583.78629553
MAGIC-EUR,1734220800000,0.55609,0.57296,0.53595,0.57006,43710.87207392
MAGIC-EUR,1734134400000,0.59548,0.60432,0.55011,0.55909,117763.64253211
MAGIC-EUR,1734048000000,0.61087,0.62041,0.58991,0.59412,74525.31834887
