market,time,open,high,low,close,volume
MANTA-EUR,1741132800000,0.2855,0.29672,0.28,0.28487,299815.9197
MANTA-EUR,1741046400000,0.305,0.31233,0.27,0.29399,355257.4244
MANTA-EUR,1740960000000,0.35724,0.38721,0.305,0.34431,248002.8746
MANTA-EUR,1740873600000,0.3444,0.39714,0.34095,0.39505,143923.2453
MANTA-EUR,1740787200000,0.33991,0.35647,0.33536,0.342,38694.2521
MANTA-EUR,1740700800000,0.34776,0.36101,0.3208,0.35521,131132.4508
MANTA-EUR,1740614400000,0.35254,0.35828,0.33841,0.34617,868757.5707
MANTA-EUR,1740528000000,0.33654,0.34678,0.32566,0.343,89978.4682
MANTA-EUR,1740441600000,0.32185,0.34139,0.2936,0.33662,166908.0729
MANTA-EUR,1740355200000,0.3787,0.3787,0.31068,0.3173,160969.9287
MANTA-EUR,1740268800000,0.3915,0.39282,0.374,0.37513,81892.9992
MANTA-EUR,1740182400000,0.3679,0.3927,0.36486,0.39034,21431.2714
MANTA-EUR,1740096000000,0.38381,0.40178,0.36061,0.3687,71264.6847
MANTA-EUR,1740009600000,0.3662,0.38668,0.36288,0.384,163184.2291
MANTA-EUR,1739923200000,0.36586,0.37188,0.35122,0.36137,31419.8883
MANTA-EUR,1739836800000,0.37865,0.37865,0.34159,0.3579,115150.984
MANTA-EUR,1739750400000,0.38415,0.40626,0.37522,0.38261,109356.3374
MANTA-EUR,1739664000000,0.38745,0.39538,0.373,0.37925,82888.6591
MANTA-EUR,1739577600000,0.39704,0.39814,0.38,0.38697,7947.007
MANTA-EUR,1739491200000,0.39275,0.40898,0.39151,0.3967,132269.0787
MANTA-EUR,1739404800000,0.40467,0.40895,0.38337,0.39533,86630.7174
MANTA-EUR,1739318400000,0.38112,0.414,0.37295,0.40948,78136.4169
MANTA-EUR,1739232000000,0.39042,0.4134,0.37232,0.38077,135192.5797
MANTA-EUR,1739145600000,0.38525,0.39411,0.36821,0.39056,125066.5901
MANTA-EUR,1739059200000,0.38528,0.39579,0.36252,0.37884,136441.4915
MANTA-EUR,1738972800000,0.37038,0.38736,0.358,0.38469,61686.042
MANTA-EUR,1738886400000,0.3586,0.39539,0.35271,0.36525,97073.5155
MANTA-EUR,1738800000000,0.3852,0.3899,0.35193,0.35677,79389.3936
MANTA-EUR,1738713600000,0.3969,0.40499,0.37528,0.3818,61384.7385
MANTA-EUR,1738627200000,0.44006,0.44016,0.38285,0.40576,211693.7239
MANTA-EUR,1738540800000,0.45233,0.45599,0.3505,0.44732,421303.3231
MANTA-EUR,1738454400000,0.54297,0.55539,0.42676,0.45581,226313.3
MANTA-EUR,1738368000000,0.6057,0.60665,0.5385,0.54539,33303.5821
MANTA-EUR,1738281600000,0.59005,0.64003,0.57855,0.605,115360.7514
MANTA-EUR,1738195200000,0.56459,0.596,0.56459,0.58983,200568.825
MANTA-EUR,1738108800000,0.53631,0.57855,0.53494,0.56354,96670.6727
MANTA-EUR,1738022400000,0.59241,0.59342,0.52875,0.53445,52708.7012
MANTA-EUR,1737936000000,0.60309,0.60377,0.53581,0.58635,102014.5908
MANTA-EUR,1737849600000,0.62673,0.63552,0.605,0.605,237895.5446
MANTA-EUR,1737763200000,0.61561,0.63623,0.60537,0.62457,279865.7985
MANTA-EUR,1737676800000,0.62066,0.65876,0.61333,0.61666,40206.5946
MANTA-EUR,1737590400000,0.64402,0.66107,0.62576,0.64416,55981.9254
MANTA-EUR,1737504000000,0.66899,0.67717,0.645,0.6481,152114.239
MANTA-EUR,1737417600000,0.64388,0.68217,0.615,0.66727,148238.5148
MANTA-EUR,1737331200000,0.64552,0.69765,0.61277,0.65815,460145.3867
MANTA-EUR,1737244800000,0.72721,0.73563,0.63985,0.65119,211917.3721
MANTA-EUR,1737158400000,0.8026,0.8104,0.70514,0.72265,93155.5509
MANTA-EUR,1737072000000,0.74112,0.80584,0.74112,0.80393,107273.5688
MANTA-EUR,1736985600000,0.78,0.78,0.73072,0.737,125212.3153
MANTA-EUR,1736899200000,0.73231,0.77927,0.70631,0.77751,107536.8934
MANTA-EUR,1736812800000,0.701,0.73559,0.701,0.73474,46189.3101
MANTA-EUR,1736726400000,0.75995,0.77826,0.6665,0.70275,129591.9718
MANTA-EUR,1736640000000,0.77832,0.78274,0.74426,0.75593,10821.7114
MANTA-EUR,1736553600000,0.76867,0.7938,0.75922,0.77614,20955.2253
MANTA-EUR,1736467200000,0.76966,0.78475,0.75215,0.7792,49425.7089
MANTA-EUR,1736380800000,0.77607,0.78783,0.7376,0.76384,127615.5081
MANTA-EUR,1736294400000,0.81034,0.81873,0.72346,0.77576,112232.3479
MANTA-EUR,1736208000000,0.8889,0.89259,0.81,0.81373,123525.2703
MANTA-EUR,1736121600000,0.90518,0.9326,0.88266,0.89028,53699.8263
MANTA-EUR,1736035200000,0.92671,0.93043,0.89,0.90734,59978.6211
MANTA-EUR,1735948800000,0.92622,0.96578,0.91475,0.93001,70301.7546
MANTA-EUR,1735862400000,0.84434,0.93896,0.83068,0.9189,101413.7738
MANTA-EUR,1735776000000,0.82125,0.878,0.821,0.8423,108211.8724
MANTA-EUR,1735689600000,0.77907,0.83268,0.7611,0.81703,72534.9417
MANTA-EUR,1735603200000,0.7841,0.81004,0.76605,0.77231,43840.2921
MANTA-EUR,1735516800000,0.7996,0.82535,0.772,0.79423,87450.1377
MANTA-EUR,1735430400000,0.84389,0.84389,0.795,0.80538,54373.4991
MANTA-EUR,1735344000000,0.82069,0.84856,0.79891,0.84475,103729.9688
MANTA-EUR,1735257600000,0.81404,0.87989,0.80801,0.81703,85015.784
MANTA-EUR,1735171200000,0.88593,0.88593,0.80389,0.81003,76212.6832
MANTA-EUR,1735084800000,0.90695,0.91456,0.87331,0.88858,68852.0876
MANTA-EUR,1734998400000,0.87439,0.91412,0.85238,0.90986,150973.1068
MANTA-EUR,1734912000000,0.81077,0.8893,0.79146,0.87417,169645.1735
MANTA-EUR,1734825600000,0.8443,0.85167,0.7884,0.81289,68256.1623
MANTA-EUR,1734739200000,0.86238,0.93714,0.81111,0.81776,238785.5243
MANTA-EUR,1734652800000,0.79625,0.87165,0.69408,0.86937,975330.7057
MANTA-EUR,1734566400000,0.87845,0.88943,0.77049,0.79509,384353.519
MANTA-EUR,1734480000000,0.95443,0.9564,0.85302,0.8845,327198.1847
MANTA-EUR,1734393600000,1.0435,1.0473,0.94355,0.95607,82976.7881
MANTA-EUR,1734307200000,1.07,1.1,0.99885,1.0348,111203.8982
MANTA-EUR,1734220800000,1.0121,1.0797,0.96719,1.0797,77926.1014
MANTA-EUR,1734134400000,1.0703,1.0965,0.99113,1.0187,137102.195
MANTA-EUR,1734048000000,1.0554,1.0773,1.0346,1.0696,68467.7157
MANTA-EUR,1733961600000,1.0477,1.12,1.038,1.0522,115125.5047
MANTA-EUR,1733875200000,0.94878,1.0641,0.93353,1.0457,85702.0712
MANTA-EUR,1733788800000,0.96653,1.019,0.88,0.96021,243305.3678
MANTA-EUR,1733702400000,1.2132,1.2132,0.82589,0.98609,485661.2664
MANTA-EUR,1733616000000,1.2293,1.2417,1.1836,1.2152,86069.8244
MANTA-EUR,1733529600000,1.2397,1.2733,1.2284,1.2346,154436.0164
MANTA-EUR,1733443200000,1.1613,1.2766,1.1595,1.2451,303587.7651
MANTA-EUR,1733356800000,1.2195,1.2214,1.12,1.1698,346353.0679
MANTA-EUR,1733270400000,1.211,1.2765,1.1844,1.2181,231305.938
MANTA-EUR,1733184000000,1.1791,1.233,1.0744,1.2232,434254.8155
MANTA-EUR,1733097600000,1.129,1.207,1.0433,1.2001,266720.0291
MANTA-EUR,1733011200000,1.1228,1.1795,1.0959,1.1286,192800.5898
MANTA-EUR,1732924800000,1.1129,1.1483,1.08,1.1285,157555.5407
MANTA-EUR,1732838400000,1.1075,1.16,1.0674,1.1284,188939.7522
MANTA-EUR,1732752000000,1.0358,1.1628,1.0358,1.1128,487557.0141
MANTA-EUR,1732665600000,0.94434,1.06,0.9308,1.06,221559.7671
MANTA-EUR,1732579200000,1.0079,1.0412,0.90285,0.94797,230121.565
MANTA-EUR,1732492800000,1.0775,1.0775,0.97497,1.0115,264116.3977
MANTA-EUR,1732406400000,0.97762,1.1081,0.89779,1.0813,1242763.9668
MANTA-EUR,1732320000000,0.8505,1.0487,0.84426,0.98563,409140.9152
MANTA-EUR,1732233600000,0.81059,0.85504,0.79388,0.85504,428577.056
MANTA-EUR,1732147200000,0.7025,0.81226,0.68,0.80471,266863.1228
MANTA-EUR,1732060800000,0.75062,0.76112,0.69351,0.70622,104718.241
