market,time,open,high,low,close,volume
MASK-EUR,1741132800000,2.0751,2.0819,2.04,2.0482,2724.6628528
MASK-EUR,1741046400000,2.075,2.1044,2.0711,2.0772,10335.80977888
MASK-EUR,1740960000000,2.0786,2.2007,2.0786,2.0824,23754.04751307
MASK-EUR,1740873600000,2.1238,2.2142,2.1151,2.2041,57128.26723805
MASK-EUR,1740787200000,2.1227,2.1399,2.1097,2.1272,3066.89692231
MASK-EUR,1740700800000,2.1613,2.1798,2.0947,2.1368,35115.74484319
MASK-EUR,1740614400000,2.1481,2.1736,2.121,2.1568,143536.05084716
MASK-EUR,1740528000000,2.1564,2.2117,2.1087,2.1464,37718.27265301
MASK-EUR,1740441600000,2.09,2.1628,2.0611,2.1586,75122.62283249
MASK-EUR,1740355200000,2.075,2.0919,2.0657,2.0798,12878.77353493
MASK-EUR,1740268800000,2.1141,2.1206,2.0892,2.0948,5259.13289166
MASK-EUR,1740182400000,2.0977,2.1274,2.0957,2.1121,18917.53556969
MASK-EUR,1740096000000,2.1025,2.1277,2.086,2.0974,5791.47095682
MASK-EUR,1740009600000,2.0947,2.1088,2.0821,2.0972,6538.69395106
MASK-EUR,1739923200000,2.1072,2.113,2.0887,2.0928,4683.27382039
MASK-EUR,1739836800000,2.0986,2.1067,2.082,2.0994,6327.54360544
MASK-EUR,1739750400000,2.1144,2.13,2.0952,2.1214,18031.13179879
MASK-EUR,1739664000000,2.1677,2.2164,2.0916,2.1049,62957.30252289
MASK-EUR,1739577600000,2.2285,2.2285,2.15,2.15,4998.20184232
MASK-EUR,1739491200000,2.1826,2.2407,2.1619,2.228,38641.67774694
MASK-EUR,1739404800000,2.2219,2.25,2.1704,2.1816,20617.55242575
MASK-EUR,1739318400000,2.162,2.2387,2.1317,2.2326,33653.89986657
MASK-EUR,1739232000000,2.2407,2.2612,2.1433,2.1629,21099.48936799
MASK-EUR,1739145600000,2.1916,2.2272,2.1858,2.2172,10420.90287124
MASK-EUR,1739059200000,2.1448,2.2107,2.125,2.1383,25689.9778438
MASK-EUR,1738972800000,2.1261,2.1727,2.1246,2.1727,6736.40515338
MASK-EUR,1738886400000,2.1195,2.1487,2.1049,2.124,29251.25141388
MASK-EUR,1738800000000,2.1011,2.1943,2.1011,2.11,44866.96692918
MASK-EUR,1738713600000,2.1299,2.1429,2.0887,2.0967,51143.93106251
MASK-EUR,1738627200000,2.4327,2.4327,2.1114,2.1308,123652.92417663
MASK-EUR,1738540800000,2.2484,2.5077,1.964,2.4293,505922.40977482
MASK-EUR,1738454400000,2.1524,2.284,2.097,2.2284,223428.44987307
MASK-EUR,1738368000000,2.215,2.215,2.0984,2.1068,27980.73342281
MASK-EUR,1738281600000,2.1343,2.2644,2.1343,2.1967,5840.96020504
MASK-EUR,1738195200000,2.151,2.2045,2.1203,2.1908,9226.52276017
MASK-EUR,1738108800000,2.0002,2.179,1.9926,2.1184,14913.64846661
MASK-EUR,1738022400000,2.13,2.1498,1.9863,1.9863,3307.16484618
MASK-EUR,1737936000000,2.187,2.187,1.9621,2.1586,28217.81234533
MASK-EUR,1737849600000,2.2725,2.2992,2.2051,2.2051,2341.49714983
MASK-EUR,1737763200000,2.2128,2.2926,2.1861,2.2807,40373.94212449
MASK-EUR,1737676800000,2.2971,2.339,2.2,2.2021,7658.00090336
MASK-EUR,1737590400000,2.3329,2.3414,2.2334,2.3123,10944.4165058
MASK-EUR,1737504000000,2.4122,2.4122,2.3243,2.3277,10253.63033521
MASK-EUR,1737417600000,2.3809,2.4493,2.2735,2.3999,29874.69000081
MASK-EUR,1737331200000,2.4334,2.6541,2.3425,2.4135,64769.57026499
MASK-EUR,1737244800000,2.7205,2.7361,2.4233,2.48,86316.7324854
MASK-EUR,1737158400000,2.8784,2.9604,2.637,2.6964,29414.41505156
MASK-EUR,1737072000000,2.7123,2.8711,2.7123,2.8602,5071.76876341
MASK-EUR,1736985600000,2.7267,2.7663,2.6562,2.6989,18834.04053345
MASK-EUR,1736899200000,2.6413,2.7688,2.5657,2.7688,14534.29878592
MASK-EUR,1736812800000,2.5315,2.637,2.5315,2.637,1954.4139058
MASK-EUR,1736726400000,2.6,2.6,2.4,2.5275,12094.36488635
MASK-EUR,1736640000000,2.711,2.711,2.6075,2.6334,1169.61240957
MASK-EUR,1736553600000,2.7352,2.7426,2.675,2.7047,894.04115837
MASK-EUR,1736467200000,2.7018,2.7641,2.6438,2.7539,15701.78752931
MASK-EUR,1736380800000,2.7031,2.7772,2.6446,2.7124,18899.95567526
MASK-EUR,1736294400000,2.7826,2.7826,2.5796,2.6994,14384.72928593
MASK-EUR,1736208000000,3.0804,3.094,2.755,2.7634,33927.92189974
MASK-EUR,1736121600000,3.0766,3.1658,3.0613,3.0772,11850.28325025
MASK-EUR,1736035200000,3.0801,3.1085,3.0392,3.0998,4534.69976228
MASK-EUR,1735948800000,3.1054,3.1347,3.0468,3.0817,16224.12277865
MASK-EUR,1735862400000,2.9725,3.1,2.9303,3.0983,15694.28732393
MASK-EUR,1735776000000,2.8911,2.9771,2.882,2.972,6833.62526397
MASK-EUR,1735689600000,2.8971,3.0131,2.7193,2.8739,42136.19698072
MASK-EUR,1735603200000,2.7881,2.9399,2.7369,2.904,22130.95524703
MASK-EUR,1735516800000,2.8577,2.906,2.733,2.7903,28451.44119725
MASK-EUR,1735430400000,2.9212,2.9389,2.8155,2.8495,31187.23412856
MASK-EUR,1735344000000,2.8328,2.9509,2.8328,2.9509,4853.84140486
MASK-EUR,1735257600000,2.8318,2.9836,2.8251,2.8589,13159.01356213
MASK-EUR,1735171200000,3.0158,3.0158,2.7759,2.8111,27733.81452859
MASK-EUR,1735084800000,3.1179,3.1733,3.0082,3.0407,19574.78322021
MASK-EUR,1734998400000,3.0351,3.1422,2.9997,3.1188,15881.07512055
MASK-EUR,1734912000000,2.9599,3.0742,2.863,3.0442,11047.76636437
MASK-EUR,1734825600000,2.951,3.0113,2.8174,2.8973,12678.05651227
MASK-EUR,1734739200000,2.9743,3.1236,2.8644,2.9163,19433.88374825
MASK-EUR,1734652800000,2.817,2.9749,2.4688,2.9641,84856.66791491
MASK-EUR,1734566400000,3.0441,3.2096,2.7623,2.8543,86158.58185961
MASK-EUR,1734480000000,3.1686,3.3607,3.0883,3.0883,73938.33357555
MASK-EUR,1734393600000,3.3723,3.5,3.1,3.1605,92167.43768568
MASK-EUR,1734307200000,3.4583,3.5014,3.3623,3.3836,82388.65674361
MASK-EUR,1734220800000,3.6502,3.6502,3.3484,3.4946,289593.4944325
MASK-EUR,1734134400000,4.3647,4.5078,3.5734,3.6581,215742.45363601
MASK-EUR,1734048000000,4.0715,4.4959,3.9238,4.3653,110057.7748628
MASK-EUR,1733961600000,3.6791,4.133,3.6791,4.1034,102940.36819674
MASK-EUR,1733875200000,3.2255,3.69,3.1557,3.6241,26387.8284432
MASK-EUR,1733788800000,3.1747,3.2671,2.9704,3.2573,39089.64875828
MASK-EUR,1733702400000,4.0333,4.0333,2.6333,3.2485,150102.71616374
MASK-EUR,1733616000000,4.1368,4.1453,3.9524,4.0447,18828.67492969
MASK-EUR,1733529600000,4.0891,4.2196,4.0269,4.1771,38230.4844677
MASK-EUR,1733443200000,3.834,4.18,3.8,4.106,70574.36124311
MASK-EUR,1733356800000,3.9464,4.0135,3.738,3.8684,63512.17928071
MASK-EUR,1733270400000,3.9466,4.0937,3.84,3.9575,60133.21058243
MASK-EUR,1733184000000,3.5912,3.99,3.5912,3.979,164430.78232452
MASK-EUR,1733097600000,3.6081,3.6706,3.2944,3.5778,85214.26177895
MASK-EUR,1733011200000,3.54,3.7411,3.43,3.6299,45540.45697581
MASK-EUR,1732924800000,3.503,3.6692,3.4291,3.544,21953.57376085
MASK-EUR,1732838400000,3.5007,3.641,3.3518,3.5419,67856.2688476
MASK-EUR,1732752000000,3.311,3.5222,3.2208,3.5037,64022.62950622
MASK-EUR,1732665600000,3.1761,3.5867,3.1219,3.3495,299670.74396941
MASK-EUR,1732579200000,3.0681,3.262,2.8651,3.2252,53958.43073764
MASK-EUR,1732492800000,3.1286,3.1881,2.93,3.0192,46866.7394122
MASK-EUR,1732406400000,3.0369,3.2619,2.8999,3.1391,115676.09352171
MASK-EUR,1732320000000,2.9776,3.0654,2.83,3.0059,114799.97057379
MASK-EUR,1732233600000,2.8517,2.9748,2.7574,2.9748,48464.20323639
MASK-EUR,1732147200000,2.7471,2.8483,2.6437,2.8458,30848.37099635
MASK-EUR,1732060800000,2.7833,3.0458,2.6688,2.7863,89403.63864068
MASK-EUR,1731974400000,2.8184,2.9278,2.7595,2.816,35929.39928256
MASK-EUR,1731888000000,2.7204,2.8388,2.7123,2.7865,54570.50496635
MASK-EUR,1731801600000,2.8469,2.8809,2.6676,2.6862,35746.89814578
MASK-EUR,1731715200000,2.7719,2.8928,2.7257,2.8801,37466.32623404
MASK-EUR,1731628800000,2.6836,2.7984,2.5932,2.7785,64616.7736583
MASK-EUR,1731542400000,2.6926,2.823,2.6273,2.6721,72164.36731373
MASK-EUR,1731456000000,3.004,3.1918,2.5736,2.7319,243783.43393613
MASK-EUR,1731369600000,2.8662,3.5424,2.7691,3.0036,879111.14224925
MASK-EUR,1731283200000,2.7383,2.888,2.5598,2.8734,239775.75503011
MASK-EUR,1731196800000,2.5605,2.8747,2.5447,2.7368,145255.97361759
MASK-EUR,1731110400000,2.4714,2.6094,2.4211,2.6029,33479.67415807
MASK-EUR,1731024000000,2.5575,2.5919,2.4217,2.4861,53040.460715
MASK-EUR,1730937600000,2.727,2.7789,2.4731,2.5601,90889.28021338
MASK-EUR,1730851200000,2.6336,2.9602,2.5914,2.7522,210708.3448454
MASK-EUR,1730764800000,2.3627,2.6867,2.362,2.623,490954.09732658
MASK-EUR,1730678400000,2.2421,2.5011,2.2123,2.3521,153212.00315325
MASK-EUR,1730592000000,2.3612,2.3631,2.22,2.2378,339356.72520723
MASK-EUR,1730505600000,2.5543,2.618,2.3346,2.3727,48002.08584541
MASK-EUR,1730419200000,2.7016,2.8217,2.5228,2.5565,170715.50208479
MASK-EUR,1730332800000,2.9301,3.3316,2.615,2.7167,336348.04733744
MASK-EUR,1730246400000,2.6514,3.036,2.5161,2.9327,551296.80256625
