market,time,open,high,low,close,volume
MAV-EUR,1741132800000,0.064173,0.067608,0.064021,0.06502,12612.21006846
MAV-EUR,1741046400000,0.065535,0.070126,0.060154,0.066065,462584.30883673
MAV-EUR,1740960000000,0.07714,0.081855,0.069383,0.069968,61545.96831096
MAV-EUR,1740873600000,0.075944,0.085457,0.075944,0.077215,18875.15371811
MAV-EUR,1740787200000,0.07644,0.078687,0.074913,0.076075,25727.04212125
MAV-EUR,1740700800000,0.072244,0.079268,0.07,0.078844,195259.53929663
MAV-EUR,1740614400000,0.07662,0.078404,0.074821,0.074821,12225.25210473
MAV-EUR,1740528000000,0.077419,0.077589,0.073035,0.074945,48583.87154211
MAV-EUR,1740441600000,0.076038,0.077493,0.07014,0.076923,501987.19041979
MAV-EUR,1740355200000,0.0869,0.0876,0.073336,0.075661,458581.37560718
MAV-EUR,1740268800000,0.093254,0.094704,0.090903,0.091199,23674.10963705
MAV-EUR,1740182400000,0.089276,0.094534,0.089276,0.094534,6387.35144297
MAV-EUR,1740096000000,0.088967,0.098255,0.088416,0.089612,87615.29352842
MAV-EUR,1740009600000,0.086489,0.08843,0.085829,0.088414,87458.11834701
MAV-EUR,1739923200000,0.082972,0.085054,0.082594,0.083773,7713.96575201
MAV-EUR,1739836800000,0.086622,0.086622,0.081,0.083574,17422.05458117
MAV-EUR,1739750400000,0.09109,0.092935,0.086622,0.089695,14442.73198768
MAV-EUR,1739664000000,0.090318,0.093746,0.087966,0.087966,26218.10683309
MAV-EUR,1739577600000,0.094044,0.094044,0.090354,0.090603,7511.1826172
MAV-EUR,1739491200000,0.092969,0.096572,0.09219,0.095759,12034.92045027
MAV-EUR,1739404800000,0.097512,0.097513,0.09091,0.092738,36729.85451338
MAV-EUR,1739318400000,0.088102,0.097764,0.086405,0.097764,271715.56535629
MAV-EUR,1739232000000,0.090792,0.094496,0.088347,0.088349,23334.07200314
MAV-EUR,1739145600000,0.082886,0.090437,0.082886,0.089,78775.33937561
MAV-EUR,1739059200000,0.087671,0.089443,0.082094,0.084909,125519.94651098
MAV-EUR,1738972800000,0.079155,0.087087,0.078384,0.086462,73568.81927934
MAV-EUR,1738886400000,0.080433,0.085947,0.076026,0.078681,77554.03660706
MAV-EUR,1738800000000,0.087073,0.087574,0.078841,0.079354,80240.42411718
