market,time,open,high,low,close,volume
MAVIA-EUR,1741132800000,0.14932,0.19,0.14574,0.14988,541868.79415664
MAVIA-EUR,1741046400000,0.1676,0.18096,0.146,0.15604,397763.21954502
MAVIA-EUR,1740960000000,0.20413,0.22573,0.18199,0.18951,259873.17621116
MAVIA-EUR,1740873600000,0.21358,0.2186,0.18872,0.20597,155795.47342704
MAVIA-EUR,1740787200000,0.18986,0.20205,0.18884,0.19197,112327.47820512
MAVIA-EUR,1740700800000,0.19895,0.20592,0.18647,0.20295,270699.6498389
MAVIA-EUR,1740614400000,0.21062,0.2154,0.19388,0.19729,163922.06479315
MAVIA-EUR,1740528000000,0.21071,0.21547,0.19601,0.21293,211994.94800833
MAVIA-EUR,1740441600000,0.2178,0.22038,0.19488,0.20803,318848.69038086
MAVIA-EUR,1740355200000,0.26401,0.26818,0.21802,0.22229,173945.75175379
MAVIA-EUR,1740268800000,0.26996,0.28127,0.26704,0.27248,61658.72700154
MAVIA-EUR,1740182400000,0.26446,0.28897,0.25897,0.27664,105428.46172158
MAVIA-EUR,1740096000000,0.264,0.31767,0.25332,0.26347,365748.31468918
MAVIA-EUR,1740009600000,0.26165,0.26493,0.253,0.26335,64199.4146198
MAVIA-EUR,1739923200000,0.26267,0.27424,0.25988,0.26019,94585.76167679
MAVIA-EUR,1739836800000,0.26899,0.26899,0.24179,0.26065,179171.09822176
MAVIA-EUR,1739750400000,0.26748,0.28796,0.25765,0.26243,171959.26276746
MAVIA-EUR,1739664000000,0.26197,0.27577,0.25971,0.26601,31290.53472712
MAVIA-EUR,1739577600000,0.26944,0.27754,0.25544,0.25728,137985.0214475
MAVIA-EUR,1739491200000,0.27023,0.2884,0.26144,0.2692,303005.7848342
MAVIA-EUR,1739404800000,0.28512,0.28512,0.26202,0.26942,345209.22193742
MAVIA-EUR,1739318400000,0.29199,0.30039,0.26401,0.28135,298855.38320997
MAVIA-EUR,1739232000000,0.28404,0.30015,0.27965,0.28654,320175.84449364
MAVIA-EUR,1739145600000,0.27753,0.31903,0.26807,0.27893,905141.28048348
MAVIA-EUR,1739059200000,0.28179,0.35648,0.25863,0.27616,1529486.00549237
MAVIA-EUR,1738972800000,0.24664,0.28306,0.23495,0.28037,575178.51873058
MAVIA-EUR,1738886400000,0.22877,0.2879,0.2265,0.25403,1038870.22237051
MAVIA-EUR,1738800000000,0.25582,0.28355,0.22504,0.22615,424483.23811192
MAVIA-EUR,1738713600000,0.29955,0.30607,0.25567,0.25664,213375.33965559
MAVIA-EUR,1738627200000,0.32939,0.32939,0.29,0.29885,112541.20647125
MAVIA-EUR,1738540800000,0.32236,0.34648,0.22133,0.33514,480319.91289474
MAVIA-EUR,1738454400000,0.41421,0.46806,0.29983,0.3226,585107.94278457
MAVIA-EUR,1738368000000,0.49071,0.50196,0.41192,0.41238,125450.88532419
MAVIA-EUR,1738281600000,0.48851,0.51622,0.46836,0.489,102562.86243065
MAVIA-EUR,1738195200000,0.49654,0.52313,0.48851,0.48971,39830.61191102
MAVIA-EUR,1738108800000,0.46491,0.52897,0.46491,0.50946,77796.38323285
MAVIA-EUR,1738022400000,0.52976,0.554,0.45191,0.46323,121476.1833742
MAVIA-EUR,1737936000000,0.576,0.57682,0.48011,0.52822,343051.70506585
MAVIA-EUR,1737849600000,0.6305,0.64826,0.57476,0.576,64572.48188407
MAVIA-EUR,1737763200000,0.6212,0.65269,0.61439,0.6305,39120.34812834
MAVIA-EUR,1737676800000,0.62874,0.66592,0.6183,0.62439,48673.31887606
MAVIA-EUR,1737590400000,0.63689,0.67,0.61697,0.64219,42075.94962706
MAVIA-EUR,1737504000000,0.65315,0.6785,0.64153,0.64153,81946.16458878
MAVIA-EUR,1737417600000,0.6308,0.68101,0.62125,0.64837,77192.55524108
MAVIA-EUR,1737331200000,0.69,0.70401,0.61001,0.6367,197467.25798827
MAVIA-EUR,1737244800000,0.76152,0.7951,0.6906,0.70365,155770.93293495
MAVIA-EUR,1737158400000,0.84868,0.85792,0.73035,0.76481,91534.02492359
MAVIA-EUR,1737072000000,0.75358,0.9303,0.75358,0.86958,549143.76963203
MAVIA-EUR,1736985600000,0.73869,0.75959,0.7037,0.74579,102461.76985213
MAVIA-EUR,1736899200000,0.71337,0.77191,0.678,0.73872,428355.70555556
MAVIA-EUR,1736812800000,0.70667,0.77814,0.70269,0.71362,365538.2887892
MAVIA-EUR,1736726400000,0.90056,0.90176,0.67988,0.70787,215377.78419609
MAVIA-EUR,1736640000000,0.86484,0.8977,0.84622,0.86718,36649.19325593
MAVIA-EUR,1736553600000,0.893,0.893,0.83637,0.86108,78583.37087388
MAVIA-EUR,1736467200000,0.81684,0.9141,0.81684,0.89438,125677.05949506
MAVIA-EUR,1736380800000,0.87799,0.89209,0.7715,0.80934,103634.75057851
MAVIA-EUR,1736294400000,0.98254,1.0102,0.83504,0.88192,70594.06472586
MAVIA-EUR,1736208000000,1.1311,1.1311,0.98053,0.9877,61249.4566689
MAVIA-EUR,1736121600000,1.1243,1.1702,1.1156,1.1294,23525.3874125
MAVIA-EUR,1736035200000,1.1585,1.1679,1.1093,1.1378,32731.99361673
MAVIA-EUR,1735948800000,1.115,1.175,1.0961,1.1585,59131.7095952
MAVIA-EUR,1735862400000,1.0755,1.1284,1.05,1.1097,39868.28131608
MAVIA-EUR,1735776000000,1.09,1.1316,1.0677,1.0806,91445.43826587
MAVIA-EUR,1735689600000,1.043,1.1052,1.0203,1.0865,103928.43774076
MAVIA-EUR,1735603200000,1.0647,1.0823,1.0183,1.0415,30142.52071471
MAVIA-EUR,1735516800000,1.0621,1.0994,1.0264,1.0625,54526.66223227
MAVIA-EUR,1735430400000,1.1031,1.1148,1.0441,1.0497,24006.70200738
