market,time,open,high,low,close,volume
MBOX-EUR,1741132800000,0.091715,0.092783,0.089737,0.089737,8732.81656512
MBOX-EUR,1741046400000,0.092,0.095453,0.085943,0.09189,166549.60147252
MBOX-EUR,1740960000000,0.11102,0.11179,0.095092,0.096378,135322.7634488
MBOX-EUR,1740873600000,0.10748,0.11654,0.10569,0.1163,91920.20336718
MBOX-EUR,1740787200000,0.10904,0.10962,0.1041,0.10649,31033.91083504
MBOX-EUR,1740700800000,0.1017,0.11032,0.10096,0.10974,81519.3277312
MBOX-EUR,1740614400000,0.10978,0.11175,0.10658,0.10832,32261.77252273
MBOX-EUR,1740528000000,0.10995,0.1108,0.10513,0.1108,47875.99938629
MBOX-EUR,1740441600000,0.10362,0.11059,0.099554,0.11005,363987.42392921
MBOX-EUR,1740355200000,0.11771,0.12395,0.10278,0.10424,787085.03927102
MBOX-EUR,1740268800000,0.12022,0.12043,0.11525,0.11704,121495.37167679
MBOX-EUR,1740182400000,0.112,0.12132,0.11102,0.11902,209407.01392415
MBOX-EUR,1740096000000,0.11441,0.12525,0.10988,0.11129,228150.61466117
MBOX-EUR,1740009600000,0.11315,0.1147,0.11212,0.1147,44433.05032162
MBOX-EUR,1739923200000,0.11322,0.1157,0.11184,0.11358,7813.06261848
MBOX-EUR,1739836800000,0.11304,0.11594,0.10756,0.11265,529754.30632893
MBOX-EUR,1739750400000,0.12065,0.12318,0.11666,0.11666,64447.59165641
MBOX-EUR,1739664000000,0.11954,0.12485,0.11832,0.11844,313559.03171619
MBOX-EUR,1739577600000,0.12575,0.12575,0.11792,0.11933,84660.6346415
MBOX-EUR,1739491200000,0.12739,0.12815,0.12338,0.12575,205067.63070158
MBOX-EUR,1739404800000,0.13139,0.13847,0.1206,0.12769,1336644.28048362
MBOX-EUR,1739318400000,0.11549,0.13719,0.11272,0.12997,2488824.99330171
MBOX-EUR,1739232000000,0.11342,0.12714,0.11293,0.11503,2194318.15421166
MBOX-EUR,1739145600000,0.11179,0.11505,0.10721,0.11218,1102371.45711943
MBOX-EUR,1739059200000,0.11379,0.12028,0.10615,0.1116,3335335.08282438
MBOX-EUR,1738972800000,0.094614,0.14,0.094201,0.1133,9861280.62465005
MBOX-EUR,1738886400000,0.093478,0.099495,0.091899,0.093006,17139.34980095
MBOX-EUR,1738800000000,0.097663,0.098308,0.092377,0.0941,88386.58028501
MBOX-EUR,1738713600000,0.098439,0.10256,0.09679,0.097983,172286.01515546
MBOX-EUR,1738627200000,0.10529,0.10529,0.093481,0.098773,68059.53428522
MBOX-EUR,1738540800000,0.10805,0.10837,0.08,0.10449,611921.15188163
MBOX-EUR,1738454400000,0.12818,0.12818,0.10421,0.10778,169605.98177297
MBOX-EUR,1738368000000,0.13594,0.13948,0.12495,0.12554,321090.70616603
MBOX-EUR,1738281600000,0.13107,0.13937,0.13059,0.13684,27687.75091989
MBOX-EUR,1738195200000,0.1309,0.13557,0.1309,0.13242,6121.00173411
MBOX-EUR,1738108800000,0.12478,0.13055,0.12464,0.129,38510.25117146
MBOX-EUR,1738022400000,0.13507,0.13733,0.12402,0.12465,97708.79529416
MBOX-EUR,1737936000000,0.13148,0.13595,0.12105,0.13475,29115.53605776
MBOX-EUR,1737849600000,0.13712,0.14014,0.13395,0.13395,16405.80103121
MBOX-EUR,1737763200000,0.13512,0.13822,0.13395,0.13639,8873.06062962
MBOX-EUR,1737676800000,0.14279,0.14934,0.13631,0.13631,10822.06855449
