market,time,open,high,low,close,volume
ME-EUR,1741132800000,1.0869,1.0992,1.0587,1.0697,29613.49028974
ME-EUR,1741046400000,1.0687,1.1199,1.0302,1.0808,67448.8874644
ME-EUR,1740960000000,1.1448,1.3557,1.1319,1.135,28686.18361996
ME-EUR,1740873600000,1.3179,1.3788,1.2928,1.373,10038.79821263
ME-EUR,1740787200000,1.3026,1.3255,1.2662,1.2987,9065.00851391
ME-EUR,1740700800000,1.2636,1.3492,1.2328,1.3228,24344.71246832
ME-EUR,1740614400000,1.2633,1.3604,1.2633,1.3078,32063.42769143
ME-EUR,1740528000000,1.2695,1.3089,1.2124,1.2876,16331.70218738
ME-EUR,1740441600000,1.2186,1.2903,1.1857,1.2733,44716.83590092
ME-EUR,1740355200000,1.3794,1.439,1.25,1.2672,195546.90482598
ME-EUR,1740268800000,1.4757,1.4948,1.3518,1.3895,29145.17590161
ME-EUR,1740182400000,1.4292,1.4811,1.4214,1.4673,116618.85254428
ME-EUR,1740096000000,1.3982,1.5203,1.3982,1.4591,165744.17012458
ME-EUR,1740009600000,1.3565,1.419,1.3565,1.3988,47014.60805081
ME-EUR,1739923200000,1.36,1.445,1.353,1.3751,45770.17227507
ME-EUR,1739836800000,1.41,1.4156,1.2724,1.3402,28580.60622261
ME-EUR,1739750400000,1.4902,1.5103,1.3884,1.4143,13621.79483286
ME-EUR,1739664000000,1.5482,1.5577,1.476,1.4807,33513.56050023
ME-EUR,1739577600000,1.6781,1.7137,1.5087,1.5356,74098.97690948
ME-EUR,1739491200000,1.8,1.9041,1.5931,1.6476,138971.31805717
ME-EUR,1739404800000,1.987,2.08,1.8002,1.8002,32628.63353653
ME-EUR,1739318400000,1.7404,2.0132,1.7404,1.973,114501.01987328
ME-EUR,1739232000000,1.7121,1.9788,1.6923,1.7696,111225.62179471
ME-EUR,1739145600000,1.6505,1.9634,1.5493,1.7132,442842.89983821
ME-EUR,1739059200000,1.772,2.04,1.5969,1.6546,1281236.40503131
ME-EUR,1738972800000,1.2743,2.1656,1.2602,1.7844,1212851.78824186
ME-EUR,1738886400000,1.2131,1.3048,1.2039,1.209,6616.08516674
ME-EUR,1738800000000,1.2948,1.3172,1.1998,1.1998,21623.40033322
ME-EUR,1738713600000,1.3416,1.368,1.2899,1.2899,10565.873387
ME-EUR,1738627200000,1.4587,1.463,1.2797,1.3589,26375.72359344
ME-EUR,1738540800000,1.3628,1.4641,1.0523,1.435,24886.99490638
ME-EUR,1738454400000,1.6817,1.6817,1.3285,1.4011,31376.98831279
ME-EUR,1738368000000,1.9161,1.9161,1.656,1.6663,7800.67039196
ME-EUR,1738281600000,1.8557,1.9741,1.8478,1.8492,22177.92305477
ME-EUR,1738195200000,1.7384,1.9089,1.7384,1.8589,15679.16479346
ME-EUR,1738108800000,1.6709,1.8135,1.6709,1.7576,6269.08817458
ME-EUR,1738022400000,1.8195,1.8745,1.6705,1.6933,13567.03605617
ME-EUR,1737936000000,1.84,1.842,1.6269,1.81,12283.0347887
ME-EUR,1737849600000,1.8944,1.9616,1.8488,1.8556,5209.85660685
ME-EUR,1737763200000,1.8752,1.9282,1.8441,1.9056,7910.1824645
ME-EUR,1737676800000,1.9804,2.0436,1.8698,1.8859,10887.92067087
ME-EUR,1737590400000,1.992,2.0706,1.9423,2.0098,54910.10942886
ME-EUR,1737504000000,2.021,2.021,1.9566,1.9736,10900.44169312
ME-EUR,1737417600000,1.9563,2.0683,1.8691,2.0186,9192.46979113
ME-EUR,1737331200000,2.0385,2.171,1.9363,1.9825,37728.73369786
ME-EUR,1737244800000,2.4013,2.4013,2.03,2.0529,21183.65657605
ME-EUR,1737158400000,2.6416,2.69,2.3633,2.4097,12252.56174416
ME-EUR,1737072000000,2.5036,2.6141,2.5036,2.6141,7447.99560584
ME-EUR,1736985600000,2.5688,2.6117,2.4826,2.4966,10120.20432339
ME-EUR,1736899200000,2.5058,2.6369,2.4182,2.6311,23953.62417062
ME-EUR,1736812800000,2.4659,2.5495,2.4659,2.5003,21367.93230474
ME-EUR,1736726400000,2.628,2.6643,2.2988,2.4603,15962.82325203
ME-EUR,1736640000000,2.6934,2.7009,2.605,2.6188,9033.1278728
ME-EUR,1736553600000,2.7097,2.7977,2.6619,2.7337,13550.92954703
ME-EUR,1736467200000,2.6624,2.7489,2.6126,2.7184,15433.08571027
ME-EUR,1736380800000,2.7378,2.7378,2.5242,2.6041,14977.77008962
ME-EUR,1736294400000,2.9,2.9241,2.5816,2.745,10116.35031974
ME-EUR,1736208000000,3.2358,3.2358,2.9214,2.9323,25174.04001614
ME-EUR,1736121600000,3.3481,3.3481,3.2007,3.2396,20613.43998729
ME-EUR,1736035200000,3.2236,3.39,3.185,3.3398,42015.20314597
ME-EUR,1735948800000,3.25,3.3951,3.1848,3.2571,24971.03090079
ME-EUR,1735862400000,3.1393,3.2996,3.03,3.2527,33363.54408816
ME-EUR,1735776000000,2.9913,3.189,2.9913,3.0942,29013.61174257
ME-EUR,1735689600000,3.0372,3.0908,2.87,3.0381,19197.63933539
ME-EUR,1735603200000,3.04,3.0846,2.8859,2.9956,30479.61410556
ME-EUR,1735516800000,3.2707,3.325,3.0081,3.0377,49327.65983613
ME-EUR,1735430400000,3.3535,3.6176,3.206,3.2559,87636.55888754
ME-EUR,1735344000000,3.883,3.883,3.3227,3.3473,66568.19564611
ME-EUR,1735257600000,3.78,4.093,3.512,3.8537,256351.84319967
ME-EUR,1735171200000,3.3258,3.9581,3.1942,3.7685,328309.23912769
ME-EUR,1735084800000,3.034,3.5303,3.0261,3.3282,179364.42572258
ME-EUR,1734998400000,2.9825,3.0737,2.8247,3.0544,42158.65170368
ME-EUR,1734912000000,2.9636,3.02,2.7254,2.9729,53683.11774614
ME-EUR,1734825600000,3.0148,3.0819,2.828,2.9288,53028.72279764
ME-EUR,1734739200000,3.3628,3.534,2.9596,3.0147,143401.87439901
ME-EUR,1734652800000,2.6659,3.435,2.6335,3.3601,417278.49362254
ME-EUR,1734566400000,2.7086,2.8395,2.4942,2.6672,88024.32864359
ME-EUR,1734480000000,2.8954,3.038,2.5709,2.6886,106228.60741029
ME-EUR,1734393600000,3.3333,3.3333,2.8445,2.8991,142979.83802745
ME-EUR,1734307200000,3.6382,3.7165,3.3262,3.3775,153015.00074947
ME-EUR,1734220800000,3.6596,3.7556,3.4786,3.6568,67232.53638229
ME-EUR,1734134400000,4.0526,4.2862,3.5664,3.7016,191020.11960562
ME-EUR,1734048000000,4.2562,4.2607,3.8463,4.0535,367460.05800885
ME-EUR,1733961600000,5.1624,5.2149,4.1643,4.2816,607575.77896661
ME-EUR,1733875200000,5.3705,7.6,4.6986,5.1577,1752337.93573734
ME-EUR,1733788800000,4.3261,5.5199,4.255,5.3786,1661210.67090499
