market,time,open,high,low,close,volume
MEW-EUR,1741132800000,0.0019843,0.0020407,0.0019362,0.0019636,7544229.22295903
MEW-EUR,1741046400000,0.0020001,0.0021045,0.0018937,0.0019911,9973781.03538791
MEW-EUR,1740960000000,0.0023512,0.0026196,0.0020626,0.0020983,5627676.83658835
MEW-EUR,1740873600000,0.0026424,0.0026822,0.0022887,0.0026176,31435998.07253965
MEW-EUR,1740787200000,0.0023896,0.0024092,0.0022602,0.0022748,5340935.10050662
MEW-EUR,1740700800000,0.0023175,0.0024746,0.0021396,0.0024033,61203515.50374628
MEW-EUR,1740614400000,0.0022361,0.0023658,0.0021858,0.0022606,112087785.88119264
MEW-EUR,1740528000000,0.0022714,0.0023297,0.002087,0.0022014,14957670.92321739
MEW-EUR,1740441600000,0.0022379,0.0023181,0.0021217,0.0022885,17397392.79365578
MEW-EUR,1740355200000,0.0026148,0.0026148,0.0022989,0.0023211,9159731.41613779
MEW-EUR,1740268800000,0.0028194,0.002847,0.002692,0.0026936,4601895.30068038
MEW-EUR,1740182400000,0.0027293,0.0028687,0.0027107,0.0028537,9382082.75847112
MEW-EUR,1740096000000,0.0027071,0.0029721,0.002664,0.002677,8882481.43676004
MEW-EUR,1740009600000,0.0026305,0.0027291,0.0026152,0.0027152,9361567.92758358
MEW-EUR,1739923200000,0.0026083,0.0026756,0.0025569,0.0026265,10214398.63627939
MEW-EUR,1739836800000,0.002809,0.002809,0.0025,0.0026061,3781100.51758377
MEW-EUR,1739750400000,0.0028799,0.0029046,0.0027176,0.0028061,931130.68680456
MEW-EUR,1739664000000,0.0028895,0.002958,0.0028519,0.0028628,893104.57743379
MEW-EUR,1739577600000,0.003038,0.0030515,0.0029058,0.0029082,1444757.07518642
MEW-EUR,1739491200000,0.0029386,0.0032035,0.0029386,0.0030318,3592531.84445651
MEW-EUR,1739404800000,0.0030521,0.0030575,0.0028988,0.0029354,1767932.16917608
MEW-EUR,1739318400000,0.0029147,0.0030632,0.0028426,0.0030632,7969487.42258898
MEW-EUR,1739232000000,0.0029611,0.0031351,0.0028646,0.0029191,7148735.1624584
MEW-EUR,1739145600000,0.0029594,0.0030147,0.0028185,0.0029588,4298660.54793323
MEW-EUR,1739059200000,0.0029711,0.0031025,0.00277,0.0029184,14746671.71247252
MEW-EUR,1738972800000,0.0027167,0.0029749,0.0026729,0.0029749,7118152.72961944
MEW-EUR,1738886400000,0.0027285,0.0029023,0.0026193,0.0026519,10623398.48379917
MEW-EUR,1738800000000,0.0029592,0.0030218,0.00271,0.0027496,10469978.56131035
MEW-EUR,1738713600000,0.0031401,0.0031664,0.0029273,0.0029273,3573942.31193059
MEW-EUR,1738627200000,0.0034113,0.0034248,0.0030404,0.0031367,6260895.99461759
MEW-EUR,1738540800000,0.0031304,0.0034231,0.0024634,0.0033906,62172673.77332842
MEW-EUR,1738454400000,0.0037239,0.0038439,0.0030451,0.0032371,25393611.04158252
MEW-EUR,1738368000000,0.0042612,0.0042612,0.0037177,0.0037549,5476418.43177471
