market,time,open,high,low,close,volume
MINA-EUR,1741219200000,0.27856,0.27856,0.27856,0.27856,25.06656964
MINA-EUR,1741132800000,0.27437,0.27867,0.26741,0.27625,26022.9139104
MINA-EUR,1741046400000,0.27202,0.27827,0.25961,0.26527,67634.17314444
MINA-EUR,1740960000000,0.31554,0.32934,0.27497,0.28106,40484.11254075
MINA-EUR,1740873600000,0.30087,0.32952,0.29835,0.32596,31311.25629667
MINA-EUR,1740787200000,0.3047,0.3141,0.29691,0.29921,14301.93744695
MINA-EUR,1740700800000,0.30487,0.33785,0.27953,0.31275,394573.2464193
MINA-EUR,1740614400000,0.29938,0.31001,0.29506,0.30076,283704.42851694
MINA-EUR,1740528000000,0.29519,0.30322,0.28845,0.29698,35255.30861662
MINA-EUR,1740441600000,0.29924,0.29924,0.27642,0.29866,11602.56981593
MINA-EUR,1740355200000,0.33165,0.33165,0.29357,0.29835,29146.08219605
MINA-EUR,1740268800000,0.34585,0.35263,0.33751,0.34,7122.97617995
MINA-EUR,1740182400000,0.33342,0.34812,0.33139,0.34377,11845.39646888
MINA-EUR,1740096000000,0.34124,0.37,0.32912,0.3336,141692.44256656
MINA-EUR,1740009600000,0.33071,0.33806,0.33071,0.33724,18339.69199679
MINA-EUR,1739923200000,0.32008,0.32998,0.31666,0.32626,77779.97634304
MINA-EUR,1739836800000,0.33935,0.33935,0.31073,0.32031,97540.99438206
MINA-EUR,1739750400000,0.33522,0.34625,0.32826,0.33654,44738.81154437
MINA-EUR,1739664000000,0.33465,0.34464,0.33352,0.33426,3075.41253598
MINA-EUR,1739577600000,0.34441,0.34441,0.33144,0.33186,21631.13241443
MINA-EUR,1739491200000,0.34046,0.34885,0.3399,0.34247,13080.84529052
MINA-EUR,1739404800000,0.35296,0.3633,0.33556,0.33933,9080.18281947
MINA-EUR,1739318400000,0.33382,0.35582,0.33047,0.35259,22646.59227587
MINA-EUR,1739232000000,0.34386,0.3553,0.33165,0.33814,10992.10562748
MINA-EUR,1739145600000,0.34111,0.35058,0.32803,0.3425,37609.75538843
MINA-EUR,1739059200000,0.33535,0.344,0.32521,0.33706,20668.05878893
MINA-EUR,1738972800000,0.31997,0.33227,0.31635,0.33198,5850.3486412
MINA-EUR,1738886400000,0.31393,0.34042,0.3122,0.31231,63432.36592319
MINA-EUR,1738800000000,0.32874,0.33172,0.31061,0.31061,34423.67608729
MINA-EUR,1738713600000,0.33984,0.34519,0.32523,0.32653,24946.13813799
MINA-EUR,1738627200000,0.36583,0.36964,0.32613,0.33844,95369.77802906
MINA-EUR,1738540800000,0.36072,0.36791,0.271,0.36514,269511.89983336
MINA-EUR,1738454400000,0.41219,0.41666,0.34347,0.35833,109809.59376668
MINA-EUR,1738368000000,0.44859,0.45268,0.408,0.408,6607.97687885
MINA-EUR,1738281600000,0.44827,0.46407,0.44197,0.44764,17293.02984857
MINA-EUR,1738195200000,0.43372,0.45768,0.42935,0.44723,8597.58859119
MINA-EUR,1738108800000,0.42228,0.44672,0.42228,0.43832,33917.58539987
MINA-EUR,1738022400000,0.44973,0.45641,0.41886,0.42182,22172.54289429
MINA-EUR,1737936000000,0.46272,0.46272,0.421,0.44787,22780.45347827
MINA-EUR,1737849600000,0.46578,0.48381,0.46443,0.4658,18207.31849775
MINA-EUR,1737763200000,0.46318,0.471,0.45851,0.46394,6615.1253454
MINA-EUR,1737676800000,0.48376,0.48876,0.46059,0.46219,21060.56977039
MINA-EUR,1737590400000,0.48316,0.49112,0.46967,0.48381,19599.86940203
MINA-EUR,1737504000000,0.49353,0.49899,0.48087,0.48185,17825.39267433
MINA-EUR,1737417600000,0.48479,0.51056,0.46988,0.50145,57232.71985911
MINA-EUR,1737331200000,0.49613,0.53514,0.47229,0.48401,113991.27755717
MINA-EUR,1737244800000,0.55328,0.55911,0.49311,0.49311,94220.52591304
MINA-EUR,1737158400000,0.59685,0.6044,0.54131,0.55545,26942.00926962
MINA-EUR,1737072000000,0.56334,0.6023,0.56334,0.59725,41189.99087576
MINA-EUR,1736985600000,0.57941,0.57955,0.55733,0.56226,16436.58178626
MINA-EUR,1736899200000,0.54567,0.57682,0.53436,0.57682,38014.3464543
MINA-EUR,1736812800000,0.52902,0.54425,0.5274,0.54425,36223.16030122
MINA-EUR,1736726400000,0.5474,0.55749,0.493,0.52858,22405.34389924
MINA-EUR,1736640000000,0.55743,0.56114,0.54094,0.54162,22531.42335446
MINA-EUR,1736553600000,0.56203,0.56316,0.54842,0.55593,14987.21903119
MINA-EUR,1736467200000,0.54705,0.56159,0.54025,0.55825,56221.07103159
MINA-EUR,1736380800000,0.56053,0.56179,0.5373,0.53846,18237.96887413
MINA-EUR,1736294400000,0.57817,0.57817,0.53,0.55643,41180.59167457
MINA-EUR,1736208000000,0.6364,0.6397,0.57736,0.57944,19632.86984107
MINA-EUR,1736121600000,0.63271,0.65079,0.62334,0.63634,40933.81868594
MINA-EUR,1736035200000,0.63502,0.63751,0.61818,0.63233,19465.76358125
MINA-EUR,1735948800000,0.63484,0.64737,0.62483,0.63647,123320.5507873
MINA-EUR,1735862400000,0.5985,0.63473,0.59548,0.63016,41272.01663396
MINA-EUR,1735776000000,0.58188,0.6075,0.57965,0.59894,41727.94566834
MINA-EUR,1735689600000,0.55359,0.58045,0.54794,0.57937,17014.80962254
MINA-EUR,1735603200000,0.56275,0.57614,0.54676,0.55159,19160.36246388
MINA-EUR,1735516800000,0.56581,0.58272,0.55009,0.5596,73458.56578027
MINA-EUR,1735430400000,0.59714,0.59714,0.56061,0.56216,14924.45860302
MINA-EUR,1735344000000,0.5729,0.5977,0.57044,0.59335,19748.45357793
MINA-EUR,1735257600000,0.56774,0.6008,0.56661,0.56699,12515.98523702
MINA-EUR,1735171200000,0.60999,0.6154,0.55844,0.56321,129052.96319675
MINA-EUR,1735084800000,0.62441,0.63154,0.60048,0.60982,11337.86644403
MINA-EUR,1734998400000,0.60725,0.63294,0.59692,0.62812,26239.60112994
MINA-EUR,1734912000000,0.57333,0.61474,0.56044,0.60729,44008.46917602
MINA-EUR,1734825600000,0.57408,0.59082,0.5561,0.57536,68362.44461882
MINA-EUR,1734739200000,0.60502,0.64727,0.5619,0.5619,144004.98406023
MINA-EUR,1734652800000,0.59783,0.61831,0.51369,0.6047,207281.26866206
MINA-EUR,1734566400000,0.66373,0.67044,0.58052,0.60537,128217.25757999
MINA-EUR,1734480000000,0.72139,0.723,0.65733,0.66362,123577.99155046
MINA-EUR,1734393600000,0.76948,0.76948,0.71368,0.71742,69580.359733
MINA-EUR,1734307200000,0.80445,0.81725,0.75544,0.77384,38531.23585462
MINA-EUR,1734220800000,0.78973,0.80646,0.75353,0.80258,66368.75060512
MINA-EUR,1734134400000,0.78532,0.83786,0.74965,0.78534,252519.78656183
MINA-EUR,1734048000000,0.77465,0.80014,0.74055,0.77629,80685.19743445
MINA-EUR,1733961600000,0.76249,0.80474,0.75729,0.76625,60570.57263601
MINA-EUR,1733875200000,0.71474,0.77148,0.69038,0.75905,51441.34480184
MINA-EUR,1733788800000,0.73089,0.75283,0.65306,0.7141,150716.02439551
MINA-EUR,1733702400000,0.88719,0.88719,0.66459,0.74248,262682.39296064
MINA-EUR,1733616000000,0.89613,0.89868,0.85544,0.88609,42724.09246324
MINA-EUR,1733529600000,0.94482,0.94482,0.88538,0.89741,99270.30328087
MINA-EUR,1733443200000,0.83017,0.99158,0.83017,0.94826,421627.34489913
MINA-EUR,1733356800000,0.86225,0.87812,0.80781,0.82871,77752.00178902
MINA-EUR,1733270400000,0.85414,0.9062,0.82861,0.86258,170585.16619589
MINA-EUR,1733184000000,0.82594,0.87554,0.7588,0.8577,243681.55237798
MINA-EUR,1733097600000,0.8164,0.83239,0.73271,0.82946,342321.17475246
MINA-EUR,1733011200000,0.80776,0.84563,0.78053,0.82099,174352.20056425
MINA-EUR,1732924800000,0.75415,0.82405,0.75415,0.80636,454136.82068289
MINA-EUR,1732838400000,0.73617,0.769,0.71071,0.76217,69560.52031495
MINA-EUR,1732752000000,0.74556,0.74556,0.70826,0.73872,60806.51185529
MINA-EUR,1732665600000,0.71879,0.75574,0.69715,0.74934,91487.70262401
MINA-EUR,1732579200000,0.70103,0.78754,0.67718,0.7305,54618.89973095
MINA-EUR,1732492800000,0.73729,0.76942,0.685,0.70473,165877.97267588
MINA-EUR,1732406400000,0.69588,0.75091,0.645,0.74064,128522.7514358
MINA-EUR,1732320000000,0.66648,0.71871,0.66466,0.69753,146407.18223386
MINA-EUR,1732233600000,0.63096,0.66978,0.62341,0.66978,126452.191013
MINA-EUR,1732147200000,0.59567,0.64384,0.59459,0.63365,114277.34804167
MINA-EUR,1732060800000,0.62883,0.63554,0.5944,0.60578,27687.01204691
MINA-EUR,1731974400000,0.66171,0.66178,0.618,0.6218,70169.22949178
MINA-EUR,1731888000000,0.60913,0.67531,0.60438,0.65949,297140.59715721
MINA-EUR,1731801600000,0.66178,0.66178,0.59595,0.60279,150906.72767845
MINA-EUR,1731715200000,0.59596,0.68162,0.59596,0.6667,238793.08868901
MINA-EUR,1731628800000,0.57537,0.60462,0.5539,0.59938,44492.31193273
MINA-EUR,1731542400000,0.61131,0.63277,0.56547,0.56547,155605.31301605
MINA-EUR,1731456000000,0.61616,0.6401,0.55462,0.61416,566102.83660305
MINA-EUR,1731369600000,0.59348,0.63015,0.54631,0.61678,963450.92395506
MINA-EUR,1731283200000,0.55246,0.60828,0.5506,0.60314,451748.04002962
MINA-EUR,1731196800000,0.53192,0.57367,0.51777,0.54933,179703.8054118
MINA-EUR,1731110400000,0.5,0.53499,0.49537,0.53314,56542.8758555
MINA-EUR,1731024000000,0.49824,0.50411,0.48696,0.5,106135.28973349
MINA-EUR,1730937600000,0.49406,0.5055,0.47747,0.49112,24840.63511632
MINA-EUR,1730851200000,0.47231,0.50316,0.46704,0.49326,290790.51878789
MINA-EUR,1730764800000,0.41909,0.44177,0.41909,0.44018,16891.83664982
MINA-EUR,1730678400000,0.43394,0.4351,0.408,0.41498,13432.036254
MINA-EUR,1730592000000,0.46074,0.46074,0.42208,0.4339,130132.92392244
MINA-EUR,1730505600000,0.47353,0.47353,0.4542,0.45997,18213.06045619
MINA-EUR,1730419200000,0.48191,0.49205,0.46867,0.47286,33902.65675854
MINA-EUR,1730332800000,0.51132,0.51132,0.48016,0.4828,35204.94131594
MINA-EUR,1730246400000,0.50667,0.51745,0.50068,0.5171,14040.20071428
MINA-EUR,1730160000000,0.49679,0.51099,0.49391,0.50802,23304.2223585
MINA-EUR,1730073600000,0.48798,0.49338,0.46186,0.49338,36807.79330294
MINA-EUR,1729987200000,0.47691,0.49248,0.47617,0.48636,16989.32579999
MINA-EUR,1729900800000,0.46842,0.47788,0.46129,0.4761,24041.55512133
MINA-EUR,1729814400000,0.5228,0.5228,0.45013,0.46854,34820.81917098
MINA-EUR,1729728000000,0.51081,0.52756,0.504,0.52025,69719.732671
MINA-EUR,1729641600000,0.53857,0.53857,0.50615,0.51415,19237.86467125
MINA-EUR,1729555200000,0.558,0.56443,0.5264,0.53524,89745.81922861
MINA-EUR,1729468800000,0.56169,0.62295,0.55289,0.56974,402644.22174866
MINA-EUR,1729382400000,0.53354,0.56933,0.52059,0.56632,43002.92349998
MINA-EUR,1729296000000,0.52758,0.53323,0.52053,0.52591,62279.35066839
MINA-EUR,1729209600000,0.52221,0.52819,0.51247,0.52293,23382.38316949
MINA-EUR,1729123200000,0.53379,0.53592,0.50817,0.51979,36682.80510569
MINA-EUR,1729036800000,0.52118,0.52832,0.51003,0.52772,15423.82943382
MINA-EUR,1728950400000,0.5314,0.53551,0.50595,0.51876,41082.0931657
MINA-EUR,1728864000000,0.52463,0.55906,0.522,0.54209,51207.75949561
MINA-EUR,1728777600000,0.49404,0.54831,0.49404,0.52419,218990.70216923
MINA-EUR,1728691200000,0.47269,0.493,0.47243,0.48463,11085.81745379
MINA-EUR,1728604800000,0.45532,0.47601,0.45503,0.47008,8618.58584809
MINA-EUR,1728518400000,0.44987,0.46046,0.43818,0.4466,14085.24516576
MINA-EUR,1728432000000,0.48088,0.48088,0.44242,0.44905,14339.83719713
MINA-EUR,1728345600000,0.48888,0.48888,0.47379,0.47379,9854.35825162
MINA-EUR,1728259200000,0.48847,0.50622,0.47963,0.48365,37330.0767007
MINA-EUR,1728172800000,0.47357,0.48938,0.47154,0.48272,27914.01726329
MINA-EUR,1728086400000,0.46854,0.48454,0.4636,0.4656,37217.06140815
MINA-EUR,1728000000000,0.44036,0.48561,0.44036,0.47256,49332.72321059
MINA-EUR,1727913600000,0.46199,0.46867,0.4274,0.44031,26680.61668013
MINA-EUR,1727827200000,0.4689,0.50485,0.44982,0.45483,21112.74480399
MINA-EUR,1727740800000,0.51151,0.5327,0.45223,0.46156,58083.68458705
MINA-EUR,1727654400000,0.54513,0.5539,0.49453,0.49453,302436.80848067
MINA-EUR,1727568000000,0.49007,0.57593,0.47613,0.54871,1404776.59026309
MINA-EUR,1727481600000,0.49139,0.49436,0.475,0.48657,17981.82515888
MINA-EUR,1727395200000,0.4927,0.50455,0.48491,0.48971,54758.01641058
MINA-EUR,1727308800000,0.47981,0.49778,0.46668,0.48773,33685.39531485
MINA-EUR,1727222400000,0.47564,0.50422,0.47564,0.47887,184320.58157095
MINA-EUR,1727136000000,0.43757,0.48189,0.43712,0.47835,63369.19860309
MINA-EUR,1727049600000,0.42972,0.44716,0.42858,0.44018,23018.55234945
MINA-EUR,1726963200000,0.45233,0.45233,0.42156,0.43172,21466.73951691
MINA-EUR,1726876800000,0.43964,0.45,0.43081,0.43973,17564.85188298
MINA-EUR,1726790400000,0.41699,0.43733,0.41686,0.43548,66803.92825333
MINA-EUR,1726704000000,0.4206,0.42999,0.41251,0.41492,69065.19371574
MINA-EUR,1726617600000,0.37962,0.38911,0.36761,0.38911,18629.23179727
MINA-EUR,1726531200000,0.37292,0.38831,0.37223,0.38349,11398.49532753
MINA-EUR,1726444800000,0.37975,0.38063,0.37007,0.37121,24115.14072097
