market,time,open,high,low,close,volume
MOODENG-EUR,1741219200000,0.043272,0.043472,0.043272,0.043472,4995.48489
MOODENG-EUR,1741132800000,0.042632,0.046692,0.041914,0.043819,12443244.77306
MOODENG-EUR,1741046400000,0.04838,0.048502,0.04142,0.045063,14010429.53525
MOODENG-EUR,1740960000000,0.059685,0.059791,0.047055,0.048776,35680020.984601
MOODENG-EUR,1740873600000,0.054009,0.060762,0.052255,0.059182,55597159.50006501
MOODENG-EUR,1740787200000,0.058424,0.060173,0.051831,0.05248,37160251.29855301
MOODENG-EUR,1740700800000,0.0575,0.064931,0.052706,0.059486,66001793.473107
MOODENG-EUR,1740614400000,0.063177,0.065822,0.05575,0.057685,52015377.301756
MOODENG-EUR,1740528000000,0.05655,0.064115,0.0565,0.06332,60034515.17224301
MOODENG-EUR,1740441600000,0.049272,0.060205,0.0475,0.056607,61072969.32762802
MOODENG-EUR,1740355200000,0.062327,0.0635,0.048404,0.049139,63630501.64480699
MOODENG-EUR,1740268800000,0.064244,0.064244,0.058639,0.061785,26555291.232238
MOODENG-EUR,1740182400000,0.05576,0.074056,0.0548,0.064572,80435675.09346901
MOODENG-EUR,1740096000000,0.055377,0.06625,0.054394,0.055784,60554882.313919
MOODENG-EUR,1740009600000,0.052313,0.055627,0.052253,0.055477,21009662.655954
MOODENG-EUR,1739923200000,0.052418,0.053209,0.050716,0.052265,16622418.764896
MOODENG-EUR,1739836800000,0.055763,0.056543,0.048234,0.052312,28495000.82049199
MOODENG-EUR,1739750400000,0.058114,0.061498,0.053186,0.05584,20483494.28838199
MOODENG-EUR,1739664000000,0.058755,0.059872,0.057,0.05813,11740413.89495
MOODENG-EUR,1739577600000,0.063135,0.065174,0.05772,0.058781,20696921.708097
MOODENG-EUR,1739491200000,0.056747,0.0702,0.056475,0.063606,68769604.92675799
MOODENG-EUR,1739404800000,0.06114,0.061817,0.0557,0.056653,15153607.920038
MOODENG-EUR,1739318400000,0.059732,0.062,0.054548,0.060554,49211136.184232
MOODENG-EUR,1739232000000,0.061416,0.067072,0.057476,0.059991,41845646.377094
MOODENG-EUR,1739145600000,0.06355,0.066,0.0598,0.061194,28630826.22395501
MOODENG-EUR,1739059200000,0.065473,0.067866,0.05871,0.063217,24103407.380919
MOODENG-EUR,1738972800000,0.059643,0.067022,0.059549,0.065449,22339604.23947401
MOODENG-EUR,1738886400000,0.05996,0.06806,0.0568,0.059728,29753094.65543199
MOODENG-EUR,1738800000000,0.069739,0.070109,0.058043,0.058857,37016145.78949101
MOODENG-EUR,1738713600000,0.07378,0.076591,0.067412,0.068435,23887521.58392
MOODENG-EUR,1738627200000,0.078963,0.079697,0.069,0.073341,33367761.148402
MOODENG-EUR,1738540800000,0.073445,0.080762,0.0528,0.079448,89660131.84675
MOODENG-EUR,1738454400000,0.08494,0.0935,0.070553,0.073965,61896948.08989601
MOODENG-EUR,1738368000000,0.107,0.11359,0.083648,0.084955,35317060.875254
MOODENG-EUR,1738281600000,0.10476,0.12166,0.10262,0.10804,46839942.13136
MOODENG-EUR,1738195200000,0.1009,0.11,0.09926,0.10512,30682218.21458101
MOODENG-EUR,1738108800000,0.093084,0.10758,0.091509,0.10047,32421633.573972
MOODENG-EUR,1738022400000,0.11348,0.1183,0.091587,0.093646,41211814.252067
MOODENG-EUR,1737936000000,0.12295,0.12655,0.10382,0.11333,55338004.886577
MOODENG-EUR,1737849600000,0.11561,0.15267,0.11541,0.12294,69556282.106892
MOODENG-EUR,1737763200000,0.12588,0.12588,0.11293,0.11561,26610165.462776
MOODENG-EUR,1737676800000,0.13727,0.14546,0.12478,0.12583,14422874.189402
MOODENG-EUR,1737590400000,0.14096,0.15068,0.1334,0.13712,25932249.554136
MOODENG-EUR,1737504000000,0.13964,0.14709,0.136,0.1401,19352334.202893
MOODENG-EUR,1737417600000,0.14188,0.1465,0.13047,0.13994,19564801.612025
