market,time,open,high,low,close,volume
MOVR-EUR,1741132800000,6.5497,6.5497,6.05,6.1279,50383.55677141
MOVR-EUR,1741046400000,6.3535,6.3596,5.764,6.0998,47189.72430074
MOVR-EUR,1740960000000,6.9696,7.3677,6.2,6.3089,21316.80683703
MOVR-EUR,1740873600000,6.8369,7.4444,6.7173,6.7173,18398.26112146
MOVR-EUR,1740787200000,6.7991,7.1259,6.7374,6.7951,2123.24859631
MOVR-EUR,1740700800000,6.8702,7.124,6.4411,7.0581,10014.536488
MOVR-EUR,1740614400000,6.8898,7.124,6.6844,6.9087,12237.43118514
MOVR-EUR,1740528000000,7.0352,7.0643,6.6349,6.8582,18900.47811801
MOVR-EUR,1740441600000,6.6677,7.2431,6.4,7.1118,81394.07141253
MOVR-EUR,1740355200000,7.692,7.692,6.5577,6.636,21800.01140017
MOVR-EUR,1740268800000,7.8965,8.0781,7.5884,7.6507,3721.28283007
MOVR-EUR,1740182400000,7.7201,7.99,7.6687,7.8946,3567.90850864
MOVR-EUR,1740096000000,7.8923,8.7091,7.6091,7.7207,16669.38546833
MOVR-EUR,1740009600000,7.6738,8.0723,7.6263,7.9074,6745.79107463
MOVR-EUR,1739923200000,7.6595,7.9699,7.5324,7.6509,3078.56569438
MOVR-EUR,1739836800000,7.5081,8.02,7.306,7.6693,16513.0377695
MOVR-EUR,1739750400000,7.3943,7.6976,7.2558,7.6021,3603.70429093
MOVR-EUR,1739664000000,7.5254,7.8534,7.4116,7.4355,2553.01596311
MOVR-EUR,1739577600000,7.7742,7.974,7.4316,7.4707,2705.60215559
MOVR-EUR,1739491200000,7.7377,8.0463,7.6136,7.8378,9405.84413534
MOVR-EUR,1739404800000,7.8269,8.0174,7.3199,7.5932,5569.3672555
MOVR-EUR,1739318400000,7.3272,7.9499,7.0282,7.8362,22244.60555381
MOVR-EUR,1739232000000,7.1495,8.0174,7.1374,7.3616,17035.64149413
MOVR-EUR,1739145600000,6.9881,7.17,6.8176,7.17,3976.50434199
MOVR-EUR,1739059200000,6.9739,7.2558,6.6068,6.8477,6713.54546848
MOVR-EUR,1738972800000,6.6357,7.0398,6.5268,7.0192,5028.34494671
MOVR-EUR,1738886400000,6.4856,7.0758,6.404,6.6346,16064.86085496
MOVR-EUR,1738800000000,6.775,6.9537,6.3523,6.3893,5088.30095768
MOVR-EUR,1738713600000,6.8607,7.0398,6.6711,6.7357,13385.7925303
MOVR-EUR,1738627200000,7.5338,7.5338,6.6634,6.8057,10193.76399667
