market,time,open,high,low,close,volume
MTL-EUR,1741132800000,0.76138,0.76781,0.74091,0.76309,22629.95080686
MTL-EUR,1741046400000,0.75822,0.77207,0.721,0.75153,50885.56235843
MTL-EUR,1740960000000,0.89107,0.90358,0.76867,0.78577,24805.16292152
MTL-EUR,1740873600000,0.83613,0.90481,0.83613,0.90432,24336.86100931
MTL-EUR,1740787200000,0.8365,0.84305,0.82244,0.82659,199.29122267
MTL-EUR,1740700800000,0.82815,0.83395,0.78004,0.83395,15748.99759624
MTL-EUR,1740614400000,0.83357,0.86323,0.82755,0.82755,4009.60680587
MTL-EUR,1740528000000,0.83202,0.84412,0.8099,0.83362,7351.77646897
MTL-EUR,1740441600000,0.85076,0.85199,0.79391,0.84764,25397.06073633
MTL-EUR,1740355200000,0.91007,0.91007,0.83496,0.8472,15221.58250453
MTL-EUR,1740268800000,0.93525,0.93574,0.91591,0.91591,1208.10333587
MTL-EUR,1740182400000,0.92146,0.9426,0.91,0.93987,7402.18946649
MTL-EUR,1740096000000,0.93063,0.96956,0.90545,0.90666,27365.18525472
MTL-EUR,1740009600000,0.94177,0.95429,0.92135,0.93537,3252.26933052
MTL-EUR,1739923200000,0.89654,0.93883,0.89654,0.93261,13500.7669242
MTL-EUR,1739836800000,0.94811,0.94811,0.87616,0.89456,8054.4007376
MTL-EUR,1739750400000,0.90863,0.97915,0.895,0.95308,483479.14076035
MTL-EUR,1739664000000,0.88711,0.938,0.88,0.9153,11797.66299477
MTL-EUR,1739577600000,0.91388,0.91388,0.88552,0.88552,3789.97324428
MTL-EUR,1739491200000,0.90025,0.92582,0.90025,0.91662,8945.76471329
MTL-EUR,1739404800000,0.94265,0.94265,0.90162,0.90202,12411.65277392
MTL-EUR,1739318400000,0.89,0.951,0.87606,0.93832,212302.25713562
MTL-EUR,1739232000000,0.9255,0.94154,0.88418,0.88797,21788.89002836
MTL-EUR,1739145600000,0.9017,0.9176,0.8941,0.9176,2330.38811691
MTL-EUR,1739059200000,0.89516,0.91743,0.86688,0.87412,10549.43576301
MTL-EUR,1738972800000,0.85878,0.8915,0.85026,0.88777,629.77407821
MTL-EUR,1738886400000,0.84187,0.90256,0.84117,0.84232,15560.63526984
MTL-EUR,1738800000000,0.88992,0.89799,0.84,0.84,14339.42428906
MTL-EUR,1738713600000,0.89583,0.92878,0.87819,0.88458,17294.54342147
MTL-EUR,1738627200000,0.94,0.94,0.85975,0.88646,33720.38525057
MTL-EUR,1738540800000,0.9187,0.93582,0.75,0.93032,301338.40467533
MTL-EUR,1738454400000,1.0437,1.0437,0.87737,0.9127,45334.1801115
MTL-EUR,1738368000000,1.107,1.1229,1.0195,1.0262,4531.83742211
MTL-EUR,1738281600000,1.1042,1.13,1.0909,1.104,3944.60654811
MTL-EUR,1738195200000,1.0789,1.1092,1.0789,1.0998,4429.09932844
MTL-EUR,1738108800000,1.0349,1.0831,1.0349,1.0814,15346.97341595
MTL-EUR,1738022400000,1.0904,1.0916,1.0336,1.0336,10178.2897329
MTL-EUR,1737936000000,1.1162,1.1162,1.0447,1.0888,9704.52200493
MTL-EUR,1737849600000,1.15,1.1696,1.1305,1.1305,17920.84002593
MTL-EUR,1737763200000,1.0791,1.1381,1.0777,1.1351,16228.84500373
MTL-EUR,1737676800000,1.096,1.1274,1.0746,1.0893,3637.05369622
