market,time,open,high,low,close,volume
NEAR-EUR,1741219200000,2.7723,2.7786,2.7723,2.7724,10994.15816588
NEAR-EUR,1741132800000,2.6917,2.8259,2.6118,2.8061,551916.87105152
NEAR-EUR,1741046400000,2.6933,2.8372,2.4357,2.6741,888954.778266
NEAR-EUR,1740960000000,3.265,3.4209,2.7833,2.8367,576783.46161011
NEAR-EUR,1740873600000,3.1521,3.42,3.0647,3.3689,367217.64155823
NEAR-EUR,1740787200000,3.0342,3.2037,2.9455,3.1571,272541.59252021
NEAR-EUR,1740700800000,2.9428,2.9877,2.66,2.9547,475751.24712242
NEAR-EUR,1740614400000,2.8811,3.0311,2.8598,2.9395,560493.19922341
NEAR-EUR,1740528000000,2.8594,2.9532,2.7474,2.8723,358780.3612491
NEAR-EUR,1740441600000,2.9274,2.9506,2.6316,2.86,731886.73015401
NEAR-EUR,1740355200000,3.2919,3.2946,2.8942,2.9263,321972.44048486
NEAR-EUR,1740268800000,3.317,3.347,3.205,3.2711,110877.76528458
NEAR-EUR,1740182400000,3.16,3.4839,3.1499,3.3184,312258.11014192
NEAR-EUR,1740096000000,3.3029,3.4677,3.0799,3.1619,484182.66243959
NEAR-EUR,1740009600000,3.0304,3.3383,3.0165,3.3027,338855.05142007
NEAR-EUR,1739923200000,3.0017,3.0614,2.9291,3.032,109910.964647
NEAR-EUR,1739836800000,3.1158,3.1648,2.8965,3.0035,257389.93349041
NEAR-EUR,1739750400000,3.26,3.3417,3.0733,3.1106,169805.00120812
NEAR-EUR,1739664000000,3.2474,3.3852,3.209,3.26,85165.66008528
NEAR-EUR,1739577600000,3.3884,3.4322,3.2271,3.2494,138051.81314364
NEAR-EUR,1739491200000,3.2174,3.4585,3.2002,3.3864,189905.19394593
NEAR-EUR,1739404800000,3.3092,3.3131,3.144,3.2235,171307.04948609
NEAR-EUR,1739318400000,3.0969,3.339,2.9957,3.2983,276814.69188083
NEAR-EUR,1739232000000,3.1217,3.2833,3.0215,3.0905,214166.44345214
NEAR-EUR,1739145600000,3.0848,3.2056,2.98,3.1112,255448.59898873
NEAR-EUR,1739059200000,3.1886,3.3682,2.951,3.0919,189898.14738797
NEAR-EUR,1738972800000,3.0996,3.2148,3.0665,3.1886,130519.87185261
NEAR-EUR,1738886400000,3.0464,3.2828,3.0141,3.1016,233272.85564342
