market,time,open,high,low,close,volume
NEIRO-EUR,1741132800000,0.00028997,0.000301,0.00028099,0.00029265,669349268.9175358
NEIRO-EUR,1741046400000,0.00029996,0.00030514,0.00026342,0.00029108,769720912.429297
NEIRO-EUR,1740960000000,0.00032436,0.00036639,0.00029615,0.0003016,594250519.7570269
NEIRO-EUR,1740873600000,0.00036119,0.00038232,0.0003421,0.00035594,1404350486.5210023
NEIRO-EUR,1740787200000,0.00038895,0.00040365,0.00033466,0.00034213,1029805815.0185735
NEIRO-EUR,1740700800000,0.00038621,0.00047,0.00037161,0.0004052,1122713991.8007572
NEIRO-EUR,1740614400000,0.00038435,0.00041608,0.00037824,0.00038393,524551826.6119435
NEIRO-EUR,1740528000000,0.00034919,0.00038703,0.00034133,0.00038106,341088552.0397148
NEIRO-EUR,1740441600000,0.00030822,0.00036029,0.00029,0.00034862,666646737.7649157
NEIRO-EUR,1740355200000,0.00037558,0.00037936,0.00030289,0.00030703,287651676.6185278
NEIRO-EUR,1740268800000,0.00039286,0.00039305,0.00036134,0.00037428,389204153.4449221
NEIRO-EUR,1740182400000,0.00035322,0.00043414,0.0003469,0.0003933,1491280839.4704874
NEIRO-EUR,1740096000000,0.00035221,0.00040853,0.00034336,0.00035187,1527373668.6466055
NEIRO-EUR,1740009600000,0.00031549,0.00035188,0.0003145,0.00034858,158101231.49725494
NEIRO-EUR,1739923200000,0.0003139,0.00032099,0.00030774,0.00031521,67061812.1846227
NEIRO-EUR,1739836800000,0.00032307,0.00032501,0.00029198,0.00031171,118644815.75256707
NEIRO-EUR,1739750400000,0.00032855,0.00035543,0.00030888,0.00032243,276944530.4794313
NEIRO-EUR,1739664000000,0.00034326,0.00034326,0.00032277,0.00032689,67866084.09694631
NEIRO-EUR,1739577600000,0.00035471,0.00035965,0.00033639,0.00034274,148801026.18281594
NEIRO-EUR,1739491200000,0.00032126,0.0003855,0.00032107,0.00035518,2320868394.8638616
NEIRO-EUR,1739404800000,0.00034716,0.00036443,0.00031764,0.00032174,252204009.21622685
NEIRO-EUR,1739318400000,0.00031159,0.00035157,0.00029103,0.0003446,477978839.8904805
NEIRO-EUR,1739232000000,0.00032295,0.00034609,0.00030366,0.0003078,545672172.495897
NEIRO-EUR,1739145600000,0.00031023,0.00032489,0.00029443,0.00032052,292837746.806479
NEIRO-EUR,1739059200000,0.00031591,0.00032835,0.00029131,0.00030768,234900075.90045586
NEIRO-EUR,1738972800000,0.00029422,0.00032703,0.00029242,0.00031722,380835780.56399536
NEIRO-EUR,1738886400000,0.00030605,0.00033351,0.00027446,0.00028995,309640002.46716595
NEIRO-EUR,1738800000000,0.00033647,0.00034549,0.00030342,0.00030552,639684732.4148735
NEIRO-EUR,1738713600000,0.00035636,0.00037225,0.00033,0.00033659,561343779.3057997
NEIRO-EUR,1738627200000,0.00039392,0.00039605,0.00033405,0.00035694,1045182279.2771341
NEIRO-EUR,1738540800000,0.00040845,0.00040845,0.0003,0.00039219,1329710283.9723244
NEIRO-EUR,1738454400000,0.00049261,0.00052088,0.0003889,0.00040875,882355084.7435606
NEIRO-EUR,1738368000000,0.0005893,0.00061297,0.00048339,0.0004921,1487501145.1490417
NEIRO-EUR,1738281600000,0.00049684,0.00064155,0.00049217,0.00058912,3064170683.6596937
NEIRO-EUR,1738195200000,0.00047403,0.00052383,0.0004696,0.00049665,688606005.792607
NEIRO-EUR,1738108800000,0.00042515,0.00051143,0.00042,0.00047512,623281111.7742813
NEIRO-EUR,1738022400000,0.00049568,0.0004997,0.00042229,0.00042602,221648158.98498318
NEIRO-EUR,1737936000000,0.00051,0.00051,0.00042296,0.00049194,578449803.0484457
NEIRO-EUR,1737849600000,0.00052806,0.00055742,0.00051145,0.00051688,71814469.22374548
NEIRO-EUR,1737763200000,0.00052476,0.00054291,0.00050598,0.0005294,183394418.27380872
NEIRO-EUR,1737676800000,0.0005594,0.00061901,0.00052407,0.00052881,570076051.818839
NEIRO-EUR,1737590400000,0.00055689,0.0005748,0.00053472,0.00056123,232680876.387992
NEIRO-EUR,1737504000000,0.00053997,0.00058616,0.00053034,0.00055542,481293318.88187164
NEIRO-EUR,1737417600000,0.00053254,0.00059406,0.00050552,0.00053981,1270027684.1198177
NEIRO-EUR,1737331200000,0.00056953,0.00059108,0.00049097,0.00053192,1022996454.6197704
NEIRO-EUR,1737244800000,0.00068235,0.00070229,0.00055702,0.00057044,874260117.7052659
NEIRO-EUR,1737158400000,0.0008428,0.00085532,0.000655,0.00067928,588630348.3096361
NEIRO-EUR,1737072000000,0.00077515,0.00088279,0.00077515,0.00084285,488639615.44596946
NEIRO-EUR,1736985600000,0.00081211,0.00081211,0.00076942,0.00077114,129929636.23026294
NEIRO-EUR,1736899200000,0.0007545,0.00082148,0.000715,0.00081764,153672729.7804127
NEIRO-EUR,1736812800000,0.00071278,0.00076403,0.00070818,0.00075936,161010460.20409986
NEIRO-EUR,1736726400000,0.00078774,0.00080653,0.00064092,0.00070707,242303521.54234067
NEIRO-EUR,1736640000000,0.00079207,0.00081226,0.00077496,0.00079267,65210857.9721598
NEIRO-EUR,1736553600000,0.00078443,0.00081363,0.00077293,0.00079112,98646915.5785252
NEIRO-EUR,1736467200000,0.00076987,0.00080333,0.0007471,0.0007834,206682307.1970133
NEIRO-EUR,1736380800000,0.00077352,0.00079921,0.00072943,0.00076724,259075974.5112779
NEIRO-EUR,1736294400000,0.0008719,0.00087991,0.00072933,0.00077169,358345702.1210551
NEIRO-EUR,1736208000000,0.0010217,0.0010363,0.00086626,0.00086629,277617451.467119
NEIRO-EUR,1736121600000,0.0010608,0.0010957,0.0010091,0.0010293,183394761.2531682
NEIRO-EUR,1736035200000,0.0010521,0.001091,0.0010386,0.0010604,177236911.51970732
NEIRO-EUR,1735948800000,0.0011024,0.0011059,0.001017,0.0010572,184808601.63008863
NEIRO-EUR,1735862400000,0.00097082,0.0011195,0.00093064,0.0011122,315501277.46381176
NEIRO-EUR,1735776000000,0.00094362,0.00099684,0.00094021,0.00097529,111110431.23987749
