market,time,open,high,low,close,volume
NFP-EUR,1741132800000,0.089233,0.092219,0.08836,0.089426,174934.51487545
NFP-EUR,1741046400000,0.089234,0.090726,0.085,0.089475,572568.4618376
NFP-EUR,1740960000000,0.10847,0.11555,0.094244,0.096628,80172.12263198
NFP-EUR,1740873600000,0.10774,0.11763,0.10541,0.11665,85036.92828642
NFP-EUR,1740787200000,0.10538,0.10917,0.10508,0.10624,94526.04969876
NFP-EUR,1740700800000,0.10384,0.11345,0.10149,0.11139,117566.21660123
NFP-EUR,1740614400000,0.11059,0.11246,0.10749,0.10979,91044.90765135
NFP-EUR,1740528000000,0.10504,0.1094,0.10364,0.10936,139839.85759564
NFP-EUR,1740441600000,0.10376,0.10627,0.094936,0.10627,256876.56907539
NFP-EUR,1740355200000,0.12093,0.12093,0.10152,0.10427,148375.21521037
NFP-EUR,1740268800000,0.1267,0.12863,0.11981,0.12121,280032.11526061
NFP-EUR,1740182400000,0.11781,0.12569,0.11781,0.12403,36184.84030548
NFP-EUR,1740096000000,0.12128,0.12912,0.11697,0.11755,238409.65330302
NFP-EUR,1740009600000,0.11799,0.12314,0.11671,0.12314,499698.49689627
NFP-EUR,1739923200000,0.11734,0.1183,0.11587,0.11692,76217.01088892
NFP-EUR,1739836800000,0.12296,0.12296,0.1113,0.1153,61572.14692686
NFP-EUR,1739750400000,0.12727,0.12953,0.12073,0.12341,78577.913713
NFP-EUR,1739664000000,0.1283,0.13039,0.12534,0.12534,3526.07591716
NFP-EUR,1739577600000,0.13056,0.13258,0.1275,0.12884,201517.30797615
NFP-EUR,1739491200000,0.13065,0.13635,0.13036,0.13228,230372.85420649
NFP-EUR,1739404800000,0.13611,0.14597,0.12677,0.12951,869398.96464384
NFP-EUR,1739318400000,0.12266,0.13971,0.11837,0.13522,701470.59287119
NFP-EUR,1739232000000,0.12608,0.13196,0.11902,0.1205,36210.54289071
NFP-EUR,1739145600000,0.12005,0.12963,0.11418,0.12668,601433.30691272
NFP-EUR,1739059200000,0.12217,0.12398,0.11238,0.11695,379911.16858633
NFP-EUR,1738972800000,0.11137,0.124,0.11088,0.12152,275236.86906797
NFP-EUR,1738886400000,0.11395,0.12305,0.10782,0.11124,61217.05041864
NFP-EUR,1738800000000,0.12101,0.12447,0.11134,0.11134,112671.82476983
NFP-EUR,1738713600000,0.12544,0.12636,0.11846,0.11984,110559.13937349
NFP-EUR,1738627200000,0.13704,0.13769,0.12051,0.12051,113728.08601238
NFP-EUR,1738540800000,0.1358,0.14076,0.104,0.14049,864705.04417255
NFP-EUR,1738454400000,0.166,0.16986,0.13319,0.14035,159009.23073803
NFP-EUR,1738368000000,0.18654,0.18654,0.16874,0.16874,34914.82216061
NFP-EUR,1738281600000,0.18347,0.19875,0.18347,0.18632,265819.43001695
NFP-EUR,1738195200000,0.17098,0.18702,0.17098,0.18509,339261.84264688
NFP-EUR,1738108800000,0.16406,0.18134,0.16377,0.17647,825007.83558958
NFP-EUR,1738022400000,0.19027,0.19027,0.16588,0.16589,31554.26068569
NFP-EUR,1737936000000,0.193,0.193,0.17026,0.18772,415582.59155551
NFP-EUR,1737849600000,0.19939,0.20757,0.19752,0.19752,3533.78367656
NFP-EUR,1737763200000,0.19622,0.19909,0.19162,0.19876,18918.76704331
NFP-EUR,1737676800000,0.21028,0.21263,0.19623,0.19623,13619.55227741
NFP-EUR,1737590400000,0.21007,0.21148,0.20161,0.20168,38940.1084127
NFP-EUR,1737504000000,0.21494,0.21809,0.21329,0.21424,21423.54971986
NFP-EUR,1737417600000,0.20997,0.22177,0.19832,0.21766,188663.67077004
NFP-EUR,1737331200000,0.20579,0.22675,0.1979,0.21044,421745.32073882
NFP-EUR,1737244800000,0.24095,0.24113,0.20796,0.2083,377570.86112089
NFP-EUR,1737158400000,0.26629,0.26629,0.2341,0.23887,23192.49710299
NFP-EUR,1737072000000,0.2535,0.26621,0.25083,0.26427,89950.59644567
