market,time,open,high,low,close,volume
NMR-EUR,1741132800000,8.5072,8.864,8.276,8.4276,4951.64229978
NMR-EUR,1741046400000,8.1387,8.6329,7.835,8.5691,16468.33370318
NMR-EUR,1740960000000,10.413,10.413,8.1049,8.335,4832.12309002
NMR-EUR,1740873600000,9.6479,10.682,9.5832,10.525,2558.55187295
NMR-EUR,1740787200000,9.6359,9.8293,9.5364,9.7081,38.40211425
NMR-EUR,1740700800000,9.6203,9.9363,9.1271,9.8322,3882.10262428
NMR-EUR,1740614400000,9.773,10.018,9.7184,9.867,427.83041537
NMR-EUR,1740528000000,10.082,10.186,9.13,9.4983,1716.88157901
NMR-EUR,1740441600000,9.6903,10.21,9.4682,10.117,4365.0769165
NMR-EUR,1740355200000,11.693,11.933,9.5428,9.695,6595.62721929
NMR-EUR,1740268800000,10.756,11.599,10.571,11.591,3725.60367167
NMR-EUR,1740182400000,10.674,10.946,10.507,10.637,572.40754629
NMR-EUR,1740096000000,10.892,11.402,10.598,10.691,4133.30401965
NMR-EUR,1740009600000,10.831,11.059,10.631,10.909,2384.38732443
NMR-EUR,1739923200000,10.327,10.96,10.327,10.711,1104.5873752
NMR-EUR,1739836800000,10.946,10.962,10.12,10.33,1535.53300318
NMR-EUR,1739750400000,11.206,11.699,10.944,10.944,6994.36407114
NMR-EUR,1739664000000,10.67,11.298,10.67,10.939,1770.48709924
NMR-EUR,1739577600000,10.923,11.012,10.687,10.781,2164.59912503
NMR-EUR,1739491200000,10.929,11.126,10.884,10.988,1413.2460733
NMR-EUR,1739404800000,10.842,10.843,10.55,10.841,1603.40323266
NMR-EUR,1739318400000,10.882,11.298,10.5,11.204,7396.54139061
NMR-EUR,1739232000000,10.702,11.83,10.7,10.83,7318.85057948
NMR-EUR,1739145600000,10.441,10.64,9.851,10.587,5744.74765603
NMR-EUR,1739059200000,10.046,10.51,9.864,10.251,5067.49123213
NMR-EUR,1738972800000,9.8826,10.188,9.4078,10.053,7668.45610001
NMR-EUR,1738886400000,9.62,10.151,9.3971,9.7871,17228.30231276
NMR-EUR,1738800000000,9.8382,10.136,9.2311,9.3446,9056.60201831
NMR-EUR,1738713600000,10.154,10.582,9.672,9.745,8618.78744211
NMR-EUR,1738627200000,10.56,10.573,9.6568,10.052,5365.6755763
NMR-EUR,1738540800000,10.118,11.149,7.75,10.948,27169.65388933
NMR-EUR,1738454400000,12.125,12.364,9.892,10.271,17417.86684971
NMR-EUR,1738368000000,12.561,12.741,11.772,11.927,190.69041565
NMR-EUR,1738281600000,12.223,12.824,12.223,12.548,855.58127038
NMR-EUR,1738195200000,11.949,12.335,11.926,12.214,859.19402603
NMR-EUR,1738108800000,11.339,11.821,11.339,11.735,1127.00303103
NMR-EUR,1738022400000,11.954,12.142,11.251,11.251,854.26709886
NMR-EUR,1737936000000,12,12.013,11.05,12.013,4886.04459229
NMR-EUR,1737849600000,12.353,12.759,12.337,12.456,2211.55623556
NMR-EUR,1737763200000,12.08,12.549,12.049,12.436,255.67274148
NMR-EUR,1737676800000,12.509,12.8,12.219,12.273,761.87294117
NMR-EUR,1737590400000,12.356,12.751,12.106,12.528,2141.67921586
NMR-EUR,1737504000000,12.739,12.828,12.533,12.563,311.92691663
NMR-EUR,1737417600000,12.152,12.815,11.758,12.656,3585.94339915
NMR-EUR,1737331200000,12.201,13.29,11.791,12.223,10880.1195192
NMR-EUR,1737244800000,13.486,13.738,12.2,12.403,9670.49873101
NMR-EUR,1737158400000,14.854,14.951,13.347,13.587,1843.3556483
NMR-EUR,1737072000000,14.322,14.914,14.269,14.841,2212.94369398
NMR-EUR,1736985600000,14.131,14.688,13.433,13.825,12091.17295023
NMR-EUR,1736899200000,13.116,14.06,12.656,14.06,4208.39814836
NMR-EUR,1736812800000,13.38,13.787,13.001,13.299,1396.30104407
NMR-EUR,1736726400000,14.231,14.231,12.672,13.284,2313.6070448
NMR-EUR,1736640000000,14.706,14.707,14.27,14.27,1201.76704604
NMR-EUR,1736553600000,14.651,14.689,14.439,14.589,136.11001742
NMR-EUR,1736467200000,14.268,14.746,14.166,14.503,1386.56669504
NMR-EUR,1736380800000,14.484,15.046,14.028,14.314,4591.45636112
NMR-EUR,1736294400000,14.674,14.84,13.739,14.446,1823.88825682
NMR-EUR,1736208000000,16.545,16.579,14.676,14.71,5005.16642227
NMR-EUR,1736121600000,16.465,17,16.224,16.434,2420.84342413
