market,time,open,high,low,close,volume
NULS-EUR,1741132800000,0.14726,0.15763,0.14537,0.14888,2981579.12446788
NULS-EUR,1741046400000,0.20199,0.2063,0.14218,0.15165,5694648.89866531
NULS-EUR,1740960000000,0.229,0.25309,0.20779,0.20779,46538.19571975
NULS-EUR,1740873600000,0.22417,0.25114,0.22417,0.24734,197937.57050956
NULS-EUR,1740787200000,0.22912,0.23246,0.2211,0.2266,180111.13516776
NULS-EUR,1740700800000,0.23277,0.23465,0.21734,0.2339,52102.32398812
NULS-EUR,1740614400000,0.23307,0.23476,0.22799,0.23353,48355.12070602
NULS-EUR,1740528000000,0.22629,0.2315,0.22335,0.22996,34625.85477359
NULS-EUR,1740441600000,0.21865,0.22865,0.20993,0.2279,71686.00693638
NULS-EUR,1740355200000,0.25451,0.25451,0.21987,0.22109,158653.54447632
NULS-EUR,1740268800000,0.25876,0.26597,0.25123,0.25553,223595.17395732
NULS-EUR,1740182400000,0.2479,0.25852,0.2479,0.25768,59797.73386971
NULS-EUR,1740096000000,0.25251,0.26352,0.24244,0.24647,30463.84773213
NULS-EUR,1740009600000,0.25527,0.26086,0.2552,0.26086,33578.87248207
NULS-EUR,1739923200000,0.2541,0.26541,0.25404,0.25828,47280.44567889
NULS-EUR,1739836800000,0.25532,0.25859,0.24,0.25283,454022.40564201
NULS-EUR,1739750400000,0.25671,0.27031,0.25,0.25645,257017.63728415
NULS-EUR,1739664000000,0.25324,0.26236,0.25036,0.25605,231287.68667221
NULS-EUR,1739577600000,0.25895,0.25919,0.2519,0.25219,7245.00685846
NULS-EUR,1739491200000,0.25518,0.26528,0.25518,0.26171,160075.25948149
NULS-EUR,1739404800000,0.26597,0.26597,0.24944,0.2581,74516.91309334
NULS-EUR,1739318400000,0.24468,0.27349,0.24163,0.26535,197021.19237975
NULS-EUR,1739232000000,0.25034,0.26304,0.2399,0.24342,93950.17214554
NULS-EUR,1739145600000,0.23906,0.2513,0.2321,0.25079,27248.70306847
