market,time,open,high,low,close,volume
OM-EUR,1741219200000,6.55,6.5501,6.55,6.55,144
OM-EUR,1741132800000,6.716,6.829,6.3191,6.5782,78367.10702063
OM-EUR,1741046400000,6.6254,6.8669,6.2061,6.4401,163361.89746992
OM-EUR,1740960000000,7.1174,7.5299,6.6418,6.8113,62857.28093109
OM-EUR,1740873600000,7.1651,7.8491,7.1397,7.1982,96663.38802559
OM-EUR,1740787200000,7.1672,7.3607,7.1078,7.2512,41129.64072406
OM-EUR,1740700800000,7.1063,7.3965,6.7647,7.2443,156618.11567223
OM-EUR,1740614400000,6.7247,7.3932,6.6561,7.0943,99871.83337542
OM-EUR,1740528000000,7.3351,7.4546,6.5639,6.6902,228785.99670214
OM-EUR,1740441600000,7.6525,8.3,7.0238,7.3532,184928.2676791
OM-EUR,1740355200000,8.0996,8.4327,7.3572,7.5893,202228.55247418
OM-EUR,1740268800000,7.8587,8.7337,7.8115,8.102,941514.47500297
OM-EUR,1740182400000,7.2383,7.8928,7.1132,7.8852,145390.11411263
OM-EUR,1740096000000,7.6282,7.6913,7.0767,7.2371,285803.25818749
OM-EUR,1740009600000,7.2976,8.0372,7.0109,7.6347,395644.94740074
OM-EUR,1739923200000,7.2566,7.3767,7.1449,7.3014,112231.40602335
OM-EUR,1739836800000,6.8767,7.3395,6.8114,7.2628,204485.95815488
OM-EUR,1739750400000,7.0989,7.2101,6.882,6.9036,98939.44813793
OM-EUR,1739664000000,7.2013,7.4,6.9452,7.0731,200152.86233461
OM-EUR,1739577600000,6.6821,7.6882,6.555,7.1967,563389.69015458
OM-EUR,1739491200000,5.5804,7.1091,5.1474,6.6931,645518.03770462
OM-EUR,1739404800000,5.5811,5.73,5.06,5.5356,363435.93281693
OM-EUR,1739318400000,5.5956,5.7559,5.4041,5.5792,241948.2759737
OM-EUR,1739232000000,5.9136,5.9497,5.6127,5.6133,214458.63387431
OM-EUR,1739145600000,6.0345,6.111,5.8383,5.8995,274398.51058448
OM-EUR,1739059200000,5.6763,6.0437,5.55,5.9827,200613.42216667
OM-EUR,1738972800000,5.8451,5.8459,5.6182,5.684,139170.540424
OM-EUR,1738886400000,5.6225,6.25,5.4892,5.8081,438962.0403181
OM-EUR,1738800000000,5.5591,5.7709,5.3422,5.6391,338490.2071331
OM-EUR,1738713600000,5.5579,5.7653,5.4181,5.5621,266142.79562043
OM-EUR,1738627200000,5.9158,6.2038,5.4734,5.5957,446425.81102781
OM-EUR,1738540800000,4.8187,6.128,4.3002,5.8662,1092046.89185519
OM-EUR,1738454400000,5.0426,5.1393,4.6967,4.8222,289338.22024112
OM-EUR,1738368000000,5.1394,5.3024,5.0202,5.0486,199722.14697442
OM-EUR,1738281600000,5.4139,5.4545,4.9874,5.141,299435.42059009
OM-EUR,1738195200000,4.479,5.7488,4.4707,5.4062,822138.06721048
OM-EUR,1738108800000,4.3356,4.5343,4.2565,4.4597,153256.74826809
OM-EUR,1738022400000,4.51,4.5965,4.2018,4.3164,184853.42708179
OM-EUR,1737936000000,4.4988,4.7,4.2288,4.4744,803504.7456221
OM-EUR,1737849600000,3.8612,4.8563,3.8549,4.5003,1430654.45201354
OM-EUR,1737763200000,3.3266,3.8778,3.031,3.8718,383141.89917436
OM-EUR,1737676800000,3.5269,3.58,3.3306,3.3309,104426.79466107
OM-EUR,1737590400000,3.5681,3.5702,3.4,3.5142,140909.52138151
OM-EUR,1737504000000,3.5266,3.5887,3.2926,3.5451,228757.95429683
OM-EUR,1737417600000,3.4561,3.5896,3.3404,3.5178,147429.54674866
OM-EUR,1737331200000,3.4855,3.7596,3.3761,3.4938,296116.60080634
OM-EUR,1737244800000,3.7161,3.7898,3.4446,3.5013,199503.10404809
OM-EUR,1737158400000,3.7112,3.7592,3.5527,3.6709,181560.24362961
OM-EUR,1737072000000,3.7579,3.82,3.6761,3.7129,119839.95073816
OM-EUR,1736985600000,3.8027,3.8746,3.6889,3.7214,119097.38978377
OM-EUR,1736899200000,3.5781,3.8094,3.574,3.7753,115788.34920391
OM-EUR,1736812800000,3.7145,3.7145,3.5565,3.5814,78473.4948559
OM-EUR,1736726400000,3.6651,3.7531,3.4961,3.7383,132177.75572465
OM-EUR,1736640000000,3.7997,3.8947,3.6556,3.6787,150488.78575833
OM-EUR,1736553600000,3.9098,3.931,3.7664,3.7974,28339.18058759
OM-EUR,1736467200000,3.7402,4.0304,3.7399,3.8962,256039.58581571
OM-EUR,1736380800000,3.8768,3.9061,3.5744,3.7441,299631.93321278
OM-EUR,1736294400000,3.713,3.9288,3.6682,3.9128,161017.77920621
OM-EUR,1736208000000,3.9454,3.9454,3.6791,3.7397,89855.57076435
OM-EUR,1736121600000,3.7941,3.9472,3.7611,3.9452,62266.10813934
OM-EUR,1736035200000,3.8588,3.8926,3.7519,3.7937,40182.35218385
OM-EUR,1735948800000,3.8051,3.892,3.7245,3.8518,66624.53481336
OM-EUR,1735862400000,3.789,3.8731,3.6729,3.8134,74969.56919692
OM-EUR,1735776000000,3.62,3.8149,3.6178,3.7792,65522.7901479
OM-EUR,1735689600000,3.6872,3.7427,3.6225,3.6524,47136.24521395
OM-EUR,1735603200000,3.3277,3.7946,3.3277,3.6773,190889.40620076
OM-EUR,1735516800000,3.5179,3.5179,3.2655,3.3119,105423.91519071
OM-EUR,1735430400000,3.5386,3.6739,3.4673,3.5047,120480.53286916
OM-EUR,1735344000000,3.5225,3.6281,3.5045,3.5211,63179.93495052
OM-EUR,1735257600000,3.5107,3.613,3.43,3.5246,53468.07528272
OM-EUR,1735171200000,3.6407,3.6408,3.46,3.4969,43430.8805077
OM-EUR,1735084800000,3.663,3.7697,3.5705,3.6424,62011.3387622
OM-EUR,1734998400000,3.6172,3.6724,3.554,3.6555,80134.73534054
OM-EUR,1734912000000,3.4864,3.6894,3.3408,3.61,110134.10744807
OM-EUR,1734825600000,3.5437,3.6511,3.3859,3.5346,49469.86242627
OM-EUR,1734739200000,3.7079,3.8253,3.4622,3.5301,143258.88042575
OM-EUR,1734652800000,3.8488,3.93,3.2732,3.6728,375413.47235124
OM-EUR,1734566400000,3.7928,4.0421,3.5459,3.8404,253959.54468371
OM-EUR,1734480000000,3.8214,3.9491,3.7793,3.7799,141796.82836834
OM-EUR,1734393600000,3.7374,3.9478,3.6214,3.8225,97517.02948576
OM-EUR,1734307200000,3.6828,3.8958,3.6741,3.7359,171077.86370342
OM-EUR,1734220800000,3.7079,3.7317,3.59,3.6787,54398.45292701
OM-EUR,1734134400000,3.6935,3.8616,3.6311,3.6922,78273.11686844
OM-EUR,1734048000000,3.8488,3.8974,3.6598,3.7042,94563.52923175
OM-EUR,1733961600000,4.0557,4.1144,3.8181,3.8307,158329.153473
OM-EUR,1733875200000,3.7996,4.41,3.6724,4.0638,561513.0970095
OM-EUR,1733788800000,3.3535,3.9392,3.2345,3.8137,596799.84690954
OM-EUR,1733702400000,3.97,4.0589,2.8655,3.379,733986.02427639
OM-EUR,1733616000000,3.7739,3.9734,3.6857,3.9544,580044.6972688
OM-EUR,1733529600000,3.7572,3.7669,3.6559,3.7619,76318.11764372
OM-EUR,1733443200000,3.7004,3.9642,3.6705,3.7523,157650.47868641
OM-EUR,1733356800000,3.6539,4.0283,3.55,3.6778,507296.92225311
OM-EUR,1733270400000,3.7381,3.8008,3.5397,3.6179,391555.41306268
OM-EUR,1733184000000,3.4174,3.9597,3.3163,3.7347,854860.62994117
OM-EUR,1733097600000,3.3358,3.5204,3.1484,3.4279,375589.60282639
OM-EUR,1733011200000,3.3518,3.4006,3.2653,3.3317,166816.55452986
OM-EUR,1732924800000,3.2864,3.6349,3.2167,3.3593,501662.94432613
OM-EUR,1732838400000,3.2766,3.4717,3.2636,3.2767,184428.73934803
OM-EUR,1732752000000,3.3059,3.4358,3.2392,3.2893,240035.36924268
OM-EUR,1732665600000,3.4796,3.5859,3.2989,3.3251,317865.36352346
OM-EUR,1732579200000,3.343,3.6348,3.2787,3.4658,391053.10184238
OM-EUR,1732492800000,3.4511,3.5532,3.2037,3.34,343566.30249719
OM-EUR,1732406400000,3.4826,3.6824,3.3805,3.4613,261772.3803354
