market,time,open,high,low,close,volume
ONG-EUR,1741132800000,0.21341,0.21915,0.21174,0.21381,20415.52277392
ONG-EUR,1741046400000,0.21699,0.22005,0.20899,0.21498,147682.33620563
ONG-EUR,1740960000000,0.2327,0.24962,0.21503,0.2181,87134.98210893
ONG-EUR,1740873600000,0.23989,0.25266,0.23468,0.24887,358288.71195846
ONG-EUR,1740787200000,0.23596,0.24042,0.23538,0.23935,23309.23158319
ONG-EUR,1740700800000,0.2378,0.23965,0.22057,0.23907,16009.0212501
ONG-EUR,1740614400000,0.23842,0.23958,0.23287,0.23577,3886.89224481
ONG-EUR,1740528000000,0.23566,0.23567,0.2285,0.23539,18958.63356602
ONG-EUR,1740441600000,0.23427,0.2351,0.22166,0.23377,95479.15444649
ONG-EUR,1740355200000,0.24925,0.24944,0.23214,0.23271,43630.12676228
ONG-EUR,1740268800000,0.26017,0.26083,0.25568,0.25568,25272.38661786
ONG-EUR,1740182400000,0.25119,0.2583,0.25119,0.25799,3391.29153029
ONG-EUR,1740096000000,0.25885,0.26359,0.24538,0.24919,10232.4554739
ONG-EUR,1740009600000,0.2504,0.2552,0.24969,0.25292,4677.40394993
ONG-EUR,1739923200000,0.2443,0.25331,0.2443,0.248,38009.89636239
ONG-EUR,1739836800000,0.2506,0.25135,0.23641,0.24308,32897.80516565
ONG-EUR,1739750400000,0.25208,0.28692,0.24989,0.25544,605070.9692347
ONG-EUR,1739664000000,0.24778,0.26366,0.24755,0.248,152006.50941926
ONG-EUR,1739577600000,0.25246,0.25246,0.24631,0.24631,1075.45432808
ONG-EUR,1739491200000,0.25866,0.25909,0.25021,0.25466,99962.33345706
ONG-EUR,1739404800000,0.25763,0.25763,0.24918,0.25142,131953.36984771
ONG-EUR,1739318400000,0.24405,0.26,0.24245,0.25676,73820.44798752
ONG-EUR,1739232000000,0.25398,0.25889,0.24593,0.24668,1873.61867252
ONG-EUR,1739145600000,0.24912,0.25164,0.24272,0.25022,11233.21737876
ONG-EUR,1739059200000,0.24835,0.25539,0.23889,0.24197,43048.83278991
ONG-EUR,1738972800000,0.23934,0.24787,0.23934,0.24695,17954.37218117
ONG-EUR,1738886400000,0.24078,0.25316,0.23248,0.23248,50366.37821096
ONG-EUR,1738800000000,0.24811,0.25071,0.23731,0.23977,20390.65282223
ONG-EUR,1738713600000,0.25544,0.25791,0.24531,0.25011,28665.64521648
ONG-EUR,1738627200000,0.25857,0.26653,0.24353,0.25646,132649.04125883
ONG-EUR,1738540800000,0.25158,0.26,0.21,0.2558,346796.52998905
ONG-EUR,1738454400000,0.28865,0.29026,0.2418,0.25467,349037.08966554
ONG-EUR,1738368000000,0.28389,0.30848,0.27608,0.27608,599177.95919412
ONG-EUR,1738281600000,0.28224,0.29386,0.28223,0.28394,56182.25111185
ONG-EUR,1738195200000,0.27569,0.28771,0.27496,0.28575,7603.7827542
ONG-EUR,1738108800000,0.27054,0.28128,0.27,0.27568,31206.55310282
ONG-EUR,1738022400000,0.28459,0.28569,0.27022,0.27158,41888.99786693
ONG-EUR,1737936000000,0.285,0.2862,0.2688,0.2862,38933.18671416
ONG-EUR,1737849600000,0.29542,0.3049,0.29509,0.29509,6273.53266111
ONG-EUR,1737763200000,0.28323,0.29385,0.28044,0.29163,9041.1407894
ONG-EUR,1737676800000,0.2949,0.30073,0.28299,0.28341,14092.43383877
ONG-EUR,1737590400000,0.29536,0.29988,0.28754,0.2915,80451.31860016
ONG-EUR,1737504000000,0.30417,0.30417,0.29816,0.29905,11401.08292515
ONG-EUR,1737417600000,0.297,0.31087,0.29,0.3044,142190.41146371
ONG-EUR,1737331200000,0.303,0.33,0.29358,0.29891,291712.15683995
ONG-EUR,1737244800000,0.32505,0.3285,0.29836,0.29836,321585.99668502
ONG-EUR,1737158400000,0.34678,0.34956,0.3192,0.32522,11175.24512347
ONG-EUR,1737072000000,0.33774,0.3531,0.33774,0.34823,19979.25397961
ONG-EUR,1736985600000,0.34574,0.34574,0.3313,0.33512,41804.0944265
ONG-EUR,1736899200000,0.3397,0.3527,0.32891,0.34668,33859.20451344
ONG-EUR,1736812800000,0.3267,0.34782,0.3221,0.34782,180936.17648423
ONG-EUR,1736726400000,0.36786,0.4012,0.31749,0.33632,860881.8037732
ONG-EUR,1736640000000,0.35608,0.36576,0.3441,0.353,95478.01333874
ONG-EUR,1736553600000,0.37184,0.37338,0.34601,0.36216,728583.65640672
ONG-EUR,1736467200000,0.35922,0.38941,0.34184,0.38431,652531.83170456
ONG-EUR,1736380800000,0.34702,0.38698,0.33764,0.36756,1634013.51336033
ONG-EUR,1736294400000,0.31897,0.37188,0.30017,0.35347,1093672.2963648
ONG-EUR,1736208000000,0.34173,0.34269,0.31229,0.31229,58956.77941133
ONG-EUR,1736121600000,0.33464,0.35277,0.33401,0.34584,49674.24875049
ONG-EUR,1736035200000,0.329,0.34255,0.32671,0.33708,64260.73496886
ONG-EUR,1735948800000,0.32977,0.33845,0.32821,0.33257,5337.11316343
ONG-EUR,1735862400000,0.31606,0.33501,0.31507,0.3327,6458.95186677
ONG-EUR,1735776000000,0.30872,0.32218,0.30851,0.31742,48408.92673234
ONG-EUR,1735689600000,0.30389,0.3133,0.29741,0.31209,5665.21829667
ONG-EUR,1735603200000,0.30316,0.31085,0.29987,0.30091,23356.04654072
ONG-EUR,1735516800000,0.31185,0.32006,0.29994,0.30694,5866.69700606
ONG-EUR,1735430400000,0.32361,0.32361,0.30855,0.30855,29687.41160863
ONG-EUR,1735344000000,0.3117,0.33073,0.3117,0.33073,19283.28449522
ONG-EUR,1735257600000,0.29763,0.31263,0.29763,0.30239,13543.64995999
ONG-EUR,1735171200000,0.32157,0.32157,0.29485,0.29999,11878.21285764
ONG-EUR,1735084800000,0.33168,0.33168,0.31834,0.32012,18491.36508562
ONG-EUR,1734998400000,0.32296,0.34693,0.32296,0.33468,80136.25347203
ONG-EUR,1734912000000,0.29626,0.32839,0.29531,0.32524,89419.93499977
ONG-EUR,1734825600000,0.29376,0.3184,0.28737,0.30047,369399.79693433
ONG-EUR,1734739200000,0.30282,0.319,0.28604,0.28862,41813.59342573
ONG-EUR,1734652800000,0.29278,0.30417,0.26298,0.30417,209430.36395468
ONG-EUR,1734566400000,0.31362,0.32,0.2848,0.29641,207974.33268059
ONG-EUR,1734480000000,0.34218,0.34218,0.3087,0.31486,74419.95423384
ONG-EUR,1734393600000,0.36384,0.36384,0.34233,0.34233,70906.0712212
ONG-EUR,1734307200000,0.38543,0.38543,0.36048,0.36373,100716.6336488
ONG-EUR,1734220800000,0.36569,0.38186,0.36013,0.38051,20684.53733368
ONG-EUR,1734134400000,0.38285,0.3881,0.36099,0.367,6309.22471338
ONG-EUR,1734048000000,0.37894,0.38567,0.37753,0.37985,43686.40153028
ONG-EUR,1733961600000,0.37232,0.39376,0.372,0.3863,55173.68920701
ONG-EUR,1733875200000,0.35292,0.37707,0.33676,0.37462,63538.66785042
ONG-EUR,1733788800000,0.37282,0.37481,0.3184,0.35541,320875.90855523
ONG-EUR,1733702400000,0.45694,0.45728,0.32162,0.37376,283591.38131943
ONG-EUR,1733616000000,0.44802,0.4545,0.43782,0.45437,40235.93033078
ONG-EUR,1733529600000,0.45161,0.46029,0.44525,0.45096,25496.64924211
ONG-EUR,1733443200000,0.4416,0.45762,0.4253,0.4492,93836.14231273
ONG-EUR,1733356800000,0.46432,0.46905,0.4283,0.44734,172174.71410503
ONG-EUR,1733270400000,0.50132,0.50132,0.45324,0.46924,340555.10558241
ONG-EUR,1733184000000,0.4195,0.523,0.39067,0.51216,459075.73305249
ONG-EUR,1733097600000,0.41633,0.43248,0.38833,0.4217,78946.00194536
ONG-EUR,1733011200000,0.41783,0.42112,0.4044,0.42112,82127.79849232
ONG-EUR,1732924800000,0.41107,0.43005,0.40616,0.42047,50764.76843429
ONG-EUR,1732838400000,0.4029,0.42342,0.39481,0.42222,33910.24506951
ONG-EUR,1732752000000,0.39836,0.4128,0.38916,0.41101,25643.79206957
ONG-EUR,1732665600000,0.3855,0.40371,0.37767,0.4021,45088.81513841
ONG-EUR,1732579200000,0.37293,0.40793,0.35468,0.39222,183820.42470312
ONG-EUR,1732492800000,0.37622,0.39158,0.366,0.37205,66159.44482184
ONG-EUR,1732406400000,0.3595,0.41615,0.349,0.38022,558712.39712184
ONG-EUR,1732320000000,0.3475,0.36603,0.34341,0.35937,94026.99528643
ONG-EUR,1732233600000,0.34102,0.34881,0.32776,0.34846,87832.50885061
ONG-EUR,1732147200000,0.31728,0.3395,0.30876,0.3395,88842.03433491
ONG-EUR,1732060800000,0.3328,0.3328,0.31037,0.32072,93742.16929074
ONG-EUR,1731974400000,0.33301,0.35,0.32463,0.33808,85647.98643619
ONG-EUR,1731888000000,0.31187,0.33373,0.31023,0.32751,106357.01542216
ONG-EUR,1731801600000,0.32813,0.33136,0.30523,0.30815,26982.18054568
ONG-EUR,1731715200000,0.30324,0.33409,0.30324,0.32954,73032.47530945
ONG-EUR,1731628800000,0.28976,0.30589,0.285,0.30383,164811.7268027
ONG-EUR,1731542400000,0.315,0.3316,0.28715,0.28761,400000.15793425
ONG-EUR,1731456000000,0.31561,0.3159,0.28793,0.30338,106387.65453068
ONG-EUR,1731369600000,0.30633,0.33114,0.27815,0.30866,381794.97283587
ONG-EUR,1731283200000,0.29362,0.30633,0.28546,0.30633,121521.68602381
ONG-EUR,1731196800000,0.28001,0.3012,0.274,0.28768,139179.95605387
ONG-EUR,1731110400000,0.27379,0.27987,0.27023,0.27987,17087.37858343
ONG-EUR,1731024000000,0.26793,0.2741,0.2668,0.27372,14146.98710921
ONG-EUR,1730937600000,0.27164,0.27201,0.26168,0.26996,8960.3334635
ONG-EUR,1730851200000,0.25207,0.26809,0.25069,0.26809,60281.2842619
ONG-EUR,1730764800000,0.24427,0.24747,0.24427,0.24695,22584.57328164
ONG-EUR,1730678400000,0.24251,0.24475,0.23445,0.23726,91790.4580547
ONG-EUR,1730592000000,0.24879,0.24879,0.24,0.24515,21954.92653926
