market,time,open,high,low,close,volume
ONT-EUR,1741132800000,0.14543,0.14909,0.1437,0.14889,33654.88129848
ONT-EUR,1741046400000,0.14184,0.15129,0.139,0.14704,73732.05145702
ONT-EUR,1740960000000,0.17217,0.17507,0.15,0.1547,147382.03177963
ONT-EUR,1740873600000,0.16147,0.1775,0.16072,0.17596,280768.61130526
ONT-EUR,1740787200000,0.16277,0.16278,0.15891,0.1603,2092.5138943
ONT-EUR,1740700800000,0.16268,0.16434,0.15113,0.16367,99867.57869286
ONT-EUR,1740614400000,0.15907,0.16583,0.15907,0.16289,26202.34182231
ONT-EUR,1740528000000,0.15834,0.1622,0.15577,0.15989,75559.49092949
ONT-EUR,1740441600000,0.16036,0.16179,0.15051,0.15927,40827.63217092
ONT-EUR,1740355200000,0.178,0.178,0.15765,0.16034,194575.36245386
ONT-EUR,1740268800000,0.1822,0.184,0.17808,0.17842,13083.26912092
ONT-EUR,1740182400000,0.18081,0.18532,0.18081,0.1826,10597.19017084
ONT-EUR,1740096000000,0.18268,0.19,0.17633,0.1789,35785.05118634
ONT-EUR,1740009600000,0.18042,0.18462,0.18042,0.18393,37232.39882792
ONT-EUR,1739923200000,0.17634,0.18062,0.17587,0.17926,22251.79894258
ONT-EUR,1739836800000,0.18456,0.18456,0.17276,0.17849,48038.05102193
ONT-EUR,1739750400000,0.1847,0.19216,0.18377,0.18691,63117.35789553
ONT-EUR,1739664000000,0.18325,0.19084,0.18227,0.1842,55902.59608629
ONT-EUR,1739577600000,0.19179,0.19179,0.18249,0.18317,30248.29351984
ONT-EUR,1739491200000,0.19908,0.20176,0.19023,0.19121,226746.70732542
ONT-EUR,1739404800000,0.19949,0.19949,0.189,0.18995,47325.50920304
ONT-EUR,1739318400000,0.18438,0.2,0.18223,0.1977,140353.43680733
ONT-EUR,1739232000000,0.19218,0.19867,0.18523,0.1864,24078.4557381
ONT-EUR,1739145600000,0.17983,0.19295,0.17983,0.19042,100062.00045281
ONT-EUR,1739059200000,0.18726,0.1911,0.17799,0.17799,29617.61670745
ONT-EUR,1738972800000,0.17962,0.18544,0.17759,0.18461,44000.01012719
ONT-EUR,1738886400000,0.17658,0.18984,0.17658,0.18,169251.65536222
ONT-EUR,1738800000000,0.17753,0.18176,0.17018,0.17335,57147.64425132
ONT-EUR,1738713600000,0.18381,0.18508,0.175,0.175,126439.68728185
ONT-EUR,1738627200000,0.1911,0.2,0.17655,0.18399,191530.28951059
ONT-EUR,1738540800000,0.18722,0.19015,0.145,0.18782,423490.29911246
ONT-EUR,1738454400000,0.22665,0.22921,0.18,0.18862,335673.61872304
ONT-EUR,1738368000000,0.22007,0.26367,0.2187,0.229,3023150.93373007
ONT-EUR,1738281600000,0.21213,0.22406,0.20881,0.21315,85245.4914417
ONT-EUR,1738195200000,0.20093,0.21664,0.19904,0.21236,97282.06614837
ONT-EUR,1738108800000,0.19797,0.20762,0.19754,0.20143,39139.45457079
ONT-EUR,1738022400000,0.20911,0.21051,0.19717,0.19717,24445.2296463
ONT-EUR,1737936000000,0.20954,0.21077,0.19552,0.21063,143230.04364331
ONT-EUR,1737849600000,0.21138,0.23021,0.21116,0.21247,571075.44197477
ONT-EUR,1737763200000,0.20501,0.21229,0.20413,0.2097,21467.88970573
ONT-EUR,1737676800000,0.2075,0.22239,0.20496,0.20588,70893.43652989
ONT-EUR,1737590400000,0.21549,0.21549,0.20694,0.21257,41691.2672769
ONT-EUR,1737504000000,0.22171,0.22171,0.21475,0.21475,43517.58168805
ONT-EUR,1737417600000,0.21097,0.22566,0.21028,0.22248,88793.31134829
ONT-EUR,1737331200000,0.21238,0.23201,0.2079,0.21742,186753.18750541
ONT-EUR,1737244800000,0.24164,0.24164,0.21099,0.21337,582631.51892328
ONT-EUR,1737158400000,0.26454,0.26577,0.23857,0.24239,62779.0174874
ONT-EUR,1737072000000,0.25047,0.26984,0.24872,0.26525,124635.32872095
ONT-EUR,1736985600000,0.25737,0.25737,0.24349,0.24819,107138.60636317
ONT-EUR,1736899200000,0.24801,0.26046,0.23383,0.25856,368029.06008574
ONT-EUR,1736812800000,0.25574,0.25574,0.23854,0.25005,936566.95261792
ONT-EUR,1736726400000,0.24751,0.30999,0.24183,0.2566,3779489.32774992
ONT-EUR,1736640000000,0.24043,0.24373,0.23369,0.23369,27003.1371549
ONT-EUR,1736553600000,0.24927,0.24927,0.23639,0.24247,34364.37666472
ONT-EUR,1736467200000,0.24094,0.25307,0.2372,0.24705,31612.54526978
ONT-EUR,1736380800000,0.2343,0.253,0.2342,0.2448,475597.19974783
ONT-EUR,1736294400000,0.23068,0.23831,0.2201,0.23831,95945.54253458
ONT-EUR,1736208000000,0.2538,0.25409,0.23141,0.23268,115566.31983073
ONT-EUR,1736121600000,0.2518,0.26,0.24864,0.25476,87474.41715447
ONT-EUR,1736035200000,0.24788,0.25486,0.24788,0.2522,11349.00799073
ONT-EUR,1735948800000,0.24914,0.2521,0.24641,0.25009,22112.30549306
ONT-EUR,1735862400000,0.23705,0.25225,0.23475,0.25061,112701.24824243
ONT-EUR,1735776000000,0.23228,0.23911,0.23028,0.23709,35010.6021124
ONT-EUR,1735689600000,0.222,0.23143,0.21775,0.22921,15483.0536627
ONT-EUR,1735603200000,0.22489,0.22902,0.21879,0.22333,75897.08318294
ONT-EUR,1735516800000,0.22647,0.23307,0.21949,0.22549,29033.42739828
ONT-EUR,1735430400000,0.2394,0.2394,0.22284,0.22573,17249.90275729
ONT-EUR,1735344000000,0.22817,0.2422,0.22267,0.2422,111246.00336796
