market,time,open,high,low,close,volume
OP-EUR,1741219200000,0.91756,0.91756,0.91574,0.91574,1680.36990549
OP-EUR,1741132800000,0.88725,0.93186,0.871,0.90163,1698053.60063848
OP-EUR,1741046400000,0.89015,0.94037,0.83462,0.91837,2704250.75073454
OP-EUR,1740960000000,1.0539,1.1164,0.91799,0.9696,764128.07711459
OP-EUR,1740873600000,1.0164,1.1364,1.002,1.0308,601766.15478463
OP-EUR,1740787200000,1.0237,1.0602,0.99019,1.0055,516948.99558298
OP-EUR,1740700800000,1.063,1.0686,0.97872,1.0417,786964.28290919
OP-EUR,1740614400000,1.1088,1.151,1.033,1.0636,865899.92888316
OP-EUR,1740528000000,1.0246,1.1212,1.004,1.0971,713453.6200718
OP-EUR,1740441600000,0.9593,1.0384,0.89204,1.0265,1468183.83012625
OP-EUR,1740355200000,1.1357,1.1357,0.93387,0.9588,729314.41257447
OP-EUR,1740268800000,1.0948,1.1374,1.0904,1.1279,129207.05193452
OP-EUR,1740182400000,1.035,1.1041,1.0274,1.0951,233887.52977414
OP-EUR,1740096000000,1.1074,1.15,1.0285,1.0414,332865.52919326
OP-EUR,1740009600000,1.0809,1.1304,1.0779,1.1075,350933.55196483
OP-EUR,1739923200000,1.0405,1.1072,1.0321,1.0807,248575.17682339
OP-EUR,1739836800000,1.1502,1.1597,0.99939,1.0398,267775.85256132
OP-EUR,1739750400000,1.0682,1.1554,1.0577,1.1442,382296.49861304
OP-EUR,1739664000000,1.0781,1.095,1.05,1.0615,27587.62548613
OP-EUR,1739577600000,1.1026,1.1106,1.0655,1.0752,45975.88478841
OP-EUR,1739491200000,1.0747,1.1403,1.0643,1.1026,113750.76363635
OP-EUR,1739404800000,1.0816,1.1135,1.0451,1.0734,107330.14947126
OP-EUR,1739318400000,1.035,1.1088,0.99123,1.0807,210044.20667347
OP-EUR,1739232000000,1.0663,1.1077,1.0146,1.0339,139282.46743473
OP-EUR,1739145600000,1.0467,1.0799,1.0103,1.0616,184268.2527236
OP-EUR,1739059200000,1.032,1.0563,0.99051,1.0483,102344.22709908
OP-EUR,1738972800000,0.9974,1.0384,0.9716,1.0315,103846.84118055
OP-EUR,1738886400000,1.0093,1.0752,0.95477,0.987,199262.81959522
OP-EUR,1738800000000,1.0558,1.0878,0.99,0.99844,129573.16180468
OP-EUR,1738713600000,1.0726,1.1,1.0306,1.047,164083.91289009
OP-EUR,1738627200000,1.1497,1.155,1.013,1.0766,445268.62656592
OP-EUR,1738540800000,1.0884,1.1799,0.78486,1.152,1756949.38930548
OP-EUR,1738454400000,1.3077,1.3216,1.0291,1.0912,998578.67384096
OP-EUR,1738368000000,1.3762,1.4052,1.2835,1.2995,158430.25575921
OP-EUR,1738281600000,1.4017,1.442,1.3278,1.3725,258064.94123249
OP-EUR,1738195200000,1.3648,1.4425,1.3648,1.3969,114502.01774157
OP-EUR,1738108800000,1.3128,1.4373,1.3128,1.3774,182436.11030805
OP-EUR,1738022400000,1.3966,1.415,1.3009,1.3185,152541.96537346
OP-EUR,1737936000000,1.4908,1.4908,1.2633,1.3905,422627.66461424
OP-EUR,1737849600000,1.5557,1.5968,1.4915,1.495,105764.08689686
OP-EUR,1737763200000,1.6319,1.6345,1.5561,1.5561,66114.40302361
OP-EUR,1737676800000,1.6633,1.7291,1.621,1.6385,80784.62509454
OP-EUR,1737590400000,1.6505,1.6685,1.5919,1.6557,101462.43303851
OP-EUR,1737504000000,1.6877,1.6958,1.6403,1.6457,78153.68007157
OP-EUR,1737417600000,1.6378,1.711,1.5664,1.6874,190311.95138145
OP-EUR,1737331200000,1.6457,1.794,1.5798,1.6368,643733.93183669
OP-EUR,1737244800000,1.7849,1.8657,1.6351,1.6652,576362.84771575
OP-EUR,1737158400000,1.9029,1.9352,1.729,1.7761,278448.1841583
OP-EUR,1737072000000,1.7928,1.9354,1.7896,1.9067,220661.7692416
OP-EUR,1736985600000,1.848,1.8641,1.7688,1.7836,190251.82560164
OP-EUR,1736899200000,1.7325,1.8465,1.6887,1.843,171217.36544929
OP-EUR,1736812800000,1.6853,1.7524,1.6764,1.7389,145472.2160871
OP-EUR,1736726400000,1.7457,1.7822,1.55,1.6815,271831.44743482
OP-EUR,1736640000000,1.7449,1.7664,1.7175,1.7353,58649.47940278
OP-EUR,1736553600000,1.7519,1.7763,1.7212,1.7464,46988.16940857
OP-EUR,1736467200000,1.7081,1.7747,1.6867,1.7487,97852.78259458
OP-EUR,1736380800000,1.7513,1.7817,1.66,1.7002,130753.54408415
OP-EUR,1736294400000,1.8363,1.857,1.6569,1.7521,252446.44136089
OP-EUR,1736208000000,2.0334,2.0485,1.8247,1.8325,194308.19491833
OP-EUR,1736121600000,2.0348,2.1,1.9791,2.0169,208670.91618253
OP-EUR,1736035200000,2.0011,2.0513,1.9671,2.0315,113228.37925531
OP-EUR,1735948800000,1.9577,2.0497,1.9319,1.9996,188049.76589749
OP-EUR,1735862400000,1.8286,1.9641,1.785,1.9553,156848.23373852
OP-EUR,1735776000000,1.75,1.8435,1.75,1.8282,131433.59657861
OP-EUR,1735689600000,1.6878,1.7774,1.6734,1.7539,78992.84938604
OP-EUR,1735603200000,1.7467,1.8087,1.674,1.6905,85122.13569216
OP-EUR,1735516800000,1.7452,1.8355,1.6968,1.7496,192062.61629277
OP-EUR,1735430400000,1.817,1.8175,1.714,1.7361,57972.99515236
OP-EUR,1735344000000,1.7827,1.8218,1.747,1.8137,45118.23138914
OP-EUR,1735257600000,1.7073,1.8223,1.7073,1.7706,89826.05023337
OP-EUR,1735171200000,1.8446,1.8562,1.6847,1.7067,225075.40503497
OP-EUR,1735084800000,1.873,1.9024,1.8113,1.8465,74830.82271184
OP-EUR,1734998400000,1.8478,1.9085,1.7943,1.8757,190417.70131305
OP-EUR,1734912000000,1.6766,1.882,1.6479,1.848,230062.49588596
OP-EUR,1734825600000,1.6778,1.7518,1.6381,1.6899,127267.62210629
OP-EUR,1734739200000,1.8141,1.9361,1.6576,1.679,322803.74211281
OP-EUR,1734652800000,1.8462,1.9183,1.5474,1.8144,695695.6874887
OP-EUR,1734566400000,2.0892,2.1108,1.7676,1.839,520589.96909612
OP-EUR,1734480000000,2.2323,2.287,2.0739,2.083,232360.83001976
OP-EUR,1734393600000,2.369,2.4024,2.2,2.2258,170759.24901499
OP-EUR,1734307200000,2.4084,2.492,2.35,2.3763,260959.4238109
OP-EUR,1734220800000,2.3214,2.4172,2.2922,2.4057,191449.10396666
OP-EUR,1734134400000,2.4664,2.5293,2.2642,2.3226,247125.48785257
OP-EUR,1734048000000,2.4355,2.5678,2.3676,2.4442,323637.81517582
OP-EUR,1733961600000,2.2281,2.5444,2.2065,2.4265,417654.52279054
OP-EUR,1733875200000,2.0951,2.2458,2.0308,2.2223,171234.23128629
OP-EUR,1733788800000,2.1135,2.1958,1.9384,2.0924,429487.7380247
OP-EUR,1733702400000,2.5267,2.5267,1.89,2.1341,818933.64255912
OP-EUR,1733616000000,2.5272,2.5556,2.4546,2.5256,186746.24488241
OP-EUR,1733529600000,2.5218,2.624,2.5081,2.5308,246731.73271703
OP-EUR,1733443200000,2.36,2.5901,2.3389,2.5228,424122.19610174
OP-EUR,1733356800000,2.4198,2.49,2.289,2.3617,573180.82544409
OP-EUR,1733270400000,2.4418,2.603,2.381,2.4226,526983.48032623
OP-EUR,1733184000000,2.4259,2.4718,2.212,2.4306,532624.8372841
OP-EUR,1733097600000,2.338,2.4499,2.17,2.4368,434719.70623111
OP-EUR,1733011200000,2.3172,2.4053,2.2464,2.3397,252750.34311341
OP-EUR,1732924800000,2.25,2.3583,2.22,2.3136,279454.18528863
OP-EUR,1732838400000,2.238,2.2842,2.1754,2.252,315122.29033578
OP-EUR,1732752000000,2.3796,2.4854,2.17,2.2358,591049.7917782
OP-EUR,1732665600000,2.0854,2.378,2.0621,2.378,581326.94038286
OP-EUR,1732579200000,2.1962,2.2502,1.9967,2.1011,480449.58812307
OP-EUR,1732492800000,2.0915,2.3149,2.0091,2.1991,908695.24616129
OP-EUR,1732406400000,2.1028,2.2358,1.9451,2.1068,518155.91718347
OP-EUR,1732320000000,2.1099,2.2311,2.0569,2.1054,996473.72854385
OP-EUR,1732233600000,1.9845,2.2499,1.912,2.1102,1977593.58478249
OP-EUR,1732147200000,1.5558,2.1024,1.5179,1.9822,3100368.09591717
OP-EUR,1732060800000,1.6644,1.7091,1.5412,1.5619,363646.86310463
OP-EUR,1731974400000,1.7414,1.746,1.5943,1.6623,277879.64755576
OP-EUR,1731888000000,1.5887,1.737,1.5792,1.7275,527920.45282226
OP-EUR,1731801600000,1.6772,1.7196,1.5646,1.5818,565992.20982786
OP-EUR,1731715200000,1.4994,1.7176,1.4869,1.6792,560744.54895782
OP-EUR,1731628800000,1.437,1.5144,1.4031,1.4976,333220.22033188
OP-EUR,1731542400000,1.5247,1.6107,1.4121,1.4324,525350.68425065
OP-EUR,1731456000000,1.5615,1.5984,1.4097,1.5252,763643.31473524
OP-EUR,1731369600000,1.6894,1.7407,1.4726,1.559,1648961.6882437
OP-EUR,1731283200000,1.5238,1.6912,1.5,1.6912,2217934.76587889
OP-EUR,1731196800000,1.5357,1.6074,1.4258,1.5254,1553460.16645044
OP-EUR,1731110400000,1.4755,1.57,1.4575,1.5332,308376.17160299
OP-EUR,1731024000000,1.4896,1.5124,1.4194,1.4732,244757.05043297
OP-EUR,1730937600000,1.4935,1.5737,1.4302,1.4809,256697.42470416
OP-EUR,1730851200000,1.2974,1.5229,1.2974,1.4901,185110.77199466
OP-EUR,1730764800000,1.2507,1.3253,1.248,1.2995,75179.62196916
OP-EUR,1730678400000,1.3169,1.3169,1.1948,1.2355,85629.52135375
OP-EUR,1730592000000,1.3482,1.3601,1.2492,1.3206,213933.08900805
OP-EUR,1730505600000,1.406,1.4171,1.3199,1.3482,88448.32723505
OP-EUR,1730419200000,1.48,1.5122,1.3914,1.4068,77169.38091761
OP-EUR,1730332800000,1.589,1.5901,1.4697,1.4798,76943.13848651
OP-EUR,1730246400000,1.5708,1.6526,1.5465,1.5846,151600.37793871
OP-EUR,1730160000000,1.5,1.5998,1.5,1.5709,124814.8577132
OP-EUR,1730073600000,1.4766,1.5127,1.4246,1.4922,73152.24802985
OP-EUR,1729987200000,1.4427,1.49,1.4427,1.4754,75575.49491409
OP-EUR,1729900800000,1.4307,1.4825,1.4263,1.4495,79680.20598839
OP-EUR,1729814400000,1.5835,1.6,1.4,1.4491,119153.77510708
OP-EUR,1729728000000,1.6014,1.6207,1.5481,1.5714,50373.68916627
OP-EUR,1729641600000,1.5761,1.6101,1.5372,1.5924,68651.0173411
OP-EUR,1729555200000,1.57,1.6156,1.5516,1.5718,63487.28341367
OP-EUR,1729468800000,1.6667,1.6841,1.5737,1.5923,73743.46138868
OP-EUR,1729382400000,1.5453,1.6666,1.5333,1.6553,104215.04018342
OP-EUR,1729296000000,1.5895,1.5909,1.5406,1.5541,40489.52114197
OP-EUR,1729209600000,1.5485,1.5981,1.5334,1.583,68338.07532812
OP-EUR,1729123200000,1.6074,1.6173,1.5278,1.5444,68362.00087367
OP-EUR,1729036800000,1.5797,1.6536,1.573,1.6281,75912.36544798
OP-EUR,1728950400000,1.6303,1.6662,1.5497,1.5704,80889.05455843
OP-EUR,1728864000000,1.5651,1.65,1.5528,1.626,109619.68480622
OP-EUR,1728777600000,1.5693,1.5694,1.511,1.5676,70199.62402126
OP-EUR,1728691200000,1.5575,1.6023,1.5484,1.5637,106542.3676331
OP-EUR,1728604800000,1.4222,1.5651,1.4134,1.5435,103144.58915764
OP-EUR,1728518400000,1.4016,1.4234,1.3563,1.4184,114168.25812238
OP-EUR,1728432000000,1.5057,1.5138,1.3888,1.3963,26338.53580497
OP-EUR,1728345600000,1.5232,1.5423,1.4526,1.4817,53156.4193193
OP-EUR,1728259200000,1.5346,1.5743,1.4952,1.5336,83752.17198472
OP-EUR,1728172800000,1.4505,1.5344,1.4399,1.5344,30641.04703966
OP-EUR,1728086400000,1.4626,1.4998,1.434,1.4497,52308.29316824
OP-EUR,1728000000000,1.3807,1.478,1.3731,1.4544,79267.58320118
OP-EUR,1727913600000,1.42,1.4638,1.341,1.379,69312.39600937
OP-EUR,1727827200000,1.5062,1.5375,1.422,1.4423,116176.73446794
OP-EUR,1727740800000,1.5723,1.6877,1.4549,1.5064,142292.41858357
OP-EUR,1727654400000,1.6769,1.7096,1.5655,1.5734,142975.7153082
OP-EUR,1727568000000,1.6835,1.7165,1.6428,1.7025,244212.7177684
OP-EUR,1727481600000,1.7067,1.7211,1.6425,1.6857,213666.92561487
OP-EUR,1727395200000,1.573,1.7383,1.5641,1.7027,283217.97296678
OP-EUR,1727308800000,1.51,1.5934,1.495,1.5602,190169.01647742
OP-EUR,1727222400000,1.5478,1.5729,1.5091,1.5091,105648.48442519
OP-EUR,1727136000000,1.5205,1.5628,1.4738,1.5495,130837.57728268
OP-EUR,1727049600000,1.5078,1.5791,1.4869,1.5253,80815.64452242
OP-EUR,1726963200000,1.5875,1.6147,1.4803,1.5101,187010.02334716
OP-EUR,1726876800000,1.5039,1.5838,1.4653,1.5824,96750.46703253
OP-EUR,1726790400000,1.4308,1.5141,1.4156,1.4988,73991.62474702
OP-EUR,1726704000000,1.3674,1.4751,1.3674,1.4449,99717.55841082
OP-EUR,1726617600000,1.295,1.3565,1.27,1.3565,60487.4868785
OP-EUR,1726531200000,1.3093,1.3483,1.2949,1.3061,53534.69219315
OP-EUR,1726444800000,1.322,1.3526,1.29,1.3056,59319.2719552
OP-EUR,1726358400000,1.4149,1.4291,1.3252,1.3323,45429.74190594
OP-EUR,1726272000000,1.3993,1.4202,1.3791,1.4138,31787.31869247
OP-EUR,1726185600000,1.3835,1.4075,1.3585,1.4013,42580.10057702
OP-EUR,1726099200000,1.4102,1.4252,1.37,1.3877,86086.16759152
