market,time,open,high,low,close,volume
OSMO-EUR,1741132800000,0.2619,0.29612,0.25993,0.26866,107673.555814
OSMO-EUR,1741046400000,0.25369,0.26407,0.24696,0.26344,21887.534537
OSMO-EUR,1740960000000,0.2877,0.30902,0.26417,0.26961,33364.361375
OSMO-EUR,1740873600000,0.30583,0.31101,0.28448,0.3095,24778.720264
OSMO-EUR,1740787200000,0.29105,0.29415,0.28479,0.28722,9838.86681
OSMO-EUR,1740700800000,0.29323,0.29569,0.27196,0.29293,33610.962406
OSMO-EUR,1740614400000,0.30167,0.30526,0.28952,0.29509,9228.515121
OSMO-EUR,1740528000000,0.29692,0.30509,0.2914,0.29948,12346.021492
OSMO-EUR,1740441600000,0.30039,0.30691,0.27579,0.29813,62013.625758
OSMO-EUR,1740355200000,0.34189,0.34249,0.30204,0.30204,87762.010319
OSMO-EUR,1740268800000,0.32504,0.38298,0.32397,0.34198,612534.498414
OSMO-EUR,1740182400000,0.31235,0.32844,0.31235,0.32718,8820.222231
OSMO-EUR,1740096000000,0.32707,0.33577,0.30878,0.31408,31960.163018
OSMO-EUR,1740009600000,0.30083,0.33161,0.30083,0.32676,71442.850393
OSMO-EUR,1739923200000,0.29608,0.30269,0.29313,0.301,11903.21308
OSMO-EUR,1739836800000,0.30969,0.31011,0.28799,0.29479,24939.899265
OSMO-EUR,1739750400000,0.30591,0.31563,0.30134,0.3097,20721.315393
OSMO-EUR,1739664000000,0.32135,0.32397,0.30301,0.30578,234941.666085
OSMO-EUR,1739577600000,0.30143,0.3926,0.29812,0.32288,1044227.702306
OSMO-EUR,1739491200000,0.29814,0.30796,0.29741,0.30282,44637.907114
OSMO-EUR,1739404800000,0.30225,0.30313,0.29228,0.29726,23489.943732
OSMO-EUR,1739318400000,0.28606,0.30476,0.28283,0.30287,11738.072148
OSMO-EUR,1739232000000,0.29974,0.31118,0.28336,0.287,46844.097498
OSMO-EUR,1739145600000,0.28531,0.30129,0.27923,0.29949,105541.880512
OSMO-EUR,1739059200000,0.28961,0.29503,0.27622,0.28636,183772.746569
OSMO-EUR,1738972800000,0.27631,0.28862,0.27494,0.28857,30815.217574
OSMO-EUR,1738886400000,0.27399,0.28914,0.26998,0.27651,34269.081423
OSMO-EUR,1738800000000,0.28829,0.29148,0.27,0.27371,25128.630251
OSMO-EUR,1738713600000,0.30859,0.30859,0.28427,0.28661,60159.55009
OSMO-EUR,1738627200000,0.30792,0.3435,0.28399,0.30918,462523.073285
OSMO-EUR,1738540800000,0.29699,0.31519,0.24224,0.31135,90983.627286
OSMO-EUR,1738454400000,0.35636,0.35934,0.29918,0.30664,55455.554694
OSMO-EUR,1738368000000,0.38874,0.38874,0.35887,0.35887,10483.834246
OSMO-EUR,1738281600000,0.37825,0.40027,0.37769,0.38967,8122.723826
OSMO-EUR,1738195200000,0.37717,0.38432,0.37552,0.38088,7348.898783
OSMO-EUR,1738108800000,0.36568,0.376,0.36003,0.37437,12317.58055
OSMO-EUR,1738022400000,0.37933,0.38215,0.35802,0.36495,32966.904201
OSMO-EUR,1737936000000,0.38965,0.38965,0.35368,0.37893,45601.248104
OSMO-EUR,1737849600000,0.397,0.40869,0.39027,0.39027,18003.500459
OSMO-EUR,1737763200000,0.39658,0.40282,0.39288,0.40006,5002.170618
OSMO-EUR,1737676800000,0.39239,0.41432,0.39239,0.40147,24616.624328
OSMO-EUR,1737590400000,0.40362,0.40375,0.38613,0.39845,24588.971823
OSMO-EUR,1737504000000,0.41079,0.4118,0.40216,0.40338,16743.102233
OSMO-EUR,1737417600000,0.39321,0.41595,0.38572,0.41018,14496.965735
OSMO-EUR,1737331200000,0.39956,0.42843,0.39,0.39793,56014.650869
OSMO-EUR,1737244800000,0.44607,0.44802,0.4,0.4037,44626.509007
OSMO-EUR,1737158400000,0.47569,0.48144,0.43281,0.43281,33894.674151
OSMO-EUR,1737072000000,0.47683,0.48505,0.47033,0.47465,39887.402031
OSMO-EUR,1736985600000,0.46013,0.46989,0.44882,0.46175,43892.955721
OSMO-EUR,1736899200000,0.43502,0.46754,0.428,0.46754,20441.261626
OSMO-EUR,1736812800000,0.42816,0.43712,0.42594,0.43364,12015.777557
OSMO-EUR,1736726400000,0.44366,0.44995,0.40209,0.43132,65493.397058
OSMO-EUR,1736640000000,0.44905,0.45304,0.43614,0.44178,26731.537651
OSMO-EUR,1736553600000,0.4574,0.45803,0.44085,0.44762,73887.586869
OSMO-EUR,1736467200000,0.45213,0.46503,0.45022,0.45358,32148.653407
OSMO-EUR,1736380800000,0.46612,0.47391,0.44,0.44829,20392.876697
OSMO-EUR,1736294400000,0.49061,0.49117,0.44902,0.46522,46032.446897
OSMO-EUR,1736208000000,0.55418,0.55522,0.48779,0.48779,116708.031289
OSMO-EUR,1736121600000,0.4916,0.62489,0.48572,0.55567,1816420.349198
OSMO-EUR,1736035200000,0.46752,0.4949,0.46694,0.49004,85411.506935
OSMO-EUR,1735948800000,0.47126,0.47475,0.45769,0.46582,99188.083892
OSMO-EUR,1735862400000,0.43896,0.47088,0.43391,0.46981,19624.669125
OSMO-EUR,1735776000000,0.42402,0.44863,0.422,0.44541,23588.659527
OSMO-EUR,1735689600000,0.41584,0.42198,0.40854,0.41672,19152.900212
OSMO-EUR,1735603200000,0.42315,0.43467,0.41571,0.42,18899.773672
OSMO-EUR,1735516800000,0.43252,0.43832,0.4177,0.42534,29414.632071
OSMO-EUR,1735430400000,0.44642,0.45055,0.4277,0.42781,32258.491156
OSMO-EUR,1735344000000,0.42891,0.44935,0.42687,0.44893,23083.06627
