market,time,open,high,low,close,volume
PENDLE-EUR,1741219200000,2.3393,2.3393,2.3368,2.3368,4161.06592814
PENDLE-EUR,1741132800000,2.3068,2.4582,2.2429,2.3318,409222.23774746
PENDLE-EUR,1741046400000,2.2741,2.3734,2.1175,2.3405,238864.5389368
PENDLE-EUR,1740960000000,2.9,2.9611,2.3291,2.684,134170.27360563
PENDLE-EUR,1740873600000,2.7412,3.0003,2.6414,2.9281,76099.66360827
PENDLE-EUR,1740787200000,2.7829,2.8069,2.6642,2.6942,75532.77197137
PENDLE-EUR,1740700800000,2.8134,2.8326,2.5384,2.7711,259203.63636166
PENDLE-EUR,1740614400000,2.5857,2.8711,2.5716,2.811,236734.68173657
PENDLE-EUR,1740528000000,2.7291,2.7983,2.5,2.5909,64115.67632599
PENDLE-EUR,1740441600000,2.8196,2.8483,2.6137,2.7357,659267.69658701
PENDLE-EUR,1740355200000,3.2551,3.284,2.75,2.8081,237777.95042364
PENDLE-EUR,1740268800000,3.3373,3.4071,3.2352,3.2493,35547.58255052
PENDLE-EUR,1740182400000,3.2378,3.394,3.2258,3.3267,38152.94829401
PENDLE-EUR,1740096000000,3.3934,3.5579,3.1797,3.2429,272445.1683177
PENDLE-EUR,1740009600000,3.1505,3.3834,3.1505,3.3772,51107.76193557
PENDLE-EUR,1739923200000,3.0781,3.205,3.0552,3.1537,39096.00013697
PENDLE-EUR,1739836800000,3.283,3.2956,2.9548,3.0848,115040.36555647
PENDLE-EUR,1739750400000,3.3719,3.5476,3.2304,3.2819,91124.03057547
PENDLE-EUR,1739664000000,3.4666,3.4836,3.3455,3.3844,48389.63587785
PENDLE-EUR,1739577600000,3.5143,3.6194,3.4318,3.4762,53940.36208565
PENDLE-EUR,1739491200000,3.2403,3.5627,3.2115,3.512,171402.56232959
PENDLE-EUR,1739404800000,3.4589,3.4589,3.1417,3.274,143590.95791481
PENDLE-EUR,1739318400000,3.4959,3.5678,3.1604,3.46,259892.94692051
PENDLE-EUR,1739232000000,3.3699,3.631,3.3231,3.4814,307408.52150874
PENDLE-EUR,1739145600000,3.0954,3.429,3.0292,3.361,272885.64151143
PENDLE-EUR,1739059200000,3.1401,3.2146,2.937,3.0856,83575.79892501
PENDLE-EUR,1738972800000,3.0551,3.2092,2.8604,3.1474,239520.35251668
PENDLE-EUR,1738886400000,2.8117,3.6713,2.8091,3.0527,481972.38512247
PENDLE-EUR,1738800000000,2.8854,3.0481,2.7722,2.79,267329.26093257
PENDLE-EUR,1738713600000,2.753,2.9692,2.68,2.8809,237330.76430362
PENDLE-EUR,1738627200000,3.0156,3.1309,2.5413,2.7167,393914.0951702
PENDLE-EUR,1738540800000,2.6074,3.1173,2,3.0208,826510.43189101
PENDLE-EUR,1738454400000,3.1814,3.2481,2.5183,2.6198,318096.04704014
PENDLE-EUR,1738368000000,3.5655,3.6417,3.1344,3.18,94875.63947002
PENDLE-EUR,1738281600000,3.4498,3.8432,3.3546,3.5697,175995.50403829
PENDLE-EUR,1738195200000,3.1251,3.494,3.125,3.4283,172828.82931373
