market,time,open,high,low,close,volume
PERP-EUR,1741132800000,0.37237,0.37712,0.36579,0.37105,30645.63385818
PERP-EUR,1741046400000,0.36505,0.38035,0.33975,0.36545,33023.15534482
PERP-EUR,1740960000000,0.43325,0.46,0.38425,0.38631,85686.88864249
PERP-EUR,1740873600000,0.41036,0.45707,0.40429,0.45707,105187.92379629
PERP-EUR,1740787200000,0.40442,0.42135,0.4021,0.41238,4983.54626093
PERP-EUR,1740700800000,0.40851,0.43372,0.39095,0.42596,28595.54975109
PERP-EUR,1740614400000,0.42269,0.43282,0.41706,0.43115,12113.27556494
PERP-EUR,1740528000000,0.41402,0.4325,0.40202,0.42673,33802.85356245
PERP-EUR,1740441600000,0.3795,0.42205,0.3726,0.41563,87167.70764306
PERP-EUR,1740355200000,0.46,0.46,0.3768,0.38259,179880.10921792
PERP-EUR,1740268800000,0.46063,0.51288,0.46061,0.46648,694864.08851473
PERP-EUR,1740182400000,0.42723,0.4692,0.42191,0.45885,46334.63199211
PERP-EUR,1740096000000,0.44087,0.46068,0.41,0.4108,33668.35537681
PERP-EUR,1740009600000,0.44671,0.45547,0.44289,0.4464,36315.54031573
PERP-EUR,1739923200000,0.43778,0.45215,0.43777,0.44505,5962.01475286
PERP-EUR,1739836800000,0.44793,0.44793,0.41923,0.43714,6786.05684487
PERP-EUR,1739750400000,0.45,0.4727,0.44836,0.45752,8886.06636917
PERP-EUR,1739664000000,0.45913,0.47169,0.4562,0.4562,6924.46043247
PERP-EUR,1739577600000,0.47882,0.47882,0.45885,0.45902,4161.5145296
PERP-EUR,1739491200000,0.47142,0.48134,0.46497,0.47497,22004.12182083
PERP-EUR,1739404800000,0.49117,0.49117,0.4594,0.46576,13307.44364604
PERP-EUR,1739318400000,0.45572,0.49021,0.44557,0.49013,78611.32386164
PERP-EUR,1739232000000,0.46651,0.48462,0.44883,0.45273,4590.8348971
PERP-EUR,1739145600000,0.43008,0.459,0.43008,0.45816,4120.834368
PERP-EUR,1739059200000,0.45302,0.46545,0.43105,0.44099,3240.01116968
PERP-EUR,1738972800000,0.42882,0.45215,0.42293,0.44985,18381.23403986
PERP-EUR,1738886400000,0.41732,0.44379,0.41557,0.41837,71657.13850866
PERP-EUR,1738800000000,0.43309,0.44048,0.405,0.405,27840.90656106
PERP-EUR,1738713600000,0.43456,0.44975,0.42535,0.43286,72850.0756798
PERP-EUR,1738627200000,0.4766,0.4766,0.4275,0.43442,43635.10322748
PERP-EUR,1738540800000,0.47668,0.49113,0.37627,0.49031,329033.8069154
PERP-EUR,1738454400000,0.57717,0.5825,0.468,0.48758,75983.6409534
PERP-EUR,1738368000000,0.626,0.63096,0.57499,0.57499,30188.64522277
PERP-EUR,1738281600000,0.62045,0.643,0.61507,0.62371,19153.45705655
PERP-EUR,1738195200000,0.59867,0.625,0.5919,0.62142,30302.29261288
PERP-EUR,1738108800000,0.58049,0.60258,0.57046,0.58529,101826.03051246
PERP-EUR,1738022400000,0.598,0.59932,0.56039,0.56398,51550.8133103
PERP-EUR,1737936000000,0.6,0.60384,0.55331,0.5929,56646.55291094
PERP-EUR,1737849600000,0.62008,0.64481,0.61232,0.61232,24505.67123818
PERP-EUR,1737763200000,0.61467,0.63126,0.61467,0.61826,15699.49315034
PERP-EUR,1737676800000,0.63117,0.6465,0.59956,0.6027,21984.40735717
PERP-EUR,1737590400000,0.64747,0.65129,0.61756,0.62823,29577.87002401
PERP-EUR,1737504000000,0.66091,0.67518,0.64859,0.64908,22442.79786346
PERP-EUR,1737417600000,0.60965,0.66309,0.59635,0.65809,68588.83533136
PERP-EUR,1737331200000,0.63516,0.6883,0.60993,0.62663,243699.87804735
PERP-EUR,1737244800000,0.71959,0.72575,0.64071,0.64602,141377.22396395
PERP-EUR,1737158400000,0.768,0.77438,0.69971,0.71143,14187.18030769
PERP-EUR,1737072000000,0.70188,0.77387,0.70188,0.77,53549.10837966
PERP-EUR,1736985600000,0.70976,0.7168,0.68757,0.694,85825.42942861
PERP-EUR,1736899200000,0.67964,0.71496,0.65918,0.70824,128742.87420067
PERP-EUR,1736812800000,0.65279,0.67875,0.65279,0.6784,31092.67081172
